date,open,high,low,close,volume
2019-11-08,320.5,334.9,315.25,327.95,168876
2019-11-15,323.1,364.8,323.1,333.55,906461
2019-11-22,332.05,361.8,321.0,349.45,745140
2019-11-29,346.0,355.15,329.0,333.35,323920
2019-12-06,330.0,342.1,297.3,301.0,276945
2019-12-13,299.45,303.0,283.05,290.65,295299
2019-12-20,292.0,293.4,282.3,283.0,224982
2019-12-27,282.8,314.85,282.1,301.45,534826
2020-01-03,303.65,310.5,291.85,303.9,239157
2020-01-10,304.45,308.7,290.0,297.85,190527
2020-01-17,298.0,332.0,298.0,312.75,656289
2020-01-24,313.4,322.95,301.0,303.45,1144873
2020-01-31,298.5,310.95,288.25,290.25,300304
2020-02-07,286.2,308.7,275.0,296.45,689830
2020-02-14,295.0,298.65,269.0,274.0,270859
2020-02-21,278.0,305.8,260.1,294.2,862678
2020-02-28,281.2,323.9,269.1,274.15,1571287
2020-03-06,280.4,286.0,244.95,249.9,589029
2020-03-13,245.8,246.0,174.0,204.75,409726
2020-03-20,202.0,205.85,167.0,181.55,336201
2020-03-27,165.0,201.2,145.3,184.95,364589
2020-04-03,173.0,191.8,173.0,183.95,125107
2020-04-10,197.0,229.0,186.1,216.15,554154
2020-04-17,235.0,248.4,219.45,232.15,528128
2020-04-24,230.55,237.25,214.6,216.8,161215
2020-05-01,220.0,224.4,209.5,216.3,116902
2020-05-08,215.0,238.0,207.1,218.4,1713961
2020-05-15,219.0,245.0,213.65,239.4,1951681
2020-05-22,250.0,252.0,222.25,225.15,701990
2020-05-29,226.85,244.5,219.95,235.0,617559
2020-06-05,238.35,257.0,234.0,243.1,915075
2020-06-12,244.95,259.0,224.0,235.65,575977
2020-06-19,232.0,277.5,231.65,266.75,1914679
2020-06-26,268.3,311.9,257.0,290.85,1731029
2020-07-03,296.0,381.0,293.5,374.3,17620185
2020-07-10,384.2,455.0,374.3,405.85,32427659
2020-07-17,408.8,415.0,354.5,391.5,6756065
2020-07-24,398.0,403.5,372.5,379.55,5209838
2020-07-31,381.6,404.9,370.0,384.85,3422756
2020-08-07,384.8,429.4,380.6,419.45,6102633
2020-08-14,457.0,481.7,415.25,455.15,13414452
2020-08-21,458.65,459.45,433.1,437.35,3407267
2020-08-28,441.3,444.4,410.0,424.85,3857435
2020-09-04,427.0,429.95,371.05,390.45,2667615
2020-09-11,391.75,395.0,310.55,315.3,11345380
2020-09-18,320.05,323.0,307.6,318.5,3387363
2020-09-25,319.4,321.85,280.4,298.3,3247370
2020-10-02,301.75,325.95,296.35,323.8,2672371
2020-10-09,325.0,333.4,302.0,304.4,1755322
2020-10-16,304.6,307.5,288.45,295.2,1353093
2020-10-23,297.0,306.9,290.65,303.45,1102131
2020-10-30,305.8,305.8,288.0,289.4,534474
2020-11-06,293.0,303.45,285.5,301.85,1080216
2020-11-13,308.8,319.0,297.0,306.45,1647193
2020-11-20,307.3,315.0,304.0,307.55,775252
2020-11-27,315.0,331.65,306.75,327.7,3045242
2020-12-04,329.2,332.0,320.2,322.6,891118
2020-12-11,328.85,356.0,328.25,339.8,3665969
2020-12-18,339.95,347.5,335.3,341.9,1049231
2020-12-25,341.8,341.8,297.1,329.05,869842
2021-01-01,330.1,348.95,326.0,348.1,2258550
2021-01-08,352.9,360.6,337.15,345.5,3088014
2021-01-15,347.2,365.9,335.0,345.3,4232496
2021-01-22,345.3,346.45,331.0,335.2,1338003
2021-01-29,341.0,342.3,323.95,331.0,635730
2021-02-05,332.8,339.85,330.5,336.0,1052894
2021-02-12,339.4,380.0,337.9,353.5,7278993
2021-02-19,356.1,362.5,337.25,339.5,1421554
2021-02-26,339.95,360.0,337.0,350.7,2466182
2021-03-05,354.8,391.05,353.55,361.65,4470768
2021-03-12,364.7,370.95,356.05,362.5,1070672
2021-03-19,364.3,368.1,330.1,345.65,1746247
2021-03-26,363.0,367.0,331.0,341.6,2383958
2021-04-02,344.5,345.0,332.0,338.4,384589
2021-04-09,337.5,346.95,332.1,344.15,505152
2021-04-16,338.0,340.0,325.5,335.95,545560
2021-04-23,325.1,331.9,321.1,324.5,382995
2021-04-30,327.75,351.9,324.55,336.85,1023644
2021-05-07,336.75,339.9,326.0,335.1,505500
2021-05-14,338.0,363.7,334.6,344.05,1694498
2021-05-21,344.8,365.0,341.4,359.55,1045590
2021-05-28,362.2,376.0,356.05,357.95,1768329
2021-06-04,355.5,377.6,355.0,365.2,1089359
2021-06-11,374.2,374.7,360.3,360.85,1232978
2021-06-18,363.0,370.5,350.1,356.7,1050578
2021-06-25,356.7,362.8,345.25,354.3,2220388
2021-07-02,357.1,374.0,354.25,370.25,1755040
2021-07-09,373.25,399.0,366.35,381.7,5865141
2021-07-16,387.25,387.25,373.25,374.25,1203351
2021-07-23,373.0,408.65,368.3,394.75,3127603
