date,open,high,low,close,volume
2020-01-17,425.71,471.67,424.33,469.37,9849316
2020-01-24,469.33,474.04,447.92,466.46,9410250
2020-01-31,468.33,483.25,463.37,466.79,7025844
2020-02-07,466.79,497.5,452.67,475.71,12148364
2020-02-14,478.08,493.42,470.08,483.0,6022818
2020-02-21,482.08,489.71,475.17,477.17,4125603
2020-02-28,475.0,489.92,458.79,472.12,8022909
2020-03-06,479.17,480.83,435.0,446.04,8790477
2020-03-13,448.33,458.0,333.33,381.83,10356311
2020-03-20,381.83,387.96,324.46,375.54,12382472
2020-03-27,338.33,416.58,329.17,404.67,9436284
2020-04-03,400.58,419.17,370.54,373.87,5892108
2020-04-10,388.04,406.37,368.62,395.25,4954876
2020-04-17,393.42,443.25,387.5,429.79,7449109
2020-04-24,433.92,452.5,420.87,433.08,8908026
2020-05-01,435.0,455.46,418.79,423.67,7140593
2020-05-08,416.67,418.33,367.0,379.5,12369946
2020-05-15,386.58,392.5,369.33,375.71,8681817
2020-05-22,375.0,394.58,359.54,381.08,9736343
2020-05-29,383.33,415.83,367.21,409.79,8739703
2020-06-05,413.33,439.54,405.92,425.71,8752674
2020-06-12,428.29,431.12,391.67,418.04,9490370
2020-06-19,416.71,426.37,409.79,417.08,7908517
2020-06-26,420.83,460.0,416.21,425.67,14947480
2020-07-03,426.67,432.42,406.71,419.67,8423718
2020-07-10,424.17,431.17,412.5,415.46,6939153
2020-07-17,416.29,434.17,410.75,432.08,8424847
2020-07-24,433.33,443.33,424.42,436.75,11510700
2020-07-31,438.33,447.5,427.67,438.75,9836848
2020-08-07,441.67,465.0,432.08,462.62,9026545
2020-08-14,466.67,470.62,447.25,458.62,9081237
2020-08-21,458.33,475.75,439.42,472.33,14052854
2020-08-28,477.75,484.96,463.42,470.25,9045970
2020-09-04,470.0,474.42,445.83,459.79,9199945
2020-09-11,459.17,482.08,456.75,477.21,9943808
2020-09-18,480.83,489.96,471.67,482.08,7947271
2020-09-25,483.46,488.17,458.75,485.21,9206328
2020-10-02,488.25,499.87,477.5,492.12,6662444
2020-10-09,492.5,514.5,486.92,502.17,9318692
2020-10-16,502.58,515.42,494.17,502.83,6814497
2020-10-23,501.67,519.17,500.33,507.87,5739319
2020-10-30,507.5,531.67,490.12,519.21,12169400
2020-11-06,521.17,558.33,515.0,541.33,11990901
2020-11-13,540.83,546.75,531.67,540.83,6086706
2020-11-20,539.96,545.83,529.17,535.92,4833364
2020-11-27,538.58,544.17,521.83,539.79,7292631
2020-12-04,540.58,561.37,539.25,559.33,5214887
2020-12-11,559.17,568.75,552.12,564.42,4313940
2020-12-18,565.83,599.96,562.5,591.71,7339044
2020-12-25,592.04,615.37,568.08,609.21,6467812
2021-01-01,612.25,641.62,606.12,639.21,5735538
2021-01-08,638.33,677.46,637.75,675.5,5327553
2021-01-15,677.5,683.21,641.67,647.92,4856565
2021-01-22,643.67,685.79,636.79,644.5,9240654
2021-01-29,648.33,649.08,583.33,589.04,7696972
2021-02-05,594.25,622.04,582.0,608.46,7521970
2021-02-12,618.92,660.67,606.83,641.96,20000765
2021-02-19,637.5,645.75,615.25,617.71,6388096
2021-02-26,609.17,619.96,562.54,566.54,7452148
2021-03-05,567.5,616.62,567.5,607.96,7477852
2021-03-12,605.83,617.17,591.67,597.71,5071287
2021-03-19,600.0,613.29,572.58,604.75,5239222
2021-03-26,605.08,638.83,598.0,633.25,9873617
