date,open,high,low,close,volume
2020-01-17,515.0,533.9,511.0,522.45,5268229
2020-01-24,522.0,525.4,500.3,522.05,6289989
2020-01-31,521.5,524.9,487.75,490.65,4068004
2020-02-07,487.9,527.95,467.35,518.0,6064682
2020-02-14,515.05,519.2,474.15,485.45,13882509
2020-02-21,486.0,490.9,473.0,484.5,3978556
2020-02-28,482.55,482.55,422.7,435.4,7349758
2020-03-06,440.5,466.4,422.75,439.4,9318095
2020-03-13,418.0,418.0,332.5,378.15,11131891
2020-03-20,351.0,389.95,292.4,301.25,11340595
2020-03-27,279.0,297.75,234.2,264.1,10990489
2020-04-03,258.7,259.65,215.0,219.65,10291940
2020-04-10,224.85,261.0,207.5,245.55,12389654
2020-04-17,250.0,286.0,229.0,283.8,16463787
2020-04-24,289.3,295.0,250.6,263.25,17224630
2020-05-01,268.5,324.35,263.3,309.2,16469108
2020-05-08,298.5,298.8,267.9,279.8,18253676
2020-05-15,280.8,303.35,270.1,277.3,20075429
2020-05-22,284.0,296.0,263.1,284.35,17686031
2020-05-29,290.0,336.6,286.7,326.05,16869882
2020-06-05,332.9,350.3,328.0,349.05,17623817
2020-06-12,354.05,378.9,327.0,350.5,17752501
2020-06-19,351.0,379.8,337.05,375.8,11816882
2020-06-26,379.9,385.7,348.15,352.5,9692138
2020-07-03,350.0,361.4,306.6,358.8,36476682
2020-07-10,360.1,378.7,353.15,354.5,15466121
2020-07-17,359.0,386.0,358.3,377.45,24696194
2020-07-24,382.8,397.6,376.85,384.1,15088038
2020-07-31,384.0,398.0,379.25,381.95,10392353
2020-08-07,380.2,413.9,376.0,407.8,12132937
2020-08-14,430.0,511.9,406.6,494.95,57296753
2020-08-21,496.95,504.85,482.05,489.8,15959675
2020-08-28,492.8,522.1,491.15,502.25,18577361
2020-09-04,506.0,512.7,476.0,488.65,14109819
2020-09-11,493.1,495.65,454.35,463.4,10532416
2020-09-18,465.25,487.55,465.0,479.35,12543822
2020-09-25,479.35,483.8,427.5,444.9,10531458
2020-10-02,452.0,459.35,444.1,448.15,4960436
2020-10-09,458.05,478.0,454.4,465.8,12116287
2020-10-16,468.0,476.75,439.5,452.5,11798063
2020-10-23,455.2,498.75,445.75,495.1,13265875
2020-10-30,495.1,495.9,447.25,451.3,10754385
2020-11-06,454.0,486.85,445.0,477.05,10729443
2020-11-13,480.6,539.65,478.0,481.1,22537922
2020-11-20,488.0,518.0,486.5,497.3,12362892
2020-11-27,500.6,525.7,491.2,508.35,15768567
2020-12-04,513.5,565.5,499.3,551.95,19321482
2020-12-11,555.8,562.0,535.0,552.2,14710829
2020-12-18,555.0,567.25,538.3,555.65,13360311
2020-12-25,550.0,554.95,492.1,526.6,14744512
2021-01-01,530.0,540.0,513.35,538.1,7087946
2021-01-08,546.5,606.0,534.2,603.3,22589887
2021-01-15,604.0,676.9,597.9,613.55,26760182
2021-01-22,612.55,644.5,579.25,629.4,16038498
2021-01-29,635.3,636.0,562.0,583.8,10722413
2021-02-05,587.0,668.0,576.5,619.7,14438622
2021-02-12,621.0,666.65,620.0,640.1,17569936
2021-02-19,635.55,653.4,595.05,603.0,14446260
2021-02-26,603.8,623.7,583.6,610.0,15650326
2021-03-05,619.6,650.0,611.3,617.7,12620177
2021-03-12,627.0,641.95,605.7,616.6,7522819
2021-03-19,619.0,623.75,579.75,600.05,9778994
2021-03-26,591.0,607.95,568.3,587.25,10092193
2021-04-02,593.0,616.0,588.35,612.5,3116451
2021-04-09,612.95,626.9,588.85,610.25,6215593
2021-04-16,600.0,600.0,559.0,586.75,6784465
2021-04-23,562.0,597.7,555.75,582.35,10059807
2021-04-30,584.8,621.0,568.5,610.4,12778618
2021-05-07,602.55,654.05,598.6,636.8,12530149
2021-05-14,640.7,672.45,640.05,648.25,9712815
2021-05-21,650.0,689.0,642.0,644.65,13524218
2021-05-28,648.7,694.85,646.8,676.8,12964793
2021-06-04,678.0,758.65,660.1,750.9,32072738
2021-06-11,788.45,790.9,744.15,747.9,23372768
2021-06-18,750.0,751.0,706.6,726.85,9919550
2021-06-25,711.5,751.5,711.5,741.4,9185088
2021-07-02,742.75,779.95,735.8,771.9,10674834
2021-07-09,776.0,820.0,759.5,808.0,14602167
2021-07-16,810.0,832.0,803.2,807.35,7418481
2021-07-23,804.0,819.6,786.4,788.9,4141069
2021-07-30,788.0,794.9,766.95,771.65,4874879
2021-08-06,777.25,820.0,771.0,779.6,8237889
2021-08-13,784.0,844.8,746.0,819.7,24041805
2021-08-20,823.65,833.5,747.0,752.85,9761081
2021-08-27,762.0,773.3,717.0,729.45,10066436
2021-09-03,732.65,811.45,732.65,791.3,15580863
2021-09-10,799.95,804.9,758.55,773.85,5664147
2021-09-17,777.0,794.95,756.05,761.55,7880942
2021-09-24,760.0,774.9,727.2,749.8,10123787
2021-10-01,749.8,793.0,721.0,727.6,14266182
2021-10-08,730.0,771.0,717.3,758.6,14047311
2021-10-15,764.0,817.0,762.55,801.0,11036191
2021-10-22,818.0,818.0,761.85,787.6,10561016
2021-10-29,790.0,799.85,748.3,767.15,5356463
2021-11-05,767.05,794.0,767.05,781.35,2768599
2021-11-12,782.0,847.95,765.6,775.05,20742436
2021-11-19,775.5,825.0,768.25,778.75,12791546
2021-11-26,782.0,782.0,691.0,698.15,12428598
2021-12-03,690.0,719.0,678.85,703.75,9713028
2021-12-10,684.8,735.2,681.1,729.95,5868364
2021-12-17,736.0,745.8,696.2,701.05,3755633
2021-12-24,695.0,707.0,652.5,690.9,8193070
2021-12-31,681.3,706.0,677.45,697.85,4166533
2022-01-07,697.5,755.45,697.5,748.3,7579995
2022-01-14,749.1,784.0,735.65,781.1,7257760
2022-01-21,782.0,787.5,732.0,740.4,5031322
2022-01-28,735.0,748.95,703.45,728.9,4292405
2022-02-04,737.8,763.0,728.3,730.65,3420313
2022-02-11,731.3,767.15,711.3,732.35,11638630
2022-02-18,720.0,733.15,691.1,694.15,7073473
2022-02-25,693.0,711.95,650.5,671.8,11120652
2022-03-04,667.0,682.0,623.5,632.9,10411277
2022-03-11,618.0,654.7,595.0,632.35,11913496
2022-03-18,634.75,693.5,625.05,681.9,6472657
2022-03-25,684.0,700.85,666.0,690.3,5835479
2022-04-01,691.0,725.3,679.05,702.0,5413839
2022-04-08,709.6,753.85,702.8,746.1,6540973
2022-04-15,746.0,748.2,716.45,733.05,2437393
2022-04-22,721.5,752.0,713.95,724.05,6085974
2022-04-29,718.5,731.45,698.8,701.75,5772982
2022-05-06,687.6,695.15,651.6,658.5,4585088
2022-05-13,653.1,656.5,597.0,629.05,7867983
2022-05-20,624.2,700.0,624.2,674.2,9808645
2022-05-27,680.0,699.0,653.0,673.2,5199936
2022-06-03,679.0,723.7,657.25,659.0,9779801
2022-06-10,654.0,685.55,639.0,676.6,6631286
2022-06-17,665.0,669.85,625.9,634.1,7317699
2022-06-24,634.1,660.4,615.0,645.15,4580704
2022-07-01,656.95,661.35,635.0,645.8,7756865
2022-07-08,648.0,677.8,638.1,668.65,4902084
2022-07-15,666.0,671.6,630.0,642.5,6969682
2022-07-22,647.0,714.9,646.4,706.6,9494745
2022-07-29,704.95,742.5,693.65,733.0,7857435
2022-08-05,733.0,756.65,700.1,706.4,7698348
2022-08-12,709.0,798.0,703.5,790.2,16808129
2022-08-19,797.0,799.2,732.35,736.0,6978190
2022-08-26,733.0,741.7,718.1,732.8,4988002
2022-09-02,719.7,769.0,710.45,766.7,6250793
2022-09-09,776.5,792.5,749.4,787.65,10237017
2022-09-16,793.7,801.15,736.8,745.8,5655991
2022-09-23,749.55,785.85,734.1,747.1,6732420
2022-09-30,744.0,744.0,677.35,695.5,9346402
2022-10-07,697.4,773.0,683.0,767.35,10608510
2022-10-14,764.0,785.9,744.1,747.8,5716124
2022-10-21,747.5,798.0,742.1,778.2,8612660
2022-10-28,781.05,836.7,775.35,833.15,9133114
2022-11-04,839.95,871.9,825.55,854.9,9150418
2022-11-11,856.3,896.7,854.65,886.95,6200249
2022-11-18,889.0,891.9,827.0,836.7,8138440
2022-11-25,833.75,849.9,816.0,847.05,4939376
2022-12-02,847.05,866.15,839.0,854.95,5411144
2022-12-09,855.45,880.0,833.65,857.4,6447505
2022-12-16,869.5,919.45,852.75,882.15,10407475
2022-12-23,885.0,905.0,827.4,842.4,7824461
2022-12-30,843.8,886.4,833.25,879.85,4639620
2023-01-06,883.0,891.85,855.4,869.5,3978337
2023-01-13,875.0,890.4,860.0,873.45,3435273
2023-01-20,873.0,882.35,857.35,861.35,3603169
2023-01-27,866.0,884.0,839.6,855.15,3512945
2023-02-03,855.1,903.8,845.05,867.55,5380983
2023-02-10,876.0,885.0,858.55,883.0,3096362
2023-02-17,887.95,910.0,811.65,862.4,16659071
2023-02-24,865.85,874.3,818.9,828.95,6692489
2023-03-03,824.0,843.2,812.85,825.05,5719018
2023-03-10,828.9,845.0,814.3,820.9,2715881
2023-03-17,820.9,826.3,776.1,800.7,6054097
2023-03-24,805.0,807.0,761.0,764.8,3573439
2023-03-31,765.0,772.0,745.4,771.0,3151562
2023-04-07,780.75,784.6,747.05,762.4,4659546
2023-04-14,762.9,776.5,743.55,764.45,4777276
2023-04-21,768.75,793.8,759.55,782.75,4532114
2023-04-28,777.7,803.8,776.1,801.35,4090618
2023-05-05,803.3,808.45,748.4,760.25,8026172
2023-05-12,767.35,786.7,755.4,757.55,6498986
2023-05-19,758.9,784.0,752.85,757.3,5685865
2023-05-26,758.1,772.95,754.05,767.45,3915247
