date,open,high,low,close,volume
2020-01-17,459.0,503.8,454.25,500.05,110452484
2020-01-24,499.0,527.35,494.25,524.25,167245056
2020-01-31,521.15,524.1,480.1,496.45,95470535
2020-02-07,493.4,552.8,483.3,539.45,90811636
2020-02-14,540.2,567.55,531.75,565.0,62429032
2020-02-21,564.95,568.85,537.3,545.6,81782723
2020-02-28,542.0,542.05,513.5,523.5,65685933
2020-03-06,534.0,536.0,507.4,519.15,61421780
2020-03-13,510.0,512.0,420.0,491.85,74395408
2020-03-20,472.25,492.95,361.75,462.65,98844606
2020-03-27,416.4,493.45,399.5,448.95,79150631
2020-04-03,443.85,449.3,412.4,423.95,50390563
2020-04-10,433.15,492.3,433.15,488.7,40397826
2020-04-17,491.0,535.95,491.0,502.45,82969631
2020-04-24,507.7,517.05,479.15,494.25,69541889
2020-05-01,498.05,515.95,484.1,514.3,49418754
2020-05-08,502.45,553.7,499.9,530.05,118675630
2020-05-15,533.05,569.75,530.5,554.1,85621572
2020-05-22,556.9,612.0,535.2,593.2,160948996
2020-05-29,572.0,576.45,543.8,552.6,169485006
2020-06-05,559.0,590.0,549.25,584.35,177826368
2020-06-12,588.0,593.7,540.0,560.1,100664602
2020-06-19,556.0,578.2,537.0,572.5,113671273
2020-06-26,575.8,588.0,550.0,560.4,61564035
2020-07-03,558.9,583.45,551.2,581.45,73662005
2020-07-10,587.6,589.3,559.0,574.7,59484521
2020-07-17,574.5,596.8,553.3,566.75,91657734
2020-07-24,571.0,583.8,555.4,559.45,51543017
2020-07-31,558.2,580.45,543.05,554.85,92592481
2020-08-07,554.5,563.4,545.85,560.8,51352044
2020-08-14,564.3,565.0,524.25,528.6,84921282
2020-08-21,530.55,539.9,516.0,520.25,84883417
2020-08-28,517.9,535.65,508.0,523.45,118269851
2020-09-04,518.5,559.0,508.55,523.15,348922680
2020-09-11,525.0,528.0,488.55,491.65,117352912
2020-09-18,496.0,497.65,468.3,494.55,164345929
2020-09-25,496.0,496.0,416.15,439.65,195939231
2020-10-02,446.0,447.65,418.15,432.35,79426127
2020-10-09,432.35,437.5,419.1,425.2,73349421
2020-10-16,428.0,430.6,395.0,401.65,107158310
2020-10-23,403.55,437.6,394.0,434.4,111007472
2020-10-30,434.35,488.0,427.5,433.75,196222247
2020-11-06,435.0,461.9,435.0,449.9,75419897
2020-11-13,456.3,483.2,452.55,475.75,72637022
2020-11-20,490.9,494.95,465.35,483.7,52207187
2020-11-27,486.75,486.75,458.65,463.25,62883219
2020-12-04,467.75,497.8,460.5,493.75,89519330
2020-12-11,498.0,516.25,494.1,504.4,79988327
2020-12-18,507.0,522.5,498.1,510.65,74795606
