date,open,high,low,close,volume
2020-01-17,45.0,47.75,44.75,46.2,62585931
2020-01-24,46.3,46.55,43.05,45.0,95362054
2020-01-31,44.7,45.1,42.05,42.75,69141461
2020-02-07,42.7,43.55,38.8,39.8,107668464
2020-02-14,39.75,39.8,35.8,36.2,133585079
2020-02-21,36.2,36.4,33.4,35.1,90513226
2020-02-28,34.3,34.75,30.3,30.6,80897776
2020-03-06,31.1,31.7,28.95,29.55,98390232
2020-03-13,28.8,28.85,18.4,25.95,127180615
2020-03-20,24.35,25.75,21.8,23.45,146646625
2020-03-27,21.5,21.9,19.15,20.35,91316981
2020-04-03,20.25,21.2,19.65,20.65,63912177
2020-04-10,21.05,22.65,20.85,22.35,75303054
2020-04-17,23.15,23.35,21.15,21.85,133832109
2020-04-24,22.0,23.15,20.6,20.65,140736101
2020-05-01,20.95,22.9,20.4,22.45,107937560
2020-05-08,21.7,24.85,20.9,22.2,383094515
2020-05-15,22.55,29.25,21.4,27.3,716532860
2020-05-22,27.7,28.45,24.15,24.55,286682726
2020-05-29,25.0,28.45,24.35,28.0,283899567
2020-06-05,28.4,29.0,26.4,27.75,243538848
2020-06-12,28.55,32.4,27.55,31.4,498956062
2020-06-19,29.25,33.0,27.35,32.45,586742533
2020-06-26,32.95,39.8,32.25,36.9,633641295
2020-07-03,36.2,39.0,35.0,38.65,357351854
2020-07-10,39.05,44.4,38.8,41.4,521431849
2020-07-17,42.45,43.0,36.15,38.35,388043360
2020-07-24,38.75,39.05,36.6,36.9,126732313
2020-07-31,36.9,40.1,35.75,35.95,247488471
2020-08-07,36.15,37.45,34.75,35.25,160160641
2020-08-14,36.0,39.55,35.6,37.35,330408743
2020-08-21,37.9,41.95,36.7,40.65,299006356
2020-08-28,41.5,42.4,39.05,41.65,308759306
2020-09-04,42.05,42.45,37.35,38.7,297453985
2020-09-11,38.95,39.15,35.6,37.1,114524911
2020-09-18,36.2,37.45,34.5,34.65,138563922
2020-09-25,34.5,35.55,28.85,30.15,225938745
2020-10-02,30.85,32.35,29.2,29.6,180311291
2020-10-09,29.7,30.0,28.25,29.1,100604314
2020-10-16,29.4,29.4,26.75,27.2,69289536
2020-10-23,27.4,29.4,27.15,29.1,73282807
2020-10-30,29.3,30.4,27.35,28.0,138489058
2020-11-06,28.25,29.15,26.95,27.95,138421582
2020-11-13,27.65,29.25,27.4,27.95,168842265
2020-11-20,28.4,30.2,28.1,29.2,160847366
2020-11-27,29.6,33.45,29.25,32.85,376171133
2020-12-04,33.3,35.4,32.85,34.25,202825026
2020-12-11,34.4,37.6,34.1,35.95,292365560
2020-12-18,36.45,37.2,34.55,35.85,195026044
2020-12-25,35.5,35.7,30.6,33.8,177113212
2021-01-01,34.0,39.0,33.9,38.7,318753561
2021-01-08,39.3,40.85,38.25,39.35,395949367
2021-01-15,39.75,42.3,38.3,39.4,310777771
2021-01-22,39.4,41.25,37.1,37.65,222953154
2021-01-29,37.75,38.25,35.1,36.05,190948511
2021-02-05,36.5,44.15,35.4,43.55,513140340
2021-02-12,41.25,41.5,37.8,38.8,260674124
2021-02-19,39.05,44.05,38.4,40.4,378126280
2021-02-26,40.1,48.8,36.65,47.25,676713729
2021-03-05,48.7,56.1,47.6,52.45,666989974
2021-03-12,53.45,56.5,52.55,53.4,400081241
2021-03-19,56.0,56.2,49.15,52.0,501691919
2021-03-26,52.05,52.8,46.9,48.7,240294715
2021-04-02,49.2,51.2,48.3,51.1,123016667
2021-04-09,51.0,53.05,48.25,51.5,250555955
2021-04-16,50.0,50.0,44.3,46.2,215656847
2021-04-23,44.0,46.25,43.0,45.4,141561919
2021-04-30,45.8,49.4,45.55,48.3,211447373
2021-05-07,47.85,59.3,47.4,57.8,730863914
2021-05-14,58.7,76.6,58.2,68.0,1278830358
2021-05-21,69.05,77.7,66.85,72.2,605168280
2021-05-28,72.8,75.45,70.6,72.0,356357443
2021-06-04,72.05,75.25,70.7,73.9,316587951
2021-06-11,74.55,79.55,73.3,76.2,487907895
2021-06-18,69.4,72.0,60.6,64.25,564911879
2021-06-25,62.9,69.35,61.05,65.2,302387209
2021-07-02,65.5,67.2,64.3,65.85,246120114
2021-07-09,66.2,69.0,63.9,66.45,279587701
2021-07-16,67.1,68.3,64.8,66.25,154528693
2021-07-23,65.25,65.75,62.4,63.95,129495409
2021-07-30,63.9,64.0,58.8,59.4,201578582
2021-08-06,58.1,61.35,55.0,57.55,220106744
2021-08-13,57.65,57.9,52.9,55.6,147054893
2021-08-20,55.6,55.8,51.15,51.65,140737885
2021-08-27,52.0,54.7,49.95,54.2,172132596
2021-09-03,54.35,56.2,52.15,55.45,214075694
2021-09-10,55.85,56.8,54.0,55.65,111030578
2021-09-17,55.7,59.95,55.0,56.55,186419189
2021-09-24,55.85,59.15,53.05,56.25,162030798
2021-10-01,56.7,66.3,55.9,65.6,428989839
2021-10-08,65.95,68.0,62.7,65.45,240741248
2021-10-15,65.7,80.35,64.85,74.35,622361800
2021-10-22,74.9,77.45,67.95,69.3,340132726
2021-10-29,70.05,73.1,63.75,68.25,277400634
2021-11-05,68.8,73.8,68.7,71.65,135353839
2021-11-12,72.15,74.5,63.75,65.15,315578527
2021-11-19,65.15,65.5,61.85,62.3,81130180
2021-11-26,62.2,64.4,59.0,59.45,171684975
2021-12-03,59.4,61.85,56.8,60.45,157841589
2021-12-10,60.5,64.9,60.05,64.55,156313084
2021-12-17,65.4,66.05,59.7,60.15,177772685
2021-12-24,59.9,59.9,56.05,57.15,146101908
2021-12-31,57.0,59.45,56.3,58.95,112827060
2022-01-07,59.0,61.2,58.55,59.5,116913050
2022-01-14,59.8,64.55,59.7,63.7,163679024
2022-01-21,64.05,64.6,58.55,59.6,128807841
2022-01-28,59.8,61.75,56.3,57.75,172271430
2022-02-04,58.2,61.65,56.8,58.75,176245115
2022-02-11,58.75,59.2,55.2,56.3,119533719
2022-02-18,55.25,56.35,52.7,53.4,128240217
2022-02-25,53.0,53.4,44.0,48.15,237838107
2022-03-04,48.0,51.6,47.0,49.2,127003411
2022-03-11,48.2,52.3,47.5,51.9,129530647
2022-03-18,51.85,52.35,49.7,51.4,74990777
2022-03-25,51.65,53.1,50.1,51.65,111833716
2022-04-01,52.0,54.2,48.8,53.85,176098083
2022-04-08,54.3,58.65,53.5,56.55,175778281
2022-04-15,56.55,57.7,54.35,54.7,59851835
2022-04-22,54.45,55.9,52.65,53.95,102919613
2022-04-29,53.25,54.85,51.3,52.65,117576678
2022-05-06,52.2,55.45,50.5,51.05,129556936
2022-05-13,50.75,50.85,44.5,46.3,144856675
2022-05-20,47.0,53.5,46.05,53.1,148256032
2022-05-27,55.2,55.8,47.7,51.15,160491941
2022-06-03,51.8,52.7,50.45,50.6,79679846
2022-06-10,50.4,51.35,49.5,49.8,61351812
2022-06-17,49.0,49.2,44.6,44.85,79674889
2022-06-24,45.25,45.75,41.4,45.55,100755880
2022-07-01,46.1,46.65,44.4,45.65,59814222
2022-07-08,45.4,47.4,44.4,47.05,54262025
2022-07-15,46.75,49.7,46.6,49.55,85491846
2022-07-22,49.8,53.95,49.8,53.05,99904266
2022-07-29,53.0,54.75,51.55,53.85,91925419
2022-08-05,54.45,55.45,51.5,51.65,111113252
2022-08-12,51.7,53.5,51.35,52.9,55561203
2022-08-19,53.2,56.7,52.9,54.1,100981796
2022-08-26,54.1,59.2,51.75,57.85,203586081
2022-09-02,56.0,61.35,55.6,59.3,157579551
2022-09-09,59.3,65.1,59.3,64.2,204550546
2022-09-16,64.3,64.5,58.75,59.4,106061476
2022-09-23,59.55,61.0,57.65,58.0,79586154
2022-09-30,57.75,60.35,54.75,59.9,110746550
2022-10-07,60.3,64.2,59.9,63.9,103410504
2022-10-14,62.75,63.7,60.05,61.55,86251329
2022-10-21,61.5,70.15,60.35,65.3,285860096
2022-10-28,66.6,74.75,65.8,73.45,265267445
2022-11-04,73.75,77.45,72.95,76.05,186365995
2022-11-11,76.6,77.2,73.9,74.5,103254147
2022-11-18,69.3,73.15,69.05,70.75,125880335
2022-11-25,70.65,82.25,70.6,81.95,237506802
2022-12-02,83.0,91.25,80.65,90.55,327366145
2022-12-09,91.35,91.55,84.4,85.5,174181336
2022-12-16,85.85,87.4,80.25,80.8,83742435
2022-12-23,81.25,87.05,73.5,73.95,170446403
2022-12-30,74.0,80.35,73.1,79.2,106554107
2023-01-06,79.55,83.5,77.6,81.75,110590122
2023-01-13,82.35,82.75,78.3,80.7,65722256
2023-01-20,80.95,83.35,78.5,80.8,76503005
2023-01-27,81.1,81.45,71.65,73.25,58688270
2023-02-03,73.15,79.7,72.7,74.95,102703498
2023-02-10,74.9,76.8,74.05,75.4,59048731
2023-02-17,75.9,76.5,69.45,72.4,99279164
2023-02-24,72.25,72.55,68.0,68.4,52871717
2023-03-03,68.35,75.75,66.3,74.7,93243529
2023-03-10,75.5,79.95,74.2,77.0,72772469
2023-03-17,77.05,77.6,73.25,76.3,53477819
2023-03-24,76.25,76.45,71.4,71.8,43104660
2023-03-31,72.1,72.4,69.6,70.25,56643514
2023-04-07,71.0,71.45,67.6,70.6,89610818
2023-04-14,70.9,74.2,70.8,71.8,75122382
2023-04-21,71.8,76.95,71.0,75.25,86575538
2023-04-28,75.25,78.65,75.0,78.4,64727767
2023-05-05,78.4,87.95,78.15,80.75,214177103
2023-05-12,81.4,82.4,78.2,80.95,93847879
2023-05-19,80.95,83.6,79.5,80.05,77238367
2023-05-26,80.35,82.2,78.4,78.95,87455751
2023-06-02,79.1,83.9,77.25,83.2,135732004
2023-06-09,83.5,86.6,82.2,85.8,121312743
2023-06-16,86.2,87.35,83.35,87.0,88780327
2023-06-23,87.9,90.15,83.35,84.7,111452964
2023-06-30,85.1,88.45,83.35,87.6,61044777
2023-07-07,87.65,95.3,86.65,91.65,206187993
2023-07-14,91.75,96.45,90.15,92.2,107702682
2023-07-21,92.5,97.25,92.05,95.1,120353138
2023-07-28,95.0,103.9,94.85,103.2,147346578
2023-08-04,103.6,107.1,98.65,99.0,122083201
2023-08-11,95.45,103.95,94.8,102.9,128253200
2023-08-18,103.0,103.0,97.75,97.9,53684536
2023-08-25,98.65,113.05,97.5,105.2,241206060
2023-09-01,106.8,137.1,106.05,136.15,446173394
2023-09-08,137.25,146.4,134.5,145.3,268772556
2023-09-15,146.4,148.9,121.6,127.6,323978695
2023-09-22,128.45,129.7,122.15,124.4,87907197
2023-09-29,124.85,131.7,122.85,131.0,166905301
2023-10-06,131.0,132.4,125.7,128.9,68930710
2023-10-13,127.05,133.75,124.35,128.35,91699812
2023-10-20,128.1,133.7,124.55,125.2,99634004
2023-10-27,125.2,125.75,113.5,117.65,72237472
2023-11-03,118.2,132.45,117.7,128.6,94353386
2023-11-10,129.4,131.2,121.95,129.05,97582336
2023-11-17,129.5,143.2,128.45,141.85,162301624
2023-11-24,142.6,155.4,136.2,152.25,185769816
2023-12-01,152.5,176.5,151.5,170.5,278408229
2023-12-08,175.1,184.4,170.8,176.7,176665757
2023-12-15,177.45,186.2,176.25,181.55,105003476
2023-12-22,181.55,190.45,165.8,178.3,135308773
2023-12-29,179.5,199.7,178.65,193.55,192058364
2024-01-05,199.0,204.9,191.85,195.8,262236682
2024-01-12,195.9,201.95,192.0,196.45,125380760
2024-01-19,204.5,223.0,196.3,222.25,313104403
