date,open,high,low,close,volume
2020-01-17,471.0,478.75,452.0,453.9,21007610
2020-01-24,454.95,473.2,451.6,466.1,23271809
2020-01-31,466.5,486.9,456.05,456.95,31548054
2020-02-07,456.5,510.0,437.3,491.4,52683364
2020-02-14,492.0,495.55,468.0,476.45,27733741
2020-02-21,478.45,481.0,456.0,471.75,20252765
2020-02-28,471.0,475.7,420.5,426.35,31147686
2020-03-06,432.0,441.85,398.0,403.1,34855614
2020-03-13,413.9,454.4,275.45,376.05,97553877
2020-03-20,350.0,387.25,285.4,317.85,60605992
2020-03-27,285.0,304.0,252.0,278.75,38967957
2020-04-03,269.0,329.7,269.0,317.15,50298468
2020-04-10,327.0,364.2,319.5,344.9,27697953
2020-04-17,345.0,370.35,336.2,360.1,21590291
2020-04-24,362.15,372.9,337.15,350.45,26105658
2020-05-01,353.2,374.85,352.3,370.0,29884334
2020-05-08,362.0,364.2,312.35,324.75,58164963
2020-05-15,326.0,330.35,307.25,318.2,45336477
2020-05-22,320.55,324.0,291.8,315.2,40888247
2020-05-29,315.0,347.15,312.05,342.8,37810033
2020-06-05,344.3,372.5,337.3,369.6,53991374
2020-06-12,379.6,402.05,355.25,373.9,48407748
2020-06-19,373.9,384.5,356.5,380.55,30070201
2020-06-26,383.0,396.95,367.3,393.65,37514786
2020-07-03,392.9,395.6,372.2,385.4,25778273
2020-07-10,388.0,396.75,370.35,376.35,22848002
2020-07-17,378.0,447.4,360.3,443.8,81935050
2020-07-24,441.0,481.0,435.1,448.4,123806507
2020-07-31,454.0,473.7,410.9,413.8,80903012
2020-08-07,414.0,428.25,391.0,419.75,72570856
2020-08-14,421.0,434.1,408.65,413.25,50134444
2020-08-21,418.8,419.85,397.65,410.1,68607974
2020-08-28,413.4,422.0,408.35,415.05,41027538
2020-09-04,417.5,426.4,400.5,403.35,39436856
2020-09-11,411.0,436.0,396.2,428.75,71687906
2020-09-18,425.9,429.5,409.6,412.05,35770803
2020-09-25,413.5,415.7,365.3,375.75,37504188
2020-10-02,377.0,394.5,347.5,353.3,75707118
2020-10-09,353.3,360.4,337.6,345.0,46772389
2020-10-16,347.0,349.8,325.0,339.95,37030702
2020-10-23,344.0,363.05,341.05,351.55,83932299
2020-10-30,351.55,359.45,338.2,354.45,37499640
2020-11-06,353.8,370.05,344.2,362.45,34527068
2020-11-13,368.25,400.4,365.5,394.0,47409975
2020-11-20,415.0,415.0,377.35,383.3,69290891
2020-11-27,386.0,399.5,371.0,373.0,46032430
2020-12-04,374.9,398.8,371.0,392.3,40641410
2020-12-11,392.15,407.4,387.1,397.4,46215363
2020-12-18,401.5,409.25,389.25,393.85,39710934
2020-12-25,393.0,393.0,357.0,377.55,34859495
2021-01-01,380.0,385.6,377.65,381.95,19158510
2021-01-08,384.9,406.0,382.55,400.15,39770666
2021-01-15,404.0,430.0,395.35,414.6,57742891
2021-01-22,414.0,423.0,394.95,396.05,35329715
2021-01-29,400.0,402.85,376.25,383.6,28468444
2021-02-05,388.0,422.5,380.6,415.05,42760323
2021-02-12,420.0,438.05,409.05,418.1,49652997
2021-02-19,422.8,444.8,401.55,430.0,64679321
2021-02-26,429.3,467.8,418.0,449.85,67088459
2021-03-05,456.0,482.4,450.1,461.8,56684291
2021-03-12,462.0,472.95,437.35,457.55,243574477
2021-03-19,464.45,465.6,419.2,432.95,87573728
2021-03-26,438.25,442.2,415.1,424.2,47390026
2021-04-02,428.9,439.95,421.5,438.0,18146614
2021-04-09,434.1,437.0,421.1,425.6,21480395
2021-04-16,417.95,422.95,402.0,413.8,28568209
2021-04-23,405.0,424.95,400.0,423.05,40764535
2021-04-30,426.0,437.5,414.65,421.8,45217293
2021-05-07,419.0,447.0,415.4,443.15,43340543
2021-05-14,449.0,468.0,439.1,442.25,33033791
2021-05-21,445.0,468.0,438.1,461.05,37450881
2021-05-28,466.95,488.0,460.6,472.4,101124784
2021-06-04,473.45,482.8,468.3,478.25,32460622
2021-06-11,480.8,493.9,476.25,483.6,30745199
2021-06-18,483.95,487.25,466.75,472.35,19451515
2021-06-25,471.7,478.75,465.1,470.05,15098225
2021-07-02,471.0,472.0,461.05,462.75,13341659
2021-07-09,464.95,467.5,452.45,456.9,19192620
2021-07-16,457.6,459.3,445.05,448.0,16514272
2021-07-23,446.0,465.8,445.2,461.35,21439374
2021-07-30,461.9,462.55,444.9,445.5,16851457
2021-08-06,448.05,465.0,446.5,455.6,19115801
2021-08-13,457.5,459.0,440.55,454.9,24544131
2021-08-20,458.5,469.75,453.0,455.2,26194994
2021-08-27,458.7,473.7,448.1,471.3,26131453
2021-09-03,474.9,494.0,468.35,491.3,31103006
2021-09-10,495.95,496.5,481.0,491.15,25047242
2021-09-17,494.0,503.0,432.1,436.25,63579667
2021-09-24,431.05,433.65,412.05,414.8,35895883
2021-10-01,418.45,440.4,416.55,433.05,28861117
2021-10-08,434.0,452.0,433.5,449.45,27357497
2021-10-15,450.0,462.2,449.5,459.3,22362019
2021-10-22,470.0,470.0,436.35,447.25,30141015
