date,open,high,low,close,volume
2020-01-17,71.1,75.2,70.8,72.55,2960090
2020-01-24,72.6,75.7,70.1,72.95,3174662
2020-01-31,72.3,84.65,69.1,79.35,10517413
2020-02-07,82.2,95.9,78.45,90.9,26943492
2020-02-14,91.05,97.5,88.1,95.15,8931489
2020-02-21,95.7,102.9,90.8,98.6,7055533
2020-02-28,99.7,105.8,87.15,89.7,10659144
2020-03-06,91.0,99.75,86.0,93.75,7894395
2020-03-13,89.75,91.65,60.0,75.15,5070733
2020-03-20,70.0,73.7,49.9,57.55,3551980
2020-03-27,51.8,64.8,46.7,59.55,1608651
2020-04-03,58.0,63.45,55.0,58.65,1933636
2020-04-10,61.0,70.6,60.0,67.55,2039494
2020-04-17,68.9,71.0,65.0,69.45,2427080
2020-04-24,70.3,72.5,62.85,71.5,2855747
2020-05-01,72.8,78.0,70.1,72.85,3156988
2020-05-08,70.5,73.65,67.0,71.75,3049366
2020-05-15,71.85,73.0,68.55,70.25,1340964
2020-05-22,70.05,80.4,62.55,70.9,11094429
2020-05-29,72.5,80.5,71.1,74.5,8733143
2020-06-05,75.2,84.4,74.25,81.65,9825833
2020-06-12,82.85,88.1,77.35,80.45,7036384
2020-06-19,79.95,83.7,78.4,81.7,4299156
2020-06-26,82.4,96.7,81.65,92.1,9511136
2020-07-03,91.4,92.95,87.3,89.9,4273424
2020-07-10,90.7,104.7,89.55,97.6,11228213
2020-07-17,97.6,112.7,97.6,108.6,19402610
2020-07-24,109.3,109.6,101.5,104.45,5561641
2020-07-31,107.95,122.2,104.7,120.3,23487890
2020-08-07,120.25,149.5,117.75,142.85,37142821
2020-08-14,143.7,157.4,140.65,151.95,13430904
2020-08-21,154.0,187.7,148.75,173.2,39911475
2020-08-28,173.0,182.95,169.4,172.8,10789026
2020-09-04,175.1,175.4,154.1,167.9,7010580
2020-09-11,167.8,176.2,161.1,166.2,8990804
2020-09-18,170.15,206.5,165.55,195.7,24026643
2020-09-25,195.9,203.5,172.0,190.85,13148357
2020-10-02,194.75,201.8,192.1,194.55,5043974
2020-10-09,196.9,210.4,193.1,198.4,11211922
2020-10-16,198.6,205.7,172.2,190.75,8759988
2020-10-23,191.15,200.45,186.05,193.25,3452849
2020-10-30,191.0,194.4,173.0,178.75,4231571
2020-11-06,180.4,188.0,173.15,180.8,3472470
2020-11-13,184.0,186.0,175.1,181.35,3607758
2020-11-20,183.0,189.7,177.2,182.8,2778746
2020-11-27,184.2,200.0,183.0,197.6,6300088
2020-12-04,198.5,199.95,185.0,188.25,3013097
2020-12-11,189.95,208.7,188.5,200.6,11493401
2020-12-18,201.9,217.95,194.15,207.15,10470562
2020-12-25,214.2,276.0,195.05,254.7,34922689
2021-01-01,256.9,260.0,246.0,249.2,6012943
2021-01-08,251.0,274.95,247.0,264.5,9013754
2021-01-15,267.9,282.0,252.0,257.6,6384245
2021-01-22,257.55,264.0,236.0,248.8,3807572
2021-01-29,250.0,261.8,239.0,250.2,2425833
2021-02-05,247.45,277.0,242.9,271.4,7831303
2021-02-12,283.0,285.0,241.05,244.35,6178892
2021-02-19,247.0,248.55,236.05,238.25,3849481
2021-02-26,239.0,239.95,225.3,226.3,4412026
2021-03-05,229.0,246.9,223.0,233.75,3742439
2021-03-12,234.1,251.15,224.2,244.4,5658940
2021-03-19,245.65,259.9,225.65,245.0,8985553
2021-03-26,243.0,261.85,240.45,252.85,7360329
2021-04-02,254.9,268.5,248.95,262.8,5690900
2021-04-09,262.65,278.8,256.5,271.75,10868760
2021-04-16,268.35,268.35,248.5,252.85,3064572
2021-04-23,247.0,257.4,241.0,254.95,2111851
2021-04-30,257.8,261.5,244.0,245.7,2590975
2021-05-07,245.0,257.0,240.3,252.4,4315285
2021-05-14,253.65,259.7,248.15,256.15,2947892
2021-05-21,258.0,277.0,215.9,267.1,7741109
2021-05-28,280.0,342.0,280.0,321.0,30242578
2021-06-04,323.35,339.3,305.25,333.3,8379107
2021-06-11,336.35,421.35,336.0,402.4,31482207
2021-06-18,405.9,414.4,375.0,394.0,13059118
2021-06-25,385.0,396.9,380.5,382.6,8823035
2021-07-02,383.9,408.0,379.65,397.4,8632055
2021-07-09,398.05,399.5,381.3,387.95,5979752
2021-07-16,390.0,434.85,384.0,420.05,24887918
2021-07-23,413.85,420.4,387.0,398.0,12086627
2021-07-30,400.8,415.0,395.0,401.65,15535013
2021-08-06,405.0,407.0,389.8,402.35,7231557
2021-08-13,403.9,436.65,394.6,421.7,19398899
2021-08-20,421.0,441.3,412.0,414.7,8905706
2021-08-27,417.7,421.85,398.0,407.0,6391294
2021-09-03,410.0,426.7,406.0,414.7,8706137
2021-09-10,417.2,418.5,398.45,403.65,5126600
2021-09-17,405.6,438.0,403.0,420.45,11290404
2021-09-24,412.55,457.8,403.0,444.8,13847648
2021-10-01,447.0,447.2,395.2,397.25,8615080
2021-10-08,401.0,441.0,401.0,435.4,8908662
2021-10-15,435.4,436.0,416.1,430.2,5285389
2021-10-22,433.45,445.8,404.0,414.65,8003120
2021-10-29,415.0,424.55,393.2,406.45,10616031
2021-11-05,409.75,416.7,401.5,408.75,3313210
2021-11-12,410.0,443.45,405.0,425.65,11079166
2021-11-19,428.35,501.7,418.5,469.25,42527843
2021-11-26,473.0,513.95,441.1,471.3,41309091
2021-12-03,465.2,498.75,447.0,482.95,18417726
2021-12-10,485.0,490.5,464.45,479.0,9760418
2021-12-17,482.35,521.9,481.35,497.85,32007838
2021-12-24,488.0,538.4,457.75,530.55,37124832
2021-12-31,529.0,549.35,521.2,544.7,19141161
2022-01-07,547.6,582.4,537.2,577.3,22910962
2022-01-14,579.8,585.85,553.0,557.0,13099696
2022-01-21,557.0,562.95,482.1,487.25,17086683
2022-01-28,478.55,483.0,431.0,445.1,20645080
2022-02-04,457.3,486.9,451.35,467.4,15574408
2022-02-11,469.6,473.0,440.45,453.0,9777451
2022-02-18,430.0,459.0,418.55,426.7,10896604
2022-02-25,424.95,425.05,380.0,403.55,15232022
2022-03-04,397.1,445.5,390.45,437.95,13897361
2022-03-11,430.0,470.0,424.65,453.25,13176805
2022-03-18,450.5,458.85,433.2,443.95,6622674
2022-03-25,448.95,486.0,441.5,465.9,18153628
2022-04-01,466.9,468.8,449.45,466.6,9183287
2022-04-08,471.0,498.0,467.0,489.6,17424403
2022-04-15,490.0,501.6,425.15,452.4,23155469
2022-04-22,445.0,445.0,414.0,419.8,17899815
2022-04-29,419.0,430.55,405.1,413.9,9394884
2022-05-06,405.65,419.1,388.15,394.85,8239215
2022-05-13,390.0,391.75,348.05,357.95,13149344
2022-05-20,364.0,401.0,355.25,383.5,9495344
2022-05-27,385.5,387.65,338.25,362.65,14380026
2022-06-03,368.7,390.5,363.6,381.45,10362705
2022-06-10,381.4,381.4,356.0,357.3,6188705
2022-06-17,349.0,364.0,329.0,330.45,9823668
2022-06-24,334.0,363.55,316.45,361.65,10376848
2022-07-01,365.9,378.0,343.55,349.45,11184133
2022-07-08,354.9,357.55,337.25,343.65,10159992
2022-07-15,342.0,346.8,306.8,309.6,19906908
2022-07-22,312.35,343.5,311.05,333.5,13172339
2022-07-29,333.0,340.75,316.0,336.0,10651078
2022-08-05,339.1,354.95,333.5,345.95,15989661
2022-08-12,348.0,352.95,333.75,340.55,8700719
2022-08-19,341.2,344.15,327.6,331.5,9575340
2022-08-26,328.65,329.45,314.2,321.65,9223927
2022-09-02,311.2,325.6,306.15,320.95,6590776
2022-09-09,317.0,331.35,317.0,328.75,14346659
2022-09-16,332.0,342.0,306.0,308.1,14180741
2022-09-23,311.2,311.4,297.25,299.15,10693542
2022-09-30,298.45,298.45,277.85,282.45,9597373
2022-10-07,283.0,298.4,277.15,293.65,7030519
2022-10-14,289.0,294.15,276.5,282.8,11958469
2022-10-21,282.2,288.1,268.95,280.4,9834100
2022-10-28,284.0,284.0,262.2,263.05,7521919
2022-11-04,265.7,280.65,265.3,274.1,8942287
2022-11-11,260.55,286.8,260.55,282.05,10998925
2022-11-18,283.0,287.8,274.0,285.95,10383313
2022-11-25,285.5,296.25,273.0,293.9,13435673
2022-12-02,294.8,333.0,293.7,331.55,30625839
2022-12-09,333.2,334.7,306.65,309.35,14534342
2022-12-16,308.95,314.9,297.75,302.55,11514157
2022-12-23,302.0,307.7,278.0,279.95,9617436
2022-12-30,280.0,305.45,277.75,298.75,9654388
2023-01-06,300.0,300.7,282.75,283.65,9596544
2023-01-13,287.4,297.95,287.3,293.7,9558950
2023-01-20,295.2,301.75,290.4,291.7,5836274
2023-01-27,294.15,312.6,287.55,290.9,11281333
2023-02-03,291.05,305.75,250.25,267.8,25585085
2023-02-10,268.85,293.2,266.35,292.45,12103793
2023-02-17,290.5,299.5,283.1,291.2,10199331
2023-02-24,290.0,296.3,279.45,282.95,5885635
2023-03-03,282.4,284.9,272.35,280.5,5833204
2023-03-10,282.05,294.0,274.2,279.3,6716327
2023-03-17,279.0,283.5,263.8,276.55,6756948
2023-03-24,275.0,275.8,263.05,264.7,7194954
2023-03-31,266.1,266.5,250.5,260.7,5579576
2023-04-07,264.5,268.7,260.6,266.0,3641489
2023-04-14,266.0,270.75,262.15,263.1,3411250
2023-04-21,257.5,264.65,251.9,257.0,6679368
2023-04-28,257.0,277.95,255.45,272.95,8622623
2023-05-05,274.5,288.65,273.05,281.65,8454718
2023-05-12,284.25,313.6,280.6,307.5,31061856
2023-05-19,308.7,337.35,304.0,334.65,37379279
2023-05-26,334.65,345.9,325.0,339.5,16079751
2023-06-02,342.85,355.45,334.0,347.8,14855504
2023-06-09,351.3,354.0,327.1,328.5,10278823
2023-06-16,328.5,345.85,328.5,338.6,10204593
2023-06-23,340.0,349.85,333.15,341.0,11754493
2023-06-30,342.65,363.25,335.05,358.0,14496031
2023-07-07,360.95,363.75,349.5,354.2,8451768
2023-07-14,355.45,381.0,344.1,381.0,18773102
2023-07-21,383.25,397.85,377.2,386.0,19778391
2023-07-28,385.5,424.7,375.1,415.0,28056642
2023-08-04,417.0,442.8,416.5,438.5,14824234
2023-08-11,440.0,455.35,437.1,445.0,9192096
2023-08-18,444.85,471.3,438.7,453.35,12160003
2023-08-25,455.0,487.6,452.55,483.0,10296165
2023-09-01,485.4,530.9,478.35,528.35,12477790
2023-09-08,529.95,535.55,509.75,518.5,11517801
2023-09-15,520.7,520.75,489.0,504.0,13298591
2023-09-22,501.0,501.65,478.7,488.05,7812542
2023-09-29,489.8,496.4,472.4,483.35,7123297
2023-10-06,482.0,520.5,480.0,512.7,14609553
2023-10-13,507.0,548.85,506.1,543.5,18148191
2023-10-20,541.5,560.0,539.25,548.05,9852193
2023-10-27,546.9,548.25,509.55,542.4,6457452
2023-11-03,544.0,593.0,536.55,587.75,21510733
2023-11-10,593.9,600.0,579.55,583.4,9117744
2023-11-17,586.0,625.0,581.65,622.6,9621739
2023-11-24,621.0,638.0,611.5,613.85,7186062
2023-12-01,618.0,642.4,600.1,634.7,8647693
2023-12-08,645.0,667.0,624.05,657.75,9201023
2023-12-15,660.75,731.05,657.25,719.6,14474980
2023-12-22,718.9,746.0,692.95,741.2,14268816
2023-12-29,742.4,746.0,715.2,721.05,5795416
2024-01-05,719.0,722.7,670.4,714.35,15264842
2024-01-12,720.0,789.9,708.0,786.7,17119120
2024-01-19,798.0,808.0,760.45,799.15,11674372
