date,open,high,low,close,volume
2020-01-17,387.75,391.0,368.0,388.75,1729233
2020-01-24,393.0,505.0,387.05,472.65,22420932
2020-01-31,471.0,495.8,462.6,484.05,2523291
2020-02-07,483.0,512.95,461.65,487.65,3882493
2020-02-14,487.0,519.0,477.0,510.15,4370677
2020-02-21,513.3,517.95,503.0,509.5,1639313
2020-02-28,509.7,517.4,490.1,500.05,1910062
2020-03-06,486.0,502.0,440.05,464.45,1367394
2020-03-13,455.0,459.65,320.1,397.1,2067549
2020-03-20,366.55,379.9,266.0,335.7,2486644
2020-03-27,300.0,348.9,264.1,305.3,2039790
2020-04-03,284.1,301.0,253.3,263.2,1113653
2020-04-10,269.25,302.0,258.05,284.3,1684643
2020-04-17,288.95,312.0,264.05,307.85,3452802
2020-04-24,312.5,320.7,285.0,292.2,2834549
2020-05-01,299.0,325.8,286.4,320.1,2851150
2020-05-08,304.0,314.9,286.1,299.7,1607496
2020-05-15,308.0,321.7,292.95,295.7,2358471
2020-05-22,295.7,296.95,267.35,274.05,1399783
2020-05-29,275.2,290.0,268.4,277.25,1329816
2020-06-05,280.0,325.8,279.95,313.5,3129217
2020-06-12,316.4,329.6,297.6,311.2,1976352
2020-06-19,312.0,365.65,300.55,360.05,8385888
2020-06-26,365.0,375.0,351.4,354.4,2435083
2020-07-03,350.0,366.8,331.15,353.35,2627753
2020-07-10,354.05,378.0,353.35,360.65,2770984
2020-07-17,362.25,368.1,348.0,357.95,1347043
2020-07-24,362.8,407.45,356.45,395.8,3648908
2020-07-31,390.05,398.9,358.1,365.4,1468126
2020-08-07,365.0,384.9,361.6,372.7,1746049
2020-08-14,372.8,394.9,365.0,373.0,4033503
2020-08-21,376.5,379.45,366.0,371.15,1646875
2020-08-28,372.5,419.9,369.3,387.2,8328148
2020-09-04,395.0,395.45,361.35,375.25,1831594
2020-09-11,375.0,392.9,364.1,391.45,1762459
2020-09-18,402.0,459.5,400.8,420.5,7019244
2020-09-25,420.5,425.65,390.25,409.2,1825382
2020-10-02,414.0,432.0,411.05,416.45,4326371
2020-10-09,413.0,478.7,411.9,463.7,4755101
2020-10-16,464.7,479.7,438.0,468.35,2468994
2020-10-23,468.05,484.35,450.1,458.3,2018468
2020-10-30,460.6,471.0,435.15,457.25,1041367
2020-11-06,457.2,474.8,448.5,471.95,1004249
2020-11-13,471.95,488.2,465.0,473.5,1701772
2020-11-20,477.85,485.6,457.1,464.0,1608104
2020-11-27,470.0,485.0,464.4,481.95,1738413
2020-12-04,485.0,495.0,476.2,484.5,1269647
2020-12-11,483.0,502.65,465.8,489.2,1672827
