date,open,high,low,close,volume
2020-01-17,158.0,176.65,155.45,175.2,4864361
2020-01-24,174.95,175.05,164.2,170.25,1929835
2020-01-31,173.35,185.0,171.35,180.95,5008804
2020-02-07,182.6,184.8,162.0,163.45,4846330
2020-02-14,163.0,167.35,157.05,162.9,1516904
2020-02-21,163.0,165.95,151.25,151.8,1254465
2020-02-28,151.0,157.25,139.0,140.9,1882340
2020-03-06,143.0,146.8,128.3,130.0,1389898
2020-03-13,128.4,139.35,110.1,128.55,2811917
2020-03-20,118.85,127.0,101.95,107.8,2255994
2020-03-27,93.8,121.2,93.8,110.45,2176741
2020-04-03,108.2,112.5,102.8,104.65,1698170
2020-04-10,106.0,129.8,106.0,119.75,3747869
2020-04-17,119.9,139.9,116.75,129.35,5054439
2020-04-24,130.4,135.6,124.4,128.6,6001294
2020-05-01,130.2,132.8,127.5,129.5,4068266
2020-05-08,126.5,134.95,125.0,125.75,3785626
2020-05-15,127.25,144.4,124.55,135.95,8765172
2020-05-22,135.75,145.0,127.2,139.2,5308874
2020-05-29,139.2,139.2,128.1,129.8,4121028
2020-06-05,136.0,141.9,133.65,138.0,8117686
2020-06-12,139.75,140.4,133.7,135.7,4730794
2020-06-19,136.0,153.0,135.1,147.45,19063138
2020-06-26,147.55,151.0,142.0,144.35,4378362
2020-07-03,145.8,151.7,141.0,146.6,4815916
2020-07-10,149.2,156.9,149.2,154.65,7789921
2020-07-17,156.2,157.2,148.15,153.0,3112446
2020-07-24,152.45,162.5,152.4,157.2,6189044
2020-07-31,158.1,172.95,155.25,158.25,11703230
2020-08-07,159.7,159.8,154.25,155.5,3646757
2020-08-14,156.6,162.0,151.5,153.05,8772720
2020-08-21,153.95,154.9,149.4,152.25,3905458
2020-08-28,153.45,160.75,152.1,153.55,7655013
2020-09-04,155.05,155.7,145.1,145.75,3760137
2020-09-11,146.05,146.5,133.25,142.65,5239123
2020-09-18,145.0,157.95,144.75,156.75,8761133
2020-09-25,156.75,157.0,145.0,150.9,3247447
2020-10-02,154.0,161.9,151.4,161.05,3008963
2020-10-09,160.0,168.85,159.5,167.25,3881180
2020-10-16,167.0,169.5,157.65,159.55,2956806
2020-10-23,161.15,174.45,159.75,168.3,3596243
2020-10-30,169.0,170.0,161.25,162.6,2164188
2020-11-06,163.0,171.8,156.05,164.7,3785374
2020-11-13,166.5,182.4,163.6,181.4,6907979
2020-11-20,185.3,189.6,177.45,185.9,2678351
2020-11-27,188.15,205.0,183.05,203.85,5959471
2020-12-04,206.65,207.75,194.0,197.85,4171463
2020-12-11,200.85,239.0,198.5,234.65,13982319
2020-12-18,238.0,242.8,220.9,224.1,7804989
2020-12-25,223.1,233.4,212.5,230.2,4156878
2021-01-01,232.0,239.5,225.2,227.75,4296883
2021-01-08,227.75,247.9,226.55,240.0,5017643
2021-01-15,241.9,242.4,226.9,229.5,2821980
2021-01-22,229.05,248.0,220.5,241.55,4709453
2021-01-29,243.4,243.75,226.15,237.75,3311993
2021-02-05,239.9,267.0,232.35,247.0,8432793
2021-02-12,249.4,249.5,230.15,241.9,8895991
2021-02-19,243.1,245.1,229.0,234.85,3386248
2021-02-26,237.0,249.8,200.35,244.0,5922796
2021-03-05,246.25,264.5,233.0,238.4,7376566
2021-03-12,235.0,240.7,231.3,234.9,4082241
2021-03-19,234.8,241.65,207.0,215.3,5723590
2021-03-26,217.3,231.2,217.1,227.1,2683404
2021-04-02,230.0,233.55,221.0,229.15,1295856
2021-04-09,228.2,234.9,220.0,232.25,4153870
2021-04-16,229.6,239.4,221.35,226.65,3826087
2021-04-23,223.9,223.95,209.8,211.65,1587072
2021-04-30,213.7,228.0,210.9,217.35,3036647
2021-05-07,215.4,226.7,212.4,219.05,3318913
2021-05-14,223.0,281.1,220.3,270.45,31678531
2021-05-21,275.0,310.45,270.35,286.2,12825597
2021-05-28,287.0,304.9,275.0,285.8,5763361
2021-06-04,286.4,292.15,279.05,289.45,3843130
2021-06-11,290.0,299.95,281.85,288.0,8000490
2021-06-18,289.0,321.0,283.0,311.0,25224015
2021-06-25,308.0,315.8,292.05,294.1,6280724
2021-07-02,296.8,314.0,293.25,294.9,7306559
2021-07-09,297.0,304.9,293.0,300.15,4772143
2021-07-16,303.0,312.3,299.1,300.7,4986311
2021-07-23,299.8,309.5,299.0,304.0,3304195
2021-07-30,305.15,321.95,296.3,304.95,13551880
2021-08-06,308.7,335.0,307.1,319.45,14074833
2021-08-13,321.4,336.35,312.5,331.7,9765381
2021-08-20,331.65,348.9,319.25,337.45,6616159
2021-08-27,332.95,336.85,310.4,322.55,4142431
2021-09-03,324.95,328.85,315.0,315.95,2667521
2021-09-10,317.75,319.5,305.0,305.85,2181762
2021-09-17,305.8,327.45,305.5,312.6,4360980
2021-09-24,311.5,358.7,302.15,341.15,11445920
2021-10-01,341.8,348.95,324.0,339.85,6192735
2021-10-08,341.0,451.0,333.35,434.45,18785889
2021-10-15,425.0,427.65,378.75,383.35,6288138
2021-10-22,386.95,391.0,326.6,330.85,6038841
2021-10-29,331.1,372.5,315.2,369.7,7521980
