date,open,high,low,close,volume
2020-01-17,316.05,334.9,312.8,325.25,7220986
2020-01-24,327.25,329.0,308.95,323.8,14322564
2020-01-31,323.05,336.8,323.05,327.55,18514305
2020-02-07,325.0,349.0,315.0,339.95,18535454
2020-02-14,339.95,341.75,330.6,332.75,4577136
2020-02-21,334.35,334.75,322.0,332.0,3941973
2020-02-28,332.0,332.0,300.55,306.5,7082595
2020-03-06,309.0,317.0,267.0,280.55,13951390
2020-03-13,275.75,279.55,210.35,245.35,20411598
2020-03-20,235.0,246.95,170.95,193.25,18551024
2020-03-27,175.0,184.0,123.6,169.15,22661075
2020-04-03,167.0,167.05,122.5,124.65,15893539
2020-04-10,136.9,177.8,117.4,171.75,26733895
2020-04-17,170.0,180.8,145.0,176.6,34123356
2020-04-24,180.0,183.7,132.05,132.9,52747026
2020-05-01,136.45,170.6,133.0,159.45,54410024
2020-05-08,150.0,155.95,138.55,144.1,74349103
2020-05-15,146.95,165.95,141.5,149.35,70799303
2020-05-22,149.0,149.0,121.2,123.2,75287290
2020-05-29,126.55,143.2,120.1,141.7,67024669
2020-06-05,145.0,164.0,140.3,145.4,87358567
2020-06-12,150.0,165.0,139.0,160.05,103012766
2020-06-19,160.05,204.7,151.2,196.8,144729677
2020-06-26,201.0,216.45,190.1,201.8,122722827
2020-07-03,200.0,204.7,187.0,196.7,81469327
2020-07-10,200.0,218.0,196.65,208.45,70389263
2020-07-17,210.0,212.9,195.8,207.2,39908994
2020-07-24,207.2,224.55,207.05,212.35,58895056
2020-07-31,213.0,223.35,200.5,202.5,41715602
2020-08-07,200.95,209.7,197.5,208.75,40277710
2020-08-14,210.9,231.0,202.15,218.1,42043370
2020-08-21,221.0,234.55,210.35,227.35,47627795
2020-08-28,229.9,259.0,227.35,249.75,52499765
2020-09-04,252.0,255.6,228.85,234.05,28572636
2020-09-11,236.1,238.2,215.6,224.45,21467943
2020-09-18,230.0,243.95,226.5,240.65,36877941
2020-09-25,242.9,242.9,220.75,238.7,28623344
2020-10-02,240.5,260.0,238.0,257.5,23011048
2020-10-09,259.4,265.0,248.05,253.75,25495738
2020-10-16,255.2,257.05,233.0,237.25,22432179
2020-10-23,237.85,257.3,233.9,251.5,23999984
2020-10-30,250.55,280.35,234.5,273.25,36513295
2020-11-06,271.0,308.3,268.65,303.6,38040383
2020-11-13,306.05,322.45,299.0,309.75,32262964
2020-11-20,314.0,344.6,309.7,338.95,28437763
2020-11-27,340.0,394.9,340.0,388.7,40768996
2020-12-04,389.65,389.65,361.25,369.75,23213037
2020-12-11,373.5,378.0,362.1,369.3,24700702
2020-12-18,370.0,386.25,362.7,375.1,18989779
2020-12-25,372.65,383.05,345.15,376.35,13743987
2021-01-01,376.35,415.9,375.75,411.35,23467353
2021-01-08,415.0,446.55,414.2,431.8,34695788
2021-01-15,434.8,451.0,417.4,424.1,21238756
2021-01-22,426.65,464.85,402.55,422.15,47080368
2021-01-29,435.0,449.5,390.65,397.85,26306043
2021-02-05,402.0,475.0,402.0,452.5,40129350
2021-02-12,455.0,478.5,454.0,468.55,19901073
2021-02-19,472.05,538.0,472.05,530.35,59273253
2021-02-26,534.4,550.95,487.35,517.6,37685953
2021-03-05,524.5,558.0,515.65,526.8,19871258
2021-03-12,532.0,556.8,525.0,531.8,15530954
2021-03-19,536.0,558.95,514.05,552.85,17318443
2021-03-26,558.0,579.6,525.5,554.65,25072300
2021-04-02,560.0,568.9,547.0,561.2,9180599
2021-04-09,560.0,588.1,534.0,557.9,22460976
2021-04-16,544.7,550.5,503.7,540.6,24335798
2021-04-23,527.0,566.8,514.2,555.95,18283603
2021-04-30,558.95,600.95,550.95,571.75,20298746
2021-05-07,562.05,587.8,544.55,568.9,15676642
2021-05-14,560.0,560.0,513.0,526.75,28729710
2021-05-21,530.7,586.4,526.75,582.8,31662005
2021-05-28,585.25,590.55,523.9,542.55,59207170
2021-06-04,546.0,574.15,539.05,570.7,16866796
2021-06-11,572.75,584.75,548.4,562.3,20426965
2021-06-18,563.0,579.7,518.0,538.5,15351813
2021-06-25,534.0,553.6,528.05,531.9,11039927
2021-07-02,536.9,536.9,502.75,510.1,15634199
2021-07-09,513.95,532.75,508.2,519.3,14335484
2021-07-16,523.5,526.55,508.3,512.4,7719201
2021-07-23,509.95,516.4,479.0,499.05,14032014
2021-07-30,499.95,505.75,470.05,475.75,15098910
2021-08-06,473.65,541.9,470.0,528.8,32905695
2021-08-13,527.35,531.95,494.05,503.35,7171032
2021-08-20,501.6,515.15,483.2,485.1,8640864
2021-08-27,487.0,534.75,472.5,524.8,17042452
2021-09-03,526.0,598.6,524.6,571.45,17692115
2021-09-10,570.0,583.8,560.4,568.25,5806426
2021-09-17,567.9,620.75,560.15,606.85,14877193
2021-09-24,600.0,606.55,564.6,576.1,11985257
2021-10-01,578.0,581.85,544.1,558.65,11330601
2021-10-08,560.6,586.55,555.5,569.1,10855581
2021-10-15,566.0,609.95,566.0,594.0,8491998
2021-10-22,594.0,634.0,586.9,598.4,17228892
2021-10-29,600.0,634.05,561.25,614.75,14661838
2021-11-05,630.0,631.7,554.2,615.05,16403053
2021-11-12,615.0,667.4,614.55,662.4,13142536
2021-11-19,663.0,665.0,612.75,617.3,9488852
2021-11-26,617.95,622.1,536.8,544.8,12677141
2021-12-03,544.8,575.4,524.05,567.85,12171098
2021-12-10,572.4,582.35,553.1,579.8,6616864
2021-12-17,582.5,589.0,507.1,510.35,14275771
2021-12-24,502.5,542.0,469.25,520.05,13871942
2021-12-31,515.5,535.25,504.25,520.4,6571779
2022-01-07,521.0,577.95,519.35,574.85,12333022
2022-01-14,575.0,602.0,551.4,586.2,10633628
2022-01-21,587.0,664.75,587.0,654.15,27738488
2022-01-28,660.0,674.9,625.2,640.05,20960351
2022-02-04,645.2,680.0,622.6,675.7,19976759
2022-02-11,682.0,698.35,644.25,680.35,16145668
2022-02-18,660.0,695.9,643.55,673.1,11284879
2022-02-25,670.0,703.9,643.0,683.8,14782669
2022-03-04,680.0,697.8,644.1,658.5,8739881
2022-03-11,647.1,675.7,595.1,671.45,13648599
2022-03-18,669.0,723.95,658.05,719.85,10653242
2022-03-25,717.9,739.95,685.15,732.25,10071330
2022-04-01,734.0,737.95,695.85,707.75,9686308
2022-04-08,709.95,751.45,685.0,741.75,18865292
2022-04-15,747.0,757.95,724.0,730.3,6524631
2022-04-22,727.4,761.35,705.75,713.5,10650555
2022-04-29,709.95,768.0,699.55,738.75,11407108
2022-05-06,734.9,751.45,629.2,636.85,12860823
2022-05-13,622.0,654.3,600.4,632.05,14175462
2022-05-20,638.35,668.0,630.6,645.85,7383128
2022-05-27,650.0,671.8,617.9,656.7,6885577
2022-06-03,661.9,691.1,656.0,658.4,5438162
2022-06-10,652.15,717.2,643.95,650.35,7371842
2022-06-17,638.0,657.0,600.0,641.3,11522674
2022-06-24,640.3,653.1,611.25,647.75,11386491
2022-07-01,654.95,657.3,616.05,640.35,9637051
2022-07-08,635.0,657.25,616.3,630.95,10411498
2022-07-15,631.0,641.3,612.1,634.0,9482946
2022-07-22,636.1,702.85,635.05,685.9,10562858
2022-07-29,690.0,712.0,667.15,700.7,8921797
2022-08-05,708.45,787.5,689.15,771.2,12088947
2022-08-12,774.85,787.1,764.2,783.7,4035334
2022-08-19,784.0,801.0,772.15,777.8,4583530
2022-08-26,778.0,806.6,761.0,796.2,5775399
2022-09-02,770.5,814.4,760.55,790.5,6800368
2022-09-09,790.4,817.75,787.05,790.75,4643956
2022-09-16,794.75,811.9,756.5,768.6,7787057
2022-09-23,772.0,798.3,732.55,738.5,7750731
2022-09-30,729.95,737.65,694.0,732.2,7233790
2022-10-07,733.2,748.15,696.7,737.15,6011311
2022-10-14,733.55,749.9,716.0,726.6,8583804
2022-10-21,726.6,752.85,701.8,712.45,6211400
2022-10-28,718.5,723.95,708.05,716.55,2837659
2022-11-04,720.15,766.8,701.0,763.6,12698867
2022-11-11,767.45,767.45,718.4,728.5,6241223
2022-11-18,703.25,726.45,684.15,713.8,6627199
2022-11-25,713.8,728.75,706.35,720.75,3793331
2022-12-02,719.0,733.85,708.7,731.65,6715826
2022-12-09,735.0,755.0,727.6,744.1,5539322
2022-12-16,744.85,762.3,723.0,729.85,4847671
2022-12-23,730.95,757.0,694.25,699.25,5206758
2022-12-30,696.65,728.9,691.0,722.9,6256906
2023-01-06,727.8,737.75,658.0,667.9,9877497
2023-01-13,667.0,714.95,658.45,711.7,13887218
2023-01-20,712.0,717.9,675.3,706.25,7232976
2023-01-27,706.7,729.05,696.05,709.9,4826324
2023-02-03,712.4,785.0,696.75,781.15,19187605
2023-02-10,777.55,803.1,764.55,777.55,5241114
2023-02-17,776.0,787.7,765.65,779.35,2982351
2023-02-24,779.35,782.4,749.0,760.75,3125782
2023-03-03,760.0,771.9,747.95,750.2,3409378
2023-03-10,755.0,775.9,749.55,752.75,3937506
2023-03-17,748.0,766.05,731.35,763.7,5387141
2023-03-24,757.0,768.0,722.75,727.65,6562607
2023-03-31,727.65,764.1,709.9,760.0,5636210
2023-04-07,764.0,847.05,764.0,841.4,15514398
2023-04-14,847.8,847.8,815.35,820.95,9799839
2023-04-21,821.0,851.9,819.3,837.35,6578551
2023-04-28,839.95,873.95,832.55,871.1,6314226
2023-05-05,874.75,999.0,871.15,991.85,23183108
2023-05-12,990.0,1021.0,976.05,1005.05,11085139
2023-05-19,1005.05,1049.95,998.85,1043.4,9580549
2023-05-26,1040.95,1069.8,1034.35,1049.7,6806694
2023-06-02,1056.0,1061.8,1036.3,1039.3,6240552
2023-06-09,1041.15,1081.75,1036.55,1065.7,4196062
2023-06-16,1067.5,1131.0,1054.3,1129.7,7059188
2023-06-23,1128.45,1155.0,1077.4,1090.0,5049683
2023-06-30,1090.0,1147.45,1068.05,1142.0,7251737
2023-07-07,1146.55,1214.6,1145.65,1175.15,9502415
2023-07-14,1188.65,1190.3,1121.45,1165.0,7920197
2023-07-21,1166.25,1177.0,1127.9,1135.8,7934128
2023-07-28,1135.0,1155.8,1120.0,1140.0,6768006
2023-08-04,1119.2,1144.8,1051.0,1079.5,15107323
2023-08-11,1082.0,1082.15,1038.55,1042.0,8239793
2023-08-18,1038.55,1041.9,997.5,1014.7,5353355
2023-08-25,1028.95,1105.0,1019.9,1082.95,8420900
2023-09-01,1082.55,1134.0,1077.55,1128.9,8304456
2023-09-08,1131.1,1186.7,1084.35,1175.95,11542066
2023-09-15,1185.0,1240.0,1124.45,1227.1,17222458
2023-09-22,1230.0,1230.0,1172.55,1188.2,8863307
2023-09-29,1185.2,1249.45,1170.2,1217.55,9597335
2023-10-06,1218.45,1257.85,1185.35,1219.55,13294023
2023-10-13,1209.95,1272.9,1204.9,1257.8,7185757
2023-10-20,1257.8,1257.8,1184.1,1187.15,8781213
2023-10-27,1186.0,1198.75,1114.65,1168.05,6494089
2023-11-03,1166.0,1217.5,1126.2,1134.3,9261064
2023-11-10,1142.0,1156.0,1113.0,1148.25,6387068
2023-11-17,1157.8,1176.1,1115.85,1126.4,5422738
2023-11-24,1129.9,1138.6,1091.3,1094.5,9042983
2023-12-01,1092.05,1139.0,1085.4,1128.2,8605748
2023-12-08,1136.5,1174.95,1128.25,1166.65,9599583
2023-12-15,1171.0,1247.0,1163.5,1243.8,11293687
2023-12-22,1253.25,1263.3,1210.6,1250.8,9490974
2023-12-29,1250.0,1278.9,1228.3,1259.8,7419330
2024-01-05,1259.7,1305.3,1214.55,1257.85,8343633
2024-01-12,1267.0,1267.65,1207.65,1246.5,5557041
2024-01-19,1258.0,1310.0,1246.3,1265.55,10441280
