date,open,high,low,close,volume
2020-01-17,474.5,487.45,474.5,480.3,8537697
2020-01-24,480.45,483.15,456.85,458.85,13533376
2020-01-31,457.5,468.0,442.1,446.9,16130199
2020-02-07,446.5,464.35,435.35,443.2,22496206
2020-02-14,444.2,454.95,440.5,447.1,10986051
2020-02-21,444.5,449.2,428.1,435.75,12443653
2020-02-28,436.0,436.7,398.05,402.1,22386648
2020-03-06,407.0,472.0,394.65,434.4,30788781
2020-03-13,425.0,434.95,355.3,425.55,20034517
2020-03-20,416.0,423.9,362.9,392.8,20229384
2020-03-27,370.0,411.0,370.0,407.65,29340867
2020-04-03,413.8,454.7,407.65,449.2,42692278
2020-04-10,479.0,610.0,452.0,579.6,67507976
2020-04-17,605.0,615.0,578.6,598.0,52718403
2020-04-24,598.0,609.8,570.0,599.3,43916316
2020-05-01,600.0,632.65,586.1,589.6,38150585
2020-05-08,589.0,623.05,580.6,591.9,42724785
2020-05-15,600.95,605.0,565.6,570.3,48096262
2020-05-22,570.6,641.85,570.5,639.35,66084414
2020-05-29,640.0,650.95,624.05,648.15,32638547
2020-06-05,649.0,669.75,634.55,650.9,36301415
2020-06-12,656.7,657.8,616.3,643.6,29409667
2020-06-19,643.0,653.5,631.5,636.2,16732951
2020-06-26,691.0,692.5,628.3,634.9,54221653
2020-07-03,637.0,654.45,621.05,638.8,27451896
2020-07-10,640.0,648.0,629.2,638.9,24814301
2020-07-17,641.0,696.65,631.25,689.1,44479361
2020-07-24,689.0,690.85,657.5,666.05,25286073
2020-07-31,673.95,724.0,644.25,720.15,42405603
2020-08-07,724.0,739.7,701.0,728.65,40558800
2020-08-14,760.0,814.5,751.35,771.8,109616376
2020-08-21,779.0,781.0,756.65,760.75,30831187
2020-08-28,763.0,771.0,744.2,748.6,27292552
2020-09-04,752.0,755.7,705.2,724.6,30526492
2020-09-11,728.0,735.9,704.4,725.95,25626320
2020-09-18,729.0,819.3,717.75,806.25,67059436
2020-09-25,806.25,811.95,730.0,770.1,53785961
2020-10-02,772.1,794.9,755.6,773.0,36060030
2020-10-09,776.0,825.0,762.05,803.15,41367260
2020-10-16,805.0,829.05,758.4,782.35,44643218
2020-10-23,783.0,784.1,744.0,757.55,34259428
2020-10-30,761.2,780.0,742.3,754.5,28929919
2020-11-06,757.5,802.0,744.4,789.95,32113673
2020-11-13,795.1,804.0,706.5,744.65,80008314
2020-11-20,747.4,752.0,732.25,739.9,25703023
2020-11-27,741.65,758.05,726.5,745.6,39088797
2020-12-04,753.0,770.6,746.15,766.95,19414109
2020-12-11,766.95,782.5,753.0,755.85,21848420
2020-12-18,778.3,798.0,776.35,793.45,42325005
2020-12-25,793.0,834.9,760.0,833.2,36418618
2021-01-01,837.6,839.0,816.05,826.6,18148613
2021-01-08,831.0,846.2,815.25,838.7,19313041
2021-01-15,839.0,864.6,821.0,823.7,20044316
2021-01-22,822.0,839.3,796.2,808.3,17791869
2021-01-29,813.0,857.0,808.25,825.9,29784732
2021-02-05,815.0,878.9,779.95,848.95,50028429
2021-02-12,852.0,874.9,839.0,848.55,21925588
2021-02-19,850.1,856.6,799.0,807.35,15824479
2021-02-26,811.4,820.0,776.25,787.05,21896924
2021-03-05,795.0,818.15,782.0,805.15,17755472
2021-03-12,807.95,819.0,792.1,805.95,10288534
2021-03-19,807.9,808.9,738.1,760.65,17719596
2021-03-26,762.0,802.3,758.7,787.45,20809043
2021-04-02,790.25,824.0,790.25,818.0,9438352
2021-04-09,825.0,892.3,806.1,883.05,23540622
2021-04-16,890.0,944.25,878.3,938.05,68767208
2021-04-23,945.25,966.35,922.75,935.6,44500658
2021-04-30,935.6,940.0,900.75,910.35,34579801
2021-05-07,919.1,924.4,869.0,882.9,48607803
2021-05-14,892.5,921.0,877.5,904.05,34509627
2021-05-21,895.0,935.0,870.0,926.9,45606645
2021-05-28,931.0,951.95,926.15,934.0,23960960
2021-06-04,934.35,960.5,924.0,946.4,13849370
2021-06-11,951.75,982.3,931.85,967.85,18036915
2021-06-18,972.7,979.0,943.5,960.9,12756834
2021-06-25,958.0,966.0,944.0,957.1,9680978
2021-07-02,962.0,997.0,957.1,979.2,16957851
2021-07-09,979.3,983.85,944.8,959.8,7146145
