date,open,high,low,close,volume
2021-07-23,1755.0,1779.0,1555.05,1635.4,23328641
2021-07-30,1635.0,1726.85,1600.0,1682.0,3299082
2021-08-06,1693.5,1709.9,1600.1,1656.95,1218663
2021-08-13,1664.9,1681.0,1435.6,1612.35,2264852
2021-08-20,1620.0,1621.55,1470.0,1544.1,2598314
2021-08-27,1545.0,1563.35,1422.1,1436.85,1843436
2021-09-03,1474.0,1649.5,1456.0,1620.45,3645023
2021-09-10,1626.8,1680.0,1592.1,1656.9,1510530
2021-09-17,1660.0,1983.6,1647.8,1881.8,5263063
2021-09-24,1855.0,2219.0,1805.2,2049.65,5698825
2021-10-01,2057.8,2128.7,1967.0,2096.5,2336752
2021-10-08,2107.0,2303.0,2104.45,2260.25,2955097
2021-10-15,2266.0,2353.9,2135.0,2146.75,1370666
2021-10-22,2167.0,2206.0,1955.05,2029.85,1322766
2021-10-29,2047.0,2194.05,1925.05,2073.85,1455588
2021-11-05,2087.95,2119.25,2011.15,2070.2,427588
2021-11-12,2088.9,2150.0,1916.1,2018.55,1063760
2021-11-19,2043.0,2225.9,2010.95,2139.15,1702787
2021-11-26,2156.0,2235.0,2040.0,2122.8,1598514
2021-12-03,2092.0,2500.0,1958.7,2472.25,3910824
2021-12-10,2489.0,2660.6,2422.0,2448.55,3610040
2021-12-17,2462.8,2517.4,2341.0,2387.8,2068766
2021-12-24,2336.6,2513.9,2254.8,2400.7,1525443
2021-12-31,2400.7,2538.85,2350.0,2493.35,1038224
2022-01-07,2505.0,2705.0,2471.65,2593.35,2044550
2022-01-14,2599.9,2616.6,2503.0,2542.6,585672
2022-01-21,2535.0,2588.0,2340.05,2382.85,1323849
2022-01-28,2388.45,2394.7,2121.25,2280.75,807154
2022-02-04,2316.0,2361.1,2217.2,2332.95,645700
2022-02-11,2318.0,2338.8,2060.0,2090.4,1115505
2022-02-18,2022.2,2105.4,1931.25,2013.25,1175732
2022-02-25,2000.05,2007.55,1740.0,1771.7,1036574
2022-03-04,1768.75,2066.85,1733.15,1938.5,1339996
2022-03-11,1880.0,2079.0,1854.45,2054.9,794240
2022-03-18,2049.95,2117.95,1991.0,2099.9,705033
2022-03-25,2120.0,2149.0,1982.0,1990.45,536927
2022-04-01,2002.5,2048.0,1952.0,2016.45,520889
2022-04-08,2041.0,2078.85,1981.5,1990.4,519365
2022-04-15,1993.5,2020.0,1926.0,1953.35,233814
2022-04-22,1940.0,2031.85,1890.05,1983.05,482746
2022-04-29,1955.0,2023.8,1887.0,1945.4,392138
2022-05-06,1933.4,1933.4,1797.0,1822.15,242871
2022-05-13,1811.0,1824.0,1661.05,1714.5,593758
2022-05-20,1730.0,1740.7,1674.0,1709.9,216042
2022-05-27,1725.0,1729.3,1612.0,1676.2,323130
2022-06-03,1702.0,1846.0,1699.05,1807.3,718065
2022-06-10,1800.0,1809.95,1705.0,1712.1,353862
2022-06-17,1695.0,1725.0,1568.0,1572.65,454293
2022-06-24,1574.0,1595.0,1445.0,1458.3,479485
2022-07-01,1500.0,1537.05,1450.2,1458.95,556544
2022-07-08,1458.0,1559.85,1440.9,1522.45,599031
2022-07-15,1516.0,1624.0,1482.1,1558.0,1123379
2022-07-22,1565.0,1747.5,1560.0,1736.4,720076
2022-07-29,1747.5,1837.0,1640.0,1687.35,1227462
2022-08-05,1705.0,1705.0,1623.0,1633.85,450691
2022-08-12,1636.4,1655.95,1595.0,1621.75,343517
2022-08-19,1637.9,1771.0,1625.2,1744.7,951688
2022-08-26,1744.0,1819.0,1677.0,1783.9,771662
2022-09-02,1720.1,1800.0,1717.0,1756.3,330180
2022-09-09,1756.3,1935.0,1756.0,1920.1,1208590
2022-09-16,1930.1,1980.0,1845.0,1888.7,1006331
2022-09-23,1899.0,1959.0,1850.0,1851.7,427183
2022-09-30,1831.0,1839.75,1702.15,1759.15,360404
2022-10-07,1736.0,1778.8,1674.0,1682.45,318955
2022-10-14,1661.2,1677.95,1600.4,1605.95,317680
2022-10-21,1614.0,1675.0,1580.0,1665.05,722242
2022-10-28,1687.0,1687.0,1590.0,1595.65,163681
2022-11-04,1605.0,1614.95,1560.0,1601.95,268518
2022-11-11,1613.0,1619.95,1520.0,1548.8,230456
2022-11-18,1515.0,1558.0,1479.6,1524.25,722448
2022-11-25,1525.0,1535.0,1482.0,1512.45,280920
2022-12-02,1520.0,1543.0,1494.0,1509.65,345490
2022-12-09,1517.7,1593.0,1510.0,1554.55,549838
2022-12-16,1562.3,1562.3,1508.05,1515.9,178788
2022-12-23,1517.95,1519.8,1410.0,1417.15,291387
2022-12-30,1415.0,1500.0,1412.15,1490.05,158407
2023-01-06,1498.0,1510.0,1450.5,1458.2,126436
2023-01-13,1469.7,1483.75,1450.0,1462.65,112298
2023-01-20,1462.0,1469.45,1417.0,1421.5,169992
2023-01-27,1421.95,1425.0,1350.0,1367.7,219195
2023-02-03,1361.0,1539.9,1330.0,1490.2,642362
2023-02-10,1489.05,1535.0,1444.95,1489.9,314559
2023-02-17,1489.85,1493.65,1423.0,1439.05,162182
2023-02-24,1440.0,1467.0,1398.0,1401.7,136122
2023-03-03,1401.7,1428.25,1371.05,1400.7,126581
2023-03-10,1407.15,1494.9,1405.0,1442.75,219469
2023-03-17,1448.7,1454.0,1351.05,1361.45,244258
2023-03-24,1366.5,1383.85,1305.0,1315.25,235661
2023-03-31,1324.35,1324.35,1227.1,1266.9,443415
2023-04-07,1286.95,1399.0,1274.8,1394.7,299768
2023-04-14,1399.65,1474.0,1373.0,1462.0,649269
2023-04-21,1457.6,1457.6,1375.2,1382.3,151680
2023-04-28,1385.0,1457.5,1366.45,1444.0,296669
2023-05-05,1464.0,1494.0,1453.95,1463.45,256885
2023-05-12,1473.95,1524.4,1456.05,1504.75,310180
2023-05-19,1498.0,1574.4,1469.0,1496.4,595643
2023-05-26,1496.4,1509.95,1430.0,1434.25,221691
2023-06-02,1431.3,1533.95,1376.0,1409.85,6094563
2023-06-09,1425.0,1426.0,1365.5,1377.15,889508
2023-06-16,1373.7,1398.15,1329.6,1381.45,1206337
2023-06-23,1384.55,1396.0,1337.5,1350.0,566695
2023-06-30,1357.7,1405.0,1347.0,1398.15,408775
2023-07-07,1417.95,1417.95,1355.0,1361.0,403441
2023-07-14,1360.0,1370.0,1295.05,1310.0,521587
