date,open,high,low,close,volume
2020-01-17,205.3,214.6,205.0,207.9,33067634
2020-01-24,208.0,209.8,189.85,193.95,60550972
2020-01-31,193.95,195.0,180.0,181.7,74213239
2020-02-07,182.0,186.05,171.05,185.05,78489175
2020-02-14,184.9,185.0,174.2,174.75,77907439
2020-02-21,174.75,180.25,165.0,179.35,81510280
2020-02-28,178.75,178.9,166.75,168.4,60607752
2020-03-06,172.65,180.2,166.5,168.75,61816050
2020-03-13,165.8,169.9,123.65,154.1,128946779
2020-03-20,150.95,155.4,122.0,132.8,113860945
2020-03-27,122.5,135.0,119.2,131.7,82920105
2020-04-03,127.55,142.35,127.2,137.75,47125248
2020-04-10,140.3,143.4,137.0,140.8,20354399
2020-04-17,140.8,152.45,138.35,148.75,38011639
2020-04-24,149.9,149.9,135.0,137.0,38500038
2020-05-01,139.0,149.45,134.45,148.5,31848836
2020-05-08,144.7,147.25,128.55,129.0,48621361
2020-05-15,130.15,132.5,125.3,129.6,37882387
2020-05-22,127.0,127.0,121.05,125.2,55276759
2020-05-29,125.85,142.45,125.0,141.3,36358449
2020-06-05,142.1,149.75,139.35,144.85,67614469
2020-06-12,148.0,148.95,132.7,134.65,44816061
2020-06-19,134.7,140.0,128.15,137.25,76476685
2020-06-26,137.25,146.75,137.1,142.1,82954634
2020-07-03,140.55,140.85,131.4,135.25,49406267
2020-07-10,136.3,137.5,128.2,131.2,68133863
2020-07-17,131.8,132.45,124.6,130.6,45138361
2020-07-24,133.5,136.7,130.0,131.6,55062002
2020-07-31,131.6,132.5,127.55,129.25,27431790
2020-08-07,129.9,131.7,128.1,129.75,33144127
2020-08-14,130.3,134.25,128.3,131.85,54727274
2020-08-21,133.5,141.8,132.35,139.5,80560983
2020-08-28,140.7,143.95,138.65,139.05,54903700
2020-09-04,139.25,142.15,130.7,132.45,73318736
2020-09-11,133.0,133.8,124.65,125.1,53786288
2020-09-18,126.0,126.85,122.9,123.65,59611218
2020-09-25,123.65,124.15,113.9,117.1,60865928
2020-10-02,117.9,121.55,114.65,117.25,45510058
2020-10-09,117.95,119.5,112.3,114.9,58926141
2020-10-16,115.3,115.5,109.55,111.35,65028787
2020-10-23,112.5,118.2,111.25,117.7,80617361
2020-10-30,117.9,117.9,110.55,114.2,60785349
2020-11-06,114.6,122.4,113.55,121.8,66301868
2020-11-13,122.9,126.5,120.65,125.9,106632839
2020-11-20,128.3,129.3,120.15,121.45,86073605
2020-11-27,121.25,127.4,119.75,125.55,97273524
2020-12-04,126.0,134.95,124.7,133.3,75213503
2020-12-11,133.3,140.7,132.8,138.25,96835014
2020-12-18,139.65,146.0,139.1,141.7,96504783
2020-12-25,141.4,141.5,129.35,136.25,61994450
2021-01-01,139.9,139.9,134.2,135.35,72747722
2021-01-08,136.85,140.95,133.8,139.7,83408210
2021-01-15,140.5,148.8,140.3,143.25,99752041
2021-01-22,143.3,143.9,132.5,133.2,63475792
2021-01-29,134.9,135.5,125.25,125.9,48999338
2021-02-05,126.4,144.3,125.85,141.0,104417909
2021-02-12,141.05,143.45,132.75,133.85,59659025
2021-02-19,134.5,143.2,132.0,139.25,76227951
2021-02-26,138.85,163.0,135.1,151.65,256795335
2021-03-05,155.5,157.3,149.7,151.1,91940532
2021-03-12,153.9,156.0,148.5,150.5,58941515
2021-03-19,146.45,148.05,133.5,136.3,90842440
2021-03-26,137.6,137.6,127.05,129.6,59242419
2021-04-02,131.0,134.45,130.0,132.2,41647720
2021-04-09,131.9,133.75,128.05,129.5,40787419
2021-04-16,128.0,130.8,123.6,127.85,38411090
2021-04-23,125.6,127.25,123.4,126.15,32357443
2021-04-30,127.75,134.6,126.5,133.05,50866639
2021-05-07,133.0,138.0,131.2,136.85,45312154
2021-05-14,137.1,159.7,137.1,146.8,177727984
2021-05-21,147.0,152.5,144.0,147.2,87303775
2021-05-28,148.1,150.0,144.1,147.1,75035147
2021-06-04,147.05,154.4,145.05,153.1,70466961
2021-06-11,156.0,165.0,152.8,162.65,147531439
2021-06-18,164.0,164.0,145.1,146.4,115622064
2021-06-25,146.0,150.6,143.5,148.75,55814741
2021-07-02,147.1,149.0,143.95,147.65,69160692
2021-07-09,148.0,150.7,145.3,146.7,43328294
2021-07-16,146.8,149.4,145.3,145.55,35006337
2021-07-23,145.0,146.4,141.7,144.1,19608475
2021-07-30,144.0,145.5,141.05,143.3,35239282
2021-08-06,144.3,148.45,142.2,146.1,37702073
2021-08-13,147.5,147.85,140.75,143.75,52506195
2021-08-20,143.8,144.15,135.0,135.6,35505230
2021-08-27,136.3,139.4,132.75,138.55,34302716
2021-09-03,138.6,147.15,138.6,146.35,54573100
2021-09-10,147.8,150.95,144.3,148.65,36580739
2021-09-17,149.6,163.3,149.3,156.7,104826569
2021-09-24,155.9,170.0,152.8,166.1,93707402
2021-10-01,167.0,197.0,165.35,188.7,226090520
2021-10-08,192.5,203.8,184.1,188.45,154561034
2021-10-15,192.0,201.0,182.3,183.8,107089731
2021-10-22,184.8,188.95,175.3,175.9,77983196
2021-10-29,176.25,177.25,163.3,164.45,72219390
2021-11-05,165.0,173.75,163.8,170.7,37795849
2021-11-12,171.0,174.2,165.2,166.95,37170245
2021-11-19,164.25,167.6,153.0,153.4,48349772
2021-11-26,152.2,162.8,149.1,155.9,77869096
2021-12-03,155.9,160.7,151.35,159.75,127164826
2021-12-10,152.0,153.75,148.1,151.3,56207519
2021-12-17,152.8,152.8,146.0,146.45,40071309
2021-12-24,145.35,149.4,139.15,145.9,33180638
2021-12-31,145.0,149.25,143.9,146.05,42761377
2022-01-07,147.25,157.45,147.0,156.95,75803585
2022-01-14,157.8,166.45,157.05,164.75,59143699
2022-01-21,165.6,168.25,157.5,158.75,58390939
2022-01-28,158.2,165.0,154.3,161.65,37702085
2022-02-04,163.4,164.6,158.6,160.4,29486159
2022-02-11,160.65,170.3,158.35,166.5,82931349
2022-02-18,166.1,168.25,159.85,167.3,67629625
2022-02-25,163.15,164.9,149.0,163.45,63348506
2022-03-04,162.45,197.75,160.55,181.0,203665864
2022-03-11,185.95,192.0,177.05,181.75,124007791
2022-03-18,181.0,182.15,171.5,176.55,54280791
2022-03-25,177.85,188.9,177.5,186.1,72743636
2022-04-01,186.1,193.7,181.65,186.15,62993985
2022-04-08,185.5,198.8,184.6,194.55,105149337
2022-04-15,194.5,198.0,184.3,186.6,45518202
2022-04-22,186.6,209.0,184.6,202.15,178441282
2022-04-29,199.65,202.2,181.9,182.85,93859716
2022-05-06,182.7,191.95,178.85,187.4,66438044
2022-05-13,185.95,185.95,164.65,168.7,73153357
2022-05-20,169.5,187.5,167.85,185.95,66716282
2022-05-27,185.95,188.65,177.75,181.85,63841706
2022-06-03,184.0,201.0,182.55,197.0,105807166
2022-06-10,196.5,201.95,193.2,198.5,65344971
