date,open,high,low,close,volume
2020-01-17,1724.9,1819.9,1712.1,1799.1,2248856
2020-01-24,1803.0,2059.5,1773.95,1932.05,4123290
2020-01-31,1929.0,2042.55,1832.05,1942.45,6149074
2020-02-07,1929.0,1970.7,1845.0,1885.75,2226611
2020-02-14,1890.0,1896.0,1781.2,1835.65,2066989
2020-02-21,1846.45,1913.85,1792.85,1854.4,1665023
2020-02-28,1854.45,1910.0,1667.55,1689.75,2688471
2020-03-06,1697.0,1985.75,1697.0,1788.05,4650954
2020-03-13,1765.0,1770.0,1252.1,1378.7,1779715
2020-03-20,1291.0,1341.95,905.55,1143.15,2685727
2020-03-27,1030.0,1367.2,735.35,1201.25,4077098
2020-04-03,1150.0,1217.0,1011.05,1037.55,1714946
2020-04-10,1071.0,1159.3,1042.0,1110.85,938764
2020-04-17,1100.0,1164.5,1054.2,1112.2,1645567
2020-04-24,1125.0,1220.15,1019.4,1116.1,3063881
2020-05-01,1130.0,1247.0,1078.3,1203.45,4537754
2020-05-08,1166.0,1448.0,1152.1,1402.55,9501480
2020-05-15,1405.05,1488.0,1326.15,1358.65,2663962
2020-05-22,1369.85,1573.0,1330.2,1507.05,4836292
2020-05-29,1481.15,1526.35,1445.15,1451.7,2268729
2020-06-05,1461.1,1517.9,1430.15,1468.15,3235099
2020-06-12,1480.0,1501.95,1302.0,1343.15,1938291
2020-06-19,1345.0,1397.95,1321.5,1330.75,2085055
2020-06-26,1332.6,1506.0,1326.85,1461.7,4701444
2020-07-03,1469.5,1469.5,1375.0,1420.35,2040618
2020-07-10,1431.0,1617.0,1425.05,1592.9,5594395
2020-07-17,1594.45,1760.0,1534.95,1678.7,5418379
2020-07-24,1690.0,1724.0,1613.85,1700.1,2304329
2020-07-31,1710.0,1969.0,1693.8,1926.2,8478482
2020-08-07,1922.0,2039.85,1897.0,1988.85,4270121
2020-08-14,1995.0,2079.0,1941.65,1976.1,2975752
2020-08-21,1994.25,2049.3,1974.15,1984.6,1756009
2020-08-28,1988.0,2024.45,1920.15,2001.45,662589
2020-09-04,2020.0,2035.0,1880.5,1919.1,624437
2020-09-11,1922.0,2102.9,1885.0,2090.6,2258783
2020-09-18,2087.3,2272.0,2062.8,2193.7,2684962
2020-09-25,2205.0,2325.85,2057.4,2304.35,3299392
2020-10-02,2328.05,2420.0,2280.0,2335.8,1690286
2020-10-09,2354.8,2554.9,2322.0,2466.45,2560022
2020-10-16,2467.0,2814.0,2467.0,2577.2,6919766
2020-10-23,2588.0,2635.9,2340.0,2380.1,4560901
2020-10-30,2365.0,2399.15,2165.55,2205.65,9179208
2020-11-06,2205.0,2229.4,2077.5,2218.05,2699737
2020-11-13,2246.3,2358.7,2210.7,2304.3,3448970
2020-11-20,2329.0,2405.0,2272.35,2355.0,1979854
2020-11-27,2366.0,2495.0,2349.35,2400.65,2342912
2020-12-04,2404.0,2514.0,2385.0,2448.15,1619389
2020-12-11,2449.9,2564.55,2411.0,2498.0,1951738
2020-12-18,2501.0,2625.0,2483.0,2556.8,1840868
2020-12-25,2560.0,2687.0,2305.0,2652.55,2823448
2021-01-01,2670.0,2748.0,2657.05,2722.25,1399730
2021-01-08,2750.9,2909.55,2720.0,2804.2,2444913
2021-01-15,2820.2,2848.0,2610.0,2637.8,1807560
2021-01-22,2648.0,2759.2,2475.0,2491.0,2112468
2021-01-29,2496.0,2511.3,2353.0,2392.8,1768620
2021-02-05,2381.0,2572.55,2325.05,2498.95,2010381
2021-02-12,2520.0,2699.9,2480.4,2611.8,1788819
2021-02-19,2629.0,2666.1,2540.0,2570.25,1208214
2021-02-26,2571.0,2590.0,2300.0,2539.95,854016
2021-03-05,2555.5,2698.0,2476.05,2585.65,1047768
2021-03-12,2618.95,2793.95,2495.1,2722.1,1993376
2021-03-19,2740.0,3032.0,2727.0,2966.75,3798989
2021-03-26,2975.65,3012.8,2725.0,2796.05,1400469
2021-04-02,2832.0,3070.8,2776.3,2924.0,1873078
2021-04-09,2919.0,3184.95,2885.0,3167.85,3481937
2021-04-16,3153.8,3222.9,2817.7,3171.95,4193378
2021-04-23,3050.95,3170.0,2843.3,2851.0,2204440
2021-04-30,2869.9,2931.0,2785.0,2869.05,1991553
2021-05-07,2875.95,3544.8,2821.85,3380.75,10607481
2021-05-14,3374.95,3469.9,3142.7,3349.55,5877760
2021-05-21,3372.0,3515.35,3251.55,3330.2,7196712
2021-05-28,3348.0,3585.0,3261.7,3544.0,4434210
2021-06-04,3558.0,3715.0,3505.9,3694.1,2398063
2021-06-11,3694.1,4009.7,3662.45,3978.95,3393929
2021-06-18,4013.95,4048.85,3870.0,3971.05,1820883
2021-06-25,3959.95,4157.7,3878.2,4097.7,1880682
2021-07-02,4110.0,4256.0,4032.0,4196.95,1877902
2021-07-09,4201.0,4520.15,4120.05,4356.55,2872860
2021-07-16,4360.0,4610.0,4300.0,4547.75,2348558
2021-07-23,4539.95,4767.3,4474.45,4688.45,1346049
2021-07-30,4686.0,5230.0,4563.6,5083.9,3483898
2021-08-06,5114.6,5213.5,4642.25,4789.65,9362030
2021-08-13,4780.0,4906.85,4664.15,4811.45,1925460
2021-08-20,4840.0,5055.0,4753.1,4906.7,2011218
2021-08-27,4936.9,5249.8,4815.55,5077.0,3192945
2021-09-03,5125.9,5336.6,5036.25,5243.25,2105355
2021-09-10,5268.0,5312.7,5082.05,5114.95,1070321
2021-09-17,5120.0,5525.0,5100.0,5444.7,2188041
2021-09-24,5444.0,5832.95,5314.95,5649.0,1745691
2021-10-01,5690.0,5695.1,5001.0,5279.5,2345804
2021-10-08,5298.6,5730.0,5243.05,5645.85,1579760
2021-10-15,5600.0,5790.0,5159.35,5604.1,1874088
2021-10-22,5662.8,6030.0,5335.4,5397.5,2778238
2021-10-29,5310.0,5345.0,4726.6,4870.45,2964527
2021-11-05,4930.0,5150.7,4890.0,5081.4,970110
2021-11-12,5100.0,5470.0,5025.0,5418.0,1470210
2021-11-19,5410.35,5937.55,5396.15,5572.1,3189554
2021-11-26,5608.1,5608.1,5202.0,5267.65,1523214
2021-12-03,5200.0,5479.45,5033.1,5350.15,1634823
2021-12-10,5330.0,5370.0,5001.0,5315.35,1286032
2021-12-17,5350.0,5587.0,5300.0,5392.95,1511229
2021-12-24,5345.0,5668.75,5060.0,5645.6,1717771
2021-12-31,5657.0,5923.45,5549.4,5890.35,1547531
2022-01-07,5920.0,6135.0,5710.75,5756.2,2274173
2022-01-14,5813.5,5887.9,5560.0,5688.55,1787262
2022-01-21,5710.7,5720.0,5154.75,5200.35,1330140
