date,open,high,low,close,volume
2020-01-17,563.55,570.8,552.35,554.4,3467722
2020-01-24,554.0,563.0,546.3,561.35,3416341
2020-01-31,559.0,584.65,557.0,567.0,5352921
2020-02-07,570.5,602.2,534.95,575.2,7550541
2020-02-14,569.55,581.9,558.05,560.2,3233960
2020-02-21,561.7,562.2,531.7,550.05,2922978
2020-02-28,549.0,563.95,492.2,509.65,7315361
2020-03-06,514.0,523.55,440.0,444.35,7938621
2020-03-13,426.2,433.95,300.95,388.6,8894947
2020-03-20,378.0,387.25,270.2,331.9,11351839
2020-03-27,302.0,351.55,263.4,309.2,12205047
2020-04-03,305.2,337.7,292.3,304.5,6729114
2020-04-10,315.0,384.7,312.4,374.25,7190628
2020-04-17,380.0,398.8,366.7,376.9,8398269
2020-04-24,380.0,383.55,358.5,361.1,5658842
2020-05-01,362.0,381.9,352.45,373.05,4768755
2020-05-08,369.0,371.0,325.85,358.75,6361531
2020-05-15,359.0,394.9,356.7,378.35,8871162
2020-05-22,380.9,381.6,341.1,348.35,9456875
2020-05-29,350.5,386.8,339.3,376.1,8426046
2020-06-05,380.0,413.0,380.0,402.6,16471867
2020-06-12,409.0,434.95,365.1,394.55,17787423
2020-06-19,391.4,411.95,372.75,409.05,11486348
2020-06-26,410.0,439.0,406.15,433.8,9396066
2020-07-03,435.1,435.1,402.3,429.95,8996675
2020-07-10,431.4,448.2,418.2,430.15,10803912
2020-07-17,435.0,460.9,417.3,448.65,12354350
2020-07-24,472.0,473.9,442.5,448.4,14765110
2020-07-31,445.6,464.5,436.55,451.1,7663213
2020-08-07,448.2,467.0,443.7,455.9,5869166
2020-08-14,433.0,438.9,361.2,379.6,43114934
2020-08-21,383.0,398.5,376.5,394.15,14613764
2020-08-28,397.0,412.9,386.6,409.1,12215926
2020-09-04,412.95,421.95,388.25,391.7,12442582
2020-09-11,391.7,396.45,364.0,383.8,14402899
2020-09-18,386.35,396.3,377.05,389.3,10031987
2020-09-25,388.0,388.0,363.65,375.25,8950973
2020-10-02,376.3,389.5,355.3,356.25,7333836
2020-10-09,355.8,383.0,351.0,369.9,9967980
2020-10-16,372.95,378.0,356.0,370.85,7319240
2020-10-23,372.95,397.3,370.95,385.55,7536601
