date,open,high,low,close,volume
2020-01-17,539.8,597.1,536.3,586.35,1449016
2020-01-24,590.0,619.0,576.7,608.55,2488002
2020-01-31,604.0,641.45,596.25,631.85,1983899
2020-02-07,630.0,642.0,605.05,619.6,1155957
2020-02-14,622.7,636.95,603.8,633.2,865500
2020-02-21,638.0,638.9,601.65,619.6,716403
2020-02-28,619.0,629.0,578.6,615.5,1244928
2020-03-06,611.0,632.85,602.3,618.55,908927
2020-03-13,615.5,630.0,470.0,599.1,1772396
2020-03-20,573.0,596.0,475.0,554.0,1872203
2020-03-27,490.0,564.0,443.2,521.6,937169
2020-04-03,516.2,558.0,499.2,512.25,639571
2020-04-10,519.9,545.0,495.1,528.15,569781
2020-04-17,537.0,582.0,506.15,543.95,1364413
2020-04-24,555.0,573.2,508.0,554.9,731409
2020-05-01,565.0,615.0,559.25,594.25,1134994
2020-05-08,580.0,631.75,563.15,608.5,2555481
2020-05-15,614.65,633.0,600.5,625.85,987204
2020-05-22,629.0,658.1,590.0,650.55,1771932
2020-05-29,660.0,698.9,622.35,644.3,3228077
2020-06-05,659.95,672.0,616.1,664.7,9410766
2020-06-12,669.9,679.9,643.95,673.2,1837486
2020-06-19,677.5,748.65,656.65,720.0,4815290
2020-06-26,730.0,768.8,711.95,757.35,2512307
2020-07-03,760.0,766.5,723.0,749.25,2014415
2020-07-10,754.95,778.9,736.85,749.0,1570849
2020-07-17,752.0,787.0,746.0,776.55,2307527
2020-07-24,783.65,828.0,777.1,799.55,2790338
2020-07-31,824.0,830.0,768.0,780.1,2881563
2020-08-07,780.1,806.75,775.8,788.9,1702830
2020-08-14,797.45,808.75,743.05,752.1,2397284
2020-08-21,755.9,802.0,724.0,795.95,3334700
2020-08-28,800.0,830.0,784.0,812.3,3873407
2020-09-04,815.0,818.0,733.6,743.95,2469768
2020-09-11,749.95,759.4,696.0,748.2,2052319
2020-09-18,760.2,838.95,752.05,810.1,5040138
2020-09-25,808.8,819.0,732.15,789.55,2548551
2020-10-02,793.0,809.95,766.25,792.8,1447226
2020-10-09,792.8,801.5,715.55,723.4,2271242
2020-10-16,723.9,737.9,701.05,704.4,1880937
2020-10-23,705.0,742.6,682.0,737.75,3188679
2020-10-30,741.95,744.7,703.05,726.55,1647363
2020-11-06,725.0,764.9,700.0,760.8,2282964
2020-11-13,763.25,768.85,702.55,749.75,2188863
2020-11-20,754.4,796.9,747.0,773.55,1561341
2020-11-27,779.9,837.55,765.15,828.35,2175783
2020-12-04,830.0,835.95,775.2,791.5,1425425
2020-12-11,792.5,807.9,771.6,791.85,1910956
2020-12-18,795.0,812.75,773.8,782.7,2700591
2020-12-25,782.7,807.2,746.45,802.1,1357085
2021-01-01,809.0,880.9,793.25,813.65,12820266
2021-01-08,823.0,828.2,806.2,817.3,2955839
2021-01-15,823.0,836.9,807.3,831.65,2666743
2021-01-22,836.65,861.0,809.2,833.3,2506709
2021-01-29,841.7,851.5,803.25,844.9,1150109
2021-02-05,851.0,852.0,752.8,754.8,4622665
2021-02-12,761.0,788.0,742.05,756.25,1901369
2021-02-19,763.8,789.0,756.25,768.4,1841677
2021-02-26,763.0,787.0,743.5,771.35,1494772
2021-03-05,775.0,797.05,772.0,785.35,2366454
2021-03-12,787.6,787.8,762.25,772.65,1213487
2021-03-19,769.0,781.0,725.1,753.75,1465787
2021-03-26,758.5,764.85,742.05,752.85,1322697
2021-04-02,756.8,778.0,746.25,748.7,1136807
2021-04-09,748.95,777.45,718.0,770.05,2185375
2021-04-16,770.0,770.0,725.6,746.4,1210435
2021-04-23,731.5,748.9,722.0,735.8,1174124
2021-04-30,739.0,745.0,711.0,741.9,2064887
2021-05-07,736.0,739.4,720.1,729.35,1964035
2021-05-14,732.15,791.95,725.2,769.75,2485466
