date,open,high,low,close,volume
2020-01-17,238.5,258.4,238.5,254.2,6448072
2020-01-24,255.5,264.5,252.15,262.4,2914577
2020-01-31,262.4,293.8,255.0,284.45,5299133
2020-02-07,279.7,301.4,264.85,284.65,5251714
2020-02-14,285.5,290.0,272.0,281.9,4381208
2020-02-21,282.9,301.45,281.55,290.95,5469892
2020-02-28,288.0,299.0,260.1,279.0,7518187
2020-03-06,281.5,285.85,262.7,271.65,4666212
2020-03-13,266.2,269.95,224.0,246.6,6788238
2020-03-20,235.5,244.25,185.5,213.85,10293339
2020-03-27,200.0,208.8,177.3,192.6,5481488
2020-04-03,193.4,218.3,186.0,207.0,4352613
2020-04-10,213.4,230.8,202.0,224.0,3259578
2020-04-17,225.8,227.75,210.0,218.0,2730301
2020-04-24,221.5,237.0,200.3,219.6,3508467
2020-05-01,223.7,239.65,210.1,222.2,4961312
2020-05-08,219.9,226.4,202.5,203.1,2916714
2020-05-15,207.0,224.0,205.2,207.85,2373864
2020-05-22,209.0,222.75,196.55,213.0,5502369
2020-05-29,213.8,227.9,210.1,224.35,7227744
2020-06-05,228.0,247.75,226.0,228.2,6136771
2020-06-12,231.9,241.8,217.2,225.05,3532845
2020-06-19,225.0,232.65,220.65,229.7,3589392
2020-06-26,229.0,238.9,224.3,236.25,4426615
2020-07-03,234.6,244.0,228.5,236.4,2942930
2020-07-10,239.8,250.2,234.3,240.85,7416638
2020-07-17,240.05,254.0,238.05,242.95,3115328
2020-07-24,241.9,254.95,240.15,250.45,3686337
2020-07-31,250.0,253.45,239.05,244.1,4201555
2020-08-07,244.1,266.8,238.0,260.65,4660298
2020-08-14,258.05,269.0,246.6,250.45,3787826
2020-08-21,251.95,266.8,249.35,264.0,3911979
2020-08-28,266.0,272.55,258.65,270.25,2202126
2020-09-04,272.3,278.0,258.35,263.45,3290914
2020-09-11,262.15,264.25,249.0,254.3,4085126
2020-09-18,258.0,285.45,257.0,279.7,8903373
2020-09-25,280.0,282.85,252.65,260.9,3074593
2020-10-02,264.95,300.5,256.8,289.65,4271884
2020-10-09,291.95,292.1,268.8,274.1,3450504
2020-10-16,274.1,284.7,267.4,281.05,3737703
2020-10-23,282.0,329.0,279.0,305.2,10747900
2020-10-30,305.15,319.7,290.2,299.3,9552877
2020-11-06,300.9,316.6,285.7,308.95,5572592
2020-11-13,311.8,314.0,291.1,297.4,66321290
2020-11-20,300.4,307.8,288.2,303.8,7015094
2020-11-27,305.75,314.5,296.25,305.3,7313373
2020-12-04,306.25,336.8,302.25,332.8,7926979
2020-12-11,331.9,341.8,325.25,331.05,5316076
2020-12-18,331.05,393.65,320.5,375.55,13780452
2020-12-25,368.4,376.5,346.05,356.35,5031521
2021-01-01,359.6,385.9,352.1,378.05,6090173
2021-01-08,380.0,405.4,367.05,400.15,6450781
2021-01-15,404.4,417.8,378.45,387.0,5629171
2021-01-22,387.05,456.0,375.3,429.7,11260264
2021-01-29,433.1,442.0,400.6,427.75,9174369
2021-02-05,426.0,426.0,402.1,410.05,8880130
2021-02-12,414.45,416.65,391.5,398.9,14548878
2021-02-19,399.85,407.95,392.0,396.65,11783913
2021-02-26,396.65,399.75,371.25,382.0,10396554
2021-03-05,388.0,409.0,382.1,404.3,9441571
2021-03-12,411.5,421.25,401.25,410.25,5829036
2021-03-19,412.95,412.95,370.0,397.55,7718757
2021-03-26,401.25,401.25,358.05,383.35,9926165
2021-04-02,389.0,399.0,375.6,394.0,4636640
2021-04-09,391.25,405.0,364.25,392.0,7856951
2021-04-16,385.9,394.65,363.4,386.55,5859758
2021-04-23,379.0,380.95,350.35,354.65,7267360
2021-04-30,355.7,408.4,353.0,384.9,9319909
2021-05-07,384.0,390.0,369.05,380.05,5016487
2021-05-14,383.95,386.6,361.35,364.0,4053640
2021-05-21,367.1,397.75,362.2,388.45,7808491
2021-05-28,396.0,407.0,392.05,394.9,10099191
2021-06-04,398.0,418.0,393.1,400.05,6716262
2021-06-11,401.0,443.5,400.5,430.0,10136882
2021-06-18,429.0,432.5,415.2,421.2,6698979
2021-06-25,419.4,421.3,408.65,410.5,3850800
2021-07-02,414.9,448.95,411.25,446.9,7428846
2021-07-09,447.3,467.35,429.0,439.4,12590838
2021-07-16,443.9,496.7,441.55,466.95,8883655
2021-07-23,462.4,484.9,438.1,458.9,10725439
2021-07-30,458.0,488.0,453.35,487.1,6407944
2021-08-06,487.0,498.85,454.7,461.15,5982391
2021-08-13,461.15,477.75,443.0,473.8,5444611
2021-08-20,473.8,478.0,443.5,446.95,3996090
2021-08-27,446.0,467.0,432.7,459.9,5237442
2021-09-03,464.85,494.9,462.25,472.85,5615310
2021-09-10,473.0,496.4,467.8,492.2,4765774
2021-09-17,492.2,512.8,480.0,486.1,6897816
2021-09-24,483.5,493.0,464.0,478.7,7518491
2021-10-01,481.5,503.0,461.0,488.8,7765539
2021-10-08,492.4,496.0,472.45,479.7,4688219
2021-10-15,482.95,490.0,473.0,474.6,4495319
2021-10-22,476.15,477.6,439.0,468.1,10149643
2021-10-29,473.6,485.0,435.1,465.6,13207927
2021-11-05,470.6,493.2,465.0,473.6,4327755
2021-11-12,474.0,479.55,452.5,466.25,7946321
2021-11-19,468.7,477.95,447.0,451.3,4976362
2021-11-26,451.7,457.6,432.5,437.4,7747165
2021-12-03,439.1,462.15,417.2,427.75,10073953
2021-12-10,427.75,440.5,423.7,435.85,7177572
2021-12-17,439.0,444.5,412.1,417.85,9780190
2021-12-24,414.1,434.0,402.5,431.2,7416716
2021-12-31,428.65,440.05,419.15,437.45,3023819
2022-01-07,436.05,450.0,433.75,444.8,4045454
2022-01-14,442.05,451.95,438.45,446.65,6177950
2022-01-21,443.7,451.75,416.3,420.05,7861858
2022-01-28,420.0,425.6,397.15,414.85,5599077
2022-02-04,417.9,427.9,405.7,413.0,11347429
2022-02-11,414.0,414.65,382.65,385.2,5911738
2022-02-18,383.0,401.85,354.4,391.3,15953044
2022-02-25,389.15,423.6,370.55,417.35,22933996
2022-03-04,415.0,431.45,383.5,388.95,10236223
2022-03-11,384.0,404.65,372.35,403.7,7753577
2022-03-18,405.0,412.15,384.75,390.5,8301312
2022-03-25,394.1,397.5,366.55,374.55,9665806
2022-04-01,377.8,382.95,363.1,372.9,8315220
2022-04-08,376.9,388.45,372.05,375.75,9540619
2022-04-15,375.75,384.45,372.0,377.9,5005488
2022-04-22,378.85,386.9,369.05,379.25,9372153
2022-04-29,378.0,386.0,365.6,384.8,7141748
2022-05-06,382.4,385.2,355.5,365.0,3955813
2022-05-13,360.4,364.75,337.0,353.0,10426239
2022-05-20,348.0,361.1,332.7,342.3,5053101
2022-05-27,343.7,346.6,323.5,327.75,3835554
2022-06-03,330.5,378.6,330.5,364.4,13271691
2022-06-10,364.3,368.4,339.6,340.7,3927470
2022-06-17,337.0,337.0,312.0,323.55,9701193
2022-06-24,324.1,346.5,321.5,344.3,9384575
2022-07-01,348.0,351.1,337.1,349.85,4841408
2022-07-08,348.0,373.1,344.0,366.8,9327890
2022-07-15,364.9,396.0,362.35,393.15,12226242
2022-07-22,395.1,405.8,353.35,377.05,15336707
2022-07-29,377.05,396.2,363.25,394.4,10343264
2022-08-05,396.05,405.0,369.25,373.85,36531612
2022-08-12,374.9,388.1,368.2,386.0,11815574
2022-08-19,388.0,403.25,382.25,395.95,7177348
2022-08-26,396.0,425.0,383.6,414.4,15308907
2022-09-02,403.75,414.35,393.1,395.25,7450384
2022-09-09,397.45,424.0,387.35,417.15,14205574
2022-09-16,417.3,429.0,393.95,399.45,17421988
2022-09-23,402.0,424.6,391.05,401.8,11967522
2022-09-30,399.1,417.6,391.05,411.9,8389890
2022-10-07,412.65,413.0,395.7,397.85,5197217
2022-10-14,395.7,397.1,375.45,381.5,5439737
2022-10-21,382.45,390.2,372.0,373.55,7138396
2022-10-28,376.65,381.9,352.3,353.5,5775290
2022-11-04,354.9,366.45,350.6,362.3,6836730
2022-11-11,363.65,368.3,352.65,355.25,6551910
