date,open,high,low,close,volume
2020-01-17,591.9,598.8,577.05,578.9,2301545
2020-01-24,581.7,606.0,568.0,595.15,3126246
2020-01-31,594.0,652.8,572.2,574.55,24609602
2020-02-07,568.0,585.0,552.0,558.05,3175972
2020-02-14,560.8,561.5,535.45,536.95,2174036
2020-02-21,534.0,556.5,523.55,554.75,1642657
2020-02-28,555.0,559.4,496.6,510.95,2707899
2020-03-06,513.0,550.4,483.6,503.6,2393610
2020-03-13,499.05,499.05,404.0,447.8,2857459
2020-03-20,437.0,460.0,414.0,422.15,5949233
2020-03-27,408.2,414.75,348.2,357.6,5405507
2020-04-03,351.0,357.0,296.45,298.65,5300712
2020-04-10,315.8,358.95,280.0,353.4,12238619
2020-04-17,359.0,406.0,341.0,403.9,7579029
2020-04-24,407.95,426.55,377.25,384.95,6583447
2020-05-01,382.0,395.85,358.5,377.5,8376649
2020-05-08,358.0,382.0,352.15,358.1,8449027
2020-05-15,358.85,375.7,335.0,338.35,19161445
2020-05-22,338.3,343.65,311.2,329.7,7427972
2020-05-29,334.0,382.15,330.0,376.35,5116329
2020-06-05,379.95,395.6,372.35,384.35,7512886
2020-06-12,394.0,407.0,380.05,391.85,6906273
2020-06-19,388.0,401.1,368.35,376.25,7216432
2020-06-26,380.0,417.4,377.3,410.6,7526653
2020-07-03,410.2,414.65,388.65,410.75,4096284
2020-07-10,415.5,439.45,391.2,393.1,13522369
2020-07-17,397.0,399.85,373.25,384.75,5760274
2020-07-24,384.75,399.25,384.5,395.2,5700651
2020-07-31,395.05,404.85,389.0,401.65,5432424
2020-08-07,400.0,422.0,395.0,419.1,4994282
2020-08-14,422.95,459.45,412.2,448.8,9373606
2020-08-21,448.0,468.8,436.0,465.4,7947701
2020-08-28,469.7,482.9,463.65,471.75,6811494
2020-09-04,472.95,478.25,453.55,466.0,5056079
2020-09-11,468.15,472.55,448.1,456.4,6273201
2020-09-18,456.85,494.0,456.1,481.5,12000305
2020-09-25,482.0,483.4,437.3,446.75,7622759
2020-10-02,453.7,458.3,440.2,447.9,4230705
2020-10-09,449.95,464.8,430.15,432.1,5184957
2020-10-16,434.85,463.65,425.0,462.0,5787871
2020-10-23,463.05,476.0,456.35,460.1,4430205
2020-10-30,461.5,463.3,431.0,434.1,3719556
2020-11-06,434.6,461.8,428.9,456.05,4168975
2020-11-13,456.95,482.35,449.3,478.35,7193350
2020-11-20,481.05,519.05,479.5,510.4,6757801
2020-11-27,507.0,597.5,507.0,586.0,10521969
2020-12-04,585.95,586.05,563.55,567.4,3391797
2020-12-11,570.4,610.0,552.6,582.65,12435523
2020-12-18,585.55,616.0,584.0,612.05,9572387
2020-12-25,611.0,616.05,556.25,574.55,6388067
2021-01-01,578.3,586.0,564.45,581.35,6805015
2021-01-08,585.0,648.0,584.5,635.0,10771647
2021-01-15,637.0,638.85,597.55,601.65,6557343
2021-01-22,601.7,627.6,583.35,615.85,6263142
2021-01-29,617.0,689.5,601.45,666.35,13874554
2021-02-05,664.9,799.8,654.25,786.0,15336711
2021-02-12,786.65,807.9,750.3,753.75,5192036
2021-02-19,759.7,805.0,746.65,769.7,6789381
2021-02-26,769.7,822.0,760.3,787.75,8544855
2021-03-05,782.2,898.9,782.2,853.7,11486902
2021-03-12,853.65,922.75,844.0,883.9,8724232
2021-03-19,885.6,906.9,835.45,896.45,7861044
2021-03-26,900.0,910.0,823.5,869.4,5135761
2021-04-02,874.0,934.25,867.75,894.9,4378992
2021-04-09,889.0,904.0,864.6,870.95,3849492
2021-04-16,868.25,868.9,804.0,849.1,2339922
2021-04-23,825.0,870.1,817.6,850.5,2552317
2021-04-30,850.65,907.6,833.45,837.6,5265417
2021-05-07,832.0,859.85,821.6,838.15,3211116
2021-05-14,837.0,869.0,806.0,816.45,5316293
2021-05-21,817.95,866.55,796.1,833.5,7083169
2021-05-28,835.35,854.0,747.0,789.5,16445033
2021-06-04,789.5,820.9,771.75,810.7,6350124
2021-06-11,811.0,844.8,808.5,833.1,6858638
2021-06-18,835.5,855.4,811.1,833.05,6528066
2021-06-25,825.0,865.9,819.5,857.95,4974157
2021-07-02,868.0,910.0,841.55,881.35,12059607
2021-07-09,881.35,895.5,856.2,862.0,3880420
2021-07-16,862.25,885.2,850.1,857.5,3814603
2021-07-23,857.0,872.9,841.6,858.3,2270235
2021-07-30,858.0,864.85,821.6,852.4,2500580
2021-08-06,852.95,925.0,852.95,900.9,7143269
2021-08-13,909.05,989.45,903.0,975.55,18134091
2021-08-20,983.0,1034.75,975.5,992.05,7916385
2021-08-27,1000.0,1022.4,971.75,980.0,4199090
2021-09-03,980.0,1049.4,980.0,1025.95,4198134
2021-09-10,1025.0,1064.45,1021.0,1044.0,3679415
2021-09-17,1050.0,1055.0,996.75,1007.7,2683611
2021-09-24,1007.7,1041.25,968.65,994.8,2967708
2021-10-01,1004.05,1023.0,878.15,918.1,10885555
2021-10-08,918.2,932.2,875.1,883.6,10548437
2021-10-15,889.0,918.0,883.6,903.15,3025064
2021-10-22,915.0,952.0,871.0,885.25,7008463
2021-10-29,887.0,950.0,849.5,895.7,8564303
2021-11-05,896.0,923.65,888.0,899.55,2803324
2021-11-12,901.7,939.0,900.05,922.85,4436225
2021-11-19,927.9,937.45,903.05,915.35,2395873
2021-11-26,913.7,924.7,864.2,875.25,2674315
2021-12-03,874.0,941.15,842.0,921.5,3224694
2021-12-10,924.5,995.0,915.0,973.1,4570051
2021-12-17,987.95,1000.95,914.0,915.7,3205021
2021-12-24,912.0,939.25,878.45,918.4,1960415
2021-12-31,915.0,947.45,910.6,941.8,1304069
2022-01-07,942.35,958.2,906.0,943.55,1791573
2022-01-14,940.0,1018.0,934.95,986.85,3055482
2022-01-21,998.0,1025.85,910.0,921.3,4969684
2022-01-28,920.0,944.8,877.2,933.7,2428454
2022-02-04,945.9,994.85,915.05,922.5,3060731
2022-02-11,915.4,955.0,898.75,938.85,2475622
2022-02-18,921.55,1003.0,919.0,974.8,7050428
2022-02-25,966.5,979.45,919.25,959.6,2154948
2022-03-04,953.0,985.0,936.2,949.7,1528096
2022-03-11,942.25,1028.0,909.15,995.65,3092551
2022-03-18,996.0,1050.95,996.0,1023.3,3625142
2022-03-25,1033.15,1113.8,1020.8,1086.35,6804901
2022-04-01,1094.0,1143.0,1078.4,1136.7,5530107
2022-04-08,1140.0,1149.85,1096.3,1130.9,3145017
2022-04-15,1132.9,1162.0,1083.2,1084.95,2122767
2022-04-22,1071.0,1117.6,1053.35,1060.7,2911152
2022-04-29,1025.0,1045.7,992.2,1030.45,3230792
2022-05-06,1011.0,1041.0,1000.0,1008.6,1197721
2022-05-13,1008.6,1011.85,947.1,1000.3,1795633
2022-05-20,985.0,1028.0,970.7,1008.7,2527946
2022-05-27,1009.0,1033.0,967.05,1015.25,3044314
2022-06-03,1028.05,1051.95,1005.6,1009.7,2200991
2022-06-10,1014.15,1025.0,990.85,1008.45,854215
2022-06-17,1005.0,1022.65,963.15,974.75,1867761
2022-06-24,970.1,1004.9,950.85,996.55,1511674
2022-07-01,1001.5,1036.3,989.0,1026.1,1933922
2022-07-08,1028.0,1148.7,1027.1,1118.3,3469854
2022-07-15,1121.9,1133.0,1084.45,1127.95,1404669
2022-07-22,1141.05,1225.9,1132.1,1199.7,4610330
2022-07-29,1203.75,1244.2,1171.8,1226.85,4118340
2022-08-05,1233.0,1256.3,1156.05,1172.4,3189166
2022-08-12,1174.0,1289.4,1103.8,1249.75,6060878
2022-08-19,1250.0,1272.65,1206.0,1224.4,1923457
2022-08-26,1224.5,1227.95,1158.4,1206.5,3568604
2022-09-02,1170.0,1236.7,1169.95,1201.6,2965483
2022-09-09,1201.6,1255.6,1190.15,1219.9,3277563
2022-09-16,1215.0,1259.9,1182.85,1191.4,3171092
2022-09-23,1191.4,1283.45,1175.45,1219.0,4399429
2022-09-30,1198.0,1205.2,1150.0,1199.95,2300156
2022-10-07,1190.0,1241.3,1170.0,1238.75,2204527
2022-10-14,1214.0,1249.4,1178.65,1185.65,1851334
2022-10-21,1177.8,1231.15,1177.8,1209.7,1265294
2022-10-28,1212.55,1297.4,1185.1,1292.7,2595971
2022-11-04,1300.7,1372.8,1300.0,1331.9,4069613
2022-11-11,1350.0,1380.0,1306.15,1347.85,3524282
2022-11-18,1354.6,1392.9,1331.55,1349.85,5019783
2022-11-25,1355.0,1391.35,1318.0,1379.25,3294668
2022-12-02,1375.0,1444.5,1366.8,1442.1,3306246
