date,open,high,low,close,volume
2020-01-17,469.75,494.4,469.5,489.65,8935665
2020-01-24,489.65,501.9,480.45,500.5,6698080
2020-01-31,500.4,505.85,472.15,495.75,19052514
2020-02-07,498.5,518.0,480.25,513.65,14507065
2020-02-14,513.6,523.25,503.45,506.1,8006367
2020-02-21,506.45,517.0,488.85,506.15,9555222
2020-02-28,503.55,513.4,492.0,496.1,15760670
2020-03-06,503.8,525.0,493.7,500.55,16873213
2020-03-13,492.0,494.95,401.7,450.6,11959989
2020-03-20,439.4,454.95,390.5,444.35,15612742
2020-03-27,408.0,445.6,386.05,423.0,21497228
2020-04-03,415.0,455.55,404.1,427.8,12868601
2020-04-10,446.85,517.4,434.4,485.35,15542701
2020-04-17,485.9,515.0,472.75,490.1,13981676
2020-04-24,492.4,516.15,482.5,499.05,17254420
2020-05-01,502.0,504.65,475.45,489.3,13291563
2020-05-08,480.0,482.8,440.0,446.8,17626585
2020-05-15,450.0,463.65,439.2,443.9,15320154
2020-05-22,446.0,449.4,429.9,431.7,15493638
2020-05-29,431.7,470.0,421.2,466.45,27683704
2020-06-05,470.0,476.9,457.1,462.85,18471159
2020-06-12,469.5,475.85,431.0,455.65,17601983
2020-06-19,456.0,460.45,436.5,443.05,18597427
2020-06-26,445.0,465.75,441.05,460.35,19101808
2020-07-03,460.0,472.7,458.1,467.05,17160824
2020-07-10,470.0,483.9,464.0,474.15,14007731
2020-07-17,474.95,495.35,474.5,490.75,17579316
2020-07-24,494.0,503.0,470.15,471.5,14403732
2020-07-31,473.0,515.0,462.95,513.55,30628093
2020-08-07,514.85,518.65,501.0,512.3,14186286
2020-08-14,515.0,528.0,488.75,497.1,23225240
2020-08-21,503.55,504.9,490.35,491.95,13099909
2020-08-28,492.3,502.0,486.3,489.1,12556419
2020-09-04,491.4,497.3,470.9,483.8,15540134
2020-09-11,486.9,511.7,478.4,508.25,14729041
2020-09-18,511.0,514.7,498.25,508.45,14809545
2020-09-25,510.0,511.95,478.8,492.6,11894455
2020-10-02,494.95,517.4,492.05,513.8,12563203
2020-10-09,515.35,535.0,510.65,519.1,17917975
2020-10-16,520.0,525.65,506.25,511.7,15018679
2020-10-23,514.9,533.0,505.1,519.15,22371728
2020-10-30,519.95,526.4,508.05,511.45,13271944
2020-11-06,515.0,530.0,504.05,527.2,28205203
2020-11-13,530.0,535.95,505.6,515.4,23377409
2020-11-20,522.2,522.2,500.05,508.4,16805930
2020-11-27,508.0,511.4,494.05,499.8,21682655
2020-12-04,503.05,509.5,497.25,502.3,12156385
2020-12-11,502.6,519.5,499.0,513.8,26424427
2020-12-18,517.0,519.55,503.05,509.35,16645385
2020-12-25,509.0,515.75,492.55,514.55,15829740
2021-01-01,514.55,540.5,514.0,534.2,23879815
2021-01-08,537.0,544.0,529.6,540.1,15488272
2021-01-15,543.0,552.55,533.6,540.75,18419734
2021-01-22,541.2,547.45,531.3,532.95,11402892
2021-01-29,538.0,541.3,511.35,514.55,13667553
2021-02-05,515.15,536.0,515.15,522.65,15252308
2021-02-12,522.8,544.45,517.3,534.0,17521660
2021-02-19,537.5,540.85,507.85,513.45,25391959
2021-02-26,514.75,517.3,497.05,502.7,18430273
2021-03-05,504.0,528.9,502.8,524.4,14400258
2021-03-12,525.0,534.4,519.0,523.45,7023846
2021-03-19,523.1,533.5,516.0,524.8,9976571
2021-03-26,525.1,536.95,515.0,529.8,8034792
2021-04-02,532.5,543.95,532.0,538.0,5027499
2021-04-09,538.2,566.35,534.1,560.5,10506209
2021-04-16,556.0,581.9,549.5,575.0,14253611
2021-04-23,565.0,575.95,556.1,559.95,9150490
2021-04-30,560.9,562.6,534.65,538.05,11955618
2021-05-07,538.75,548.4,532.3,534.6,15549297
2021-05-14,535.0,538.45,519.3,535.0,16134287
2021-05-21,537.1,541.0,528.05,536.75,10626403
2021-05-28,538.0,538.15,524.4,531.05,14436984
2021-06-04,532.3,545.0,529.55,544.05,12737294
2021-06-11,545.15,566.2,542.4,565.2,12115807
2021-06-18,564.95,582.7,560.25,577.1,11049257
2021-06-25,576.0,579.65,560.25,564.45,8644491
2021-07-02,568.45,592.0,561.55,590.45,11776619
2021-07-09,593.4,605.0,586.5,595.6,8410885
2021-07-16,597.0,600.15,578.7,580.3,6725043
2021-07-23,578.8,595.4,576.0,590.15,5689465
2021-07-30,593.0,603.65,582.2,600.7,11182510
2021-08-06,605.9,619.8,584.1,585.2,30445036
2021-08-13,590.95,594.0,570.65,588.3,14446004
2021-08-20,588.2,616.0,583.0,611.7,12286069
2021-08-27,614.75,621.95,589.2,608.75,10288233
2021-09-03,610.0,644.0,610.0,641.25,11487742
2021-09-10,641.25,651.35,627.2,638.3,7336786
2021-09-17,642.4,655.9,634.75,653.95,8982825
2021-09-24,654.85,658.95,642.65,651.9,8364415
2021-10-01,654.0,654.25,609.0,617.95,8470851
2021-10-08,619.9,626.4,606.0,607.0,12536258
2021-10-15,610.0,627.9,607.0,615.2,8449692
2021-10-22,632.0,632.0,585.0,590.75,9106240
2021-10-29,592.0,597.95,574.45,585.85,9750829
2021-11-05,588.0,616.15,587.0,612.55,17545234
2021-11-12,625.0,625.0,595.0,602.45,9442139
2021-11-19,604.0,611.9,598.1,608.75,5323417
2021-11-26,611.0,616.6,594.05,602.0,10824363
2021-12-03,600.0,602.5,574.3,581.35,12785105
2021-12-10,583.0,583.65,566.0,577.8,6524214
2021-12-17,582.95,583.15,561.55,564.75,6492557
2021-12-24,562.0,573.9,550.4,563.7,4231429
2021-12-31,564.0,581.25,558.25,580.05,4262118
2022-01-07,580.0,590.85,570.5,587.5,7965445
2022-01-14,589.0,591.25,571.05,575.8,6346433
2022-01-21,575.8,578.45,547.9,551.55,7171742
2022-01-28,552.0,554.35,527.05,533.95,7889916
2022-02-04,538.1,570.25,535.3,569.0,8917534
2022-02-11,570.0,574.45,555.55,560.85,7780459
2022-02-18,551.1,566.7,545.5,547.8,6264727
2022-02-25,545.45,554.9,526.4,544.85,7884642
2022-03-04,542.8,570.75,526.95,539.05,14135482
2022-03-11,520.0,549.55,502.0,547.55,11188792
2022-03-18,546.4,570.7,532.25,560.25,9449712
2022-03-25,554.5,560.95,517.7,519.8,10911623
2022-04-01,522.15,545.0,512.2,542.45,12250186
2022-04-08,542.9,558.0,534.6,556.95,10156895
2022-04-15,558.55,558.55,548.1,555.9,4250977
2022-04-22,550.0,569.7,542.35,559.85,8997666
2022-04-29,555.55,576.85,545.55,556.7,10477995
2022-05-06,552.0,565.0,508.35,510.8,11837909
2022-05-13,510.8,513.4,494.2,500.8,10469009
2022-05-20,504.6,515.25,489.35,503.35,10185429
2022-05-27,505.0,513.15,488.3,497.7,7875801
2022-06-03,501.4,527.0,500.0,513.95,12709246
2022-06-10,509.0,513.15,488.7,502.25,9133658
2022-06-17,500.75,506.8,482.25,484.6,11310124
2022-06-24,486.5,514.7,484.6,509.75,9372346
2022-07-01,517.5,519.0,492.05,511.25,7132422
2022-07-08,511.95,552.3,511.25,543.9,8751686
2022-07-15,539.1,555.0,539.05,548.35,5263501
2022-07-22,550.0,577.9,542.15,576.3,10139317
2022-07-29,570.0,585.25,555.9,584.1,8217701
2022-08-05,584.1,590.5,565.6,579.15,8221010
2022-08-12,580.0,591.45,573.25,581.6,5259244
