date,open,high,low,close,volume
2022-05-27,495.2,568.9,467.5,541.55,20829012
2022-06-03,535.5,617.35,511.75,535.65,10071174
2022-06-10,538.95,541.0,500.2,519.4,5375660
2022-06-17,500.0,510.4,457.8,466.55,3019085
2022-06-24,465.0,530.0,456.35,492.1,4214217
2022-07-01,500.0,514.5,488.85,500.95,1397379
2022-07-08,498.0,628.7,496.05,595.25,7968174
2022-07-15,593.0,628.0,584.85,605.1,3297889
2022-07-22,607.0,708.0,589.85,668.6,8700593
2022-07-29,668.5,675.0,605.55,635.0,3526661
2022-08-05,641.5,649.9,601.0,633.7,3317691
2022-08-12,636.9,658.0,509.8,555.25,4265552
2022-08-19,562.0,575.0,550.0,569.8,3275917
2022-08-26,568.85,580.0,550.0,558.6,2598144
2022-09-02,554.95,585.2,551.0,564.35,1674697
2022-09-09,568.65,587.0,559.0,568.5,1888796
2022-09-16,571.0,607.65,568.05,581.25,2044768
2022-09-23,581.0,598.75,571.0,584.7,1599006
2022-09-30,584.7,593.05,560.0,582.9,919317
2022-10-07,582.85,608.7,555.0,601.4,1138667
2022-10-14,593.0,595.05,553.3,561.05,767447
2022-10-21,561.1,570.0,376.95,385.75,21014109
2022-10-28,388.95,406.95,350.0,355.45,8477975
2022-11-04,355.0,401.2,341.3,397.0,6560989
2022-11-11,400.0,403.4,370.3,379.2,2536143
2022-11-18,390.0,390.0,346.2,350.7,3342432
2022-11-25,372.0,372.0,317.0,331.7,34702965
2022-12-02,331.5,350.0,306.0,348.8,21887911
2022-12-09,351.05,362.8,332.1,352.05,12346595
2022-12-16,350.0,379.5,345.95,363.75,17597903
2022-12-23,360.65,361.35,315.05,319.9,2957059
2022-12-30,320.45,338.7,317.05,330.7,1303631
2023-01-06,332.0,339.0,319.0,320.8,3012292
2023-01-13,323.95,327.7,306.0,309.9,5729740
2023-01-20,313.0,326.0,299.55,306.2,4763530
2023-01-27,308.4,328.4,291.0,306.05,6097822
2023-02-03,305.9,310.95,294.5,303.25,3726621
2023-02-10,303.0,326.0,302.4,315.45,6308862
2023-02-17,298.45,332.95,298.1,328.2,7938914
2023-02-24,329.85,358.5,325.0,350.15,32045747
2023-03-03,350.15,351.75,337.05,341.05,14191270
2023-03-10,341.2,344.15,317.0,323.6,5050567
2023-03-17,323.8,339.9,315.35,322.1,27401263
2023-03-24,320.45,339.1,317.75,323.65,4870297
2023-03-31,323.65,343.4,314.1,329.7,3497254
2023-04-07,331.65,334.95,322.0,327.2,2791247
2023-04-14,327.2,339.9,324.0,325.0,7974716
2023-04-21,325.0,363.5,321.65,357.25,11063147
2023-04-28,348.9,382.75,343.85,374.4,11524883
2023-05-05,374.0,374.35,351.0,355.65,3115171
2023-05-12,357.55,384.95,356.1,362.05,2543612
2023-05-19,356.5,377.5,356.0,361.35,3253428
2023-05-26,350.0,373.5,348.1,371.65,2686062
2023-06-02,373.85,374.0,347.05,350.7,5928409
2023-06-09,354.0,363.0,345.15,349.75,3580376
2023-06-16,349.9,399.9,349.35,384.5,22016056
2023-06-23,384.8,410.8,369.15,370.9,15410706
2023-06-30,370.3,394.2,364.75,380.4,8607027
2023-07-07,383.6,399.75,378.5,394.5,11278769
2023-07-14,397.85,418.8,389.1,415.7,10014123
2023-07-21,417.65,423.25,401.9,405.95,6082238
2023-07-28,406.05,415.55,396.5,402.25,4395536
2023-08-04,403.9,423.95,394.65,420.4,8938764
2023-08-11,424.9,437.0,409.05,420.35,11812820
2023-08-18,420.0,426.3,412.5,418.0,3973066
2023-08-25,426.4,426.4,405.55,414.0,4961624
2023-09-01,417.0,444.95,411.6,438.15,9949873
2023-09-08,438.0,452.4,428.35,437.4,5583169
2023-09-15,437.6,444.8,409.8,439.25,5299849
2023-09-22,439.45,442.0,413.05,430.25,3201669
2023-09-29,430.25,430.25,408.0,412.7,4139750
2023-10-06,415.0,421.95,406.2,411.0,2607587
2023-10-13,408.55,449.0,403.0,426.3,6208181
2023-10-20,422.65,434.7,415.0,427.0,3718328
2023-10-27,426.55,428.95,401.55,421.15,2927870
2023-11-03,419.0,430.5,399.05,402.25,3015172
2023-11-10,399.0,412.6,397.2,409.15,2103770
2023-11-17,408.15,412.0,403.8,404.65,208078
