date,open,high,low,close,volume
2023-09-29,542.95,545.0,521.0,528.05,31022
2023-10-06,531.9,540.0,518.1,532.4,23518
2023-10-13,515.0,533.0,501.1,518.75,28443
2023-10-20,520.0,533.95,505.0,511.4,26118
2023-10-27,510.0,513.45,456.1,482.2,45158
2023-11-03,490.0,508.55,476.8,488.0,23250
2023-11-10,493.5,506.9,458.7,468.35,82423
2023-11-17,468.0,484.95,456.0,456.05,26883
2023-11-24,464.95,534.35,446.1,530.1,147651
2023-12-01,537.7,555.0,508.0,545.0,68275
2023-12-08,569.0,569.0,501.05,507.5,68635
2023-12-15,502.0,511.95,479.4,485.15,62610
2023-12-22,488.8,577.0,484.85,549.0,384951
2023-12-29,565.0,588.3,533.55,553.45,120070
2024-01-05,557.2,558.95,528.55,547.9,69283
2024-01-12,554.85,562.0,525.0,527.65,81867
2024-01-19,529.95,540.0,509.85,517.4,74677
