date,open,high,low,close,volume
2020-01-17,1870.2,1913.85,1852.05,1903.35,1558623
2020-01-24,1905.0,1926.4,1843.95,1910.5,1769984
2020-01-31,1910.0,1994.4,1893.7,1952.3,2464162
2020-02-07,1955.25,2095.0,1930.0,2085.95,5455606
2020-02-14,2085.0,2190.0,2076.15,2146.45,3934499
2020-02-21,2158.0,2236.4,2133.6,2169.35,1719221
2020-02-28,2171.9,2184.8,2087.25,2106.95,3216999
2020-03-06,2130.0,2249.0,2063.55,2240.05,4654782
2020-03-13,2240.0,2258.95,1626.0,1962.7,3967905
2020-03-20,1950.0,2017.15,1631.05,1994.9,6685264
2020-03-27,1849.95,1980.0,1725.55,1862.55,4301840
2020-04-03,1851.0,2035.0,1822.95,1901.05,3928733
2020-04-10,1960.0,2467.6,1921.25,2310.9,5998554
2020-04-17,2385.0,2449.55,2285.0,2332.2,5596466
2020-04-24,2335.0,2474.45,2295.0,2425.4,4667686
2020-05-01,2450.0,2472.4,2300.7,2332.9,3258139
2020-05-08,2226.0,2343.95,2226.0,2300.8,3449704
2020-05-15,2319.0,2413.0,2302.0,2335.2,2882834
2020-05-22,2342.0,2390.5,2305.0,2320.0,2321196
2020-05-29,2339.95,2408.1,2255.35,2390.1,2518341
2020-06-05,2402.1,2537.95,2360.0,2460.05,4796740
2020-06-12,2472.0,2472.0,2302.9,2395.1,4921803
2020-06-19,2408.95,2449.6,2285.0,2304.75,3654508
2020-06-26,2335.0,2412.0,2317.0,2350.75,2598343
2020-07-03,2359.55,2368.0,2090.05,2190.45,7901035
2020-07-10,2219.9,2226.6,2141.05,2203.1,5698305
2020-07-17,2220.0,2274.55,2177.05,2263.4,4713530
2020-07-24,2280.0,2433.2,2241.55,2349.1,6283169
2020-07-31,2350.0,2645.6,2320.2,2616.55,8994796
2020-08-07,2621.6,2820.0,2602.05,2784.85,8090105
2020-08-14,3063.3,3293.0,3012.1,3089.8,14866983
2020-08-21,3120.0,3335.0,3071.35,3247.35,8484575
2020-08-28,3269.5,3297.9,3182.75,3272.85,4080730
2020-09-04,3285.0,3349.4,3094.85,3223.15,5144202
2020-09-11,3243.3,3248.6,3080.0,3146.65,3142558
2020-09-18,3169.6,3389.0,3133.7,3344.4,7255647
2020-09-25,3350.95,3374.25,2985.0,3060.75,12793862
2020-10-02,3100.0,3139.0,3021.65,3064.9,4613563
2020-10-09,3080.0,3269.9,3049.05,3190.0,5722600
2020-10-16,3192.3,3248.0,3045.0,3222.7,5706855
2020-10-23,3235.0,3246.9,3015.0,3068.85,6026890
2020-10-30,3080.9,3210.9,3020.1,3142.05,5847928
2020-11-06,3121.15,3264.8,3040.3,3237.25,5585069
2020-11-13,3415.05,3463.4,3239.15,3432.95,14197610
2020-11-20,3460.0,3499.0,3395.0,3469.1,4659484
2020-11-27,3486.4,3659.9,3450.0,3605.1,11360868
2020-12-04,3770.0,3770.0,3596.6,3711.95,4816689
2020-12-11,3704.0,3763.0,3622.4,3642.1,4452296
2020-12-18,3650.0,3859.0,3584.6,3832.9,6051356
2020-12-25,3789.0,3803.95,3543.8,3749.6,4918555
2021-01-01,3760.0,3867.9,3738.0,3849.05,2619225
2021-01-08,3853.0,3914.95,3791.0,3859.15,3009846
2021-01-15,3884.9,3888.95,3633.0,3644.8,4354920
2021-01-22,3640.0,3666.1,3530.0,3544.7,3942403
2021-01-29,3562.0,3600.0,3360.1,3369.85,3602760
2021-02-05,3418.0,3859.8,3311.4,3822.45,7375235
2021-02-12,3799.0,3888.0,3650.0,3719.4,5998568
2021-02-19,3721.0,3749.75,3490.0,3523.2,3139058
2021-02-26,3510.0,3563.0,3326.4,3363.1,4321476
2021-03-05,3396.7,3573.2,3381.35,3496.9,3141101
2021-03-12,3522.35,3567.8,3461.5,3512.05,1836743
2021-03-19,3526.0,3526.0,3153.3,3370.3,4541473
2021-03-26,3371.35,3545.0,3350.55,3464.95,3539967
2021-04-02,3500.0,3640.65,3480.05,3610.0,1862005
2021-04-09,3616.1,3799.9,3561.65,3752.35,3785023
2021-04-16,3760.0,3898.0,3675.2,3821.85,4096282
2021-04-23,3812.0,3849.85,3739.0,3779.75,2725076
2021-04-30,3782.0,4135.0,3770.45,4062.35,5433897
2021-05-07,4061.8,4147.3,3962.05,4029.1,2905627
2021-05-14,4052.0,4205.0,4006.5,4020.55,2770797
2021-05-21,4020.0,4110.0,3964.35,4079.9,2064379
2021-05-28,4092.15,4165.0,4055.0,4125.0,2437335
2021-06-04,4190.0,4284.2,4110.0,4261.6,5117723
2021-06-11,4264.15,4425.0,4201.8,4334.5,3124403
2021-06-18,4334.65,4415.35,4146.5,4197.3,3487843
2021-06-25,4190.0,4310.2,4162.0,4248.75,1545197
2021-07-02,4251.0,4530.1,4251.0,4519.65,2466005
2021-07-09,4534.0,4625.0,4485.0,4599.7,1757356
2021-07-16,4610.0,4772.0,4566.9,4757.6,2249496
2021-07-23,4749.95,4856.4,4735.55,4824.75,1417227
2021-07-30,4824.75,4944.75,4669.4,4906.1,3830505
2021-08-06,4893.5,5045.2,4884.0,4916.0,1998367
2021-08-13,4980.0,4989.8,4831.0,4948.7,2179945
2021-08-20,4945.55,4999.05,4757.0,4818.7,1637562
2021-08-27,4849.0,4934.05,4788.0,4910.7,1813915
2021-09-03,4932.6,5271.65,4930.0,5208.3,3307100
2021-09-10,5238.95,5247.55,5034.7,5054.9,1602002
2021-09-17,5059.0,5198.65,5001.0,5122.8,1901137
2021-09-24,5100.0,5254.0,5079.65,5108.55,1600080
2021-10-01,5120.0,5133.85,4701.0,4832.3,3363143
2021-10-08,4890.0,5315.5,4890.0,5071.3,4397072
2021-10-15,5104.0,5389.0,5060.5,5372.15,1805018
2021-10-22,5383.0,5425.1,5050.0,5073.4,2364758
2021-10-29,5052.0,5248.35,4874.85,5150.15,2400966
2021-11-05,5175.6,5285.05,5094.05,5208.05,1332244
2021-11-12,5023.2,5093.25,4747.8,4843.8,5263394
2021-11-19,4868.0,4927.0,4671.8,4785.6,1565687
2021-11-26,4800.0,5077.7,4635.0,4937.8,3168601
2021-12-03,4965.55,4990.0,4713.6,4757.05,2608564
2021-12-10,4775.0,4775.0,4490.0,4506.45,2943061
2021-12-17,4541.0,4662.0,4490.0,4511.45,3886011
2021-12-24,4490.0,4584.0,4356.0,4447.25,3072917
2021-12-31,4450.0,4690.0,4431.85,4678.2,2075730
2022-01-07,4689.0,4708.75,4470.0,4516.7,1690628
2022-01-14,4520.0,4636.0,4434.25,4616.6,2380540
2022-01-21,4615.0,4668.0,4137.8,4179.4,2999449
2022-01-28,4189.0,4190.0,3788.95,3940.7,3315963
2022-02-04,4020.0,4374.6,3995.85,4304.5,2579704
2022-02-11,4304.5,4474.0,4168.25,4291.25,4242151
2022-02-18,4239.45,4520.15,4192.05,4353.4,4074567
2022-02-25,4345.0,4345.0,3916.6,4138.35,2268594
2022-03-04,4120.0,4310.85,4063.0,4094.7,2039255
2022-03-11,4050.0,4353.0,3974.05,4339.4,2107323
2022-03-18,4340.0,4519.9,4325.1,4504.35,1561921
2022-03-25,4525.0,4573.85,4410.0,4454.15,1962541
2022-04-01,4433.0,4625.0,4335.1,4379.7,2226258
2022-04-08,4379.7,4528.1,4372.9,4505.95,1833138
2022-04-15,4501.0,4535.2,4430.15,4499.25,915977
2022-04-22,4490.0,4579.0,4348.75,4492.5,2023993
2022-04-29,4440.0,4640.8,4385.0,4505.4,2282903
2022-05-06,4488.8,4600.0,4121.5,4165.85,1635303
2022-05-13,4130.0,4354.7,4125.0,4281.1,1849124
2022-05-20,4291.0,4385.95,4190.0,4304.8,1590784
2022-05-27,4323.0,4438.8,3365.55,3514.7,12057370
2022-06-03,3575.0,3637.25,3472.1,3478.3,3238947
2022-06-10,3470.0,3542.8,3450.1,3528.05,2287447
2022-06-17,3462.0,3628.0,3456.0,3481.95,2662433
2022-06-24,3481.0,3699.95,3452.05,3681.0,1751778
2022-07-01,3704.6,3715.0,3545.0,3637.55,2118942
2022-07-08,3659.9,3710.0,3595.15,3671.3,1275233
2022-07-15,3671.3,3827.95,3633.7,3727.75,1775866
2022-07-22,3765.0,3817.2,3720.85,3796.75,1037334
2022-07-29,3796.75,3884.3,3667.05,3831.65,1615150
2022-08-05,3835.0,3949.7,3780.0,3912.2,1756174
2022-08-12,3910.0,3973.9,3700.0,3726.2,2982460
2022-08-19,3790.0,3790.0,3673.0,3696.2,2605578
2022-08-26,3653.0,3673.5,3446.0,3587.5,5649317
2022-09-02,3525.0,3631.6,3511.55,3598.15,1556913
2022-09-09,3590.0,3619.8,3553.05,3603.0,1345979
2022-09-16,3610.4,3707.95,3560.1,3573.7,2072962
2022-09-23,3574.0,3700.0,3544.0,3642.6,2183863
2022-09-30,3634.8,3751.0,3590.0,3705.2,2895720
2022-10-07,3700.0,3806.6,3694.05,3735.75,1413679
2022-10-14,3682.8,3739.6,3472.0,3572.8,2847534
2022-10-21,3550.0,3669.0,3550.0,3571.4,1469423
2022-10-28,3629.9,3639.2,3540.0,3547.5,1024847
2022-11-04,3567.45,3903.95,3567.45,3746.3,3774885
2022-11-11,3749.0,3771.7,3261.1,3271.4,8166891
2022-11-18,3287.8,3331.95,3195.15,3287.35,3087032
2022-11-25,3275.55,3347.0,3245.5,3342.65,2033444
2022-12-02,3352.0,3425.0,3332.0,3381.25,2502906
2022-12-09,3394.95,3395.0,3263.05,3274.05,1577964
2022-12-16,3275.0,3413.35,3254.65,3326.9,1551293
2022-12-23,3329.6,3640.0,3303.15,3498.45,3982689
2022-12-30,3529.95,3549.0,3385.0,3413.2,1990782
2023-01-06,3420.0,3485.2,3357.5,3434.9,1517615
2023-01-13,3475.0,3520.0,3281.3,3351.7,1850545
2023-01-20,3362.2,3400.0,3316.5,3343.15,675442
2023-01-27,3343.1,3415.0,3303.25,3387.45,913797
2023-02-03,3399.95,3419.0,2795.0,2884.35,6126932
2023-02-10,2810.0,2878.1,2740.1,2811.25,5700716
2023-02-17,2825.35,2886.0,2755.0,2829.8,1682016
2023-02-24,2834.5,2972.0,2800.0,2915.2,2944084
2023-03-03,2917.0,2917.0,2816.5,2850.4,1171749
2023-03-10,2860.0,2881.0,2779.0,2787.5,1043751
2023-03-17,2788.0,2848.7,2730.0,2791.5,2059683
2023-03-24,2825.6,2829.95,2762.0,2807.0,1718895
2023-03-31,2809.95,2859.9,2775.0,2821.7,1521495
2023-04-07,2850.0,2935.0,2824.75,2921.45,762354
2023-04-14,2946.75,3231.15,2901.2,3183.95,5779601
2023-04-21,3183.95,3364.5,3132.0,3231.65,4602125
2023-04-28,3240.0,3278.5,3172.05,3267.9,1445232
2023-05-05,3268.05,3317.8,3236.4,3290.8,928244
2023-05-12,3299.0,3436.0,3190.0,3315.05,3076701
2023-05-19,3306.35,3336.35,3085.5,3098.3,2063382
2023-05-26,3099.95,3520.0,3051.0,3514.0,4938310
2023-06-02,3525.0,3562.0,3420.05,3511.6,3818207
2023-06-09,3517.95,3570.0,3420.0,3428.75,2289252
2023-06-16,3309.0,3632.95,3308.95,3581.0,2958296
2023-06-23,3581.85,3624.0,3450.1,3469.0,2134440
2023-06-30,3468.95,3651.9,3467.75,3586.8,1609979
2023-07-07,3586.8,3775.0,3541.05,3673.3,3509086
2023-07-14,3685.0,3697.0,3592.4,3684.0,1384575
2023-07-21,3684.0,3747.0,3567.25,3690.0,1908327
2023-07-28,3688.25,3795.6,3656.95,3735.0,2147242
2023-08-04,3640.0,3764.8,3578.0,3745.0,2327757
2023-08-11,3762.9,3926.1,3671.05,3674.0,3335105
2023-08-18,3645.1,3747.45,3602.0,3650.45,2805737
2023-08-25,3650.05,3736.1,3616.05,3632.35,1587999
2023-09-01,3630.0,3676.7,3529.75,3589.3,1927395
2023-09-08,3590.05,3732.75,3587.0,3698.8,1997273
2023-09-15,3700.0,3848.0,3691.8,3815.5,2234924
2023-09-22,3808.2,3820.0,3685.0,3705.05,839244
2023-09-29,3690.0,3859.5,3651.0,3765.15,1905577
2023-10-06,3760.05,3764.0,3653.4,3721.8,1041420
2023-10-13,3700.0,3799.0,3683.85,3735.35,1233799
2023-10-20,3711.05,3726.6,3534.0,3554.3,1556455
2023-10-27,3536.15,3625.0,3380.0,3411.95,1772954
2023-11-03,3429.0,3447.2,3330.05,3350.7,1516780
2023-11-10,3360.0,3568.8,3295.3,3493.2,4011703
2023-11-17,3496.9,3619.0,3487.25,3600.85,1079384
2023-11-24,3609.95,3778.95,3604.1,3764.8,3388795
2023-12-01,3770.0,3819.7,3720.95,3792.7,1674575
2023-12-08,3810.0,3835.05,3662.4,3681.75,1803599
2023-12-15,3679.0,3720.3,3612.0,3697.05,1577886
2023-12-22,3690.0,3773.95,3565.55,3694.95,2342762
2023-12-29,3699.05,3952.0,3694.0,3903.9,2779116
2024-01-05,3910.0,4074.4,3882.15,4014.75,2878734
2024-01-12,3999.0,4025.35,3860.5,3883.95,1753648
2024-01-19,3900.0,3943.95,3585.0,3693.8,2362051
