date,open,high,low,close,volume
2020-01-17,842.32,845.8,820.2,833.13,1102775
2020-01-24,838.6,850.0,826.44,844.14,677345
2020-01-31,844.0,943.99,820.0,930.85,3313640
2020-02-07,919.0,979.0,873.0,919.47,2682065
2020-02-14,922.0,952.0,887.54,897.94,1202265
2020-02-21,902.52,929.2,858.0,870.44,2888005
2020-02-28,857.5,857.5,752.4,765.61,1918795
2020-03-06,783.0,897.54,767.0,886.12,2311980
2020-03-13,876.0,909.0,660.0,783.97,1960710
2020-03-20,764.0,813.99,617.69,714.0,1908965
2020-03-27,640.0,699.8,598.12,678.27,948845
2020-04-03,642.0,758.6,630.2,685.87,1136950
2020-04-10,716.73,792.0,689.3,767.31,972140
2020-04-17,760.0,819.4,728.2,779.36,844290
2020-04-24,779.2,859.8,762.8,840.48,1325100
2020-05-01,840.48,939.2,820.2,914.28,1162550
2020-05-08,900.0,957.96,846.03,851.16,1448410
2020-05-15,859.8,920.0,837.0,881.27,909675
2020-05-22,888.92,898.6,840.0,868.48,674135
2020-05-29,869.8,991.0,861.61,975.16,1308730
2020-06-05,996.64,1115.0,996.0,1001.25,2034685
2020-06-12,1011.99,1041.0,967.04,995.14,2348840
2020-06-19,1000.0,1149.6,995.14,1137.45,1520350
2020-06-26,1149.8,1216.0,1104.0,1115.72,1267705
2020-07-03,1117.6,1199.8,1080.0,1196.68,1093705
2020-07-10,1192.05,1267.2,1170.0,1246.02,1120165
2020-07-17,1246.1,1333.2,1246.1,1293.85,992355
2020-07-24,1298.98,1560.0,1285.0,1537.35,3309075
2020-07-31,1539.99,1545.98,1402.2,1526.74,2268940
2020-08-07,1559.0,1671.6,1505.0,1557.31,4090040
2020-08-14,1580.0,1696.0,1560.0,1587.88,2154375
2020-08-21,1600.59,1637.8,1548.18,1615.77,1099810
2020-08-28,1630.0,1764.8,1590.0,1662.6,1676190
2020-09-04,1675.58,1729.8,1582.91,1717.3,1378960
2020-09-11,1718.0,1955.4,1717.3,1848.0,3110910
2020-09-18,1865.0,2057.9,1861.21,1880.11,2519020
2020-09-25,1900.0,1938.51,1625.2,1758.68,2576765
2020-10-02,1800.0,1838.0,1723.2,1770.04,583895
2020-10-09,1764.27,1810.0,1675.0,1698.07,1107300
2020-10-16,1702.0,1916.6,1684.39,1852.34,1848190
2020-10-23,1875.5,1990.0,1851.0,1959.8,1159340
2020-10-30,1969.4,2000.0,1800.0,1859.86,1074660
2020-11-06,1880.0,2119.8,1880.0,2003.01,1701450
2020-11-13,2028.8,2160.0,1920.0,2119.76,1344520
2020-11-20,2080.0,2142.0,1990.0,2070.79,882285
2020-11-27,2099.79,2397.6,2080.01,2375.97,1911105
2020-12-04,2398.0,2398.0,2254.99,2276.43,702210
2020-12-11,2298.4,2556.0,2276.43,2526.12,1368610
2020-12-18,2557.8,2781.97,2553.0,2670.54,1346830
2020-12-25,2705.6,2719.99,2465.03,2543.6,1277815
2021-01-01,2573.17,2778.8,2567.22,2724.38,1098455
2021-01-08,2742.0,3357.2,2680.65,3073.81,2224845
2021-01-15,3125.0,3159.8,2815.0,2979.49,2652035
2021-01-22,2999.8,3120.0,2683.91,2818.51,1790790
2021-01-29,2850.0,2896.8,2736.4,2825.5,981890
2021-02-05,2859.8,3350.0,2840.0,3270.0,3152060
2021-02-12,3308.8,3980.0,3300.0,3734.62,2854340
2021-02-19,3680.0,4037.98,3600.0,3895.85,1735220
2021-02-26,3905.0,4089.6,3696.0,3969.78,1477820
2021-03-05,4019.4,4039.8,3750.01,3826.18,1115730
2021-03-12,3859.6,4169.84,3782.02,4129.33,1197125
2021-03-19,4196.0,4457.7,4000.0,4267.25,2250529
2021-03-26,4285.0,4285.4,3345.15,3624.6,3197886
2021-04-02,3740.0,3765.0,3571.1,3590.0,1045059
2021-04-09,3599.95,3799.95,3421.4,3758.65,2287722
2021-04-16,3636.6,3775.0,3460.0,3736.35,1238114
2021-04-23,3560.0,3988.0,3535.0,3895.55,1630467
2021-04-30,3890.0,4265.65,3840.1,4201.8,1481893
2021-05-07,4150.0,4320.0,3901.0,3954.75,928985
