date,open,high,low,close,volume
2020-01-17,244.35,262.0,244.35,261.25,39332643
2020-01-24,261.95,265.9,255.0,262.85,29319466
2020-01-31,261.5,264.0,252.05,260.45,31679304
2020-02-07,258.95,266.55,217.85,235.8,101978238
2020-02-14,235.3,237.8,224.45,226.2,34072805
2020-02-21,228.4,229.8,216.55,220.1,32526896
2020-02-28,215.0,219.5,193.15,201.7,46499616
2020-03-06,206.0,213.4,187.85,194.45,65338201
2020-03-13,188.0,189.0,142.0,166.75,46573550
2020-03-20,155.25,157.0,121.35,139.8,54349857
2020-03-27,125.85,158.85,114.55,138.75,65946293
2020-04-03,134.0,138.9,128.8,132.1,29885948
2020-04-10,137.7,151.8,135.1,149.1,21580047
2020-04-17,148.4,148.9,132.7,136.9,65996209
2020-04-24,138.2,139.45,127.6,128.2,64653775
2020-05-01,131.0,152.25,129.7,146.85,36924279
2020-05-08,141.25,141.25,125.0,130.15,37422850
2020-05-15,133.0,146.5,130.15,138.8,42207463
2020-05-22,138.5,141.8,129.7,135.15,37063286
2020-05-29,135.75,152.85,134.55,150.65,33625770
2020-06-05,153.0,163.05,148.8,157.2,75841055
2020-06-12,162.0,163.55,143.8,154.05,55839661
2020-06-19,153.35,162.45,143.7,161.8,57161633
2020-06-26,164.5,171.25,152.35,154.4,64033165
2020-07-03,154.2,155.3,147.2,151.25,32141052
2020-07-10,153.0,156.0,144.6,147.75,61672135
2020-07-17,148.85,149.2,134.5,140.75,61215687
2020-07-24,142.0,147.35,136.9,138.9,47378259
2020-07-31,139.25,142.9,134.5,141.15,42171639
2020-08-07,140.15,147.45,138.0,141.85,48768058
2020-08-14,142.5,150.4,140.35,142.45,43917228
2020-08-21,144.5,164.55,141.7,161.7,85500584
2020-08-28,162.5,181.85,154.7,173.05,155240606
2020-09-04,174.75,176.6,153.1,154.85,73028361
2020-09-11,156.0,156.9,145.05,154.3,56154846
2020-09-18,156.0,166.35,153.15,161.25,66908816
2020-09-25,161.65,162.45,142.5,151.35,71717532
2020-10-02,153.0,158.95,151.85,155.9,37896354
2020-10-09,157.0,165.5,155.8,157.0,48003132
2020-10-16,158.4,164.25,153.35,162.55,52616944
2020-10-23,164.2,175.1,161.75,171.3,71768407
2020-10-30,172.9,172.9,150.6,158.3,62161014
2020-11-06,160.3,170.9,156.65,167.9,72935917
2020-11-13,169.9,185.8,169.1,184.65,66644011
2020-11-20,185.45,200.85,180.0,181.95,80273892
2020-11-27,183.95,191.4,179.65,187.2,62618470
2020-12-04,192.0,212.25,189.6,211.3,71340627
2020-12-11,211.0,221.5,204.25,218.8,68246004
2020-12-18,218.25,240.4,207.4,231.4,120920622
2020-12-25,229.0,234.5,208.3,226.1,67901466
2021-01-01,231.0,240.45,228.5,238.35,70391529
2021-01-08,239.85,252.45,233.2,248.3,78499784
2021-01-15,249.0,292.75,243.5,279.45,158895310
2021-01-22,278.0,299.5,266.4,269.4,117339368
2021-01-29,274.15,278.75,251.55,255.45,70405891
2021-02-05,258.5,314.9,255.0,305.3,159451821
2021-02-12,316.05,321.0,304.2,311.75,96975907
2021-02-19,314.5,328.2,293.05,300.6,88331233
2021-02-26,300.0,319.0,291.1,301.75,71404217
2021-03-05,305.8,332.7,302.0,318.1,72743642
2021-03-12,320.8,323.25,306.15,308.5,28542235
2021-03-19,310.7,310.7,277.75,287.4,42606366
2021-03-26,288.9,302.7,270.0,279.2,45444675
2021-04-02,281.95,293.6,274.05,292.0,24007971
2021-04-09,289.0,289.0,272.15,279.55,39930898
2021-04-16,271.0,272.85,244.0,252.45,54539872
2021-04-23,244.0,248.8,231.85,241.95,45273302
2021-04-30,243.05,256.8,242.65,247.3,34444212
2021-05-07,244.0,262.5,241.75,257.95,38808590
2021-05-14,260.3,271.7,250.0,250.55,36139269
2021-05-21,252.9,275.95,250.4,268.4,39639421
2021-05-28,270.9,292.85,267.6,285.65,56642216
2021-06-04,286.3,303.0,280.45,296.95,45004508
2021-06-11,298.8,317.05,294.8,310.05,46603947
2021-06-18,313.95,314.0,282.5,294.85,63212492
2021-06-25,288.15,305.85,287.15,293.9,27539398
2021-07-02,294.5,297.2,279.45,283.85,28429400
2021-07-09,285.95,304.0,284.5,300.35,39604662
2021-07-16,302.95,336.65,300.75,330.8,88946211
2021-07-23,325.9,338.8,320.8,334.15,56062912
2021-07-30,334.15,344.55,326.4,337.65,75088558
2021-08-06,340.0,359.25,337.95,342.8,58222896
2021-08-13,345.0,349.55,323.0,332.6,34081892
2021-08-20,332.5,338.0,306.5,309.0,26947298
2021-08-27,313.9,317.65,303.0,311.8,40963171
2021-09-03,312.05,346.6,312.05,343.7,53278574
2021-09-10,344.75,348.8,329.6,332.95,25264171
2021-09-17,333.5,348.6,331.9,334.75,29759201
2021-09-24,329.0,418.3,319.55,410.45,180762372
2021-10-01,414.15,427.9,397.0,417.2,94640533
2021-10-08,417.2,431.65,406.35,415.85,52762311
2021-10-15,418.0,444.8,416.0,434.9,41665241
2021-10-22,429.3,449.7,398.15,413.65,45279428
2021-10-29,414.9,422.7,388.2,398.6,41060233
2021-11-05,404.35,434.8,403.05,430.85,43365147
2021-11-12,435.15,444.0,414.2,428.35,32003678
2021-11-19,430.5,431.6,405.3,415.9,17777252
2021-11-26,417.1,417.5,375.0,376.85,31153967
2021-12-03,376.15,390.75,363.1,386.2,35732584
2021-12-10,386.2,422.0,375.0,419.1,32616388
2021-12-17,420.95,423.5,389.05,390.2,24032980
2021-12-24,384.25,388.9,361.55,379.6,28083019
