date,open,high,low,close,volume
2020-01-17,100.0,119.1,99.25,113.9,1618624
2020-01-24,114.5,125.0,108.1,122.8,1459524
2020-01-31,122.5,124.0,113.0,114.3,575031
2020-02-07,116.0,120.5,104.6,110.45,646529
2020-02-14,110.5,112.2,101.0,102.75,389644
2020-02-21,103.5,107.5,99.3,101.55,246343
2020-02-28,101.0,113.75,93.5,94.75,567728
2020-03-06,98.9,98.9,77.85,82.65,411964
2020-03-13,80.05,81.85,55.15,69.3,380168
2020-03-20,70.0,70.0,51.3,59.15,574809
2020-03-27,53.3,64.0,49.1,60.9,321124
2020-04-03,56.55,63.8,55.8,60.45,186746
2020-04-10,63.0,72.9,60.25,71.6,324941
2020-04-17,69.2,78.9,67.9,74.75,449329
2020-04-24,77.9,83.8,68.55,75.0,1147517
2020-05-01,76.0,79.4,75.1,76.9,432941
2020-05-08,76.0,76.75,68.0,68.45,340732
2020-05-15,69.0,75.5,69.0,71.2,436717
2020-05-22,72.95,84.2,67.3,81.75,1118278
2020-05-29,81.0,83.0,76.1,79.6,877769
2020-06-05,80.8,86.9,77.2,85.0,823055
2020-06-12,88.7,91.7,79.0,82.9,1016699
2020-06-19,82.9,92.0,78.25,86.5,1575764
2020-06-26,86.55,93.0,85.15,86.65,1110317
2020-07-03,86.5,92.9,82.05,88.5,964388
2020-07-10,92.7,95.85,87.8,91.8,1455675
2020-07-17,92.1,98.9,90.85,95.55,1966489
2020-07-24,96.0,96.8,88.8,91.2,673166
2020-07-31,90.15,92.0,85.1,85.6,400187
2020-08-07,86.7,95.2,83.85,91.85,932768
2020-08-14,92.0,113.9,91.2,101.8,6364069
2020-08-21,104.0,116.5,103.25,111.0,1961870
2020-08-28,112.1,136.0,111.95,127.25,8908620
2020-09-04,127.0,127.85,108.0,108.55,2854399
2020-09-11,109.45,112.5,102.05,105.05,1011272
2020-09-18,106.65,114.0,106.0,106.7,895118
2020-09-25,106.7,109.7,96.0,101.6,685671
2020-10-02,102.0,112.8,102.0,103.3,1320944
2020-10-09,104.15,110.5,101.6,104.0,1722627
2020-10-16,105.4,105.4,96.7,98.1,534209
2020-10-23,99.65,100.35,95.7,96.7,398621
2020-10-30,96.8,99.0,92.2,98.2,508241
2020-11-06,99.0,106.5,94.7,101.4,1513657
2020-11-13,102.9,107.9,97.0,102.0,1334201
2020-11-20,102.5,111.4,101.25,106.0,2082851
2020-11-27,105.25,114.75,104.75,107.7,2768823
2020-12-04,107.7,118.45,106.75,110.55,3074987
2020-12-11,111.35,128.85,110.35,117.35,6936838
2020-12-18,118.0,122.9,111.0,114.55,2020324
2020-12-25,113.9,115.75,99.0,110.05,1021275
2021-01-01,110.95,125.0,110.55,116.3,2906611
2021-01-08,117.45,118.5,113.95,114.9,1025755
2021-01-15,115.3,116.1,110.0,110.2,742871
2021-01-22,111.0,114.05,106.3,107.15,934685
2021-01-29,107.45,108.15,100.0,102.05,388132
2021-02-05,102.9,111.0,101.35,106.3,865000
2021-02-12,106.7,109.45,103.5,105.75,590882
2021-02-19,107.0,130.0,102.25,115.1,8442804
2021-02-26,116.35,122.0,111.15,112.5,2017061
2021-03-05,114.25,116.0,106.8,108.55,1724526
2021-03-12,110.75,116.0,107.5,111.75,1192513
2021-03-19,113.6,114.2,97.8,103.25,1270125
2021-03-26,105.25,107.35,98.65,99.2,672568
2021-04-02,100.7,108.4,98.8,106.1,1131087
2021-04-09,105.0,109.65,101.55,104.6,880569
2021-04-16,102.5,103.5,98.95,102.7,463204
2021-04-23,98.6,101.8,97.65,98.9,465506
2021-04-30,99.75,104.0,98.6,99.75,514916
2021-05-07,99.0,106.45,98.7,103.95,933158
2021-05-14,105.0,113.0,101.2,103.95,1596842
2021-05-21,107.0,112.4,104.5,109.1,1410272
2021-05-28,110.15,121.5,107.35,113.5,4290202
2021-06-04,113.0,113.6,105.2,111.1,1694918
2021-06-11,111.45,124.25,106.0,121.5,6768513
2021-06-18,121.5,137.5,118.5,126.05,15614623
2021-06-25,124.0,143.55,122.5,140.25,11353833
2021-07-02,141.6,147.4,135.9,139.7,7992824
2021-07-09,140.5,166.0,137.55,163.2,15650930
2021-07-16,162.8,168.65,157.6,163.2,11433686
2021-07-23,162.2,165.6,151.05,157.1,4086976
2021-07-30,157.1,166.4,147.2,158.8,4311556
2021-08-06,159.1,160.7,142.85,147.6,2458295
2021-08-13,148.15,148.15,123.95,136.9,2783081
2021-08-20,138.8,139.9,127.65,128.6,1267054
2021-08-27,130.0,133.2,120.0,130.35,1410677
2021-09-03,131.3,136.0,129.55,131.95,1132357
2021-09-10,132.8,144.4,129.8,137.25,3467381
2021-09-17,136.75,144.8,131.8,133.55,1912987
2021-09-24,131.25,157.75,130.75,149.2,3780255
2021-10-01,150.3,160.85,143.1,155.05,3012530
2021-10-08,155.85,160.0,146.4,147.2,1580552
2021-10-15,146.6,153.0,145.4,146.1,1003268
2021-10-22,147.3,149.95,136.6,143.35,1376977
2021-10-29,144.5,144.95,136.25,137.1,1098518
2021-11-05,138.2,155.65,137.65,151.1,2297405
2021-11-12,152.0,160.0,146.4,147.15,1561305
2021-11-19,148.25,150.0,139.0,141.9,550531
2021-11-26,141.7,141.85,128.65,131.2,869090
2021-12-03,131.2,135.45,125.45,132.15,546299
2021-12-10,133.15,161.85,130.05,156.95,3298841
2021-12-17,157.9,158.15,141.1,142.6,1222344
2021-12-24,141.9,165.7,133.25,156.4,6067967
2021-12-31,157.4,187.3,156.75,178.7,16071351
2022-01-07,180.4,194.7,168.35,169.65,6976603
2022-01-14,170.95,185.5,169.1,178.95,4768502
2022-01-21,179.25,182.85,166.5,169.45,2778094
2022-01-28,170.0,170.9,136.05,161.7,1962073
2022-02-04,162.65,179.0,158.0,175.5,2346347
2022-02-11,169.75,169.75,148.2,152.85,2215521
2022-02-18,148.0,162.75,141.6,148.6,2263324
2022-02-25,147.7,148.3,129.65,137.4,1209239
2022-03-04,136.4,144.55,134.1,141.5,768799
2022-03-11,137.0,146.0,132.5,144.3,765401
2022-03-18,144.95,149.0,141.0,144.35,513316
2022-03-25,145.0,145.75,136.1,136.95,727199
2022-04-01,136.0,144.4,133.2,142.7,1239863
2022-04-08,143.1,149.55,141.4,147.15,1103501
2022-04-15,147.25,154.8,145.7,151.05,1298489
2022-04-22,148.0,152.95,139.0,146.5,1010009
2022-04-29,143.25,163.6,141.65,147.25,4390777
2022-05-06,147.25,149.4,133.3,136.95,786051
2022-05-13,136.7,137.15,120.4,127.8,820828
2022-05-20,127.8,137.8,125.6,132.45,590153
2022-05-27,132.5,133.0,120.2,126.25,487868
2022-06-03,129.0,138.0,127.75,134.1,465248
2022-06-10,134.0,135.9,129.95,130.95,269641
2022-06-17,129.0,130.15,114.55,116.65,302449
2022-06-24,116.9,117.2,105.05,116.5,423087
2022-07-01,118.1,121.5,115.3,120.0,318541
2022-07-08,122.0,128.0,115.5,124.75,687850
2022-07-15,125.2,141.6,124.1,134.7,1907183
2022-07-22,135.0,140.45,131.35,137.75,717899
2022-07-29,155.0,186.3,155.0,165.3,9450098
2022-08-05,166.05,175.0,161.0,164.25,1401753
2022-08-12,165.5,174.75,163.25,165.2,910055
2022-08-19,166.85,177.75,164.65,169.75,1173757
2022-08-26,169.5,175.6,158.45,170.65,1617327
2022-09-02,166.0,198.9,165.1,188.8,4494407
2022-09-09,189.45,194.7,183.0,184.1,1719762
2022-09-16,184.0,203.4,180.3,183.9,3775355
2022-09-23,183.8,189.9,168.1,171.95,1306567
2022-09-30,170.3,172.9,163.9,169.4,662618
2022-10-07,170.95,188.35,166.45,187.15,1146563
2022-10-14,184.9,195.75,170.7,187.65,1826555
2022-10-21,189.5,209.85,183.45,203.25,4164922
2022-10-28,220.0,271.45,219.0,266.5,10240431
2022-11-04,267.1,278.5,257.3,265.45,3700207
2022-11-11,267.8,311.0,263.0,282.35,6780735
2022-11-18,283.7,287.8,264.2,271.15,2004017
2022-11-25,270.75,287.95,265.05,283.05,2060030
2022-12-02,280.0,298.85,269.5,272.55,2294461
2022-12-09,274.2,277.95,247.8,256.6,2194839
2022-12-16,256.0,266.5,244.0,245.0,1651386
2022-12-23,245.7,258.7,199.7,202.05,3180444
2022-12-30,206.95,226.45,171.7,221.65,1533394
2023-01-06,224.65,232.0,210.95,216.0,862117
2023-01-13,217.15,223.5,212.1,221.75,629468
2023-01-20,221.95,224.5,214.0,216.2,584845
2023-01-27,216.2,224.75,191.75,199.25,1619193
2023-02-03,201.8,214.45,195.05,209.9,1205653
2023-02-10,235.5,269.0,235.5,253.85,6653629
2023-02-17,254.9,268.0,244.3,260.45,1094751
2023-02-24,260.5,261.8,238.6,241.1,672774
2023-03-03,240.0,247.5,224.35,244.95,899445
2023-03-10,246.75,252.7,231.55,232.7,731686
2023-03-17,229.4,234.7,209.3,221.3,1053398
2023-03-24,219.35,224.55,210.0,212.2,606355
2023-03-31,213.8,240.85,204.5,235.05,1193424
2023-04-07,236.5,253.6,235.0,252.1,888748
2023-04-14,253.9,258.3,248.2,254.65,650649
2023-04-21,253.0,254.9,240.3,247.7,771104
2023-04-28,249.9,277.45,244.25,273.3,2729483
2023-05-05,275.15,294.0,266.6,275.3,2047002
2023-05-12,278.0,278.55,240.05,240.55,2689488
2023-05-19,240.55,253.95,234.15,243.35,1538151
2023-05-26,245.05,245.05,231.55,241.05,842688
2023-06-02,242.4,246.0,225.2,230.8,1549878
2023-06-09,232.0,237.0,224.7,227.2,2207514
2023-06-16,226.5,236.8,224.0,232.45,2958939
2023-06-23,233.6,254.9,227.5,248.6,4202208
2023-06-30,250.0,263.95,246.55,256.0,2536038
2023-07-07,258.0,271.95,253.45,267.0,2074067
2023-07-14,267.3,288.5,259.5,278.0,3291128
2023-07-21,278.85,323.0,270.6,320.5,7179460
2023-07-28,321.45,329.7,294.15,310.35,3531015
2023-08-04,307.65,327.7,288.2,318.3,3950987
2023-08-11,322.3,350.5,316.05,331.0,3491869
2023-08-18,331.7,340.15,320.15,323.9,1451096
2023-08-25,324.9,348.8,309.05,337.85,2576685
2023-09-01,340.0,344.0,322.0,326.4,1198517
2023-09-08,328.05,364.95,328.05,347.85,3496198
2023-09-15,347.0,354.0,311.05,331.2,1292424
2023-09-22,328.05,331.15,312.25,321.05,553136
2023-09-29,320.0,327.8,317.0,321.6,427801
2023-10-06,323.9,339.5,313.85,336.35,959596
2023-10-13,335.0,335.0,316.75,324.5,711507
2023-10-20,326.0,338.9,320.1,325.0,927986
2023-10-27,325.0,327.45,280.05,298.5,1026937
2023-11-03,297.95,308.15,290.5,298.85,763831
2023-11-10,300.8,308.0,296.25,301.9,562967
2023-11-17,306.5,321.0,304.3,315.5,731253
2023-11-24,316.5,319.7,306.55,308.75,473235
2023-12-01,309.0,322.9,303.05,318.2,563680
2023-12-08,323.3,334.5,312.45,327.05,1423498
2023-12-15,326.35,335.0,318.0,330.15,827720
2023-12-22,330.8,341.05,310.0,324.65,984745
2023-12-29,329.0,336.0,320.75,323.5,789607
2024-01-05,320.8,326.95,320.0,320.5,509308
2024-01-12,323.0,336.0,316.2,324.85,1091945
2024-01-19,325.95,349.75,317.3,325.65,1975163
