date,open,high,low,close,volume
2019-11-08,1975.0,2010.0,1960.0,1968.85,831854
2019-11-15,1965.0,1989.95,1852.55,1870.85,1395874
2019-11-22,1871.0,1871.0,1805.0,1837.25,2350606
2019-11-29,1840.0,1869.0,1756.0,1822.5,2456411
2019-12-06,1822.5,1852.6,1795.0,1801.4,1237997
2019-12-13,1800.0,1814.8,1700.0,1782.75,3052503
2019-12-20,1798.95,1961.0,1759.3,1919.6,4416917
2019-12-27,1920.3,1938.7,1901.0,1925.55,1121665
2020-01-03,1926.0,1926.0,1815.0,1843.55,2346321
2020-01-10,1827.0,1904.0,1780.0,1876.95,3479452
2020-01-17,1925.0,2000.0,1880.0,1990.55,5505678
2020-01-24,2000.0,2004.45,1901.9,1948.6,1680741
2020-01-31,1945.5,2145.05,1922.2,2133.95,4200003
2020-02-07,2120.0,2360.0,2046.45,2287.2,5907631
2020-02-14,2287.2,2560.0,2287.2,2408.35,13581104
2020-02-21,2354.5,2485.0,2305.05,2462.65,8234123
2020-02-28,2448.8,2448.8,2180.0,2323.95,5502149
2020-03-06,2335.0,2340.0,2136.1,2242.15,4690793
2020-03-13,2185.0,2223.3,1904.3,2101.0,2420906
2020-03-20,1995.95,2096.1,1733.7,1916.1,3071569
2020-03-27,1820.3,2093.75,1729.3,2079.7,2040462
2020-04-03,2079.7,2230.0,1975.75,2066.95,1227980
2020-04-10,2090.1,2392.65,2090.1,2392.65,604500
2020-04-17,2320.0,2320.0,2104.9,2212.1,1592428
2020-04-24,2229.95,2350.0,2150.05,2310.5,1481451
2020-05-01,2300.0,2389.75,2274.0,2383.65,1797086
2020-05-08,2310.2,2345.0,2126.55,2255.0,1245471
2020-05-15,2280.0,2379.95,2270.0,2333.8,1456673
2020-05-22,2333.0,2519.95,2275.0,2398.3,1670181
2020-05-29,2339.0,2358.0,2176.0,2269.35,6251597
2020-06-05,2320.1,2524.0,2282.65,2499.0,2409415
2020-06-12,2520.0,2527.0,2312.0,2397.8,1655794
2020-06-19,2373.0,2434.0,2310.0,2363.15,2918935
2020-06-26,2366.0,2424.0,2290.0,2294.4,1643430
2020-07-03,2294.4,2334.7,2274.0,2290.15,1628613
2020-07-10,2296.0,2385.3,2296.0,2322.7,1854268
2020-07-17,2210.05,2304.95,1955.0,1989.75,10737912
2020-07-24,1979.9,2148.0,1968.0,2031.4,6116595
2020-07-31,2044.0,2075.0,2001.5,2063.45,3950400
2020-08-07,2068.7,2191.95,2060.3,2138.4,2664467
2020-08-14,2138.4,2219.9,2100.0,2178.0,2157667
2020-08-21,2181.0,2309.25,2160.0,2259.45,2263492
2020-08-28,2269.95,2445.0,2244.0,2319.4,3978609
2020-09-04,2298.9,2367.85,2183.3,2251.45,4128601
2020-09-11,2270.0,2297.85,2207.6,2239.35,3074882
2020-09-18,2250.0,2258.95,2104.0,2149.05,3857687
2020-09-25,2175.0,2177.0,1995.1,2102.7,3063807
2020-10-02,2110.9,2242.0,2082.9,2184.8,2179496
2020-10-09,2192.95,2197.15,2035.05,2057.6,2431999
2020-10-16,2072.0,2084.0,1965.0,1984.2,4416373
2020-10-23,1969.05,2170.0,1954.85,2116.55,6811325
2020-10-30,2120.0,2278.9,2100.35,2239.9,3528238
2020-11-06,2240.0,2325.45,2163.0,2294.6,2741093
2020-11-13,2306.05,2410.0,2283.05,2383.05,1933435
2020-11-20,2374.15,2507.95,2330.0,2382.6,2480076
2020-11-27,2361.1,2429.9,2220.05,2289.2,3155909
2020-12-04,2330.0,2479.3,2315.0,2441.9,2110844
2020-12-11,2441.9,2755.0,2413.0,2685.1,5589164
2020-12-18,2715.0,2745.0,2503.0,2637.05,2673906
2020-12-25,2645.0,2715.0,2460.8,2673.1,2746810
2021-01-01,2685.95,2804.1,2642.35,2789.1,2560976
2021-01-08,2808.0,3100.0,2805.0,2967.5,4398263
2021-01-15,3137.0,3137.0,2801.0,2820.95,4042945
2021-01-22,2800.0,2899.0,2701.0,2862.75,2508498
2021-01-29,2894.0,2940.65,2610.0,2651.5,2525905
2021-02-05,2700.0,2987.0,2640.0,2935.0,3474023
2021-02-12,2948.0,3009.0,2900.0,2928.9,1474622
2021-02-19,2955.0,3242.0,2933.0,3101.65,3675721
2021-02-26,3093.55,3175.85,2900.0,2960.0,2485896
2021-03-05,3023.4,3330.0,2885.5,3286.1,4007806
2021-03-12,3309.0,3309.0,3113.0,3129.35,1335818
2021-03-19,3136.0,3171.1,2925.0,2960.3,1690569
2021-03-26,2980.0,3000.8,2775.0,2855.2,2858501
2021-04-02,2867.0,2925.0,2807.0,2910.0,1541890
2021-04-09,2890.0,2973.35,2793.0,2947.75,2423953
2021-04-16,2861.1,2980.0,2790.1,2919.9,1453882
