date,open,high,low,close,volume
2020-01-17,68.25,77.7,68.25,77.7,11638
2020-01-24,85.75,85.75,64.84,79.01,32558
2020-01-31,82.25,82.25,69.74,78.75,10238
2020-02-07,78.66,80.06,67.42,71.97,3008
2020-02-14,78.4,78.4,66.72,68.25,2101
2020-02-21,77.0,78.58,67.94,73.28,3072
2020-02-28,62.56,76.83,62.39,65.63,2591
2020-03-06,63.88,68.25,53.59,67.38,4641
2020-03-13,67.38,70.44,47.08,58.49,6351
2020-03-20,56.96,61.12,43.01,52.19,5413
2020-03-27,41.78,56.74,39.86,43.84,1384
2020-04-03,48.13,48.13,36.01,41.74,8007
2020-04-10,49.96,56.79,36.93,53.51,2219
2020-04-17,53.51,61.25,45.76,54.34,10214
2020-04-24,54.34,60.16,46.59,50.84,9117
2020-05-01,54.25,54.64,48.87,54.25,1179
2020-05-08,51.63,54.6,46.86,52.5,2677
2020-05-15,53.2,53.2,45.24,45.54,8456
2020-05-22,49.22,75.6,41.43,70.92,271653
2020-05-29,70.92,70.96,59.11,59.11,49264
2020-06-05,58.63,58.63,48.21,49.96,28815
2020-06-12,49.96,51.19,45.63,48.04,17370
2020-06-19,47.99,49.0,45.41,47.38,12035
2020-06-26,49.57,49.57,45.98,46.81,6800
2020-07-03,46.38,48.56,45.24,47.73,3542
2020-07-10,47.82,49.0,46.16,48.83,6395
2020-07-17,47.25,48.3,44.19,48.08,7894
2020-07-24,47.99,48.21,45.85,46.42,5818
2020-07-31,47.25,48.08,45.5,45.68,4135
2020-08-07,44.63,47.69,43.4,47.47,1808
2020-08-14,45.5,50.75,45.5,48.52,10853
2020-08-21,48.13,55.96,48.13,53.99,19138
2020-08-28,51.67,56.61,50.79,54.08,28553
2020-09-04,52.06,54.82,49.18,50.97,12480
2020-09-11,53.51,53.51,48.56,51.54,30919
2020-09-18,53.64,54.25,49.79,51.93,26245
2020-09-25,52.46,54.86,49.53,50.49,25263
2020-10-02,49.22,54.56,49.22,51.49,6617
