date,open,high,low,close,volume
2019-11-15,293.33,303.33,288.63,289.97,103815
2019-11-22,296.63,335.8,276.67,334.9,1747768
2019-11-29,340.0,386.67,331.0,353.77,4243154
2019-12-06,353.77,356.3,322.67,326.2,250375
2019-12-13,329.13,348.67,313.33,334.77,619394
2019-12-20,339.8,372.27,333.7,370.73,714694
2019-12-27,368.33,383.33,363.67,367.67,253975
2020-01-03,367.67,473.27,363.7,444.7,2600619
2020-01-10,443.33,458.67,423.77,446.77,768038
2020-01-17,448.07,472.0,444.0,450.87,622943
2020-01-24,451.0,454.67,433.33,446.83,361036
2020-01-31,446.67,457.97,415.0,421.43,396907
2020-02-07,420.0,429.3,401.43,422.43,246242
2020-02-14,423.33,432.0,406.73,411.77,188721
2020-02-21,413.03,419.6,398.67,415.53,153418
2020-02-28,410.0,421.63,352.4,361.77,144294
2020-03-06,367.23,405.33,296.67,388.4,1496537
2020-03-13,380.0,386.57,247.1,306.8,324953
2020-03-20,301.03,301.03,230.0,250.83,196611
2020-03-27,240.0,295.53,213.33,249.17,186427
2020-04-03,246.67,260.67,238.77,249.17,107350
2020-04-10,253.33,254.57,240.0,249.7,108182
2020-04-17,248.0,341.33,246.73,312.8,1060405
2020-04-24,314.6,316.63,280.0,294.13,152840
2020-05-01,294.0,325.87,292.0,310.03,109481
2020-05-08,305.33,332.6,283.27,295.3,628532
2020-05-15,296.67,303.37,280.0,284.23,188111
2020-05-22,281.4,283.33,255.7,261.47,249419
2020-05-29,259.33,279.87,259.33,264.33,514292
2020-06-05,265.33,286.87,265.1,277.73,741659
2020-06-12,284.6,296.3,260.0,266.57,947666
2020-06-19,269.2,325.33,266.73,298.7,3985010
2020-06-26,302.67,307.87,290.67,296.7,511382
2020-07-03,300.0,329.97,291.07,317.77,1281705
2020-07-10,338.0,351.93,306.67,316.83,3818383
2020-07-17,321.83,352.47,317.03,342.67,4340308
2020-07-24,347.27,356.6,314.67,317.73,1800105
2020-07-31,317.73,326.0,309.33,320.03,629939
2020-08-07,320.03,325.6,307.03,320.7,993345
2020-08-14,323.0,490.0,320.8,450.63,4501390
2020-08-21,450.77,499.63,438.07,491.13,2229175
2020-08-28,520.0,541.33,501.03,514.4,1775073
2020-09-04,516.67,518.57,450.0,489.0,1028113
2020-09-11,493.0,496.8,463.4,487.87,448223
2020-09-18,494.0,528.8,493.33,515.8,870244
2020-09-25,518.67,523.33,446.67,472.07,705629
2020-10-02,474.7,491.8,463.87,464.97,373572
2020-10-09,471.33,501.13,470.67,476.93,924539
2020-10-16,479.3,487.83,463.5,466.83,845130
2020-10-23,472.4,486.17,464.37,480.0,358110
2020-10-30,473.33,478.67,446.7,462.07,303315
2020-11-06,456.0,511.33,446.0,474.83,668048
2020-11-13,480.0,490.67,465.33,476.33,867432
2020-11-20,477.33,482.67,471.33,475.93,231289
2020-11-27,480.0,492.0,472.67,483.1,417745
2020-12-04,483.4,553.0,476.67,523.33,1967358
2020-12-11,523.33,556.0,513.33,539.27,1573774
2020-12-18,553.33,562.67,527.5,532.27,813606
2020-12-25,528.03,603.33,478.73,585.37,2191104
2021-01-01,585.4,618.67,580.0,590.77,948910
2021-01-08,590.77,622.47,576.7,609.83,886963
2021-01-15,616.0,689.6,605.3,674.13,1444101
2021-01-22,669.33,686.0,634.7,662.03,722385
2021-01-29,662.87,681.33,639.5,658.7,758376
2021-02-05,653.5,696.0,627.33,669.03,879981
2021-02-12,674.57,674.57,634.0,643.63,339493
2021-02-19,646.87,655.33,610.0,647.43,437735
2021-02-26,646.67,649.33,612.67,619.27,307552
2021-03-05,622.53,699.33,616.67,660.07,586527
2021-03-12,665.33,668.67,636.93,648.1,326077
2021-03-19,656.6,690.0,626.77,644.0,500025
2021-03-26,648.0,689.33,639.6,685.8,303268
2021-04-02,703.33,753.33,702.0,738.93,1131209
2021-04-09,747.27,816.67,729.67,813.93,584273
2021-04-16,800.67,832.0,741.47,777.3,467166
2021-04-23,766.67,847.33,740.0,797.13,465707
2021-04-30,796.67,844.03,773.33,830.57,374112
2021-05-07,829.93,883.33,821.37,850.33,381656
2021-05-14,850.33,871.33,778.0,814.07,177902
2021-05-21,818.33,818.33,774.03,796.27,138320
2021-05-28,787.33,830.0,732.67,824.23,394876
2021-06-04,831.8,882.67,817.47,845.1,416302
2021-06-11,845.17,1075.47,833.33,1075.47,954508
2021-06-18,1153.33,1250.0,1082.63,1174.97,2067337
2021-06-25,1199.93,1221.8,1121.53,1199.03,541044
2021-07-02,1212.67,1416.67,1166.67,1390.3,569057
2021-07-09,1400.0,1463.33,1356.67,1405.07,809028
2021-07-16,1405.33,1496.67,1386.67,1486.0,469611
2021-07-23,1493.33,1519.87,1433.33,1446.77,287404
2021-07-30,1407.4,1519.87,1367.33,1496.83,209996
2021-08-06,1500.0,1586.67,1380.0,1411.47,148510
2021-08-13,1482.03,1482.03,1300.7,1446.93,329212
2021-08-20,1519.27,1595.2,1500.67,1504.77,292992
2021-08-27,1504.77,1564.67,1367.63,1505.13,285521
2021-09-03,1516.47,1533.33,1453.33,1493.3,421383
2021-09-10,1512.67,1513.33,1446.67,1467.9,98434
2021-09-17,1472.67,1638.0,1456.73,1607.07,536689
2021-09-24,1590.0,1590.0,1500.0,1520.5,509332
2021-10-01,1525.73,1540.0,1416.03,1470.9,442364
2021-10-08,1466.0,1531.8,1446.67,1507.57,369669
2021-10-15,1520.0,1579.33,1488.67,1533.4,396656
2021-10-22,1544.0,1579.33,1356.53,1366.2,317814
2021-10-29,1366.2,1547.13,1170.43,1453.67,536069
2021-11-05,1423.33,1646.67,1410.67,1589.13,739915
2021-11-12,1607.13,1634.0,1553.33,1578.17,453897
2021-11-19,1598.67,1747.2,1536.27,1601.87,444104
2021-11-26,1640.0,1640.0,1482.0,1537.1,328347
2021-12-03,1513.33,1556.67,1352.03,1420.37,944722
2021-12-10,1443.33,1481.0,1340.7,1437.47,358283
2021-12-17,1433.33,1520.03,1415.9,1507.9,601689
2021-12-24,1507.9,1606.67,1476.67,1572.7,352247
2021-12-31,1584.83,1761.33,1559.33,1741.37,892645
2022-01-07,1810.0,1968.67,1776.67,1805.57,2226775
2022-01-14,1866.67,1980.0,1836.67,1900.5,1024793
2022-01-21,1900.0,1956.67,1670.0,1708.9,668200
2022-01-28,1718.83,1862.73,1534.33,1544.47,897826
2022-02-04,1544.0,1716.6,1503.73,1635.5,518754
2022-02-11,1635.5,1659.23,1545.37,1582.4,344893
2022-02-18,1521.0,1586.33,1467.4,1474.37,327108
2022-02-25,1435.33,1488.0,1368.67,1460.33,508028
2022-03-04,1464.83,1511.73,1401.3,1494.5,296443
2022-03-11,1450.17,1699.93,1441.37,1672.97,650195
2022-03-18,1677.5,1699.93,1542.67,1553.37,308450
2022-03-25,1556.0,1619.33,1509.03,1533.47,386072
2022-04-01,1511.33,1605.33,1481.33,1571.37,448386
2022-04-08,1589.33,1702.57,1569.33,1678.7,360300
2022-04-15,1694.17,1696.47,1565.33,1602.73,111735
2022-04-22,1595.33,1665.93,1555.1,1574.1,402850
2022-04-29,1567.33,1660.0,1526.63,1605.27,193894
2022-05-06,1592.0,1598.67,1475.07,1495.83,142826
2022-05-13,1479.5,1489.57,1351.73,1415.07,205552
2022-05-20,1428.07,1515.17,1396.67,1462.07,176836
2022-05-27,1468.67,1572.0,1276.93,1369.8,485550
2022-06-03,1376.67,1453.57,1327.33,1419.83,402904
2022-06-10,1400.07,1421.3,1387.4,1412.6,100525
2022-06-17,1412.6,1412.6,1222.63,1254.2,369802
2022-06-24,1266.57,1318.97,1240.67,1282.3,318484
2022-07-01,1296.17,1333.33,1259.2,1269.93,183199
2022-07-08,1286.0,1380.0,1266.67,1374.37,141086
2022-07-15,1361.47,1423.33,1344.6,1417.67,178780
2022-07-22,1420.0,1529.93,1395.23,1483.93,181947
2022-07-29,1480.4,1483.87,1400.73,1449.4,139900
2022-08-05,1462.0,1677.33,1444.03,1516.87,1114554
2022-08-12,1532.67,1559.33,1420.07,1474.83,596336
2022-08-19,1489.63,1530.0,1467.07,1503.07,195033
2022-08-26,1493.33,1512.0,1461.17,1466.5,230809
2022-09-02,1445.33,1459.93,1390.0,1434.2,181182
2022-09-09,1434.2,1499.97,1418.73,1484.83,103245
2022-09-16,1487.33,1580.0,1474.0,1493.77,278182
2022-09-23,1492.67,1545.0,1421.63,1472.95,342273
2022-09-30,1474.0,1500.0,1420.0,1424.75,139920
2022-10-07,1424.0,1500.0,1371.95,1460.65,250543
2022-10-14,1445.0,1446.1,1299.0,1310.45,171155
2022-10-21,1310.0,1330.0,1272.0,1286.9,107209
2022-10-28,1278.0,1313.0,1254.0,1272.3,66351
2022-11-04,1275.0,1399.9,1272.25,1349.25,269995
2022-11-11,1360.0,1494.9,1325.7,1402.65,539111
2022-11-18,1409.0,1468.5,1391.0,1399.1,210679
2022-11-25,1406.05,1468.9,1390.95,1429.0,237992
2022-12-02,1436.5,1483.0,1421.05,1450.05,332673
2022-12-09,1464.0,1473.55,1387.65,1392.95,186211
2022-12-16,1391.0,1421.85,1372.55,1378.9,276463
2022-12-23,1386.6,1395.95,1338.0,1368.1,237131
2022-12-30,1305.9,1367.9,1221.0,1279.9,221564
2023-01-06,1281.0,1296.7,1260.0,1268.55,84041
2023-01-13,1275.2,1420.0,1261.0,1403.85,445594
2023-01-20,1403.8,1436.6,1383.0,1398.7,115029
2023-01-27,1395.0,1444.8,1366.0,1406.85,114414
2023-02-03,1409.0,1532.0,1409.0,1495.9,445317
2023-02-10,1505.0,1554.35,1451.95,1475.2,409249
2023-02-17,1490.5,1495.6,1393.7,1457.0,289437
2023-02-24,1464.5,1509.9,1416.45,1464.2,224793
2023-03-03,1446.6,1468.85,1385.15,1430.65,186073
2023-03-10,1445.85,1521.0,1348.05,1484.85,370862
2023-03-17,1495.0,1499.0,1365.6,1378.75,198854
2023-03-24,1380.0,1430.6,1307.2,1321.35,376147
2023-03-31,1329.9,1361.1,1278.0,1295.0,243899
2023-04-07,1290.4,1363.35,1290.4,1341.0,109483
2023-04-14,1342.05,1374.0,1326.0,1338.2,142097
2023-04-21,1321.8,1333.05,1272.0,1318.65,315720
2023-04-28,1310.0,1360.75,1300.0,1355.5,359457
2023-05-05,1364.65,1400.0,1359.85,1390.75,115306
2023-05-12,1390.75,1408.55,1311.5,1320.2,155147
2023-05-19,1319.9,1400.0,1315.0,1394.7,244165
2023-05-26,1401.7,1548.95,1393.55,1538.3,1027238
2023-06-02,1553.0,1677.0,1521.05,1612.8,1480195
2023-06-09,1624.0,1757.95,1605.15,1712.9,691916
2023-06-16,1714.0,1735.0,1590.0,1680.0,444827
2023-06-23,1670.05,1818.0,1670.05,1710.1,1315152
2023-06-30,1695.0,1760.0,1612.0,1635.0,478751
2023-07-07,1641.75,1698.25,1598.0,1676.35,475959
2023-07-14,1698.95,1790.0,1671.45,1720.0,490320
2023-07-21,1739.0,1850.2,1736.4,1776.0,499018
2023-07-28,1769.0,1805.0,1637.0,1715.6,281890
2023-08-04,1722.95,1752.0,1665.0,1703.0,138435
2023-08-11,1705.0,1779.85,1689.55,1705.5,406592
2023-08-18,1709.45,1709.5,1617.6,1654.0,184492
2023-08-25,1647.65,1652.5,1582.6,1605.0,279264
2023-09-01,1625.0,1662.95,1606.15,1629.7,261438
2023-09-08,1643.8,1724.95,1609.0,1710.0,286835
2023-09-15,1719.0,1924.0,1689.05,1850.95,1082252
2023-09-22,1854.45,1874.05,1754.05,1773.75,288372
2023-09-29,1793.75,1853.5,1757.0,1817.65,284298
2023-10-06,1800.0,2168.7,1798.25,2147.85,1648765
2023-10-13,2150.0,2250.0,2053.1,2090.65,1180549
2023-10-20,2119.65,2144.3,2000.0,2017.0,213005
2023-10-27,2022.95,2023.0,1865.5,1949.6,445612
2023-11-03,1942.0,2008.65,1915.0,1962.0,361274
2023-11-10,1968.0,2195.0,1963.0,2151.9,614743
