date,open,high,low,close,volume
2019-12-13,31.2,32.6,28.65,30.7,202422
2019-12-20,30.9,35.1,29.75,34.9,547674
2019-12-27,35.4,36.4,33.5,35.9,273346
2020-01-03,35.05,38.1,35.0,36.3,369470
2020-01-10,36.0,41.0,33.0,38.4,1030635
2020-01-17,38.1,43.7,38.0,42.85,617533
2020-01-24,43.0,43.6,36.9,39.6,534749
2020-01-31,39.3,42.95,37.05,40.05,776679
2020-02-07,40.0,40.5,36.55,37.05,383537
2020-02-14,37.7,37.85,33.15,33.6,262947
2020-02-21,33.5,34.0,30.8,32.75,154859
2020-02-28,32.75,32.75,27.1,28.6,284368
2020-03-06,28.8,30.0,26.6,27.65,321679
2020-03-13,26.0,27.6,19.55,23.9,382853
2020-03-20,23.9,24.5,18.1,20.35,586235
2020-03-27,19.5,19.95,16.2,18.75,339555
2020-04-03,18.5,20.8,18.0,19.85,113229
2020-04-10,20.0,21.0,17.7,19.75,379730
2020-04-17,19.95,23.95,19.0,22.85,254501
2020-04-24,23.75,25.65,21.0,21.2,429823
2020-05-01,21.25,22.9,20.3,21.8,363152
2020-05-08,21.3,21.85,19.0,19.55,514554
2020-05-15,19.55,20.45,18.3,20.05,539765
2020-05-22,20.0,20.25,18.35,19.2,374363
2020-05-29,19.25,19.9,18.75,19.35,195084
2020-06-05,19.3,23.9,19.25,23.15,749961
2020-06-12,24.85,24.9,21.15,22.85,668349
2020-06-19,22.3,30.6,22.2,27.2,1435109
2020-06-26,27.3,28.0,24.9,26.3,687108
2020-07-03,28.0,28.8,24.8,25.0,926020
2020-07-10,25.7,31.0,24.65,26.9,2241191
2020-07-17,27.1,27.5,24.5,25.95,445533
2020-07-24,26.5,26.55,24.9,25.15,340856
2020-07-31,25.35,27.95,23.3,24.65,926475
2020-08-07,24.65,27.35,24.0,26.6,1181678
2020-08-14,26.75,28.7,25.5,27.45,994931
2020-08-21,27.5,33.75,27.45,31.1,2298373
2020-08-28,31.8,36.8,30.1,32.65,2128089
2020-09-04,33.0,33.0,28.0,29.9,627669
2020-09-11,30.7,31.4,27.1,27.75,739981
2020-09-18,28.65,30.45,27.4,28.8,1623535
2020-09-25,28.95,28.95,24.25,25.95,1332064
2020-10-02,26.5,26.7,24.9,25.05,346138
2020-10-09,25.2,25.95,24.15,24.35,616027
2020-10-16,24.6,24.6,22.5,22.8,527238
2020-10-23,23.0,25.45,23.0,23.8,496702
2020-10-30,23.75,23.9,22.35,22.6,353107
2020-11-06,22.5,28.0,21.45,26.85,1946968
2020-11-13,26.85,27.6,24.05,26.8,1292959
2020-11-20,27.25,32.5,27.1,32.15,2348507
2020-11-27,33.05,36.6,32.4,35.85,2665586
2020-12-04,36.0,43.65,36.0,39.4,5323947
2020-12-11,39.35,40.85,36.4,39.05,1489192
2020-12-18,39.8,39.85,37.0,37.55,1131228
2020-12-25,37.4,39.5,30.05,37.4,1318162
2021-01-01,37.4,44.6,36.6,42.3,5755575
2021-01-08,42.35,56.75,42.25,50.1,12508925
2021-01-15,50.8,50.9,47.0,47.45,1278421
2021-01-22,47.5,51.4,44.2,48.0,1916686
2021-01-29,49.45,49.45,45.2,45.8,2085274
2021-02-05,45.15,50.05,45.15,48.15,1322003
2021-02-12,48.1,59.5,47.75,55.95,8012485
2021-02-19,56.6,58.25,52.05,53.0,3695330
2021-02-26,53.8,60.25,51.0,57.5,2830685
2021-03-05,57.4,63.25,53.55,57.75,5170549
2021-03-12,58.9,68.5,57.75,67.65,4777009
2021-03-19,67.75,69.55,53.8,61.1,4201520
2021-03-26,61.3,65.4,58.05,63.9,1913123
2021-04-02,63.35,67.95,62.05,67.35,940346
2021-04-09,67.9,71.75,64.3,71.25,1927956
2021-04-16,70.0,70.0,62.0,63.7,1196068
2021-04-23,61.55,85.0,61.5,83.95,5502538
2021-04-30,85.95,98.0,77.85,91.85,7059866
2021-05-07,92.5,99.1,88.5,91.3,3189368
2021-05-14,93.0,93.0,84.35,85.25,983060
2021-05-21,84.55,94.7,84.55,89.4,2246627
2021-05-28,90.2,120.7,90.0,111.8,21126717
2021-06-04,113.8,130.0,109.35,124.4,13474797
2021-06-11,125.3,133.5,115.0,123.65,9432030
2021-06-18,125.0,142.5,116.7,139.45,14888926
2021-06-25,136.5,142.8,130.5,137.0,7127120
2021-07-02,138.0,145.25,134.0,141.8,5116862
2021-07-09,142.9,143.4,127.7,132.45,4337403
2021-07-16,133.0,144.0,124.1,141.8,8163865
2021-07-23,142.0,149.9,130.8,140.35,11377241
