date,open,high,low,close,volume
2019-11-08,40.15,40.4,38.7,38.9,244089
2019-11-15,38.9,42.9,37.9,39.6,1734762
2019-11-22,41.55,42.0,39.05,39.15,631864
2019-11-29,39.05,39.9,38.05,39.15,525105
2019-12-06,39.2,39.2,36.85,37.25,208911
2019-12-13,37.5,41.5,36.25,38.85,1601718
2019-12-20,39.0,39.85,38.2,38.45,256620
2019-12-27,38.15,41.85,37.8,40.65,1452434
2020-01-03,40.2,42.5,39.05,42.1,1347941
2020-01-10,44.0,50.2,44.0,46.45,6928651
2020-01-17,47.85,51.35,46.2,47.25,2307539
2020-01-24,47.6,50.9,44.2,49.9,2528167
2020-01-31,53.05,54.9,47.65,48.2,2785650
2020-02-07,47.95,50.5,38.2,39.05,1960136
2020-02-14,38.75,40.4,36.35,36.55,570103
2020-02-21,36.75,37.7,34.25,36.6,378654
2020-02-28,37.05,37.7,32.0,32.3,458315
2020-03-06,33.5,33.8,29.35,29.7,325640
2020-03-13,28.2,30.1,20.5,30.1,485756
2020-03-20,27.8,30.35,23.65,26.9,423934
2020-03-27,22.65,30.8,22.65,27.2,700730
2020-04-03,26.7,32.9,25.5,29.25,1292485
2020-04-10,29.85,41.25,29.2,40.2,2150509
2020-04-17,40.0,45.4,36.6,40.95,3210941
2020-04-24,41.0,43.6,37.5,42.65,1798272
2020-05-01,43.0,44.0,40.4,41.2,1018317
2020-05-08,40.1,44.5,39.45,40.4,2356353
2020-05-15,40.85,44.85,38.8,41.85,2017151
2020-05-22,41.8,41.8,39.0,39.75,564383
2020-05-29,39.75,43.7,39.4,42.95,1133613
2020-06-05,44.7,46.2,41.5,43.4,2306254
2020-06-12,43.7,47.3,41.8,44.3,2254042
2020-06-19,44.0,46.5,43.15,44.35,1982441
2020-06-26,44.35,54.8,44.25,50.5,5473609
2020-07-03,50.0,52.8,47.5,47.9,2103196
2020-07-10,50.0,52.6,48.3,49.15,2932060
2020-07-17,49.45,49.55,45.3,47.45,664305
2020-07-24,47.6,52.4,45.5,48.95,3193975
2020-07-31,48.75,49.6,46.75,47.1,1519261
2020-08-07,46.95,52.3,46.1,50.95,3034445
2020-08-14,51.0,51.2,47.9,48.5,1199112
2020-08-21,48.3,52.45,48.3,49.95,2687471
2020-08-28,50.45,50.8,48.3,48.6,738349
2020-09-04,48.7,49.5,46.05,46.6,566237
2020-09-11,46.6,46.95,44.15,46.25,608434
2020-09-18,46.55,48.0,45.75,46.0,280404
2020-09-25,46.0,46.6,41.2,43.1,188382
2020-10-02,48.4,48.4,44.75,46.15,1006200
2020-10-09,45.6,46.5,44.25,44.35,433750
2020-10-16,44.25,44.95,41.5,42.45,257352
2020-10-23,43.45,55.7,42.8,48.05,6007655
2020-10-30,47.55,49.85,45.55,45.95,1152320
2020-11-06,46.45,55.05,45.8,49.35,2714949
2020-11-13,49.85,51.1,46.05,48.2,1476077
2020-11-20,51.65,52.45,48.4,49.0,1052622
2020-11-27,50.2,52.6,48.7,51.25,1816586
2020-12-04,54.9,56.0,52.0,52.45,2887542
2020-12-11,52.95,58.5,52.2,55.5,2746660
2020-12-18,55.25,58.05,54.55,55.15,1560501
2020-12-25,55.05,55.35,48.05,53.95,1174556
2021-01-01,54.0,65.2,52.5,60.65,9062957
2021-01-08,61.25,76.0,60.65,76.0,10272931
2021-01-15,85.0,93.0,80.35,83.8,15432925
2021-01-22,85.0,89.9,81.5,82.6,2598815
2021-01-29,86.5,86.95,73.1,83.6,2711693
2021-02-05,84.0,87.7,80.3,85.1,2817394
2021-02-12,86.5,87.0,78.8,79.3,3195675
2021-02-19,79.45,82.85,75.0,77.5,2464984
2021-02-26,77.8,95.85,75.2,87.85,12116011
2021-03-05,88.9,126.95,87.85,126.95,22508857
2021-03-12,135.3,139.2,112.75,118.3,9001953
2021-03-19,117.35,123.0,97.9,104.05,2914734
2021-03-26,107.0,119.0,102.0,112.95,3441950
2021-04-02,113.95,116.0,108.6,112.0,945523
2021-04-09,111.9,126.0,105.6,114.65,4040559
2021-04-16,110.0,115.0,101.25,110.2,2577154
2021-04-23,104.0,110.5,100.65,105.85,1249415
2021-04-30,107.5,117.1,105.2,109.25,3778040
2021-05-07,108.35,124.35,106.0,117.9,4837303
2021-05-14,119.05,133.8,117.0,130.85,5885476
2021-05-21,134.5,139.0,125.0,128.3,4915943
2021-05-28,129.0,131.4,122.0,125.2,2551555
2021-06-04,126.0,127.75,120.5,122.0,1234614
2021-06-11,122.85,129.9,121.8,126.85,2209511
2021-06-18,125.6,150.9,121.1,144.05,17911833
2021-06-25,139.3,153.0,133.55,134.35,6552725
2021-07-02,135.4,142.0,131.1,137.1,3440461
2021-07-09,138.0,145.6,134.85,138.9,2353559
2021-07-16,139.5,142.65,135.0,138.35,2160075
2021-07-23,137.3,140.8,132.15,134.85,1085288
2021-07-30,136.8,146.65,130.05,141.05,4229230
2021-08-06,142.15,142.4,130.85,134.75,1345966
2021-08-13,134.85,135.4,118.0,128.6,2669242
2021-08-20,128.5,133.95,116.85,119.45,756973
2021-08-27,120.1,121.2,109.0,118.95,1009877
2021-09-03,120.4,129.0,119.35,125.2,1146041
2021-09-10,125.2,131.0,121.3,126.95,661763
2021-09-17,126.95,129.35,120.75,122.8,708502
