date,open,high,low,close,volume
2019-11-08,625.0,640.0,584.4,616.9,73931
2019-11-15,611.0,667.5,539.05,545.25,168102
2019-11-22,545.0,548.45,495.0,503.6,137312
2019-11-29,524.0,524.0,425.65,433.55,92079
2019-12-06,438.0,527.0,401.15,503.6,211773
2019-12-13,501.95,590.0,488.4,584.45,81296
2019-12-20,589.95,613.9,544.05,603.7,85244
2019-12-27,592.2,610.9,583.5,600.5,44663
2020-01-03,600.0,628.45,564.2,611.85,59680
2020-01-10,617.75,617.8,582.0,595.2,34765
2020-01-17,598.75,598.95,565.35,574.3,162371
2020-01-24,576.05,585.0,543.0,584.3,145928
2020-01-31,580.0,615.0,576.85,611.6,88734
2020-02-07,598.0,614.2,575.0,601.3,135185
2020-02-14,605.05,605.05,550.0,556.4,61708
2020-02-21,559.8,569.7,522.8,551.25,56881
2020-02-28,547.9,560.95,496.0,504.0,37682
2020-03-06,501.0,546.95,451.2,498.2,94607
2020-03-13,513.0,513.0,332.05,401.2,115673
2020-03-20,363.35,389.8,298.05,331.5,170112
2020-03-27,330.0,330.0,217.35,277.2,104786
2020-04-03,293.0,303.95,251.1,289.85,23030
2020-04-10,302.0,323.8,285.3,322.75,23094
2020-04-17,334.9,337.9,310.2,313.65,35106
2020-04-24,328.9,328.9,300.05,313.7,44556
2020-05-01,326.0,326.65,301.1,307.55,28782
2020-05-08,307.2,318.7,292.0,309.7,55563
2020-05-15,319.0,325.0,305.05,310.3,30914
2020-05-22,295.1,318.5,268.0,288.3,82508
2020-05-29,298.0,323.0,280.0,293.9,106559
2020-06-05,295.0,357.0,285.05,357.0,384071
2020-06-12,380.0,421.9,348.0,360.05,144340
2020-06-19,360.05,399.0,352.0,368.4,41656
2020-06-26,379.0,414.5,366.1,375.65,442916
2020-07-03,379.0,379.0,351.55,358.0,70895
2020-07-10,375.0,375.0,340.55,343.0,168877
2020-07-17,343.0,424.2,335.0,418.3,1135529
2020-07-24,422.45,465.95,396.2,403.85,432020
2020-07-31,412.0,419.9,367.1,401.9,431441
2020-08-07,404.0,499.0,401.05,479.85,665168
2020-08-14,480.0,509.9,450.1,458.65,634578
2020-08-21,461.0,522.8,461.0,517.5,1001792
2020-08-28,521.0,571.5,502.65,550.55,1148271
2020-09-04,551.0,554.8,504.1,531.3,366392
2020-09-11,535.1,544.3,513.25,522.9,196716
2020-09-18,540.0,549.0,519.5,532.15,325488
2020-09-25,539.85,544.5,490.1,500.35,488779
2020-10-02,509.0,510.0,484.05,490.85,103643
2020-10-09,493.0,508.0,477.5,482.6,113518
2020-10-16,487.35,504.9,465.65,490.0,127392
2020-10-23,497.5,514.65,490.0,504.55,200605
2020-10-30,511.0,511.0,442.15,479.75,154332
2020-11-06,489.85,506.0,462.05,497.3,83619
2020-11-13,504.0,531.9,479.95,528.2,363285
2020-11-20,537.65,541.5,505.05,514.0,371539
2020-11-27,515.0,598.0,510.1,574.4,1243756
2020-12-04,598.0,623.3,570.55,588.8,680807
2020-12-11,588.8,592.0,558.35,576.55,397479
2020-12-18,579.25,639.85,557.0,589.2,942426
2020-12-25,594.0,597.7,536.0,563.45,235786
2021-01-01,566.0,584.0,560.25,577.75,154534
2021-01-08,580.6,650.0,568.0,621.45,1503674
2021-01-15,622.0,643.0,590.0,593.8,433072
2021-01-22,605.8,634.0,588.0,590.4,515819
2021-01-29,592.4,620.0,565.0,568.0,184284
2021-02-05,570.0,597.0,560.0,583.0,126585
2021-02-12,591.0,609.1,556.1,574.15,445309
2021-02-19,580.0,584.95,531.15,536.85,302162
2021-02-26,534.2,592.0,525.1,575.0,656612
2021-03-05,588.9,634.9,566.5,600.3,939538
2021-03-12,611.7,619.0,587.0,614.6,339031
2021-03-19,619.0,619.0,555.0,577.6,138941
2021-03-26,580.35,614.65,569.15,580.35,207147
2021-04-02,575.1,616.0,565.8,610.0,169429
2021-04-09,619.0,715.0,595.5,701.7,1566970
2021-04-16,700.0,780.0,662.0,729.45,2024016
2021-04-23,705.0,739.0,685.0,717.4,423550
2021-04-30,725.0,842.0,708.4,798.55,1892581
2021-05-07,798.55,862.9,775.1,854.65,978613
2021-05-14,865.0,868.0,812.25,828.05,505581
2021-05-21,828.05,864.0,809.55,831.0,444840
2021-05-28,832.5,888.8,814.0,819.0,639213
2021-06-04,820.0,1060.0,814.65,1038.7,5067442
2021-06-11,1048.4,1199.0,1015.0,1128.95,1484704
2021-06-18,1135.0,1238.0,1045.0,1141.0,1182513
2021-06-25,1134.0,1179.9,1080.05,1088.55,260983
2021-07-02,1090.0,1213.8,1025.1,1159.5,645707
