date,open,high,low,close,volume
2020-01-17,189.3,216.2,189.05,214.0,4839624
2020-01-24,216.0,216.9,191.1,192.1,6171548
2020-01-31,192.55,199.5,185.2,185.85,1496987
2020-02-07,184.9,189.95,180.4,180.75,1563287
2020-02-14,181.8,184.0,176.0,179.4,1286181
2020-02-21,178.0,181.35,168.95,172.95,1778899
2020-02-28,171.1,188.75,170.0,171.2,3289099
2020-03-06,173.1,178.65,149.1,150.0,868322
2020-03-13,147.0,148.15,87.55,103.75,8288802
2020-03-20,99.0,105.6,85.05,89.85,2271751
2020-03-27,84.0,84.0,69.05,81.0,1675926
2020-04-03,84.95,96.4,79.05,95.15,1718843
2020-04-10,99.8,110.05,96.1,109.8,519591
2020-04-17,114.5,115.7,104.4,114.55,875310
2020-04-24,117.25,117.85,101.05,102.4,973441
2020-05-01,103.5,109.85,98.5,105.0,614082
2020-05-08,103.0,103.8,97.9,100.25,442452
2020-05-15,100.9,103.7,95.1,102.8,444186
2020-05-22,103.1,104.5,96.7,100.6,636533
2020-05-29,101.05,107.5,99.15,106.2,750945
2020-06-05,107.8,133.95,107.7,129.2,1362653
2020-06-12,132.2,141.75,128.7,137.6,1693676
2020-06-19,138.5,144.9,130.45,140.15,1168434
2020-06-26,141.9,154.8,138.2,138.65,1185083
2020-07-03,138.9,145.2,133.0,144.5,949025
2020-07-10,145.7,180.0,140.5,160.55,4724994
2020-07-17,161.9,163.8,149.1,153.8,1883178
2020-07-24,153.8,163.9,151.05,152.05,3376793
2020-07-31,149.45,149.45,137.05,138.3,1329230
2020-08-07,139.0,146.6,135.25,144.2,1487868
2020-08-14,146.9,154.0,144.25,150.45,1159845
2020-08-21,150.55,164.4,148.8,161.9,1955147
2020-08-28,164.5,178.8,159.2,165.65,3051658
2020-09-04,165.6,168.0,156.25,161.9,771569
2020-09-11,162.0,165.0,155.0,159.95,656074
2020-09-18,163.9,173.75,162.25,164.0,1209670
2020-09-25,164.95,167.25,150.2,158.9,861617
2020-10-02,160.3,164.85,157.8,158.35,580276
2020-10-09,159.2,164.0,152.55,153.85,472235
2020-10-16,155.05,155.7,141.3,143.75,320213
2020-10-23,145.0,160.45,143.0,157.9,686674
2020-10-30,159.95,168.2,153.5,156.85,2249557
2020-11-06,158.95,163.0,148.05,151.55,1018857
2020-11-13,153.0,171.0,148.5,167.95,1022198
2020-11-20,170.1,170.1,158.3,164.6,1210048
2020-11-27,165.85,175.25,161.55,169.95,1426809
2020-12-04,170.0,214.4,169.95,204.6,5641403
2020-12-11,200.0,208.2,193.0,193.7,1857185
2020-12-18,196.0,206.7,193.1,198.7,1773140
2020-12-25,199.55,203.8,177.1,199.6,882781
2021-01-01,202.95,213.5,199.7,212.1,2261323
2021-01-08,214.0,219.0,207.05,215.1,1655312
2021-01-15,218.0,218.0,209.4,210.2,1152927
2021-01-22,209.0,219.0,203.25,211.6,1209392
2021-01-29,212.5,224.0,202.45,204.2,2909044
2021-02-05,208.3,216.35,197.55,209.85,1229196
2021-02-12,215.7,215.7,206.25,207.5,877010
2021-02-19,207.6,220.8,206.45,218.55,1636621
2021-02-26,218.0,222.0,210.35,215.0,1060747
2021-03-05,220.0,258.0,217.0,245.8,3293924
2021-03-12,246.0,249.95,232.0,243.05,1125824
2021-03-19,243.4,248.0,220.35,231.1,979691
2021-03-26,232.3,233.95,215.55,218.15,658088
2021-04-02,218.15,233.1,217.35,229.8,457205
2021-04-09,230.1,241.4,226.7,237.2,959801
2021-04-16,235.95,235.95,215.05,231.25,1190501
2021-04-23,231.0,232.9,220.5,230.6,588483
2021-04-30,233.95,249.95,228.0,236.0,2594276
2021-05-07,239.8,244.8,234.1,240.75,1276102
2021-05-14,240.75,274.95,240.75,248.95,3612435
2021-05-21,250.5,267.85,250.5,258.85,1330514
2021-05-28,260.0,274.0,256.4,266.0,2260718
2021-06-04,266.95,275.0,255.2,273.05,1311983
2021-06-11,275.1,293.1,275.1,283.35,2599043
2021-06-18,284.8,296.55,271.05,286.95,1679718
2021-06-25,280.0,289.9,261.0,275.35,668563
2021-07-02,280.0,286.25,265.5,284.35,1006503
2021-07-09,286.6,302.4,278.85,291.95,2791846
2021-07-16,294.85,321.8,286.5,319.7,3461805
2021-07-23,316.0,317.4,292.45,304.65,1426554
2021-07-30,306.2,398.0,305.1,373.05,8432467
2021-08-06,376.45,401.6,360.5,380.75,2702736
2021-08-13,383.2,384.5,333.55,359.2,1530617
2021-08-20,354.1,364.0,332.25,334.55,643295
2021-08-27,336.15,363.7,310.0,352.15,2182704
2021-09-03,360.0,379.0,355.5,374.85,3275879
2021-09-10,376.8,392.0,360.7,381.55,2737836
2021-09-17,383.9,413.8,376.25,395.55,4518032
2021-09-24,391.0,423.9,367.05,419.5,4182439
2021-10-01,425.0,455.5,421.25,448.85,5199311
2021-10-08,459.0,483.0,442.05,444.4,3008679
2021-10-15,447.45,474.75,435.0,458.35,1505950
2021-10-22,465.4,474.5,424.4,449.55,1469140
2021-10-29,450.0,453.9,405.0,422.15,1081858
2021-11-05,434.0,438.2,420.1,428.4,380884
2021-11-12,435.0,435.55,412.35,415.5,465229
2021-11-19,417.5,420.0,378.25,385.4,781056
2021-11-26,385.4,399.1,359.65,375.35,736238
2021-12-03,382.0,432.0,377.35,424.6,2100243
2021-12-10,430.0,434.9,390.0,405.95,1640454
2021-12-17,410.1,410.15,367.3,373.15,569956
2021-12-24,373.15,378.95,348.5,369.45,371386
2021-12-31,370.0,381.9,364.4,376.75,325336
2022-01-07,376.75,392.25,375.0,381.6,530524
2022-01-14,390.0,445.0,382.0,442.2,3268479
2022-01-21,442.2,457.0,430.95,436.4,1509325
2022-01-28,430.05,459.9,398.65,436.7,1901442
2022-02-04,446.0,488.4,415.15,475.9,2551071
2022-02-11,478.95,478.95,427.3,442.45,1596484
2022-02-18,431.0,436.7,401.15,412.2,783541
2022-02-25,411.0,434.7,385.0,415.4,1302770
2022-03-04,410.9,438.0,400.05,427.65,706595
2022-03-11,425.0,499.9,411.0,493.95,2674635
2022-03-18,508.3,553.0,500.95,531.6,4272766
2022-03-25,534.7,578.25,514.45,521.6,2863128
2022-04-01,522.1,584.0,510.85,577.45,3322123
2022-04-08,569.0,579.8,525.15,551.0,1750124
2022-04-15,551.6,591.0,545.0,573.4,2322124
2022-04-22,575.0,608.8,567.7,579.35,3193393
2022-04-29,579.35,631.25,561.8,619.25,3718724
2022-05-06,635.0,682.0,592.25,595.55,7443295
2022-05-13,590.0,628.0,578.75,589.8,4480933
2022-05-20,600.0,651.0,576.1,640.5,4478477
2022-05-27,647.5,650.0,541.3,593.1,2859002
2022-06-03,604.0,682.0,601.15,640.4,3963831
2022-06-10,640.3,686.9,626.25,663.4,2412477
2022-06-17,650.0,665.25,566.75,590.2,2460853
2022-06-24,590.1,598.2,546.1,551.35,1869603
2022-07-01,564.5,587.25,558.55,584.0,1520349
2022-07-08,581.0,634.9,571.25,631.4,1767123
2022-07-15,628.5,653.9,621.0,644.9,1185326
2022-07-22,650.0,665.0,642.0,655.85,1741177
2022-07-29,655.9,695.6,636.0,644.1,4579300
2022-08-05,647.0,650.2,602.05,604.45,2081771
2022-08-12,608.6,638.0,604.45,616.5,2099982
2022-08-19,621.0,644.6,607.4,616.7,1836618
2022-08-26,611.1,623.75,588.15,606.0,1730554
2022-09-02,586.0,617.0,585.0,613.1,1597063
2022-09-09,617.35,654.0,610.3,649.15,3247106
2022-09-16,654.95,708.8,647.0,670.95,6467934
2022-09-23,688.95,707.6,670.05,690.6,2554740
2022-09-30,690.6,690.6,625.5,649.75,1963334
2022-10-07,638.0,685.9,635.0,679.1,1210038
2022-10-14,672.0,686.95,660.0,667.2,1075862
2022-10-21,667.0,696.1,645.5,655.75,1555667
2022-10-28,664.0,674.0,643.05,646.05,798421
2022-11-04,652.25,664.0,629.1,631.1,2446600
2022-11-11,641.8,641.8,600.0,604.05,1066853
2022-11-18,598.0,606.75,568.85,575.5,1768414
2022-11-25,574.9,586.0,565.0,569.15,918248
2022-12-02,561.5,586.45,560.15,575.55,1331707
2022-12-09,575.8,578.3,528.95,530.9,1573133
2022-12-16,527.85,549.85,495.0,524.1,4582380
2022-12-23,524.1,534.8,480.0,486.15,1710413
2022-12-30,486.4,519.7,481.3,510.4,908379
2023-01-06,513.0,544.0,512.0,527.05,1008765
2023-01-13,530.05,552.2,518.0,533.85,1313307
2023-01-20,535.0,547.35,505.05,507.65,979993
2023-01-27,508.0,512.65,485.35,488.7,579358
2023-02-03,488.7,496.97,464.15,483.59,2070055
2023-02-10,484.17,501.03,483.3,492.0,1004217
2023-02-17,494.46,511.04,487.46,499.25,660248
2023-02-24,499.25,513.16,491.47,500.65,927064
2023-03-03,501.56,510.84,488.95,498.71,973859
2023-03-10,499.39,506.25,493.83,496.83,579316
2023-03-17,488.08,508.33,488.08,498.81,2348877
2023-03-24,498.81,509.05,482.33,502.58,2146440
2023-03-31,501.71,502.53,471.61,486.63,1123743
2023-04-07,499.1,532.49,474.8,516.75,1279256
2023-04-14,516.75,516.75,483.6,489.2,268806
2023-04-21,489.75,495.0,469.65,485.15,443744
2023-04-28,499.0,505.45,479.8,484.65,789928
2023-05-05,489.0,499.7,484.0,490.85,747000
2023-05-12,490.85,512.0,485.05,506.2,623639
2023-05-19,501.0,523.2,501.0,510.85,667977
2023-05-26,515.0,515.0,496.0,497.45,446219
2023-06-02,499.35,501.55,481.1,487.0,806484
2023-06-09,491.95,497.05,486.0,490.55,702409
2023-06-16,495.0,509.0,487.2,503.35,1297178
2023-06-23,510.65,527.05,498.05,507.0,1606766
2023-06-30,506.9,517.3,504.75,515.7,1028635
2023-07-07,520.0,549.8,506.15,537.95,1974138
2023-07-14,542.15,542.15,510.4,517.0,959530
2023-07-21,512.25,536.25,512.25,522.25,947255
2023-07-28,524.9,525.25,511.5,521.2,1021787
2023-08-04,522.7,556.0,522.7,542.35,1798044
2023-08-11,547.7,560.0,528.05,528.45,2869457
2023-08-18,528.8,533.85,510.5,513.0,1043232
2023-08-25,517.95,523.4,503.7,523.25,2059524
2023-09-01,518.0,630.15,516.2,607.65,8076201
2023-09-08,612.5,626.45,598.0,619.75,2833669
2023-09-15,626.9,652.9,615.55,647.8,3294225
2023-09-22,648.0,659.9,605.55,629.05,1404830
2023-09-29,629.1,633.65,611.45,615.55,878939
2023-10-06,615.55,622.45,605.85,620.75,696861
2023-10-13,619.45,652.4,602.95,619.15,2189876
2023-10-20,610.2,624.4,600.5,602.55,1051064
2023-10-27,602.0,607.05,561.25,586.75,914228
2023-11-03,589.7,593.4,566.6,568.2,583961
2023-11-10,568.2,571.8,525.05,532.25,2774718
2023-11-17,535.5,539.0,517.0,518.85,799097
2023-11-24,520.0,547.95,519.95,538.25,1139693
2023-12-01,538.25,562.55,534.75,554.15,1337692
2023-12-08,554.9,599.7,548.95,573.15,3230314
2023-12-15,573.15,590.0,556.05,577.55,1491255
2023-12-22,577.6,582.2,544.8,564.6,988650
2023-12-29,569.15,587.0,557.2,581.0,979599
2024-01-05,587.0,616.95,583.1,605.15,1578457
2024-01-12,609.9,629.0,587.15,607.45,1834079
2024-01-19,610.0,612.35,583.0,589.85,1051895
