date,open,high,low,close,volume
2020-11-20,1710.0,1850.0,1700.0,1819.55,11310647
2020-11-27,1844.0,2222.0,1840.0,2113.0,10618600
2020-12-04,2120.0,2239.0,2110.0,2178.45,2448627
2020-12-11,2179.0,2438.85,2164.0,2241.6,1910977
2020-12-18,2245.0,2273.0,2115.5,2226.5,3354265
2020-12-25,2244.95,2440.0,2152.15,2408.35,2987497
2021-01-01,2439.0,2508.55,2296.0,2369.7,1543901
2021-01-08,2390.05,2488.4,2350.1,2368.1,1534458
2021-01-15,2384.95,2401.95,2175.0,2366.2,1469409
2021-01-22,2390.0,2394.0,2184.9,2284.5,1268616
2021-01-29,2295.0,2295.0,2101.0,2116.3,960832
2021-02-05,2120.0,2312.0,2071.0,2293.7,1199444
2021-02-12,2314.0,2345.2,2179.55,2188.0,996033
2021-02-19,2200.0,2492.0,2157.25,2419.05,1846619
2021-02-26,2418.0,2483.95,2325.05,2390.0,796134
2021-03-05,2425.0,2693.0,2308.55,2549.6,1439918
2021-03-12,2569.95,2600.0,2461.05,2473.0,572861
2021-03-19,2456.05,2783.85,2414.1,2554.35,1812885
2021-03-26,2556.5,2556.5,2365.0,2412.65,542948
2021-04-02,2425.0,2514.9,2425.0,2455.3,443398
2021-04-09,2470.0,2571.0,2400.0,2530.55,597746
2021-04-16,2518.0,2710.0,2446.15,2627.2,1949013
2021-04-23,2601.0,2873.0,2560.45,2658.25,2442056
2021-04-30,2674.0,2818.3,2605.0,2781.55,1218175
2021-05-07,2805.15,2836.0,2595.0,2647.05,1236336
2021-05-14,2675.0,2983.0,2641.15,2865.2,1763981
2021-05-21,2948.0,3514.85,2770.0,3169.2,4731176
2021-05-28,3208.0,3363.0,3102.0,3205.0,1897029
2021-06-04,3200.0,3211.75,3031.0,3134.15,1122746
2021-06-11,3132.0,3190.0,3080.2,3147.95,646768
2021-06-18,3147.95,3238.35,3021.9,3073.55,1335871
2021-06-25,3050.0,3220.0,3013.55,3190.35,964666
2021-07-02,3204.7,3555.0,3171.25,3462.6,1864691
2021-07-09,3494.7,3678.05,3375.5,3635.45,1077636
2021-07-16,3668.2,3999.9,3562.0,3956.8,1519542
2021-07-23,3877.0,4172.0,3761.95,4016.85,3047494
2021-07-30,4012.0,4080.0,3778.0,3930.45,1507585
2021-08-06,3958.9,4092.0,3880.0,3990.25,1169695
2021-08-13,4009.0,4350.0,3997.3,4287.2,1740548
2021-08-20,4252.0,4300.0,3930.0,3959.1,591867
2021-08-27,4088.0,4088.0,3762.0,3930.25,1626727
2021-09-03,3870.0,4023.0,3863.25,3989.0,1415527
2021-09-10,4045.0,4050.0,3865.0,3878.45,646904
2021-09-17,3878.45,4179.65,3760.0,3962.9,1540752
2021-09-24,3948.0,3957.0,3769.55,3844.05,388243
2021-10-01,3900.0,3900.0,3604.3,3727.6,710428
2021-10-08,3760.0,4072.0,3705.05,3850.0,854660
2021-10-15,3889.7,3924.6,3737.0,3780.5,415371
2021-10-22,3809.9,3819.95,3335.45,3693.95,1044729
2021-10-29,3680.0,3780.0,3312.15,3700.2,1953391
2021-11-05,3700.0,3730.0,3643.5,3676.05,377656
2021-11-12,3639.75,3719.9,3425.0,3449.75,683504
2021-11-19,3459.85,3680.0,3393.45,3418.45,675000
2021-11-26,3449.95,3588.0,3355.0,3504.85,1112738
2021-12-03,3477.65,3685.0,3425.0,3649.3,1364580
2021-12-10,3660.0,3660.4,3505.0,3600.5,636967
2021-12-17,3610.0,3737.0,3492.0,3649.7,608766
2021-12-24,3605.95,3919.0,3566.25,3893.85,1590441
2021-12-31,3874.9,3961.0,3831.0,3864.55,594584
2022-01-07,3845.0,4062.95,3841.15,3914.85,794887
2022-01-14,3915.0,3930.95,3676.0,3723.85,769920
2022-01-21,3718.0,3725.65,3555.0,3568.1,641403
2022-01-28,3545.0,3545.0,3242.15,3321.95,1321810
2022-02-04,3320.0,3598.0,3266.5,3513.95,1240591
2022-02-11,3506.0,3598.0,3373.35,3543.15,663338
2022-02-18,3498.0,3575.0,3190.0,3217.5,1264430
2022-02-25,3211.0,3400.0,3120.0,3316.05,930712
2022-03-04,3312.0,3312.0,3185.0,3248.55,433637
2022-03-11,3210.0,3381.1,3129.8,3329.4,632320
2022-03-18,3340.0,3374.05,3256.0,3300.15,413879
2022-03-25,3332.2,3332.95,3170.0,3199.95,1702368
2022-04-01,3205.0,3359.0,3180.0,3342.8,1108250
2022-04-08,3343.0,3395.0,3255.65,3266.0,954391
2022-04-15,3255.0,3302.0,3181.0,3196.5,825799
2022-04-22,3180.0,3559.4,3163.65,3339.3,2292764
2022-04-29,3325.0,3370.0,3039.0,3201.85,1225942
2022-05-06,3199.9,3239.95,3024.85,3055.85,567797
2022-05-13,3022.65,3089.7,2801.0,2996.6,1279912
2022-05-20,3019.95,3179.7,3002.05,3065.7,582166
2022-05-27,3101.7,3179.35,2675.9,2905.85,973784
2022-06-03,2960.0,2977.0,2770.65,2839.95,931878
2022-06-10,2838.0,2868.5,2751.65,2782.9,670694
2022-06-17,2754.0,2758.2,2550.0,2567.15,1281886
