date,open,high,low,close,volume
2020-12-11,25.08,30.45,25.08,30.45,362068
2020-12-18,31.93,38.75,30.45,36.95,670852
2020-12-25,37.93,37.93,31.73,33.38,440906
2021-01-01,35.03,35.43,31.28,33.33,356564
2021-01-08,34.98,34.98,30.88,32.63,102976
2021-01-15,32.78,33.58,31.25,31.48,59380
2021-01-22,31.03,31.7,26.25,26.83,139448
2021-01-29,25.5,27.88,25.5,26.6,66290
2021-02-05,26.65,28.13,25.28,25.73,53144
2021-02-12,26.45,27.25,25.03,25.48,96722
2021-02-19,25.58,26.45,24.75,24.85,47582
2021-02-26,23.85,25.0,23.5,24.4,48062
2021-03-05,24.63,25.5,23.9,24.73,66730
2021-03-12,25.38,25.95,24.18,24.58,27774
2021-03-19,25.25,25.25,21.0,22.13,40334
2021-03-26,22.1,22.23,20.03,20.1,82364
2021-04-02,21.03,21.03,17.75,18.75,38900
2021-04-09,19.5,21.6,17.83,21.6,75526
2021-04-16,21.6,22.45,19.25,19.68,107194
2021-04-23,19.68,20.6,18.7,19.15,29968
2021-04-30,19.5,23.48,18.73,23.08,176190
2021-05-07,23.75,24.53,21.3,21.63,116074
2021-05-14,21.63,22.35,20.33,21.63,128950
2021-05-21,22.7,27.55,22.7,26.38,573916
2021-05-28,27.48,27.68,24.75,25.15,178940
2021-06-04,25.83,27.83,24.53,26.83,358002
2021-06-11,27.03,28.15,25.6,26.58,392878
2021-06-18,26.85,27.88,24.63,25.55,246236
2021-06-25,26.4,26.4,23.83,24.35,139518
2021-07-02,24.35,25.93,24.15,24.88,101312
2021-07-09,25.73,25.73,23.75,24.23,138426
2021-07-16,23.75,25.5,23.3,24.55,106852
2021-07-23,25.5,25.5,23.43,24.1,94752
2021-07-30,24.6,24.9,23.0,23.35,59730
2021-08-06,24.45,24.45,22.0,22.48,73570
2021-08-13,23.53,25.05,22.28,23.48,81480
2021-08-20,23.95,24.98,22.25,22.5,21394
2021-08-27,23.18,24.45,20.33,22.45,64664
2021-09-03,22.6,23.0,21.08,22.28,57918
2021-09-10,21.73,22.48,20.28,21.95,35454
2021-09-17,22.35,24.38,21.73,22.83,94416
2021-09-24,23.25,24.8,22.05,22.9,54234
2021-10-01,23.88,23.88,22.03,22.6,29380
2021-10-08,22.98,23.75,21.5,23.33,124344
2021-10-15,24.0,24.48,22.35,23.55,128090
2021-10-22,23.95,24.25,21.85,22.68,84210
2021-10-29,23.45,23.45,20.0,22.05,180052
2021-11-05,23.18,23.18,21.35,22.38,20146
2021-11-12,22.8,23.45,20.35,22.25,52898
2021-11-19,23.2,23.2,21.05,21.7,53966
2021-11-26,22.33,22.33,20.28,21.45,49246
2021-12-03,21.48,22.28,19.53,20.85,60782
2021-12-10,20.95,22.0,20.08,21.2,48252
2021-12-17,21.5,22.0,21.03,21.95,78130
2021-12-24,20.5,28.83,20.5,28.83,393586
2021-12-31,31.5,34.98,29.4,32.25,2075166
2022-01-07,34.18,38.98,33.2,36.48,728100
2022-01-14,38.4,38.4,31.38,32.45,296930
2022-01-21,33.0,36.45,31.78,36.45,221572
2022-01-28,40.08,48.2,40.08,46.2,941438
2022-02-04,46.45,46.45,41.05,41.63,360000
2022-02-11,43.33,43.33,37.75,38.5,253490
2022-02-18,36.58,42.0,35.05,38.55,155758
2022-02-25,37.1,38.7,33.55,34.03,198920
2022-03-04,32.58,40.15,32.35,38.93,121842
