date,open,high,low,close,volume
2020-01-17,189.4,211.95,188.0,197.5,6140225
2020-01-24,196.9,214.9,192.0,209.0,5109240
2020-01-31,211.0,214.0,192.0,193.85,2311931
2020-02-07,194.0,201.4,169.05,182.05,3555184
2020-02-14,197.75,206.3,180.55,183.2,9616095
2020-02-21,183.0,183.8,170.65,176.95,1586879
2020-02-28,175.0,175.85,155.1,155.85,1724694
2020-03-06,168.0,168.0,145.65,146.4,1393852
2020-03-13,142.95,148.25,110.05,135.15,2315486
2020-03-20,130.8,132.7,104.75,115.9,1834707
2020-03-27,110.0,114.7,95.55,106.25,2829323
2020-04-03,105.8,119.5,100.0,109.2,3213837
2020-04-10,112.3,138.8,112.0,132.25,4749722
2020-04-17,133.9,149.8,125.55,145.05,4678605
2020-04-24,148.0,148.0,128.95,142.35,4395163
2020-05-01,144.9,151.8,139.05,140.7,5347213
2020-05-08,141.5,148.9,135.05,135.8,4742614
2020-05-15,137.45,145.45,130.5,138.35,4246082
2020-05-22,138.75,138.75,128.1,128.6,2562842
2020-05-29,130.0,136.9,124.4,130.65,4532452
2020-06-05,136.0,150.2,136.0,145.2,12178672
2020-06-12,147.75,166.4,143.9,152.5,14209043
2020-06-19,153.25,164.0,148.65,155.35,10924737
2020-06-26,155.6,165.3,155.05,161.1,8219632
2020-07-03,159.8,161.2,151.25,154.3,2934891
2020-07-10,158.0,178.8,156.6,173.2,12294332
2020-07-17,178.8,179.75,156.15,161.7,5953137
2020-07-24,162.5,168.6,160.6,161.75,5639728
2020-07-31,162.1,169.5,157.3,164.25,6433850
2020-08-07,163.8,168.65,161.55,165.8,3939575
2020-08-14,167.35,175.4,165.85,169.05,8155688
2020-08-21,170.45,196.4,169.1,195.5,11879415
2020-08-28,197.5,232.5,195.0,218.8,15625940
2020-09-04,220.0,221.5,185.2,208.75,4603240
2020-09-11,219.0,221.35,197.35,210.05,5927883
2020-09-18,211.85,228.7,206.6,223.35,9378361
2020-09-25,227.5,232.35,200.5,209.1,6879954
2020-10-02,212.1,219.45,207.0,212.75,3871674
2020-10-09,214.45,215.65,205.9,206.75,3145586
2020-10-16,207.75,208.4,183.2,196.9,3992610
2020-10-23,200.0,207.9,193.3,204.6,1983090
2020-10-30,205.65,215.2,203.7,205.8,2430685
2020-11-06,205.75,211.45,200.05,208.45,1916845
2020-11-13,208.45,210.9,189.35,192.3,3005684
2020-11-20,198.0,198.65,190.0,192.6,1595768
2020-11-27,193.75,211.85,192.7,210.15,4575221
2020-12-04,211.5,227.7,208.15,225.6,4923255
2020-12-11,225.6,254.75,223.05,242.85,10172025
2020-12-18,244.6,252.9,235.55,240.9,4879699
2020-12-25,239.0,239.5,205.55,228.75,5183308
2021-01-01,229.9,233.6,221.1,225.5,3245032
2021-01-08,226.4,233.0,220.9,222.85,4723181
2021-01-15,225.0,228.4,213.7,214.7,4623377
2021-01-22,214.6,220.95,208.35,213.3,4730567
2021-01-29,214.2,216.8,202.3,210.8,3152382
2021-02-05,211.45,239.9,209.25,228.15,9528926
2021-02-12,230.0,231.8,222.0,225.45,4239782
2021-02-19,226.25,238.6,224.3,232.35,6174383
2021-02-26,241.0,299.0,235.2,291.65,20279072
2021-03-05,300.0,339.7,297.35,307.45,17392261
2021-03-12,309.95,325.0,304.6,308.05,4352419
2021-03-19,309.1,320.9,287.2,304.85,5043458
2021-03-26,306.7,314.3,278.7,286.7,5193723
2021-04-02,289.3,313.75,284.0,312.0,2863516
2021-04-09,311.0,333.75,296.15,318.1,6028762
2021-04-16,308.2,329.5,294.25,318.05,3403385
2021-04-23,318.1,318.5,303.65,308.5,2815653
2021-04-30,312.3,373.65,307.45,361.85,16798291
2021-05-07,361.0,384.45,352.4,367.8,6567358
2021-05-14,370.85,422.4,367.0,388.95,11644363
2021-05-21,391.0,421.0,382.1,385.95,7362543
2021-05-28,387.45,395.7,365.0,380.0,5281401
2021-06-04,377.95,390.9,365.05,385.15,2540808
2021-06-11,385.0,391.85,369.0,370.5,3264241
2021-06-18,371.9,381.0,351.0,358.95,3675124
2021-06-25,351.0,373.8,350.3,360.95,2387249
2021-07-02,362.9,382.5,362.9,369.95,3247821
2021-07-09,370.0,381.65,361.1,364.95,2238427
2021-07-16,368.0,369.3,355.25,359.7,2202366
2021-07-23,359.0,372.0,351.2,364.6,1883375
2021-07-30,366.0,394.5,366.0,384.7,5194979
2021-08-06,387.7,389.35,364.0,364.5,2538703
2021-08-13,366.0,374.0,330.0,366.1,3058782
2021-08-20,368.1,371.0,330.1,334.05,1583205
2021-08-27,335.0,337.45,314.1,317.7,2612633
2021-09-03,319.0,340.05,319.0,335.9,2862912
2021-09-10,338.35,348.75,330.9,335.6,1720491
2021-09-17,334.95,352.7,327.45,334.35,3137943
2021-09-24,333.65,410.0,332.1,405.45,23861476
2021-10-01,412.5,451.8,412.5,425.2,15876784
2021-10-08,428.7,518.2,428.7,469.6,19612616
2021-10-15,471.5,488.65,452.8,474.6,5623678
2021-10-22,478.1,491.0,425.5,432.05,5298813
2021-10-29,433.9,475.8,426.3,460.6,6563536
2021-11-05,462.5,504.9,459.25,471.25,5187604
2021-11-12,469.5,477.7,460.1,468.95,2691266
2021-11-19,468.95,471.65,394.7,404.65,2977576
2021-11-26,403.85,425.8,390.1,412.8,3892260
2021-12-03,412.0,462.0,399.2,422.65,6966569
2021-12-10,422.0,426.6,404.6,422.1,2882498
2021-12-17,423.0,446.0,413.05,433.1,3277411
2021-12-24,422.0,428.5,404.0,411.1,1857357
2021-12-31,411.45,453.3,403.05,440.65,6254133
2022-01-07,441.4,479.55,437.3,451.55,9979922
2022-01-14,453.0,493.3,447.55,489.25,9207166
2022-01-21,487.45,507.45,470.75,484.35,12271914
2022-01-28,482.5,482.95,436.7,464.45,5473862
2022-02-04,470.0,481.15,453.5,455.2,4504007
2022-02-11,500.7,577.9,500.7,565.9,43446031
2022-02-18,553.0,575.8,524.0,548.2,14605069
2022-02-25,548.0,551.8,505.0,546.4,11436700
2022-03-04,544.0,609.75,537.05,598.8,16784802
2022-03-11,586.4,715.75,570.0,708.85,24373030
2022-03-18,707.0,768.6,684.0,759.3,29869344
2022-03-25,765.0,818.5,741.2,767.95,34306664
2022-04-01,773.0,875.35,770.0,862.75,22763777
2022-04-08,860.05,912.0,860.05,883.05,13423540
2022-04-15,885.6,900.85,833.85,865.2,8692072
2022-04-22,861.85,904.65,834.9,848.45,9634560
2022-04-29,846.4,862.9,807.1,827.55,9299470
2022-05-06,822.0,869.0,787.1,799.4,6735623
2022-05-13,782.05,854.7,614.05,618.75,43216225
2022-05-20,618.75,649.0,598.95,635.9,17768373
2022-05-27,641.0,679.4,568.8,626.3,18744152
2022-06-03,631.95,695.7,631.2,661.35,10585777
2022-06-10,657.65,683.8,617.7,622.15,7342697
2022-06-17,611.25,627.0,588.6,607.45,8125905
2022-06-24,606.05,615.0,533.0,581.95,12908211
2022-07-01,591.0,625.7,563.25,581.05,13234353
2022-07-08,580.0,623.95,578.0,619.9,7923183
2022-07-15,619.8,638.45,606.0,629.1,5409245
2022-07-22,638.0,676.75,631.15,669.8,8747642
2022-07-29,668.0,730.55,646.15,721.8,11006184
2022-08-05,725.45,781.65,723.35,771.05,9160236
2022-08-12,773.9,779.0,732.1,751.0,7603597
2022-08-19,754.8,798.5,751.05,762.35,7130751
2022-08-26,750.0,759.0,707.85,746.4,8243705
2022-09-02,720.0,758.4,715.05,740.25,6249792
2022-09-09,740.25,766.0,733.0,751.1,6701538
2022-09-16,754.9,789.25,721.6,725.3,7360812
2022-09-23,720.1,726.3,664.25,667.35,8063681
2022-09-30,662.0,662.0,614.5,641.65,6980630
2022-10-07,640.0,674.25,631.0,668.0,5386072
2022-10-14,659.0,708.0,639.1,698.05,12673250
2022-10-21,702.3,731.85,696.15,727.4,9727847
2022-10-28,730.5,735.0,698.85,700.85,2442357
