date,open,high,low,close,volume
2020-01-17,742.25,772.0,734.3,743.7,4463916
2020-01-24,747.4,753.55,722.2,749.35,3600461
2020-01-31,748.0,754.0,671.65,672.65,7071036
2020-02-07,675.8,688.4,645.5,646.8,9139647
2020-02-14,650.45,650.45,614.5,626.1,11081613
2020-02-21,626.1,637.9,613.0,631.05,5632068
2020-02-28,629.0,634.0,556.4,560.5,5840677
2020-03-06,574.0,654.85,573.8,638.9,12902681
2020-03-13,628.1,630.05,497.5,548.25,11701522
2020-03-20,540.0,549.1,475.55,499.1,13742385
2020-03-27,475.85,517.3,425.1,499.45,11573305
2020-04-03,489.95,565.3,479.2,531.45,8733705
2020-04-10,549.0,639.8,541.05,595.1,6287694
2020-04-17,565.0,598.9,543.05,552.75,10205892
2020-04-24,559.0,559.45,515.35,534.4,9307817
2020-05-01,537.0,546.9,526.85,543.2,6566419
2020-05-08,530.0,537.45,484.05,499.55,12445997
2020-05-15,508.0,572.5,505.05,543.5,15353443
2020-05-22,547.85,585.0,535.1,569.2,8235644
2020-05-29,570.0,639.95,568.15,633.8,10713150
2020-06-05,635.2,673.95,627.15,649.9,8928245
2020-06-12,659.0,677.0,591.25,606.8,8522399
2020-06-19,611.1,655.0,596.35,650.5,12217280
2020-06-26,655.9,696.8,650.05,685.45,10027899
2020-07-03,687.0,718.9,683.3,717.3,8670859
2020-07-10,719.9,721.7,685.45,697.25,7148327
2020-07-17,704.95,707.65,685.35,700.55,5119104
2020-07-24,703.0,710.0,665.6,680.0,6962945
2020-07-31,680.15,695.0,663.5,691.85,4638307
2020-08-07,696.0,708.5,672.45,689.1,8486502
2020-08-14,691.2,716.7,680.2,684.6,7111175
2020-08-21,685.0,697.85,670.6,683.5,3422776
2020-08-28,683.35,701.0,670.0,670.95,4118845
2020-09-04,676.9,679.5,641.0,655.75,6316468
2020-09-11,658.0,688.0,647.45,685.65,6768122
2020-09-18,687.9,726.7,677.45,713.75,8963526
2020-09-25,715.9,716.95,666.0,702.1,6961814
