date,open,high,low,close,volume
2020-01-17,759.75,768.91,708.16,765.18,8693342
2020-01-24,764.53,821.1,759.4,818.71,10874827
2020-01-31,811.74,833.55,772.45,775.78,9086461
2020-02-07,771.9,803.42,747.25,784.5,7130362
2020-02-14,783.85,786.54,734.15,740.08,14806459
2020-02-21,740.03,764.73,712.69,748.29,7493766
2020-02-28,745.01,745.01,681.26,684.45,15272816
2020-03-06,698.2,705.96,642.42,662.39,12344753
2020-03-13,645.41,651.38,502.98,602.53,16777739
2020-03-20,577.68,597.1,479.08,527.28,19824352
2020-03-27,479.37,498.0,383.51,459.06,17709086
2020-04-03,446.21,482.36,436.45,452.88,7413150
2020-04-10,476.09,545.26,461.15,528.43,7555085
2020-04-17,528.43,570.56,507.96,543.37,11761393
2020-04-24,546.06,550.69,482.81,497.05,12661181
2020-05-01,502.88,512.94,490.33,502.88,11861225
2020-05-08,491.03,492.97,467.32,484.35,10149356
2020-05-15,487.24,547.8,482.81,515.78,13073168
2020-05-22,513.44,536.79,492.12,530.22,12599842
2020-05-29,532.86,599.59,525.74,586.84,18070200
2020-06-05,590.13,628.18,573.25,624.64,12478475
2020-06-12,632.46,641.82,565.93,599.54,11265570
2020-06-19,607.56,608.41,574.79,598.84,10344059
2020-06-26,601.48,631.81,584.65,613.69,15414431
2020-07-03,611.29,629.02,596.11,625.64,9644235
2020-07-10,630.47,650.79,594.71,609.0,12979029
2020-07-17,611.94,615.48,577.68,589.73,9098664
2020-07-24,595.61,614.03,579.27,580.37,8463361
2020-07-31,582.66,634.35,562.74,630.52,21251885
2020-08-07,627.48,643.91,619.16,634.0,11682361
2020-08-14,637.44,640.78,612.64,626.43,12055408
2020-08-21,627.63,680.27,608.26,674.64,30148681
2020-08-28,677.68,714.63,655.97,698.35,18817239
2020-09-04,700.19,726.43,648.45,703.67,24316848
2020-09-11,717.12,724.09,661.39,718.07,22183069
2020-09-18,718.12,745.66,700.19,742.02,16218538
2020-09-25,746.65,746.65,672.8,705.32,13454233
2020-10-02,712.14,752.98,712.14,751.53,9186070
2020-10-09,749.19,771.6,737.54,742.12,10549008
2020-10-16,743.17,773.54,730.52,769.61,11270914
2020-10-23,768.91,800.78,758.5,782.06,10378972
2020-10-30,781.86,790.57,762.19,775.24,7649506
2020-11-06,781.26,807.16,772.4,791.17,9849616
2020-11-13,793.81,844.61,777.93,837.98,17420312
2020-11-20,839.63,858.45,828.67,852.58,7936303
2020-11-27,859.95,882.31,836.69,872.25,14323044
2020-12-04,863.53,943.11,858.7,927.77,12020231
2020-12-11,936.19,950.18,897.4,898.64,10268163
2020-12-18,903.02,922.69,898.39,906.01,8624230
2020-12-25,905.96,908.2,859.9,893.56,7441130
2021-01-01,897.6,937.09,893.51,929.67,8659117
2021-01-08,933.4,1019.75,933.4,1000.28,10655197
2021-01-15,995.35,1036.84,990.47,1028.92,8588808
2021-01-22,1018.91,1048.29,986.89,999.98,9772290
2021-01-29,1020.9,1110.19,1012.93,1051.43,28736463
2021-02-05,1055.76,1212.58,1043.16,1181.36,12996523
2021-02-12,1181.26,1249.78,1180.26,1237.13,11631304
2021-02-19,1252.02,1253.57,1205.16,1213.13,7405112
2021-02-26,1216.61,1283.84,1186.09,1196.0,7776884
2021-03-05,1202.12,1366.21,1197.39,1333.99,10506317
2021-03-12,1334.59,1402.37,1326.22,1373.98,8806849
2021-03-19,1383.44,1409.34,1341.61,1405.6,7404557
2021-03-26,1413.32,1422.29,1348.19,1399.98,8044986
2021-04-02,1410.93,1461.13,1390.17,1448.68,5107050
2021-04-09,1449.18,1466.81,1419.4,1434.24,5454309
2021-04-16,1412.28,1419.25,1319.7,1347.79,6218729
2021-04-23,1324.98,1367.86,1256.95,1272.99,9672419
2021-04-30,1279.86,1401.77,1279.86,1396.14,8843684
2021-05-07,1391.01,1456.05,1368.75,1443.8,8955290
2021-05-14,1454.16,1469.1,1349.43,1361.53,6208041
2021-05-21,1367.61,1422.14,1357.0,1366.36,4346712
2021-05-28,1367.16,1474.08,1345.2,1459.59,16044421
2021-06-04,1459.39,1500.97,1419.85,1497.24,9455530
2021-06-11,1512.53,1524.83,1469.6,1484.64,7045453
2021-06-18,1475.57,1508.94,1414.37,1474.83,4714868
2021-06-25,1455.45,1514.72,1449.18,1500.82,5887912
2021-07-02,1508.94,1540.81,1481.05,1483.79,5480346
2021-07-09,1491.51,1518.9,1455.16,1494.15,5620813
2021-07-16,1500.97,1575.82,1500.97,1566.01,6521407
2021-07-23,1552.56,1593.1,1532.74,1543.3,4915422
2021-07-30,1543.3,1559.98,1480.06,1545.14,5551747
2021-08-06,1558.74,1607.74,1514.12,1524.88,6339833
2021-08-13,1538.82,1540.81,1472.04,1490.91,5778989
2021-08-20,1492.9,1518.9,1454.26,1478.71,3697466
2021-08-27,1489.02,1493.25,1424.33,1452.47,4768663
2021-09-03,1459.14,1513.87,1456.15,1504.41,5259811
2021-09-10,1505.95,1602.22,1505.95,1591.51,8623785
2021-09-17,1603.56,1616.16,1556.1,1562.52,5882511
2021-09-24,1558.74,1651.37,1520.59,1623.23,5697837
2021-10-01,1628.56,1687.52,1615.71,1670.44,5090777
2021-10-08,1645.39,1670.44,1583.64,1592.4,6913324
2021-10-15,1600.57,1767.9,1600.52,1745.49,6147292
2021-10-22,1754.95,1791.21,1675.07,1706.94,4822924
2021-10-29,1693.2,1759.93,1662.47,1714.22,4253122
2021-11-05,1715.11,1797.78,1712.32,1784.43,3641713
2021-11-12,1784.43,1885.43,1772.38,1851.02,5162313
2021-11-19,1851.61,1882.39,1756.3,1767.4,2319323
2021-11-26,1762.37,1797.28,1672.28,1683.34,4377555
2021-12-03,1673.28,1743.05,1636.13,1697.08,5877717
2021-12-10,1694.2,1750.17,1650.52,1742.2,4311038
2021-12-17,1754.95,1762.62,1649.58,1659.14,3410257
2021-12-24,1649.18,1663.22,1588.87,1604.46,5032462
2021-12-31,1594.1,1637.42,1581.2,1615.76,6219390
2022-01-07,1623.23,1799.77,1610.53,1790.46,7360197
2022-01-14,1802.76,1875.47,1786.43,1849.87,5670508
2022-01-21,1849.87,1922.08,1771.88,1784.93,4254424
2022-01-28,1784.63,1784.63,1651.42,1690.21,3820457
2022-02-04,1699.08,1782.84,1695.19,1728.36,3404281
2022-02-11,1718.15,1764.21,1678.66,1703.31,2974837
2022-02-18,1689.81,1744.79,1611.58,1715.86,5513507
2022-02-25,1697.18,1729.8,1528.86,1561.58,4982607
2022-03-04,1546.29,1597.98,1441.21,1471.69,5152480
2022-03-11,1439.22,1569.6,1401.57,1559.98,6144522
2022-03-18,1549.98,1650.12,1539.72,1613.37,5613012
2022-03-25,1600.57,1607.99,1519.0,1584.69,4897601
2022-04-01,1588.42,1674.13,1568.9,1663.27,6164122
2022-04-08,1660.33,1778.66,1652.36,1764.16,5838750
2022-04-15,1777.56,1823.58,1731.45,1758.89,5636855
2022-04-22,1753.96,1769.89,1693.3,1709.98,3503799
2022-04-29,1681.25,1731.6,1670.29,1685.53,3562965
2022-05-06,1669.3,1696.69,1544.85,1559.34,2099146
2022-05-13,1543.75,1569.55,1457.4,1469.2,3845278
