date,open,high,low,close,volume
2020-01-17,264.0,278.9,260.05,269.9,7378796
2020-01-24,270.95,298.0,265.4,294.45,6343264
2020-01-31,294.5,307.95,285.2,288.3,5191238
2020-02-07,289.8,313.8,280.55,304.4,7164891
2020-02-14,306.3,308.0,291.25,299.6,4090776
2020-02-21,300.0,300.9,277.2,287.45,3859045
2020-02-28,286.8,293.45,266.65,276.1,5206379
2020-03-06,276.1,299.2,274.0,284.25,3862951
2020-03-13,285.0,286.7,225.0,258.3,6527764
2020-03-20,257.0,275.0,215.5,241.8,6983966
2020-03-27,223.0,242.4,190.5,228.3,5257391
2020-04-03,228.0,257.95,216.1,223.5,3153889
2020-04-10,226.25,241.8,226.25,235.15,4527277
2020-04-17,235.0,262.85,226.1,257.5,3985349
2020-04-24,259.2,274.9,248.5,258.25,3979072
2020-05-01,261.8,267.85,251.3,259.0,2303507
2020-05-08,254.15,257.95,232.2,243.85,2170558
2020-05-15,246.0,255.45,239.15,239.9,2145172
2020-05-22,239.0,256.85,228.0,247.3,2185811
2020-05-29,248.35,248.9,230.4,240.55,2931756
2020-06-05,244.8,291.0,244.0,285.5,8654433
2020-06-12,290.0,301.9,270.05,287.15,6683196
2020-06-19,290.0,301.45,284.0,292.55,3092334
2020-06-26,293.95,319.5,283.2,306.9,7051934
2020-07-03,310.25,328.8,304.25,322.1,7255394
2020-07-10,324.7,328.0,285.05,306.65,7665989
2020-07-17,309.65,314.7,290.2,293.2,3367418
2020-07-24,295.0,309.0,291.25,293.7,3718047
2020-07-31,294.7,296.0,281.5,289.25,2663554
2020-08-07,292.0,312.9,289.3,303.05,5781391
2020-08-14,301.8,334.4,297.0,313.75,7661762
2020-08-21,315.95,324.0,300.0,321.6,4078823
2020-08-28,324.75,329.3,318.0,320.9,3128192
2020-09-04,321.0,328.0,304.1,306.9,3588244
2020-09-11,307.0,309.0,285.2,295.75,2690228
2020-09-18,299.4,327.5,297.1,317.0,4798302
2020-09-25,317.0,318.85,294.3,297.45,2792920
2020-10-02,300.0,316.7,298.2,310.85,2182092
2020-10-09,313.9,315.0,301.0,303.25,1551341
2020-10-16,305.0,308.5,281.0,291.8,3764442
2020-10-23,293.0,294.8,286.0,290.0,3082395
2020-10-30,290.9,299.8,289.2,296.6,2465129
2020-11-06,297.0,323.5,290.3,312.85,3284438
2020-11-13,316.0,317.4,303.25,305.75,2736230
2020-11-20,310.5,328.95,307.85,318.4,4386451
2020-11-27,322.5,412.4,321.0,348.85,13599629
2020-12-04,352.45,354.05,335.0,347.85,5232094
2020-12-11,349.95,354.9,338.5,348.75,3290963
2020-12-18,350.0,368.9,347.8,365.25,4302950
2020-12-25,364.0,379.95,340.0,375.7,4944413
2021-01-01,379.0,387.7,370.0,378.0,3308421
2021-01-08,381.0,396.95,375.0,389.95,4324166
2021-01-15,390.55,393.35,369.0,375.55,3888313
2021-01-22,376.15,377.5,345.15,349.65,3393710
2021-01-29,350.0,375.95,342.05,370.25,2823118
2021-02-05,373.6,387.0,357.0,380.0,5339378
2021-02-12,415.0,477.0,405.3,449.35,20363657
2021-02-19,450.0,526.8,425.35,495.85,9031107
2021-02-26,497.0,509.0,429.75,494.0,4207246
2021-03-05,502.0,566.7,498.3,531.7,10158176
2021-03-12,534.7,550.35,515.7,518.5,4760818
2021-03-19,522.75,554.5,501.5,520.0,9503244
2021-03-26,524.5,524.5,495.8,518.15,4762472
2021-04-02,524.0,566.0,515.0,548.05,4715527
2021-04-09,547.1,580.5,529.65,568.4,6217432
2021-04-16,556.1,559.75,510.3,543.4,4496715
2021-04-23,532.0,555.95,517.0,545.5,4536560
2021-04-30,552.55,565.0,519.45,530.95,4848715
2021-05-07,530.0,548.85,523.3,531.25,3176667
2021-05-14,537.0,537.0,497.0,515.4,3232077
2021-05-21,521.0,542.0,506.0,512.0,4984852
2021-05-28,515.0,530.0,509.5,510.5,4454118
2021-06-04,512.9,596.0,508.85,589.75,26254308
2021-06-11,599.8,623.8,590.0,603.8,10626481
2021-06-18,605.0,675.0,586.35,658.05,25462789
2021-06-25,644.0,704.5,632.0,643.3,15224474
2021-07-02,648.0,682.9,647.45,665.1,10462610
2021-07-09,668.0,685.0,656.0,679.5,6148818
2021-07-16,682.5,693.0,674.1,680.6,4422990
2021-07-23,678.0,742.8,671.0,730.6,12532587
2021-07-30,731.0,733.0,686.8,714.95,6613100
2021-08-06,720.0,786.0,719.95,737.4,15415928
2021-08-13,739.4,757.0,703.55,738.2,8580664
2021-08-20,744.0,760.0,707.0,714.35,6060068
2021-08-27,720.0,734.4,690.0,710.8,8660835
2021-09-03,714.0,733.75,696.0,700.55,6536103
2021-09-10,700.55,705.15,677.0,679.95,5870182
2021-09-17,677.0,690.85,660.0,663.25,7278239
2021-09-24,660.0,660.0,608.65,621.25,8891476
2021-10-01,615.0,643.85,607.3,613.7,13691162
2021-10-08,618.0,646.85,609.0,624.3,13690835
2021-10-15,625.8,638.0,616.0,628.8,4559781
2021-10-22,631.8,671.95,611.8,614.4,9653346
2021-10-29,619.45,626.1,577.2,622.3,10027218
2021-11-05,632.25,649.8,623.25,636.85,4864343
2021-11-12,636.5,675.0,621.0,669.0,7548384
2021-11-19,671.95,684.0,627.9,638.35,4307910
2021-11-26,630.0,677.3,614.05,656.3,6240874
2021-12-03,650.05,696.0,633.55,662.4,7488226
2021-12-10,664.9,675.0,650.55,665.3,3668955
2021-12-17,668.0,676.2,616.55,626.35,4024942
2021-12-24,614.0,637.75,592.0,629.4,3411027
2021-12-31,629.4,639.95,619.3,634.85,2540862
2022-01-07,637.0,686.95,635.0,684.55,5054262
2022-01-14,685.55,721.8,685.55,704.8,6111766
2022-01-21,704.8,714.8,672.6,700.95,5795052
2022-01-28,705.0,709.45,666.2,677.5,4719223
2022-02-04,686.0,702.2,667.2,681.25,3441441
2022-02-11,681.35,697.65,625.0,637.45,8395419
2022-02-18,623.7,668.7,612.1,664.05,4603580
2022-02-25,663.0,674.6,565.25,600.8,5237425
2022-03-04,594.5,594.5,498.5,528.0,11619982
2022-03-11,509.5,559.0,486.0,510.7,16492809
2022-03-18,513.95,531.0,501.55,504.8,9108381
2022-03-25,507.0,511.4,487.2,492.05,8309580
2022-04-01,495.3,507.55,478.05,495.1,7406815
2022-04-08,499.5,535.0,498.05,528.45,12478785
2022-04-15,528.95,541.6,522.25,531.8,4900677
2022-04-22,532.95,536.15,505.0,515.05,3528029
2022-04-29,514.1,534.45,479.0,482.4,9197807
2022-05-06,482.4,518.1,480.0,515.9,5997034
2022-05-13,505.15,578.9,503.25,568.95,25353660
2022-05-20,569.0,583.75,550.75,570.55,5891221
2022-05-27,570.5,573.8,534.5,554.05,4550674
2022-06-03,558.1,577.95,545.0,556.85,6866190
2022-06-10,552.0,559.8,478.3,483.4,17527010
2022-06-17,472.0,474.6,405.55,412.2,15671080
2022-06-24,413.0,430.8,403.55,420.55,7858742
2022-07-01,424.5,436.65,415.05,422.35,5851222
2022-07-08,425.0,463.0,421.15,446.75,9616347
2022-07-15,443.0,461.45,438.0,453.65,5027574
2022-07-22,456.55,469.8,449.1,453.45,4596719
2022-07-29,453.0,459.25,440.0,445.15,4647564
2022-08-05,447.9,483.0,429.7,437.75,11321834
2022-08-12,437.75,487.85,435.9,480.25,10228537
2022-08-19,484.0,500.3,468.75,490.9,6450101
2022-08-26,484.9,501.55,456.5,458.35,6895706
2022-09-02,448.85,491.7,445.0,481.35,5764035
2022-09-09,484.4,519.0,472.0,507.2,8100735
2022-09-16,510.9,533.3,501.5,504.25,7377892
2022-09-23,506.5,526.0,488.45,500.35,6983124
2022-09-30,495.0,522.35,480.15,503.25,7712800
2022-10-07,500.5,505.5,482.0,485.85,4043447
2022-10-14,485.0,495.8,462.5,472.65,5274682
2022-10-21,472.65,503.55,463.9,501.8,5154219
2022-10-28,507.0,528.3,503.1,514.65,3030949
2022-11-04,518.0,528.0,507.25,514.15,3518532
2022-11-11,516.75,521.15,478.05,480.65,5030526
2022-11-18,481.9,516.8,477.05,501.9,8100082
2022-11-25,502.9,513.0,486.6,492.1,5019257
2022-12-02,492.55,522.9,492.0,516.3,9957167
2022-12-09,519.95,533.5,504.15,521.55,7348345
2022-12-16,520.0,539.1,508.35,521.0,6166659
2022-12-23,518.55,536.35,463.05,467.7,5063927
2022-12-30,465.0,490.75,464.5,486.15,3843219
2023-01-06,488.6,495.1,472.1,481.05,5186831
2023-01-13,488.0,490.75,442.0,450.3,7432419
2023-01-20,451.95,464.7,442.0,460.85,4566573
2023-01-27,460.85,474.0,450.85,454.7,3093309
2023-02-03,452.85,486.4,446.05,469.45,7100603
2023-02-10,469.9,486.9,467.85,480.3,2718621
2023-02-17,481.0,496.1,472.5,485.25,6204390
2023-02-24,482.5,519.4,481.0,507.4,8830228
2023-03-03,506.0,518.0,497.65,509.35,4697566
2023-03-10,510.85,526.0,501.15,510.2,4311516
2023-03-17,511.5,513.0,484.05,502.2,2913375
2023-03-24,507.8,510.0,480.6,482.4,2944535
2023-03-31,481.0,487.4,451.75,460.7,2223415
2023-04-07,462.95,470.8,452.0,466.35,3170024
2023-04-14,469.95,472.0,453.85,462.95,4480025
2023-04-21,464.8,477.65,458.2,466.6,3583616
2023-04-28,469.1,469.65,453.2,467.75,7078619
2023-05-05,468.9,477.6,457.25,460.7,3794519
2023-05-12,462.0,493.0,455.1,476.65,15534617
2023-05-19,477.7,497.45,466.1,478.95,6281415
2023-05-26,478.0,500.9,473.5,498.25,4498957
2023-06-02,500.0,508.4,473.1,475.0,9229429
2023-06-09,479.0,485.65,471.25,479.5,4123688
2023-06-16,479.5,488.9,476.3,478.65,4343745
2023-06-23,478.95,480.6,460.9,462.0,5105964
2023-06-30,462.05,471.1,459.55,465.5,4647316
2023-07-07,485.0,492.0,469.35,476.6,8373457
2023-07-14,478.0,483.0,459.7,461.0,7057192
2023-07-21,460.2,471.45,457.85,470.0,6079289
2023-07-28,470.0,482.95,462.1,480.1,5819308
2023-08-04,482.0,493.5,440.0,451.0,16913379
2023-08-11,453.9,473.3,450.9,459.0,7538715
2023-08-18,461.0,461.5,451.1,452.6,3072331
2023-08-25,457.95,461.5,452.15,452.5,3557432
2023-09-01,456.0,460.7,447.6,458.0,9012903
2023-09-08,460.0,469.2,454.75,464.4,6874326
2023-09-15,460.5,465.0,446.25,451.3,6597914
2023-09-22,452.0,455.9,438.6,439.6,5006122
2023-09-29,440.95,442.15,414.0,422.9,8455920
2023-10-06,423.0,431.0,419.8,424.7,5812175
2023-10-13,423.9,429.0,416.75,426.8,6193875
2023-10-20,424.35,429.0,410.4,413.2,7731837
2023-10-27,413.2,415.65,397.05,406.75,4755604
2023-11-03,410.95,423.4,402.25,419.45,5212200
2023-11-10,422.85,422.9,412.0,417.55,1964882
2023-11-17,419.05,427.45,414.25,425.05,2016769
2023-11-24,425.05,430.8,423.0,425.55,2535846
2023-12-01,426.0,439.0,424.1,434.05,3249292
2023-12-08,438.0,446.8,435.75,440.3,6493960
2023-12-15,441.0,453.65,434.0,448.4,6378725
2023-12-22,452.2,455.65,431.25,447.35,6235008
2023-12-29,449.8,463.0,446.65,461.5,11284213
2024-01-05,464.8,511.2,461.7,506.75,15707014
2024-01-12,510.35,548.0,505.35,534.6,11545243
2024-01-19,540.0,566.5,534.3,553.6,11588759
