date,open,high,low,close,volume
2020-01-17,402.5,433.63,402.0,412.0,859660
2020-01-24,405.08,447.95,400.48,426.43,663630
2020-01-31,427.35,436.35,393.13,402.05,188452
2020-02-07,407.0,412.5,377.65,388.53,319338
2020-02-14,388.53,397.5,372.55,374.38,356296
2020-02-21,391.5,392.48,349.38,368.15,985452
2020-02-28,368.95,372.35,341.53,343.03,920328
2020-03-06,348.0,354.0,310.0,310.8,309266
2020-03-13,311.88,311.88,236.0,267.1,258254
2020-03-20,265.0,310.0,257.13,282.58,614728
2020-03-27,235.0,297.5,235.0,262.58,438482
2020-04-03,262.5,280.5,251.68,264.78,174516
2020-04-10,274.78,311.0,262.5,274.13,526406
2020-04-17,292.63,297.5,273.5,279.9,606868
2020-04-24,281.5,285.85,265.0,266.5,206464
2020-05-01,269.85,269.85,256.78,263.58,221094
2020-05-08,260.0,265.4,250.0,250.93,892396
2020-05-15,251.0,264.0,244.53,261.55,947294
2020-05-22,275.5,284.5,255.08,267.38,2061814
2020-05-29,270.0,290.13,261.33,278.08,907698
2020-06-05,280.0,318.0,277.58,315.55,1527222
2020-06-12,317.85,339.0,309.5,327.75,678198
2020-06-19,331.85,373.0,325.53,354.03,1267692
2020-06-26,355.5,408.95,345.5,380.88,3036620
2020-07-03,382.5,432.5,372.33,426.2,5855800
2020-07-10,428.0,514.0,412.5,471.2,21753284
2020-07-17,475.0,482.5,412.5,468.63,5778120
2020-07-24,472.0,477.0,448.98,454.85,5081862
2020-07-31,456.0,464.95,432.83,436.23,2588164
2020-08-07,430.78,493.5,430.05,474.73,5629560
2020-08-14,516.5,711.5,500.5,646.8,28284012
2020-08-21,665.03,677.0,600.0,605.75,15198876
2020-08-28,611.7,612.5,490.8,505.3,31096830
2020-09-04,491.0,493.95,435.5,455.5,25079814
2020-09-11,457.03,461.98,417.53,426.23,9759186
2020-09-18,426.28,432.35,411.13,420.95,7521350
2020-09-25,421.43,424.9,372.13,383.85,9136914
2020-10-02,387.55,410.98,382.5,399.68,5599238
2020-10-09,402.5,414.35,390.5,392.83,4072352
2020-10-16,394.4,396.48,370.0,371.7,3384138
2020-10-23,374.45,375.5,346.5,358.98,5747114
2020-10-30,361.5,361.53,342.2,343.55,3137064
2020-11-06,345.5,359.5,329.0,351.18,4825866
2020-11-13,354.0,384.0,349.2,380.43,5614958
2020-11-20,389.3,395.0,380.63,386.1,3547906
2020-11-27,387.5,412.9,366.5,409.25,6661434
2020-12-04,412.9,429.68,409.0,421.33,3714736
2020-12-11,423.45,447.25,421.5,428.4,5635444
2020-12-18,431.0,442.5,428.05,431.9,3047552
2020-12-25,430.05,435.85,380.5,411.13,2842096
2021-01-01,412.5,431.5,409.0,428.4,2863276
2021-01-08,430.98,481.98,428.4,456.25,9488194
2021-01-15,468.0,524.0,448.5,483.55,21753424
2021-01-22,485.0,494.73,470.63,474.0,4543818
2021-01-29,482.0,484.23,450.85,462.65,2319842
2021-02-05,470.0,509.5,453.0,506.68,8667574
2021-02-12,510.5,532.4,495.1,513.25,9397300
2021-02-19,521.15,541.5,502.98,530.68,6763274
2021-02-26,533.0,557.5,505.5,543.53,7061884
2021-03-05,551.83,561.93,523.93,527.03,3736832
2021-03-12,535.03,544.48,527.0,530.63,2014706
2021-03-19,530.6,540.0,491.25,516.03,7135454
2021-03-26,516.03,527.98,486.5,493.48,2244778
2021-04-02,498.3,526.0,492.63,517.83,2524840
2021-04-09,520.0,520.5,496.1,500.23,1923054
2021-04-16,496.5,496.5,473.15,482.25,1116810
2021-04-23,474.0,482.08,464.5,478.43,1018658
2021-04-30,478.43,487.45,470.58,478.63,1435552
2021-05-07,477.85,489.9,471.0,480.23,1574144
2021-05-14,478.75,517.13,478.75,491.63,2700248
2021-05-21,493.18,516.7,493.18,512.7,1945528
2021-05-28,513.0,523.0,506.0,514.85,1545336
2021-06-04,515.0,543.95,505.05,531.23,3057306
2021-06-11,534.45,544.5,518.5,523.3,2028356
2021-06-18,526.5,529.33,497.7,508.23,1315594
2021-06-25,503.6,523.5,495.6,518.5,2343930
2021-07-02,520.5,536.78,505.0,533.78,3609818
2021-07-09,538.05,578.5,527.58,559.28,11218396
2021-07-16,562.45,567.25,536.0,537.38,3228908
2021-07-23,537.4,576.5,526.98,551.53,4994180
2021-07-30,552.75,563.65,541.53,558.18,2785840
2021-08-06,560.03,561.88,535.08,539.88,1580408
2021-08-13,545.15,574.5,535.5,544.48,5619456
2021-08-20,535.5,587.5,529.55,563.25,6037982
2021-08-27,570.0,699.5,550.8,690.7,22443096
2021-09-03,695.5,728.5,669.78,697.28,19374420
2021-09-10,705.0,711.95,658.0,687.15,7111242
2021-09-17,687.03,743.48,680.53,715.3,17378754
2021-09-24,711.98,724.5,663.33,670.7,9797770
2021-10-01,675.4,689.48,663.33,669.0,7471028
2021-10-08,670.03,705.5,668.0,675.83,6877024
2021-10-15,681.5,733.25,675.6,721.88,9028454
