date,open,high,low,close,volume
2020-01-17,3090.0,3270.4,3055.0,3263.25,1769151
2020-01-24,3279.6,3285.0,3140.0,3209.5,2223949
2020-01-31,3198.9,3219.8,3154.85,3174.2,989553
2020-02-07,3173.95,3378.2,2992.5,3313.9,2980291
2020-02-14,3320.0,3418.0,3278.75,3327.0,1591277
2020-02-21,3327.0,3446.6,3182.0,3383.8,1367701
2020-02-28,3360.0,3389.95,3100.0,3141.4,1584378
2020-03-06,3210.0,3220.0,2870.0,2973.4,1692656
2020-03-13,2900.0,2962.45,2002.1,2680.95,2716976
2020-03-20,2550.0,2680.0,2070.0,2423.7,3437435
2020-03-27,2050.0,2300.0,1962.0,2083.45,3394890
2020-04-03,2010.0,2224.0,1970.0,2177.15,1847903
2020-04-10,2250.0,2485.0,2181.65,2447.25,1646849
2020-04-17,2450.0,2730.0,2362.0,2676.95,1808622
2020-04-24,2700.0,2820.0,2362.55,2427.75,2169713
2020-05-01,2416.0,2638.0,2100.0,2530.75,2422958
2020-05-08,2415.0,2700.0,2410.05,2619.25,1770432
2020-05-15,2525.0,2660.0,2456.0,2527.8,1400230
2020-05-22,2530.0,2560.0,2415.0,2438.55,857323
2020-05-29,2450.0,2540.0,2392.4,2524.4,782579
2020-06-05,2573.1,2779.45,2552.6,2729.8,1903293
2020-06-12,2770.0,2773.35,2531.0,2661.2,1297566
2020-06-19,2661.2,2681.95,2402.15,2444.7,5982791
2020-06-26,2464.0,2554.0,2424.85,2488.1,3655461
2020-07-03,2474.0,2561.0,2450.0,2543.95,1840096
2020-07-10,2568.0,2632.0,2447.0,2458.65,2023274
2020-07-17,2472.0,2500.55,2385.25,2473.1,2795189
2020-07-24,2484.4,2529.0,2442.0,2465.25,1968705
2020-07-31,2459.9,2462.45,2380.0,2419.65,1925143
2020-08-07,2420.0,2440.1,2352.25,2369.0,1748010
2020-08-14,2384.0,2395.0,2318.05,2345.6,2053143
2020-08-21,2365.0,2442.0,2332.3,2399.6,1468386
2020-08-28,2400.0,2522.1,2400.0,2501.25,2233585
2020-09-04,2525.0,2529.0,2381.95,2416.8,1316809
2020-09-11,2414.0,2434.65,2357.0,2368.25,1126972
2020-09-18,2372.0,2390.0,2181.0,2215.45,2698770
2020-09-25,2199.9,2250.95,2070.05,2110.75,2354609
2020-10-02,2127.75,2320.0,2127.75,2275.1,1385659
2020-10-09,2300.0,2374.2,2270.0,2367.8,1012366
2020-10-16,2374.7,2374.7,2258.0,2284.4,1078651
2020-10-23,2291.0,2362.7,2285.1,2308.9,1052877
2020-10-30,2308.0,2330.0,2237.05,2250.2,1091901
2020-11-06,2254.0,2385.0,2225.9,2377.25,860164
2020-11-13,2400.0,2525.0,2398.0,2404.15,2107732
2020-11-20,2510.0,2524.4,2400.05,2409.65,1169352
2020-11-27,2439.0,2577.1,2415.0,2538.8,2657562
2020-12-04,2549.0,2611.3,2500.0,2591.15,1489007
2020-12-11,2611.7,2888.0,2600.0,2838.6,3399683
2020-12-18,2849.0,2899.0,2780.0,2862.0,1560330
2020-12-25,2861.9,2990.0,2678.0,2891.45,2574434
2021-01-01,2924.0,3015.0,2876.1,2998.05,1628007
2021-01-08,3015.95,3145.0,2970.4,3137.85,1939684
2021-01-15,3150.0,3358.9,3137.85,3244.4,1930357
2021-01-22,3244.0,3290.9,3071.05,3101.0,1794953
2021-01-29,3101.0,3119.75,2852.15,2876.55,1513114
2021-02-05,2890.1,3074.1,2843.45,2965.3,1551316
2021-02-12,2984.0,3108.95,2972.1,2998.4,1207405
2021-02-19,3007.0,3048.0,2902.2,2934.25,873889
2021-02-26,2930.1,2985.0,2855.0,2937.0,1065502
2021-03-05,2935.0,3227.8,2892.05,3137.8,2642327
2021-03-12,3174.0,3247.25,3050.0,3063.2,1077360
2021-03-19,3063.2,3087.0,2772.75,2871.0,1236642
2021-03-26,2889.0,2940.0,2782.9,2854.35,961867
2021-04-02,2860.0,2975.0,2860.0,2955.0,553026
2021-04-09,2936.5,3050.1,2840.0,2951.95,1475703
2021-04-16,2880.0,2977.0,2756.0,2929.8,951171
2021-04-23,2850.0,2871.0,2772.0,2822.4,977461
2021-04-30,2858.0,2880.0,2757.05,2776.35,1621520
2021-05-07,2769.1,2789.5,2699.65,2718.65,1424401
2021-05-14,2720.0,2840.8,2720.0,2799.45,1271832
2021-05-21,2795.0,2869.0,2793.2,2813.6,681845
2021-05-28,2820.0,2981.95,2790.15,2979.95,1538578
2021-06-04,2984.95,3100.0,2932.1,3067.6,1441356
2021-06-11,3068.0,3134.0,3004.0,3093.0,1555004
2021-06-18,3094.9,3119.8,2920.0,2945.0,867490
2021-06-25,2922.0,3004.95,2908.05,2985.3,663348
2021-07-02,3000.0,3020.0,2867.55,2875.6,972256
2021-07-09,2885.0,2954.0,2870.0,2920.95,927757
2021-07-16,2926.9,3289.0,2920.1,3094.45,4675535
2021-07-23,3050.0,3050.0,2865.25,2899.6,2243846
2021-07-30,2899.6,2900.5,2810.05,2854.15,946548
2021-08-06,2890.0,2939.35,2833.15,2923.05,1091484
2021-08-13,2950.0,3001.6,2863.75,2939.55,1552754
2021-08-20,2922.2,3025.0,2890.0,2938.2,946741
2021-08-27,2959.3,3053.0,2851.85,3030.3,1338334
2021-09-03,3059.0,3199.0,3040.95,3164.15,1733671
2021-09-10,3197.0,3365.0,3100.1,3248.4,2885367
2021-09-17,3258.5,3338.0,3158.4,3268.8,2003323
2021-09-24,3255.0,3292.0,3151.9,3208.2,1808183
2021-10-01,3230.0,3238.0,2875.65,2932.25,9207975
2021-10-08,2930.0,2939.9,2885.1,2893.75,2994179
2021-10-15,2907.7,2964.5,2894.0,2950.15,1364763
2021-10-22,2979.0,2979.0,2766.45,2781.4,1687843
2021-10-29,2785.15,2802.55,2600.1,2647.2,2415069
2021-11-05,2660.0,2684.15,2621.0,2654.95,867618
2021-11-12,2678.5,2699.0,2640.25,2678.7,1161089
2021-11-19,2678.0,2688.0,2589.9,2601.4,800069
2021-11-26,2600.0,2613.05,2480.4,2512.95,1897637
2021-12-03,2487.3,2621.5,2425.2,2579.35,1978108
2021-12-10,2599.0,2599.0,2517.0,2549.75,959489
2021-12-17,2569.95,2569.95,2378.3,2397.95,2278793
2021-12-24,2396.5,2397.0,2280.0,2349.1,1467792
2021-12-31,2340.0,2449.95,2325.95,2446.1,800459
2022-01-07,2465.65,2491.0,2435.4,2440.75,825989
2022-01-14,2460.0,2538.0,2445.0,2470.6,1389881
2022-01-21,2484.4,2504.95,2347.15,2369.4,1283889
2022-01-28,2379.8,2379.8,2118.0,2183.8,2777502
2022-02-04,2229.0,2333.05,2186.4,2300.3,1574200
2022-02-11,2302.0,2304.25,2176.0,2211.85,1282571
2022-02-18,2151.25,2231.95,2135.0,2199.25,1468361
2022-02-25,2190.0,2206.0,2010.0,2080.95,1602595
2022-03-04,2076.0,2141.65,2030.0,2081.5,1041180
2022-03-11,2080.0,2185.0,1987.85,2167.8,1421827
2022-03-18,2164.9,2249.5,2118.0,2238.0,1361389
2022-03-25,2246.75,2255.75,2121.0,2147.35,1745822
2022-04-01,2151.8,2292.1,2082.15,2276.5,2565870
2022-04-08,2300.0,2480.0,2258.0,2272.6,3056713
2022-04-15,2272.55,2287.5,2193.4,2198.25,455045
2022-04-22,2153.0,2224.55,2041.0,2046.55,1494541
2022-04-29,2040.0,2129.0,1985.0,2041.75,2467620
2022-05-06,2030.0,2056.95,1918.8,1958.0,1405476
2022-05-13,1956.0,1972.25,1751.0,1770.05,1973614
2022-05-20,1782.8,1830.6,1701.4,1706.8,2013536
2022-05-27,1712.0,1814.65,1690.0,1807.2,3371312
2022-06-03,1820.9,1945.2,1808.15,1862.05,9208992
2022-06-10,1846.2,1918.0,1811.5,1868.35,2969268
2022-06-17,1834.1,1856.7,1713.1,1768.25,2883227
2022-06-24,1768.0,1863.05,1756.0,1816.05,1407220
2022-07-01,1813.0,1841.6,1737.85,1834.1,3667511
2022-07-08,1837.8,1962.75,1832.6,1957.25,1545671
2022-07-15,1950.0,1968.4,1885.05,1897.9,1172437
2022-07-22,1910.0,1953.45,1872.0,1901.75,1290050
2022-07-29,1889.5,1985.0,1840.0,1947.3,2630667
2022-08-05,1961.4,2032.0,1943.0,2002.05,1741591
2022-08-12,2000.0,2046.0,1948.15,1956.5,1724949
2022-08-19,1969.5,2218.85,1935.5,2157.1,7223889
2022-08-26,2140.0,2165.9,2084.4,2089.55,2498614
2022-09-02,2035.0,2082.0,2001.75,2014.45,1122921
2022-09-09,2020.0,2048.5,1964.9,2015.5,1180138
2022-09-16,2028.95,2069.45,1925.25,1944.25,1106554
2022-09-23,1953.75,1973.1,1880.0,1886.8,989019
2022-09-30,1886.0,1908.8,1821.0,1889.6,1764331
2022-10-07,1895.0,1924.95,1830.0,1917.4,920627
2022-10-14,1895.0,1942.0,1888.1,1896.85,996060
2022-10-21,1893.0,2092.95,1890.2,2069.55,1989694
2022-10-28,2088.0,2109.55,2037.85,2069.3,791905
2022-11-04,2079.65,2114.8,2065.5,2088.55,634994
2022-11-11,2089.0,2149.45,2060.85,2102.35,994707
2022-11-18,2112.9,2112.9,2030.25,2052.55,725740
2022-11-25,2047.0,2167.0,2032.9,2162.95,1361098
2022-12-02,2167.0,2229.9,2145.75,2193.95,1529251
2022-12-09,2201.05,2298.8,2165.05,2253.05,2855939
2022-12-16,2252.9,2298.0,2207.3,2238.55,1138295
2022-12-23,2240.0,2314.65,2061.75,2075.85,1377770
2022-12-30,2070.1,2207.8,2065.0,2181.5,958780
2023-01-06,2190.0,2235.0,2127.75,2135.4,876855
2023-01-13,2144.0,2188.0,2121.1,2152.65,465915
2023-01-20,2152.6,2172.8,2016.55,2022.15,2281130
2023-01-27,2025.0,2029.5,1903.05,1915.5,1026123
2023-02-03,1896.05,1921.0,1830.0,1856.1,1902604
2023-02-10,1864.95,1951.75,1852.9,1926.4,713545
