date,open,high,low,close,volume
2020-01-17,1282.7,1296.5,1271.9,1278.15,25597260
2020-01-24,1304.85,1304.85,1231.0,1244.55,39436120
2020-01-31,1235.0,1242.0,1211.75,1226.3,34689656
2020-02-07,1220.0,1248.7,1177.7,1242.2,40232840
2020-02-14,1242.95,1259.9,1215.0,1219.35,25466141
2020-02-21,1225.0,1233.0,1203.5,1217.1,20908744
2020-02-28,1208.95,1214.75,1170.1,1177.65,44618852
2020-03-06,1200.2,1201.15,1101.0,1134.9,56963296
2020-03-13,1110.0,1120.0,919.2,1069.8,97651504
2020-03-20,1035.0,1037.0,795.0,882.85,145854878
2020-03-27,794.6,988.65,738.75,904.45,135426515
2020-04-03,880.0,901.0,810.0,813.85,72398983
2020-04-10,874.0,945.0,845.35,925.05,80545515
2020-04-17,934.0,946.7,843.0,910.3,100937844
2020-04-24,951.0,960.95,907.3,938.05,105944166
2020-05-01,945.15,1019.0,922.0,1001.8,78268162
2020-05-08,957.5,960.0,905.65,929.05,66411257
2020-05-15,937.0,960.0,871.1,888.15,93185585
2020-05-22,888.0,888.0,826.1,838.85,112330162
2020-05-29,857.0,955.0,848.75,951.65,111273342
2020-06-05,975.0,1046.25,966.1,1033.35,110417930
2020-06-12,1060.0,1066.65,928.0,982.75,110850158
2020-06-19,968.0,1043.0,943.0,1033.35,101559383
2020-06-26,1039.45,1063.0,1007.0,1056.45,104287759
2020-07-03,1037.0,1111.25,1037.0,1073.95,90576546
2020-07-10,1107.95,1129.7,1093.05,1105.1,63822401
2020-07-17,1109.9,1113.0,1034.1,1098.45,64789641
2020-07-24,1135.0,1157.95,1101.25,1119.1,88552883
2020-07-31,1099.85,1103.0,1020.05,1032.8,85924330
2020-08-07,1025.95,1061.05,993.0,1043.85,91898269
2020-08-14,1044.0,1071.35,1027.3,1034.45,51896557
2020-08-21,1047.0,1088.8,1020.2,1085.65,54730037
2020-08-28,1086.0,1131.75,1085.65,1114.5,74458116
2020-09-04,1129.5,1148.8,1100.7,1119.3,65317912
2020-09-11,1116.3,1119.5,1071.0,1078.65,41976523
2020-09-18,1088.0,1096.0,1047.2,1057.3,49333868
2020-09-25,1055.0,1071.35,1025.0,1044.0,47337383
2020-10-02,1048.95,1110.0,1042.65,1106.95,34407089
2020-10-09,1112.0,1237.0,1111.0,1233.55,68797216
2020-10-16,1231.55,1242.75,1164.0,1199.35,57113893
2020-10-23,1235.0,1251.0,1192.6,1235.8,71596117
2020-10-30,1229.8,1242.0,1176.35,1183.55,47522192
2020-11-06,1194.35,1310.0,1177.5,1307.65,65317392
2020-11-13,1315.2,1414.8,1315.2,1358.8,76724209
2020-11-20,1385.8,1419.0,1365.05,1403.65,45297460
2020-11-27,1415.0,1464.4,1375.35,1440.85,67745672
2020-12-04,1440.85,1449.0,1373.3,1385.6,49942634
2020-12-11,1375.0,1410.05,1358.1,1382.8,53463819
2020-12-18,1383.0,1445.0,1366.0,1411.35,50267987
2020-12-25,1417.5,1423.85,1345.0,1397.1,38515865
2021-01-01,1405.0,1444.0,1404.0,1425.05,36678181
2021-01-08,1438.0,1442.0,1399.0,1431.65,42954174
2021-01-15,1450.0,1496.9,1436.3,1466.65,40550121
2021-01-22,1469.9,1511.65,1440.15,1443.55,57620558
2021-01-29,1465.1,1481.0,1342.0,1390.5,57643935
2021-02-05,1410.25,1618.25,1401.0,1597.6,70266816
2021-02-12,1620.0,1631.65,1564.2,1581.95,39601002
2021-02-19,1600.1,1641.0,1533.0,1539.1,34450460
2021-02-26,1545.05,1636.25,1521.0,1537.0,54481020
2021-03-05,1564.0,1596.0,1521.1,1530.0,37297778
2021-03-12,1542.0,1600.0,1512.5,1551.95,28432235
2021-03-19,1548.4,1548.4,1474.05,1497.5,43148505
2021-03-26,1494.9,1507.45,1450.25,1491.3,43049262
2021-04-02,1506.65,1562.55,1465.0,1492.5,46057201
2021-04-09,1480.0,1485.0,1415.1,1421.75,50952299
2021-04-16,1393.0,1445.0,1353.0,1428.65,45593718
2021-04-23,1390.0,1434.6,1371.05,1414.15,54212885
2021-04-30,1413.0,1503.65,1402.75,1412.3,67075267
2021-05-07,1393.0,1424.95,1377.3,1414.75,40946613
2021-05-14,1427.0,1430.0,1382.35,1386.85,24973147
2021-05-21,1395.15,1501.9,1381.3,1497.3,38704756
2021-05-28,1503.25,1520.45,1462.45,1507.75,45915246
2021-06-04,1500.0,1527.0,1487.5,1500.95,28509263
2021-06-11,1510.0,1514.0,1472.05,1486.35,23430249
2021-06-18,1478.25,1496.0,1455.0,1479.8,22678888
2021-06-25,1461.35,1522.0,1459.0,1515.1,27314098
2021-07-02,1520.0,1523.0,1477.0,1480.4,30869852
2021-07-09,1489.95,1545.35,1484.55,1502.0,26887363
2021-07-16,1502.0,1529.95,1484.0,1522.35,29010341
2021-07-23,1487.0,1488.85,1435.3,1442.75,37804226
2021-07-30,1430.0,1449.9,1404.0,1426.45,40790762
2021-08-06,1435.0,1507.05,1410.0,1492.65,39753766
2021-08-13,1492.0,1531.0,1476.0,1526.2,31839141
2021-08-20,1526.15,1565.35,1486.05,1514.75,25335891
2021-08-27,1529.85,1571.0,1508.65,1548.45,27226741
2021-09-03,1555.6,1598.0,1551.6,1576.05,26944079
2021-09-10,1579.95,1582.0,1555.2,1568.6,15048710
2021-09-17,1562.0,1589.0,1535.0,1582.15,32149660
2021-09-24,1564.0,1607.95,1528.95,1601.55,34304907
2021-10-01,1615.7,1635.5,1565.25,1582.7,36278116
2021-10-08,1589.0,1627.7,1576.25,1602.65,27210161
2021-10-15,1599.9,1690.0,1599.0,1687.4,21120363
2021-10-22,1705.0,1725.0,1660.85,1680.75,35333154
2021-10-29,1690.0,1690.0,1560.0,1582.85,35985844
2021-11-05,1585.0,1622.0,1575.55,1593.95,16328848
2021-11-12,1592.1,1604.7,1535.6,1553.0,34131918
2021-11-19,1562.1,1571.85,1525.25,1539.4,17264668
2021-11-26,1546.0,1552.7,1485.0,1489.9,43087680
2021-12-03,1494.8,1535.95,1462.0,1513.55,33108988
2021-12-10,1513.0,1555.05,1497.35,1522.55,27139864
2021-12-17,1526.0,1537.65,1467.7,1473.05,28916795
2021-12-24,1452.0,1458.0,1414.1,1438.9,27096546
2021-12-31,1428.9,1484.8,1422.15,1479.4,15683066
2022-01-07,1485.0,1572.0,1480.5,1550.55,26533654
2022-01-14,1558.0,1576.65,1519.0,1545.15,45752044
2022-01-21,1530.0,1556.0,1485.6,1521.6,38191845
2022-01-28,1509.95,1521.25,1435.0,1463.25,39502901
2022-02-04,1472.75,1539.95,1466.8,1524.0,31848020
2022-02-11,1512.1,1535.5,1444.55,1518.85,31291574
2022-02-18,1490.0,1534.75,1469.3,1512.35,26485643
2022-02-25,1504.0,1530.7,1407.15,1456.1,33991622
2022-03-04,1426.0,1438.55,1336.9,1366.5,51066839
2022-03-11,1318.5,1427.0,1292.0,1396.8,63412815
2022-03-18,1415.0,1489.8,1411.75,1480.05,36037058
2022-03-25,1487.0,1518.8,1419.0,1430.9,45217226
2022-04-01,1430.9,1510.0,1401.6,1506.0,38553173
2022-04-08,1580.0,1722.1,1497.3,1514.65,118719733
2022-04-15,1506.0,1510.0,1462.65,1464.95,38563494
2022-04-22,1418.85,1431.65,1327.0,1355.6,121073776
2022-04-29,1350.0,1404.75,1322.25,1384.6,52590931
2022-05-06,1362.05,1406.45,1313.0,1317.6,46572206
2022-05-13,1300.0,1355.0,1287.0,1291.35,54564849
2022-05-20,1299.0,1333.3,1278.3,1320.95,38317520
2022-05-27,1314.0,1394.7,1296.9,1392.05,48134187
2022-06-03,1410.25,1420.5,1376.3,1380.3,28317111
2022-06-10,1376.3,1387.0,1343.6,1351.1,19440533
2022-06-17,1323.6,1330.0,1271.6,1289.75,30733256
2022-06-24,1304.7,1361.65,1294.15,1353.8,30351449
2022-07-01,1370.0,1376.0,1330.05,1353.75,26758529
2022-07-08,1353.7,1410.0,1342.25,1397.1,34039724
2022-07-15,1394.0,1409.9,1346.8,1362.05,28626760
2022-07-22,1348.0,1397.0,1337.0,1392.5,40921245
2022-07-29,1395.0,1438.6,1383.3,1434.2,32660210
2022-08-05,1439.0,1448.45,1412.95,1427.05,30240647
2022-08-12,1428.0,1491.0,1427.1,1485.15,29929363
2022-08-19,1494.8,1513.9,1485.75,1493.05,20674671
2022-08-26,1484.8,1488.35,1450.4,1465.1,28091747
2022-09-02,1437.0,1490.5,1428.6,1485.5,26612689
2022-09-09,1486.1,1509.0,1471.3,1498.6,30215899
2022-09-16,1500.0,1540.95,1483.0,1492.75,39198891
2022-09-23,1489.0,1524.0,1437.0,1446.15,29889653
2022-09-30,1425.35,1440.0,1365.0,1421.35,31749368
2022-10-07,1409.95,1462.6,1401.1,1430.8,24462503
2022-10-14,1408.0,1447.0,1384.0,1439.0,32206971
2022-10-21,1435.0,1477.4,1427.0,1438.6,30163130
2022-10-28,1454.3,1467.8,1445.0,1458.7,21174674
2022-11-04,1472.0,1529.0,1467.25,1497.15,32885577
2022-11-11,1510.0,1637.0,1492.1,1611.15,44299462
2022-11-18,1612.0,1642.0,1598.0,1613.9,33178633
2022-11-25,1607.65,1632.0,1590.2,1617.65,26340585
2022-12-02,1602.9,1637.0,1592.85,1607.1,36092135
2022-12-09,1609.95,1634.85,1596.2,1631.05,31192476
2022-12-16,1625.0,1669.4,1609.0,1639.65,39261602
2022-12-23,1644.0,1646.65,1585.45,1597.65,23242698
2022-12-30,1599.5,1645.0,1590.0,1628.15,22330462
2023-01-06,1627.0,1645.75,1578.2,1594.4,21572453
2023-01-13,1596.0,1611.55,1560.0,1600.65,30395760
2023-01-20,1615.0,1669.0,1577.5,1660.95,37320328
2023-01-27,1666.25,1702.4,1589.95,1615.8,45156215
2023-02-03,1595.0,1665.0,1582.0,1658.8,43160031
2023-02-10,1660.0,1669.4,1632.6,1657.1,24913008
2023-02-17,1655.0,1681.9,1642.95,1655.9,22551509
2023-02-24,1660.0,1669.45,1585.2,1588.95,37889427
2023-03-03,1585.9,1620.0,1577.3,1615.9,39910385
2023-03-10,1620.0,1645.95,1585.0,1588.65,47594948
2023-03-17,1587.9,1603.8,1532.05,1572.65,70796959
2023-03-24,1567.95,1590.35,1545.4,1560.65,66784293
2023-03-31,1562.2,1612.95,1558.9,1609.2,72808149
2023-04-07,1607.55,1669.2,1602.75,1666.35,64012341
2023-04-14,1663.25,1697.05,1651.1,1692.45,68229677
2023-04-21,1720.0,1720.0,1653.3,1674.6,69895217
2023-04-28,1687.0,1691.45,1655.0,1687.6,94564167
2023-05-05,1688.7,1734.45,1622.1,1625.65,90626754
2023-05-12,1635.0,1688.0,1630.0,1667.8,92743695
2023-05-19,1672.0,1680.75,1625.35,1646.9,80904244
2023-05-26,1645.0,1652.9,1597.35,1615.8,70402107
2023-06-02,1628.5,1642.65,1600.0,1606.5,85251569
2023-06-09,1614.5,1626.0,1592.25,1610.6,65718610
2023-06-16,1612.55,1615.8,1579.0,1602.5,56246690
2023-06-23,1611.0,1659.9,1590.9,1642.9,73195217
2023-06-30,1645.0,1708.75,1628.75,1700.0,74412942
2023-07-07,1712.5,1757.5,1656.3,1659.9,95089685
2023-07-14,1661.0,1676.65,1627.3,1646.5,112544488
2023-07-21,1650.0,1704.0,1633.0,1677.75,129255052
2023-07-28,1678.5,1703.0,1641.25,1642.9,105857273
2023-08-04,1650.05,1666.45,1623.05,1652.1,95420740
2023-08-11,1663.1,1663.1,1616.2,1620.8,91581821
2023-08-18,1611.0,1614.9,1582.0,1588.7,70720768
2023-08-25,1600.5,1600.5,1558.4,1559.2,80821087
2023-09-01,1561.5,1603.95,1559.35,1574.7,117072538
2023-09-08,1590.0,1632.9,1570.6,1623.4,94408591
2023-09-15,1628.9,1670.0,1624.0,1661.75,156988253
2023-09-22,1653.75,1655.0,1523.75,1529.65,143538314
2023-09-29,1525.0,1540.7,1515.0,1526.3,97265285
2023-10-06,1527.0,1551.55,1489.25,1534.05,79946577
2023-10-13,1528.0,1552.0,1512.0,1535.75,71412630
2023-10-20,1531.5,1555.75,1503.2,1522.8,66660608
2023-10-27,1523.5,1528.75,1460.25,1469.15,69095231
2023-11-03,1463.25,1504.0,1461.9,1483.75,76571883
2023-11-10,1498.0,1498.0,1477.2,1491.5,67539025
2023-11-17,1500.0,1519.0,1485.9,1505.1,59609006
2023-11-24,1513.0,1533.15,1501.55,1532.1,51465243
2023-12-01,1535.2,1572.45,1525.8,1555.4,77088401
2023-12-08,1588.0,1655.0,1573.65,1653.2,97842380
2023-12-15,1650.05,1668.0,1615.1,1656.55,131562753
2023-12-22,1660.7,1689.75,1644.05,1670.85,80711905
2023-12-29,1673.25,1721.4,1668.55,1709.25,57071415
2024-01-05,1706.0,1709.15,1668.1,1682.2,65247533
2024-01-12,1678.5,1682.35,1633.6,1641.2,48764372
2024-01-19,1647.7,1683.65,1468.4,1470.65,247229780
