date,open,high,low,close,volume
2020-01-17,627.9,633.05,601.7,607.65,10401514
2020-01-24,611.0,621.9,594.15,607.25,9408274
2020-01-31,604.8,611.9,597.15,599.2,6828605
2020-02-07,598.2,609.0,527.5,595.7,26854185
2020-02-14,596.0,598.9,563.6,573.95,10654328
2020-02-21,574.9,583.7,556.0,573.5,7610015
2020-02-28,572.25,582.5,541.25,544.1,14838545
2020-03-06,555.0,573.0,535.0,548.15,14196085
2020-03-13,538.0,540.3,429.1,507.15,20321205
2020-03-20,494.0,500.4,385.35,418.1,25315508
2020-03-27,377.5,487.0,340.0,441.0,36782327
2020-04-03,432.0,448.2,407.0,422.3,26934448
2020-04-10,436.9,500.55,433.25,472.25,17196301
2020-04-17,473.0,518.95,453.3,495.5,19686343
2020-04-24,503.7,515.3,451.15,453.35,16569529
2020-05-01,459.0,510.7,459.0,501.05,19385351
2020-05-08,489.0,527.35,469.45,520.05,22049645
2020-05-15,529.75,539.0,485.0,487.3,20457449
2020-05-22,487.3,504.7,464.0,494.75,21169666
2020-05-29,502.0,540.8,495.25,523.2,36669197
2020-06-05,521.0,528.65,494.45,516.25,38095322
2020-06-12,520.0,531.0,486.25,502.3,31561204
2020-06-19,507.9,524.0,495.3,521.1,17711414
2020-06-26,524.95,547.45,514.55,541.9,17587129
2020-07-03,543.5,589.6,532.65,572.15,25773156
2020-07-10,581.0,600.0,572.1,592.5,18642101
2020-07-17,593.95,616.0,584.0,614.5,13369312
2020-07-24,619.7,632.5,601.35,622.4,22239455
2020-07-31,624.6,647.6,613.5,627.1,41732615
2020-08-07,624.0,624.0,600.5,606.95,12255608
2020-08-14,616.0,617.95,585.65,587.75,12304198
2020-08-21,591.4,608.9,585.95,598.1,9405658
2020-08-28,599.8,605.45,588.15,589.35,13234039
2020-09-04,594.75,594.75,567.05,574.65,14179425
2020-09-11,576.6,612.7,571.15,604.8,17020543
2020-09-18,610.0,610.0,583.5,585.1,10926648
2020-09-25,587.0,589.8,566.3,577.5,11240114
2020-10-02,579.2,586.8,555.95,569.2,12137010
2020-10-09,572.0,589.0,565.35,573.8,24588613
2020-10-16,576.45,577.0,558.0,561.15,12321248
2020-10-23,565.9,581.0,556.0,564.5,37738860
2020-10-30,566.75,598.2,563.5,589.75,23969617
2020-11-06,590.8,603.9,585.6,590.6,12113199
2020-11-13,596.0,633.1,587.75,627.5,22899080
2020-11-20,638.7,676.1,635.0,663.9,20640994
2020-11-27,667.2,688.5,642.15,646.8,25641859
2020-12-04,653.25,656.0,625.0,643.25,41903141
2020-12-11,645.1,668.35,641.85,664.5,25424640
2020-12-18,667.45,668.0,640.0,654.1,17257207
2020-12-25,646.0,663.6,617.4,657.25,12804320
2021-01-01,661.85,686.35,657.7,678.4,16825415
2021-01-08,680.35,723.8,680.35,717.0,21688660
2021-01-15,720.9,731.0,702.2,704.85,11869695
2021-01-22,703.0,711.9,684.1,687.4,11785409
