date,open,high,low,close,volume
2020-01-17,212.8,215.0,208.15,210.05,39824780
2020-01-24,210.1,210.8,202.25,205.4,26036779
2020-01-31,203.55,203.55,188.25,189.35,37826853
2020-02-07,187.65,198.4,180.3,197.4,42537647
2020-02-14,195.9,197.0,189.6,194.0,34006993
2020-02-21,194.0,194.7,181.75,189.95,22161976
2020-02-28,186.9,186.9,154.1,155.9,63931139
2020-03-06,160.55,167.9,140.0,150.1,68864477
2020-03-13,143.9,145.8,103.1,127.45,51525584
2020-03-20,120.8,129.05,97.55,105.5,69798778
2020-03-27,94.95,99.95,84.9,91.55,59487115
2020-04-03,88.1,97.25,86.55,88.8,43016963
2020-04-10,92.15,111.8,90.0,107.55,62812471
2020-04-17,109.0,125.7,105.1,124.15,102370832
2020-04-24,125.0,125.15,102.75,103.65,89145798
2020-05-01,106.4,132.2,105.3,130.2,113842976
2020-05-08,121.4,123.0,114.6,117.1,96233113
2020-05-15,118.95,126.95,116.4,119.25,66801160
2020-05-22,120.55,130.75,114.3,124.85,90520238
2020-05-29,125.55,141.15,125.5,138.85,92552623
2020-06-05,141.9,151.0,138.35,149.25,72995196
2020-06-12,155.0,155.85,136.2,146.05,81051974
2020-06-19,149.05,154.6,143.75,151.05,101451820
2020-06-26,150.9,160.1,144.6,151.05,77134937
2020-07-03,149.45,151.6,143.3,146.4,56321796
2020-07-10,147.8,166.45,147.1,163.7,117158961
2020-07-17,165.3,170.5,161.05,162.15,76665150
2020-07-24,162.2,163.9,154.3,156.2,68674257
2020-07-31,157.0,168.5,154.6,163.1,62984695
2020-08-07,163.1,179.0,160.75,177.6,111389570
2020-08-14,176.9,189.45,172.7,184.95,112269498
2020-08-21,185.15,203.15,184.25,196.25,109524659
2020-08-28,197.45,197.8,190.05,193.8,48309777
2020-09-04,195.0,197.0,184.25,188.3,81297820
2020-09-11,188.3,191.5,171.75,178.65,73588414
2020-09-18,179.0,184.6,174.5,179.5,83959794
2020-09-25,179.4,180.7,154.4,162.05,101416730
2020-10-02,163.95,179.25,162.1,174.1,77329816
2020-10-09,175.0,182.4,169.25,170.0,80380347
2020-10-16,174.0,180.55,169.7,179.8,72569190
2020-10-23,181.0,187.7,177.7,182.25,78999408
2020-10-30,182.3,182.9,165.3,170.65,70705016
2020-11-06,171.5,190.35,167.65,188.15,82979672
2020-11-13,189.85,211.4,189.3,210.55,137116527
2020-11-20,210.3,227.25,210.1,215.55,85239852
2020-11-27,217.0,231.25,215.55,226.35,118643458
2020-12-04,230.8,255.95,222.5,252.7,107020456
2020-12-11,252.3,253.95,238.0,243.65,78462688
2020-12-18,245.95,254.9,242.6,249.9,77695177
2020-12-25,246.0,249.75,227.0,236.95,62251329
2021-01-01,239.15,242.0,232.65,238.35,41557921
2021-01-08,240.9,275.4,239.55,268.2,108550169
2021-01-15,267.6,270.5,251.1,253.35,64927523
2021-01-22,252.3,254.55,235.55,239.2,64110196
2021-01-29,240.7,243.9,224.55,226.3,51174826
2021-02-05,227.35,267.4,226.55,262.05,80443805
2021-02-12,264.0,297.35,263.55,290.8,129187658
2021-02-19,292.5,313.35,289.0,308.0,87379552
2021-02-26,310.0,354.6,310.0,340.25,167117080
2021-03-05,342.0,361.3,333.15,337.85,76277150
2021-03-12,340.05,345.0,327.45,330.2,50347086
2021-03-19,331.9,340.5,320.6,335.1,78863263
2021-03-26,335.1,342.65,305.4,327.15,77433108
2021-04-02,330.55,352.0,320.9,348.3,45160442
2021-04-09,349.9,374.0,338.0,361.05,83623802
2021-04-16,352.1,376.5,331.6,370.0,79292319
2021-04-23,358.7,371.5,345.3,349.5,56515716
2021-04-30,353.0,377.3,345.5,364.4,127232462
2021-05-07,364.4,404.95,357.65,401.1,139090209
2021-05-14,407.8,427.5,368.15,382.8,126612709
2021-05-21,384.5,412.8,377.25,389.8,120538036
2021-05-28,392.9,399.5,379.45,388.25,89399254
2021-06-04,391.55,405.5,386.5,395.05,57154332
2021-06-11,396.15,401.4,381.1,393.15,50731898
2021-06-18,392.95,397.5,359.8,371.35,74515523
2021-06-25,366.9,380.35,360.4,375.9,59122376
2021-07-02,378.9,384.95,370.95,376.05,47027363
2021-07-09,379.0,395.0,377.5,390.05,49266375
2021-07-16,393.0,406.0,386.6,405.5,34108326
2021-07-23,398.0,404.95,381.2,391.75,27503242
2021-07-30,393.0,474.0,390.2,444.8,122483264
2021-08-06,448.0,455.85,432.9,442.15,55035056
2021-08-13,441.95,449.6,423.25,442.05,65129094
2021-08-20,442.6,447.0,401.1,403.65,52181420
2021-08-27,411.0,439.0,399.5,437.9,72222023
2021-09-03,440.95,474.0,440.65,461.3,56499402
2021-09-10,466.95,475.0,455.2,463.55,31483912
2021-09-17,476.0,488.0,468.55,473.05,64426695
2021-09-24,462.0,485.65,438.8,478.75,72380108
2021-10-01,474.9,504.0,472.3,484.35,44887606
2021-10-08,486.0,509.45,472.65,473.65,48086123
2021-10-15,478.5,523.35,476.25,516.1,32029213
2021-10-22,535.45,551.85,464.5,470.45,77506603
2021-10-29,473.55,488.0,453.45,459.8,47255258
2021-11-05,463.8,482.0,463.35,472.6,21958844
2021-11-12,480.0,481.45,446.6,468.55,61114570
2021-11-19,473.6,473.6,436.3,440.3,34981525
2021-11-26,442.6,458.8,414.7,417.0,50249044
2021-12-03,414.0,433.9,407.1,424.65,55817268
2021-12-10,424.95,460.95,418.2,455.1,51060014
2021-12-17,460.0,469.5,444.75,450.15,44297304
2021-12-24,444.8,468.45,426.7,458.9,28856121
2021-12-31,456.9,477.35,448.4,475.55,34188094
2022-01-07,475.55,495.25,472.0,493.5,36534243
2022-01-14,497.0,509.5,485.7,506.35,34217237
2022-01-21,509.0,515.8,490.3,506.7,37132730
2022-01-28,498.95,506.6,474.65,490.35,29881768
2022-02-04,498.9,528.5,487.7,525.15,39649160
2022-02-11,527.85,553.85,514.05,542.7,50054590
2022-02-18,531.0,540.75,513.7,529.6,26261607
2022-02-25,528.5,546.9,501.55,533.9,64537279
2022-03-04,537.0,618.0,531.8,583.8,115628101
2022-03-11,586.75,623.0,569.8,589.1,78587507
2022-03-18,585.9,593.55,555.95,576.8,42977741
2022-03-25,584.0,630.95,582.55,622.7,58458058
2022-04-01,621.5,636.0,561.45,570.5,62315975
2022-04-08,572.0,590.95,569.0,581.75,49074693
2022-04-15,583.4,587.45,538.6,546.75,32395157
2022-04-22,544.95,556.2,513.3,514.15,52866416
2022-04-29,502.65,508.5,476.45,482.65,77501209
2022-05-06,477.85,486.0,439.0,443.75,39916365
2022-05-13,433.85,448.55,384.95,388.0,75471909
2022-05-20,395.8,438.4,385.0,429.1,89748846
2022-05-27,418.0,426.95,389.7,409.15,73515256
2022-06-03,410.0,428.5,405.3,406.75,78259412
2022-06-10,402.6,413.0,382.75,385.75,46698192
2022-06-17,377.8,377.8,325.85,333.7,67156680
2022-06-24,331.0,343.5,308.95,322.3,85409169
2022-07-01,331.5,349.9,325.3,341.15,75920701
2022-07-08,338.0,368.0,326.65,357.55,98357266
2022-07-15,352.0,363.3,341.6,350.55,63906697
2022-07-22,355.9,382.0,354.2,381.25,56901622
2022-07-29,381.0,416.8,379.15,415.05,41105885
2022-08-05,420.0,433.0,407.6,410.8,70844939
2022-08-12,414.9,446.5,414.0,436.25,55694187
2022-08-19,434.0,442.4,422.35,427.35,38317357
2022-08-26,422.0,445.45,413.85,440.05,40419016
