date,open,high,low,close,volume
2020-01-17,253.2,257.8,246.85,249.65,15767212
2020-01-24,250.0,254.5,243.9,244.8,16898807
2020-01-31,245.5,248.25,231.35,232.45,19085693
2020-02-07,231.3,245.0,221.6,241.05,28132381
2020-02-14,241.0,244.05,232.3,233.85,12445957
2020-02-21,234.0,234.7,222.0,222.4,14362549
2020-02-28,222.2,222.6,194.5,197.55,24520685
2020-03-06,200.7,210.8,191.1,201.15,26235973
2020-03-13,206.15,226.85,150.0,197.6,55588334
2020-03-20,191.85,222.15,180.0,208.5,48513722
2020-03-27,195.7,197.9,167.55,170.25,30241424
2020-04-03,170.1,195.4,164.3,184.2,35462448
2020-04-10,193.0,211.8,185.25,207.85,26048170
2020-04-17,209.0,220.0,199.45,217.7,21187108
2020-04-24,220.8,228.5,200.0,201.4,26419738
2020-05-01,202.4,224.4,202.4,220.3,35632390
2020-05-08,211.0,220.0,186.7,196.95,47805636
2020-05-15,198.0,201.2,187.0,189.1,24882391
2020-05-22,189.5,190.45,170.35,182.2,38247374
2020-05-29,183.0,197.65,178.3,194.55,23200020
2020-06-05,196.3,205.45,192.3,204.6,32923401
2020-06-12,209.6,222.5,199.35,210.85,38743115
2020-06-19,208.85,225.9,204.35,223.65,51987788
2020-06-26,225.95,242.1,220.85,231.25,43208777
2020-07-03,227.7,230.95,213.0,215.85,36047250
2020-07-10,217.75,220.55,204.05,209.9,31948441
2020-07-17,210.05,227.2,200.5,224.0,47357131
2020-07-24,224.0,238.0,222.6,228.4,47719882
2020-07-31,230.4,240.7,213.8,215.0,38053930
2020-08-07,215.0,223.0,208.6,213.6,51765718
2020-08-14,215.8,219.3,207.7,208.65,36816236
2020-08-21,210.0,217.2,205.45,212.45,38263450
2020-08-28,213.5,214.8,207.25,209.6,26945523
2020-09-04,212.3,214.8,194.8,197.1,43217026
2020-09-11,200.0,204.25,190.8,199.15,36601983
2020-09-18,199.9,201.15,193.15,194.05,25549165
2020-09-25,194.5,198.5,170.85,178.6,43068714
2020-10-02,180.3,186.5,174.9,175.5,33860026
2020-10-09,176.9,177.25,169.65,176.0,31816038
2020-10-16,177.0,177.15,162.9,169.3,31105090
2020-10-23,170.0,184.0,170.0,182.55,29594347
2020-10-30,182.0,189.6,170.3,187.65,54379440
2020-11-06,188.0,207.25,181.15,205.35,78412389
2020-11-13,205.95,217.4,204.1,214.65,34727938
2020-11-20,221.0,223.4,211.45,214.05,29571999
2020-11-27,215.0,216.3,206.5,209.35,39150895
2020-12-04,210.0,223.15,208.8,216.65,30629240
2020-12-11,218.0,223.0,212.6,217.35,38505420
2020-12-18,219.4,234.4,218.05,224.4,50489366
