date,open,high,low,close,volume
2020-01-17,38.3,40.5,37.9,38.25,10954446
2020-01-24,38.55,39.45,36.7,37.0,10957765
2020-01-31,37.25,37.25,33.55,34.7,17684045
2020-02-07,35.25,37.0,34.5,36.3,9486315
2020-02-14,36.1,36.5,34.45,34.55,3925927
2020-02-21,34.7,35.75,33.4,35.6,3506903
2020-02-28,35.55,35.6,31.85,32.15,7871669
2020-03-06,32.4,33.2,28.8,30.25,8651778
2020-03-13,31.6,31.6,19.8,24.8,14355441
2020-03-20,24.0,24.45,15.35,16.2,19066213
2020-03-27,14.65,16.1,13.25,16.1,12677311
2020-04-03,16.4,16.4,13.8,14.05,12599830
2020-04-10,14.7,15.0,13.95,14.7,9959289
2020-04-17,15.2,16.7,15.0,16.7,18483221
2020-04-24,17.3,17.95,14.85,14.85,17284324
2020-05-01,15.0,15.15,14.3,14.5,22290062
2020-05-08,14.5,14.55,13.7,14.25,16724024
2020-05-15,14.45,14.7,13.8,14.0,23774807
2020-05-22,14.0,14.05,13.4,13.4,14600986
2020-05-29,13.55,14.25,13.4,14.25,30688720
2020-06-05,14.85,17.25,14.6,17.15,69114596
2020-06-12,18.05,19.5,16.6,18.2,116232198
2020-06-19,18.8,20.25,18.3,19.4,72253662
2020-06-26,19.5,22.3,19.0,19.3,132910202
2020-07-03,19.3,19.5,18.2,19.05,49389268
2020-07-10,19.2,20.8,19.05,19.3,71982817
2020-07-17,19.35,19.6,18.0,18.65,36299381
2020-07-24,18.75,19.45,18.3,19.15,52819548
2020-07-31,19.25,19.8,18.5,19.0,39387609
2020-08-07,19.0,20.5,18.6,20.25,52418121
2020-08-14,20.6,28.65,20.45,26.6,179665168
2020-08-21,27.0,29.95,26.1,28.85,42647792
2020-08-28,29.0,30.2,28.5,29.55,33830252
2020-09-04,30.1,30.3,23.65,28.55,33060581
2020-09-11,28.3,29.3,27.3,28.2,18881955
2020-09-18,28.4,34.75,28.35,32.25,63220511
2020-09-25,32.3,33.0,29.05,31.4,31120911
2020-10-02,31.75,33.05,31.25,31.85,16361328
2020-10-09,31.9,33.2,29.4,29.85,13807633
2020-10-16,30.0,30.7,28.2,29.1,8817972
2020-10-23,29.3,31.45,29.15,30.2,13641106
2020-10-30,30.45,30.95,28.4,30.45,9490563
2020-11-06,30.6,31.05,29.25,30.05,12953442
2020-11-13,30.3,31.9,29.85,31.3,17364560
2020-11-20,31.95,34.0,31.3,33.5,17396703
2020-11-27,38.1,45.0,38.1,41.8,66847059
2020-12-04,42.15,42.4,39.45,39.85,15020269
2020-12-11,40.0,42.15,38.5,38.95,29520740
2020-12-18,39.4,43.35,38.65,39.25,91129416
2020-12-25,38.25,38.95,35.0,37.35,19463920
2021-01-01,37.5,38.75,36.85,37.95,21635422
2021-01-08,38.5,45.7,36.6,43.15,222407493
2021-01-15,43.7,45.5,41.45,44.7,91051546
2021-01-22,45.3,46.2,40.85,41.95,80727156
2021-01-29,42.4,44.8,40.6,43.75,39744644
2021-02-05,44.0,45.2,41.85,43.0,49969904
2021-02-12,43.5,51.45,43.05,50.6,117267220
2021-02-19,50.0,55.0,47.3,52.15,104033811
2021-02-26,52.7,57.0,51.1,54.5,78496697
2021-03-05,55.45,58.95,53.9,56.25,49603284
2021-03-12,57.0,57.45,52.1,55.0,29803676
2021-03-19,55.3,55.6,47.55,50.4,33063209
2021-03-26,50.4,53.45,47.25,47.55,21822504
2021-04-02,48.05,48.9,46.1,47.9,12670890
2021-04-09,47.8,51.8,45.6,50.15,20325032
2021-04-16,48.1,50.1,44.7,46.9,19974340
2021-04-23,46.0,47.0,44.5,46.05,21768218
2021-04-30,46.55,56.7,46.15,53.0,50607976
2021-05-07,52.7,55.75,50.55,53.6,39540279
2021-05-14,54.4,57.15,52.0,54.35,51938053
2021-05-21,54.5,55.5,52.8,54.65,21700971
