date,open,high,low,close,volume
2020-01-17,44.2,45.45,41.35,43.5,86770661
2020-01-24,45.45,45.45,42.7,44.0,67126023
2020-01-31,43.9,44.65,40.2,40.7,136047772
2020-02-07,40.9,42.7,38.8,42.0,94419897
2020-02-14,42.15,42.25,39.45,39.6,48606602
2020-02-21,39.7,40.85,37.75,40.3,58298347
2020-02-28,39.95,40.15,36.6,36.8,69464241
2020-03-06,37.3,39.25,34.55,36.25,108699730
2020-03-13,35.0,35.75,20.7,29.75,176105279
2020-03-20,27.2,28.0,18.25,20.6,320066038
2020-03-27,18.7,25.0,17.65,22.4,185328987
2020-04-03,21.8,22.0,19.5,19.65,81076601
2020-04-10,20.75,22.3,19.65,22.05,89715991
2020-04-17,23.0,26.5,21.7,26.4,126840603
2020-04-24,26.9,26.9,22.1,22.2,119206989
2020-05-01,22.5,22.75,21.7,21.9,155477107
2020-05-08,21.45,21.55,20.15,20.3,141713130
2020-05-15,20.65,22.6,19.85,20.85,145779885
2020-05-22,20.9,20.95,18.45,18.85,160746578
2020-05-29,20.0,23.25,19.55,22.1,322040767
2020-06-05,23.0,24.95,22.4,24.25,284636567
2020-06-12,24.5,27.2,23.0,25.85,437537502
2020-06-19,26.1,26.3,24.3,25.85,222990725
2020-06-26,26.05,29.25,25.85,26.8,353466394
2020-07-03,26.8,27.15,25.55,26.75,143397697
2020-07-10,27.0,29.0,26.5,27.1,193047065
2020-07-17,27.35,27.6,24.1,26.55,182096884
2020-07-24,27.0,29.0,26.65,28.45,212466462
2020-07-31,28.8,29.2,26.2,26.6,228492545
2020-08-07,26.6,28.55,26.0,28.4,190849813
2020-08-14,28.6,31.7,27.95,30.25,294284206
2020-08-21,30.4,31.85,29.0,30.9,194942380
2020-08-28,31.2,33.95,31.0,33.65,256212137
2020-09-04,34.25,34.5,29.65,31.7,279227326
2020-09-11,32.0,32.1,28.7,31.05,160064374
2020-09-18,31.4,32.4,30.65,31.1,181242750
2020-09-25,31.1,31.2,26.85,29.35,225202555
2020-10-02,29.5,30.75,29.3,30.35,155475783
2020-10-09,30.7,32.15,30.0,31.95,175722800
2020-10-16,31.95,32.25,29.75,30.7,103090806
2020-10-23,30.7,32.1,30.6,31.45,105119133
2020-10-30,31.45,31.7,29.8,30.6,113541827
2020-11-06,31.1,31.95,29.9,31.65,127465561
2020-11-13,32.0,34.55,31.75,33.05,191929377
2020-11-20,34.0,34.75,33.05,33.6,98063565
2020-11-27,33.75,38.5,33.7,36.75,286168285
2020-12-04,37.1,37.8,36.35,37.1,111069532
2020-12-11,37.3,39.05,36.45,37.45,173202095
2020-12-18,37.9,38.15,36.2,36.95,94631902
2020-12-25,36.5,36.7,32.9,35.9,119689744
2021-01-01,36.25,37.6,35.9,37.4,99753334
2021-01-08,37.95,47.6,37.7,44.4,459689097
2021-01-15,44.75,49.55,43.25,48.45,315031340
2021-01-22,48.65,52.45,45.8,49.5,333009114
2021-01-29,50.3,50.65,46.9,47.2,166905596
2021-02-05,45.8,50.8,43.75,48.45,277962471
