date,open,high,low,close,volume
2020-01-17,139.85,146.0,136.7,145.5,5618875
2020-01-24,145.0,146.1,141.55,145.1,4477136
2020-01-31,145.0,147.75,138.25,142.3,5288171
2020-02-07,143.0,143.0,137.55,140.15,5582046
2020-02-14,139.5,140.5,132.9,134.05,4104604
2020-02-21,134.45,141.8,126.7,140.05,4831388
2020-02-28,139.9,141.35,127.15,135.0,9591827
2020-03-06,134.15,138.65,113.2,120.9,21759342
2020-03-13,118.7,118.95,96.4,115.15,30554740
2020-03-20,106.2,110.45,81.0,90.6,13099156
2020-03-27,80.0,85.7,72.1,75.9,10915123
2020-04-03,75.9,77.6,69.0,69.35,7048235
2020-04-10,75.0,80.4,69.75,75.35,9132145
2020-04-17,75.0,85.0,72.2,80.5,15468701
2020-04-24,83.8,84.95,75.35,76.0,22254893
2020-05-01,76.35,81.0,73.4,79.9,9319937
2020-05-08,77.0,77.0,65.7,67.25,11698183
2020-05-15,66.4,70.0,64.5,67.85,9633729
2020-05-22,65.0,71.2,62.1,69.1,7932734
2020-05-29,69.7,76.0,66.7,75.6,8683219
2020-06-05,79.9,93.45,79.05,91.25,22783570
2020-06-12,94.8,96.5,85.0,88.8,27256230
2020-06-19,88.7,90.75,80.0,83.35,14098263
2020-06-26,84.35,86.4,81.0,81.5,9603474
2020-07-03,82.0,82.9,79.0,80.3,7223833
2020-07-10,81.35,87.8,80.15,81.25,17824287
2020-07-17,81.5,81.95,77.1,79.4,8344936
2020-07-24,79.75,84.5,78.55,79.15,15802755
2020-07-31,79.45,80.8,76.1,76.35,8641382
2020-08-07,76.4,79.6,76.35,77.85,8025739
2020-08-14,79.3,102.5,78.1,93.75,65236365
2020-08-21,95.4,106.45,92.0,100.85,28161995
2020-08-28,102.35,112.5,101.2,108.65,30034239
2020-09-04,109.85,111.3,100.0,101.85,21209386
2020-09-11,101.85,104.25,93.0,99.15,10271079
2020-09-18,100.0,103.95,99.0,100.15,19232291
2020-09-25,100.6,101.5,88.65,91.65,10451138
2020-10-02,93.7,101.7,92.9,97.0,18137395
2020-10-09,97.85,102.8,95.9,96.25,24985135
2020-10-16,96.8,98.5,93.0,97.15,6753039
2020-10-23,97.85,102.9,95.75,100.55,11066349
2020-10-30,101.0,101.7,95.0,95.4,15892458
2020-11-06,95.4,100.4,91.5,98.55,9806938
2020-11-13,99.8,116.4,96.7,111.2,27022410
2020-11-20,115.9,122.75,113.05,113.6,18585679
2020-11-27,113.0,119.65,109.6,118.2,13701281
2020-12-04,120.0,132.0,118.6,128.0,21836624
2020-12-11,128.9,139.25,127.2,127.9,15547625
2020-12-18,128.85,134.0,127.0,127.8,11941201
2020-12-25,128.5,128.8,113.2,121.35,9071729
2021-01-01,122.85,126.8,118.8,123.95,9902775
2021-01-08,126.0,127.5,122.5,123.35,9636060
2021-01-15,124.35,129.9,122.65,126.95,8891646
2021-01-22,127.0,129.55,120.5,122.55,11055638
2021-01-29,123.35,125.75,120.5,121.6,7083588
2021-02-05,122.35,125.0,118.7,119.3,9975496
2021-02-12,120.0,130.65,119.5,129.15,16368062
2021-02-19,130.0,133.0,123.35,123.8,17991980
2021-02-26,122.9,124.15,118.0,122.8,13198477
2021-03-05,124.0,130.6,120.0,125.4,14932512
2021-03-12,126.9,129.3,123.0,125.1,5646230
2021-03-19,125.1,125.3,111.3,114.0,7166290
2021-03-26,114.2,117.0,102.7,108.4,13907163
2021-04-02,110.0,114.9,104.75,112.7,8084218
2021-04-09,109.5,113.45,106.5,110.65,8965785
2021-04-16,106.25,109.85,98.7,98.95,12591878
2021-04-23,97.75,105.7,93.75,104.35,22348255
2021-04-30,106.0,115.4,104.5,111.5,17551589
2021-05-07,110.0,114.2,107.0,112.4,9196171
2021-05-14,112.4,119.45,111.8,112.85,12494504
2021-05-21,114.2,131.0,114.2,130.25,22181725
2021-05-28,131.0,138.85,128.55,133.35,26782667
2021-06-04,133.6,144.3,132.0,136.8,47507213
2021-06-11,139.0,141.2,134.35,135.45,22686527
2021-06-18,136.2,137.45,125.0,135.25,18032342
2021-06-25,133.0,150.7,131.35,147.45,35469934
2021-07-02,148.0,148.4,140.25,142.95,13711867
2021-07-09,144.0,157.3,143.3,148.0,36443465
2021-07-16,149.7,154.9,146.1,152.85,18773709
2021-07-23,151.0,151.55,142.0,146.8,12261723
2021-07-30,147.9,150.8,143.2,145.1,13661891
2021-08-06,145.05,149.2,142.65,144.9,10114723
2021-08-13,145.0,147.4,136.5,142.25,16561860
2021-08-20,142.0,143.15,137.45,138.55,3807172
2021-08-27,140.0,141.9,133.05,140.15,10106281
2021-09-03,140.75,151.45,139.55,147.0,17520865
2021-09-10,148.0,153.35,142.45,150.8,16032720
2021-09-17,151.75,158.0,148.3,149.05,19159920
2021-09-24,149.2,186.9,147.8,178.8,128553517
2021-10-01,182.0,200.5,178.1,184.1,86382914
2021-10-08,185.45,211.7,184.0,202.65,90654325
2021-10-15,204.2,237.4,201.0,229.55,85081626
2021-10-22,231.65,235.0,202.85,204.65,67133761
2021-10-29,208.9,213.7,192.45,196.65,34487713
2021-11-05,193.5,216.75,192.7,215.4,28261509
2021-11-12,217.0,224.9,207.2,214.3,46429223
2021-11-19,215.35,224.2,207.0,210.5,33344128
2021-11-26,210.9,211.0,180.05,182.05,40408261
2021-12-03,179.9,196.0,171.0,192.3,82026682
2021-12-10,190.0,206.5,186.3,204.15,34500012
2021-12-17,205.5,206.5,188.3,190.9,23856694
2021-12-24,184.9,187.0,175.0,176.65,24572087
2021-12-31,173.0,184.35,172.15,180.75,20738128
2022-01-07,179.8,188.45,178.05,186.35,21636347
2022-01-14,184.0,213.95,184.0,210.7,39999376
2022-01-21,210.45,214.0,202.85,206.35,18005597
2022-01-28,205.0,211.8,190.85,207.3,23557259
2022-02-04,208.5,226.55,208.5,216.55,37316747
2022-02-11,217.3,218.55,205.25,206.6,17350143
2022-02-18,200.95,211.5,193.0,207.05,20494944
2022-02-25,206.75,210.55,191.95,200.2,26554085
2022-03-04,198.0,206.7,187.3,190.5,25371758
2022-03-11,183.4,213.3,180.6,203.0,37634122
2022-03-18,204.05,215.0,200.4,208.5,18111255
2022-03-25,209.0,235.8,205.0,227.65,62707110
2022-04-01,229.95,245.5,225.0,240.6,55242353
