date,open,high,low,close,volume
2019-11-08,129.0,129.95,122.5,123.5,2825590
2019-11-15,123.4,124.9,112.55,116.8,6185779
2019-11-22,117.05,128.0,117.0,119.15,11571575
2019-11-29,119.25,134.5,118.9,128.9,13355865
2019-12-06,129.6,130.35,118.5,119.2,4954442
2019-12-13,118.8,121.65,114.6,118.1,5063977
2019-12-20,118.8,119.0,104.6,107.5,11549460
2019-12-27,106.8,108.4,103.15,104.9,6561467
2020-01-03,105.4,105.6,100.5,102.85,6984152
2020-01-10,102.0,102.4,97.25,98.75,5756547
2020-01-17,99.5,103.65,98.2,102.05,7405585
2020-01-24,102.5,109.7,100.55,106.95,18414517
2020-01-31,107.2,108.75,99.45,103.45,6666218
2020-02-07,103.0,104.95,94.7,96.55,7690793
2020-02-14,96.9,97.05,84.7,84.95,6000527
2020-02-21,84.95,84.95,77.85,83.4,4230680
2020-02-28,82.6,82.75,71.05,74.05,5300295
2020-03-06,76.0,76.3,68.2,69.85,9331119
2020-03-13,69.3,69.3,44.0,56.15,7362845
2020-03-20,54.4,55.1,45.1,52.4,6777310
2020-03-27,47.0,50.35,41.55,45.25,6907801
2020-04-03,45.9,46.4,42.05,44.8,5737292
2020-04-10,46.3,48.3,44.85,47.5,3901210
2020-04-17,48.0,48.3,45.3,46.35,5587766
2020-04-24,47.2,55.55,46.5,48.45,21853738
2020-05-01,48.4,54.3,48.35,51.9,11551451
2020-05-08,50.9,50.9,45.15,46.5,8441239
2020-05-15,46.95,49.9,44.6,47.35,6162445
2020-05-22,47.35,47.35,43.7,44.25,5236269
2020-05-29,44.55,44.9,43.2,43.75,6709140
2020-06-05,44.05,54.95,44.05,53.9,34209931
2020-06-12,56.0,57.85,51.0,54.55,28688471
2020-06-19,53.9,58.3,52.7,56.2,22323551
2020-06-26,56.8,72.95,56.8,66.45,64692294
2020-07-03,65.7,67.85,56.0,64.55,15144348
2020-07-10,65.25,69.0,63.3,63.9,19370680
2020-07-17,63.9,64.6,58.5,61.55,9880748
2020-07-24,61.65,63.2,59.1,60.1,7378478
2020-07-31,59.85,60.85,57.05,58.45,7828762
2020-08-07,58.4,59.7,57.05,58.9,5478110
2020-08-14,60.0,66.5,59.05,62.1,22190061
2020-08-21,63.0,65.65,62.05,64.35,9329207
2020-08-28,64.9,70.2,64.6,68.8,23857916
2020-09-04,71.85,71.85,62.3,63.4,8972380
2020-09-11,62.7,63.6,58.6,61.7,4175445
2020-09-18,62.25,64.45,60.05,60.5,4742059
2020-09-25,60.5,60.9,53.1,55.1,5283581
2020-10-02,55.55,58.3,55.55,57.2,1953141
2020-10-09,58.45,61.5,57.45,60.2,4709495
2020-10-16,60.25,61.6,56.2,57.5,3425459
2020-10-23,57.9,63.45,57.9,61.25,7314239
2020-10-30,62.0,62.0,57.35,57.9,2596898
2020-11-06,58.05,61.35,57.55,60.15,4368086
2020-11-13,60.9,65.0,59.5,62.6,7978539
2020-11-20,62.9,66.2,62.0,63.0,7448784
2020-11-27,63.2,68.8,63.05,67.45,13576628
2020-12-04,68.55,75.1,66.85,73.1,25225759
2020-12-11,74.35,94.0,73.0,85.95,58173194
2020-12-18,85.95,97.75,85.9,87.4,32626557
2020-12-25,86.5,87.95,74.05,86.4,18961548
2021-01-01,86.4,90.4,84.6,88.35,14361109
2021-01-08,89.5,89.85,86.15,87.1,11089137
2021-01-15,87.75,98.8,85.35,91.85,41501008
2021-01-22,92.4,97.7,86.2,90.9,34259978
2021-01-29,92.0,93.4,86.6,88.45,16658580
2021-02-05,88.8,137.0,87.5,127.75,100418540
2021-02-12,129.5,134.5,121.05,123.25,25673949
2021-02-19,124.7,157.0,122.6,142.2,54152068
2021-02-26,140.0,147.45,133.35,136.3,20153998
2021-03-05,138.5,143.0,135.8,139.1,12634118
2021-03-12,143.0,143.95,128.85,131.5,6934027
2021-03-19,131.0,131.5,112.0,119.55,12682022
2021-03-26,119.5,126.35,112.3,118.25,9205360
2021-04-02,119.5,121.0,113.8,118.4,4615705
2021-04-09,118.4,122.65,112.6,118.0,11067217
2021-04-16,113.95,114.35,98.7,103.2,16950378
2021-04-23,99.95,107.95,96.05,107.2,12568303
2021-04-30,107.2,115.2,106.75,110.0,10975101
2021-05-07,108.75,121.6,107.05,112.9,25352724
2021-05-14,114.45,133.9,112.7,125.85,29181111
2021-05-21,128.4,143.1,122.8,140.3,41738987
2021-05-28,142.95,149.0,140.15,141.95,25560138
2021-06-04,143.0,148.5,135.0,143.4,22131084
2021-06-11,143.9,145.45,137.25,140.55,11903251
2021-06-18,140.75,149.45,133.35,139.95,18269552
2021-06-25,136.0,154.2,136.0,148.5,28157017
2021-07-02,149.6,155.5,141.1,142.15,34920632
2021-07-09,142.5,144.2,134.6,136.0,11949499
2021-07-16,137.7,140.0,135.35,138.15,10250578
2021-07-23,138.15,143.8,136.85,138.9,25346561
2021-07-30,141.0,141.6,134.25,139.0,8792873
2021-08-06,140.2,143.5,134.2,135.25,13089874
2021-08-13,136.2,136.7,127.4,129.95,10266256
2021-08-20,129.8,132.25,120.6,121.65,7009351
2021-08-27,123.0,125.0,115.1,123.4,11231902
2021-09-03,124.75,129.5,120.6,125.45,12223574
2021-09-10,126.7,126.7,121.95,124.9,5544563
2021-09-17,124.9,144.3,123.75,137.05,19683880
2021-09-24,134.0,136.3,125.9,128.3,11491698
2021-10-01,129.1,143.0,124.0,141.8,25240193
2021-10-08,142.3,143.95,138.15,141.5,12562515
2021-10-15,142.65,167.5,141.3,164.5,52577401
2021-10-22,170.9,185.75,153.55,182.5,60831780
2021-10-29,184.25,194.95,155.6,172.1,59584784
2021-11-05,161.35,176.4,161.35,172.85,17285789
2021-11-12,174.5,184.6,168.0,168.95,23026728
2021-11-19,170.0,170.6,159.0,160.2,9162432
2021-11-26,160.3,161.15,142.0,147.7,25056357
2021-12-03,145.9,148.85,138.25,142.65,13692189
2021-12-10,143.8,163.4,141.25,160.2,16018512
2021-12-17,164.0,165.9,141.6,142.25,12286186
2021-12-24,142.1,143.5,133.45,137.55,13921590
2021-12-31,136.25,163.3,133.25,139.6,9212746
2022-01-07,138.8,147.45,138.8,144.15,12118422
2022-01-14,144.7,149.3,144.3,146.05,12406560
2022-01-21,147.0,147.9,138.5,139.3,8086234
2022-01-28,139.65,151.85,130.9,150.1,19266775
2022-02-04,152.4,172.3,151.7,168.45,46228290
2022-02-11,169.15,178.7,152.05,153.15,37369260
2022-02-18,150.0,156.95,144.8,152.05,12832783
2022-02-25,150.25,151.95,135.0,141.35,13168510
2022-03-04,141.1,145.5,140.0,142.05,8993179
2022-03-11,139.0,153.9,131.5,148.45,18392102
2022-03-18,148.0,157.0,146.75,156.55,9374140
2022-03-25,158.0,158.0,148.2,148.95,6878343
2022-04-01,149.5,160.6,145.75,160.1,9535257
2022-04-08,161.0,175.5,160.3,170.15,14381120
2022-04-15,170.15,174.3,164.1,167.35,5461555
2022-04-22,165.0,168.0,158.05,161.6,6552257
2022-04-29,161.75,164.75,158.55,163.5,5299565
2022-05-06,160.1,163.35,146.2,153.25,4713653
2022-05-13,153.25,154.0,137.05,145.55,9703050
2022-05-20,145.5,157.9,145.15,157.35,7016417
2022-05-27,157.35,164.0,154.2,163.25,7643208
2022-06-03,165.6,173.0,162.95,164.25,13293861
2022-06-10,164.4,165.65,160.0,163.5,4557360
2022-06-17,161.5,161.5,145.05,145.75,5296137
2022-06-24,145.75,153.6,140.0,152.7,6563589
2022-07-01,154.2,155.65,146.4,149.55,3056693
2022-07-08,150.3,162.0,149.1,160.3,7235957
2022-07-15,160.0,179.7,158.55,171.7,14805028
2022-07-22,173.0,180.5,171.05,178.35,10705070
2022-07-29,178.35,182.0,171.2,176.5,5160056
2022-08-05,176.0,179.75,166.0,174.55,11687808
2022-08-12,175.1,187.85,173.2,182.4,8035696
2022-08-19,183.85,185.8,174.2,177.8,5020003
2022-08-26,176.0,196.9,173.0,193.35,11705153
2022-09-02,186.0,197.75,185.3,191.8,5888761
2022-09-09,192.75,205.6,189.6,203.65,12467098
2022-09-16,204.85,207.45,193.8,195.9,8825511
2022-09-23,196.0,206.6,193.45,197.15,7101942
2022-09-30,194.95,198.65,183.7,196.85,6377257
2022-10-07,196.75,203.8,188.35,202.95,3662927
2022-10-14,202.0,202.0,190.0,192.3,3461043
2022-10-21,192.9,236.4,191.65,226.2,21019317
2022-10-28,232.0,247.1,228.2,244.6,13621939
2022-11-04,246.5,258.6,241.0,249.7,16395663
2022-11-11,255.1,270.0,255.0,260.8,15824874
2022-11-18,261.0,275.0,257.05,274.35,8653514
