date,open,high,low,close,volume
2020-01-17,251.45,252.8,210.25,218.25,42751425
2020-01-24,219.0,245.9,218.25,244.3,55552669
2020-01-31,243.0,253.8,232.65,248.3,22520211
2020-02-07,245.25,251.0,222.45,247.8,34885453
2020-02-14,245.55,252.75,227.7,235.45,27467441
2020-02-21,234.85,239.95,200.7,226.2,61288367
2020-02-28,242.0,242.0,207.5,214.45,52245475
2020-03-06,216.0,226.25,201.0,203.7,24331662
2020-03-13,196.0,241.7,195.3,227.25,35332486
2020-03-20,219.8,220.9,120.05,148.15,70088723
2020-03-27,134.0,169.0,131.0,156.8,33872275
2020-04-03,157.1,163.3,148.4,156.4,19923979
2020-04-10,164.2,175.25,157.1,173.9,19759490
2020-04-17,173.2,181.0,165.45,168.3,18730070
2020-04-24,168.9,174.55,149.5,152.0,44133842
2020-05-01,154.0,175.8,154.0,174.4,20186939
2020-05-08,164.0,183.8,156.6,174.25,66851164
2020-05-15,174.25,213.6,173.0,202.5,66379594
2020-05-22,205.0,220.8,196.0,207.5,77360059
2020-05-29,207.9,242.5,203.25,229.95,47747725
2020-06-05,231.0,239.7,213.9,236.25,58849224
2020-06-12,238.15,241.0,200.0,225.0,78852696
2020-06-19,226.0,228.95,205.05,218.85,57527270
2020-06-26,221.0,237.5,218.0,220.6,54564348
2020-07-03,222.0,228.5,211.0,226.7,34604419
2020-07-10,226.75,228.6,206.15,209.05,33103090
2020-07-17,209.1,215.4,188.8,198.1,57509079
2020-07-24,202.0,209.0,192.3,195.7,46889619
2020-07-31,197.15,199.9,187.75,192.1,35024642
2020-08-07,192.1,196.75,188.0,192.6,25817964
2020-08-14,194.0,205.5,191.9,199.25,29501496
2020-08-21,199.0,203.9,196.8,199.5,17920868
2020-08-28,200.0,213.75,193.2,201.5,42338247
2020-09-04,206.0,230.8,178.7,214.85,189211155
2020-09-11,217.0,235.45,197.9,201.85,144889118
2020-09-18,204.95,206.1,195.3,199.35,38404489
2020-09-25,199.2,199.2,162.2,182.8,115998141
2020-10-02,183.5,187.5,173.65,178.95,41914386
2020-10-09,180.0,192.9,176.55,186.5,38691614
2020-10-16,186.6,195.0,177.5,182.55,46734158
2020-10-23,183.95,205.75,179.15,192.15,48269878
2020-10-30,193.55,195.4,179.2,185.55,32840505
2020-11-06,186.6,187.15,176.55,179.5,32733070
2020-11-13,181.75,182.0,175.25,180.7,32150199
2020-11-20,182.9,223.05,181.4,219.05,90727937
2020-11-27,221.7,238.0,213.0,218.6,90484414
2020-12-04,223.0,247.25,210.35,237.35,199044129
2020-12-11,237.65,249.4,234.15,244.9,40985550
2020-12-18,245.15,253.15,230.0,231.15,26280116
2020-12-25,231.15,247.3,224.2,239.1,20813801
2021-01-01,241.0,241.0,229.05,235.45,18554276
2021-01-08,239.95,275.0,237.05,270.45,44995097
2021-01-15,271.9,271.9,253.7,262.2,25171209
2021-01-22,262.1,262.1,236.85,241.45,13606477
2021-01-29,242.2,247.8,228.0,231.5,19149923
2021-02-05,235.0,256.5,231.4,254.05,31175847
2021-02-12,239.85,263.4,236.65,245.65,42107033
2021-02-19,248.0,265.85,244.1,260.75,35969130
2021-02-26,263.0,282.65,244.5,257.8,71710118
2021-03-05,261.15,265.0,245.0,249.05,18151910
2021-03-12,249.75,261.0,249.1,252.65,8526666
2021-03-19,251.6,267.0,242.0,263.5,37664228
2021-03-26,257.5,262.9,235.1,239.95,10704772
2021-04-02,244.75,261.8,240.3,254.5,16789065
2021-04-09,257.8,269.3,245.4,256.75,15691037
2021-04-16,252.0,263.5,241.0,259.6,11428345
2021-04-23,253.7,268.95,248.3,252.25,20768660
2021-04-30,255.0,261.75,247.2,252.5,12635902
2021-05-07,253.0,265.0,250.2,254.6,9651484
2021-05-14,257.25,263.7,243.8,244.35,10676738
2021-05-21,245.7,246.9,239.0,245.2,12947068
2021-05-28,244.5,245.9,238.55,241.85,10966352
2021-06-04,241.5,248.9,238.85,248.15,8340181
2021-06-11,249.8,260.0,247.7,255.6,12467434
2021-06-18,256.0,256.5,238.0,246.15,8023697
2021-06-25,242.0,258.8,240.85,244.45,23981120
2021-07-02,246.8,248.0,231.5,234.55,14132892
2021-07-09,236.3,242.8,231.2,241.5,9987226
2021-07-16,242.7,244.3,232.9,240.9,25769176
2021-07-23,237.95,241.5,215.45,220.5,17028308
2021-07-30,220.5,234.7,219.5,222.1,29254980
2021-08-06,225.0,225.95,194.1,213.05,39110578
2021-08-13,213.0,217.0,208.3,213.5,16715681
2021-08-20,214.0,224.25,210.3,219.5,14108050
2021-08-27,220.35,223.0,212.8,216.3,9428399
2021-09-03,217.3,230.8,214.1,225.65,18712272
2021-09-10,226.0,247.9,222.1,242.3,46511182
2021-09-17,241.95,279.55,235.75,268.75,75676425
2021-09-24,267.9,324.0,261.5,317.65,89811261
2021-10-01,317.65,332.8,302.65,315.6,73976482
2021-10-08,315.0,326.4,300.0,305.0,46374712
2021-10-15,305.0,311.0,292.95,306.0,13753706
2021-10-22,300.2,313.35,290.0,302.0,37051661
2021-10-29,298.9,304.0,262.85,271.5,33168433
2021-11-05,274.0,292.0,272.55,287.15,12697931
2021-11-12,295.0,298.85,286.3,293.1,15549321
2021-11-19,295.0,298.25,281.8,284.45,9820193
2021-11-26,294.7,307.0,276.85,278.7,33347137
2021-12-03,286.0,289.0,268.95,280.7,30947818
2021-12-10,280.7,283.0,265.0,273.35,18439161
2021-12-17,275.0,275.3,251.0,252.3,15827530
2021-12-24,248.6,257.5,237.05,249.8,17059809
2021-12-31,248.0,249.8,239.25,248.3,9476027
2022-01-07,248.0,264.15,244.55,261.2,16571308
2022-01-14,261.0,278.1,253.75,272.1,16553297
2022-01-21,272.1,275.0,257.5,258.7,11983832
2022-01-28,257.7,262.4,243.3,253.1,15842866
2022-02-04,257.45,263.25,251.55,255.2,9621068
2022-02-11,257.0,258.35,249.45,252.6,9796639
2022-02-18,247.75,269.0,245.05,252.9,18763046
2022-02-25,253.0,254.45,203.1,214.6,132496234
2022-03-04,214.6,218.25,206.3,208.0,38028910
2022-03-11,203.0,217.85,196.85,214.2,17272699
2022-03-18,214.15,218.4,208.5,214.7,13569375
2022-03-25,215.5,222.5,196.4,203.1,22663123
2022-04-01,201.0,226.5,199.15,221.35,48066931
2022-04-08,220.0,223.75,215.7,219.75,22717301
2022-04-15,220.0,221.3,215.25,216.7,9526376
2022-04-22,216.3,220.25,210.6,215.0,8995743
2022-04-29,215.0,215.8,205.9,209.0,14636086
2022-05-06,208.1,208.85,193.3,198.9,18109205
2022-05-13,196.4,211.4,181.75,182.85,36989231
2022-05-20,185.0,203.6,181.2,201.85,16687657
2022-05-27,202.8,207.95,197.75,200.45,14352638
2022-06-03,202.0,205.8,199.25,201.55,11053828
2022-06-10,201.7,207.9,195.1,206.8,12975847
2022-06-17,203.55,211.25,197.7,208.0,43598157
2022-06-24,209.15,220.55,206.0,216.1,16293923
2022-07-01,220.0,220.0,201.7,208.0,28536683
2022-07-08,207.0,214.7,206.25,209.4,5276545
2022-07-15,210.7,230.4,210.7,229.15,23725065
2022-07-22,230.4,230.9,217.5,223.3,16302120
2022-07-29,223.5,228.0,219.15,222.55,9505331
2022-08-05,223.75,229.75,199.75,200.2,29993602
2022-08-12,201.0,201.5,192.35,196.45,16984453
2022-08-19,198.0,202.75,194.8,196.7,14990787
2022-08-26,196.7,202.0,194.05,200.8,14557979
2022-09-02,197.8,201.65,195.0,199.3,7692307
2022-09-09,200.0,206.3,198.3,203.7,9272321
2022-09-16,204.0,208.0,200.0,204.25,17307733
2022-09-23,204.8,204.8,192.8,193.1,7304375
2022-09-30,191.05,199.35,182.5,197.45,14828769
2022-10-07,198.95,203.6,195.95,200.25,8820552
2022-10-14,198.0,200.1,187.6,189.1,6855780
2022-10-21,189.7,195.95,187.8,194.45,10574683
2022-10-28,196.0,196.6,185.3,187.45,10717916
2022-11-04,187.85,190.5,184.0,188.9,10460389
2022-11-11,189.85,195.45,185.75,191.55,6448968
2022-11-18,192.3,199.25,191.45,196.85,8048809
2022-11-25,196.9,204.4,196.9,203.1,9400715
2022-12-02,203.95,205.7,197.55,202.75,10033464
2022-12-09,202.8,203.3,193.6,194.6,5720330
2022-12-16,195.0,202.4,192.55,196.25,8690284
2022-12-23,197.0,198.85,188.1,189.5,8074483
2022-12-30,190.95,195.0,187.25,190.45,7018725
2023-01-06,191.5,191.5,185.05,187.35,6873968
2023-01-13,188.3,188.65,182.0,184.6,7795321
2023-01-20,185.35,185.4,170.55,171.45,13978937
2023-01-27,172.3,178.3,135.15,137.0,42362868
2023-02-03,137.6,158.4,137.6,143.65,57069459
2023-02-10,154.95,168.85,154.0,168.0,71900983
2023-02-17,167.85,171.0,162.55,166.95,22227593
2023-02-24,167.8,175.75,162.35,170.6,29622625
2023-03-03,168.5,175.0,164.9,167.0,19704485
2023-03-10,167.05,168.9,154.3,155.3,14503673
2023-03-17,155.4,157.5,147.1,150.7,19735072
2023-03-24,150.3,154.2,147.65,148.05,12591160
2023-03-31,148.55,151.7,141.05,142.5,13603281
2023-04-07,143.65,144.9,141.4,141.65,6856864
2023-04-14,142.9,143.5,136.5,137.4,13065508
2023-04-21,138.25,144.7,135.8,139.1,29625445
2023-04-28,140.05,160.4,136.8,155.0,87280421
2023-05-05,158.0,160.85,150.6,152.05,26520628
2023-05-12,152.0,155.2,147.8,148.15,18207835
2023-05-19,148.65,156.15,144.55,144.9,22929251
2023-05-26,145.05,157.65,141.6,156.65,49845367
2023-06-02,157.9,160.7,152.35,160.05,132781005
2023-06-09,160.05,164.8,154.65,157.25,53083494
2023-06-16,158.9,172.95,158.0,163.85,59746593
2023-06-23,164.0,171.7,159.65,161.4,50825340
2023-06-30,162.0,167.6,158.4,163.9,55294375
2023-07-07,164.25,167.1,161.75,163.15,34440137
2023-07-14,163.4,167.7,160.65,164.0,30457977
2023-07-21,164.55,175.0,163.75,170.4,55234121
2023-07-28,169.85,183.0,168.75,174.15,50301963
2023-08-04,175.0,175.7,167.9,172.55,29572084
2023-08-11,174.45,175.7,168.45,171.35,20085404
2023-08-18,171.85,171.85,157.4,158.7,24300627
2023-08-25,158.75,170.7,157.6,167.65,42640999
2023-09-01,169.0,183.85,166.4,181.7,57697644
2023-09-08,182.85,191.5,175.5,188.0,45467001
2023-09-15,188.95,194.95,179.45,188.25,80153905
2023-09-22,193.1,195.2,176.35,183.4,46790911
2023-09-29,183.65,197.15,182.2,191.7,58569123
2023-10-06,192.9,193.2,180.4,180.8,20966678
2023-10-13,180.1,198.15,177.0,191.3,54128278
2023-10-20,191.35,194.3,183.05,184.15,30023508
2023-10-27,185.0,185.0,166.7,168.6,29965732
2023-11-03,169.05,193.0,167.0,188.35,66922562
2023-11-10,189.1,190.0,182.15,183.4,17522146
2023-11-17,185.25,192.95,184.05,186.6,18326572
2023-11-24,186.65,193.95,184.25,185.6,24319390
2023-12-01,185.0,189.25,183.0,187.65,18960195
2023-12-08,189.1,196.35,184.3,190.45,30790006
2023-12-15,191.5,203.0,187.05,197.65,45833332
2023-12-22,200.0,201.8,176.55,185.8,69806097
2023-12-29,185.8,201.65,182.5,199.05,68484065
2024-01-05,198.1,229.95,195.5,222.15,124223547
2024-01-12,222.55,223.2,209.8,216.4,71338772
2024-01-19,218.0,222.25,206.0,220.35,67387891
