date,open,high,low,close,volume
2020-01-17,597.5,630.85,594.58,617.45,1104336
2020-01-24,621.28,631.8,600.5,612.08,1237966
2020-01-31,615.0,646.4,608.95,628.23,1863982
2020-02-07,617.5,634.5,581.95,630.48,1516342
2020-02-14,631.13,754.15,615.63,718.45,5614402
2020-02-21,719.5,742.0,652.55,727.35,2491672
2020-02-28,726.5,747.38,640.53,680.68,2838580
2020-03-06,683.0,770.0,683.0,722.05,4165170
2020-03-13,717.5,759.95,620.0,660.98,2937448
2020-03-20,659.0,755.0,600.0,687.65,5982692
2020-03-27,811.0,811.0,616.0,622.53,7694674
2020-04-03,622.5,728.08,622.5,692.78,5004258
2020-04-10,799.95,912.5,720.05,801.38,14088808
2020-04-17,811.55,812.0,720.0,749.03,6786446
2020-04-24,755.0,814.95,731.33,807.3,8239714
2020-05-01,779.5,845.0,765.53,809.35,6304794
2020-05-08,790.0,819.93,755.5,776.15,3848570
2020-05-15,775.0,809.4,759.93,795.8,2778064
2020-05-22,795.0,828.85,771.0,797.08,2805312
2020-05-29,797.58,819.5,735.85,747.3,5217864
2020-06-05,748.0,781.75,733.0,750.5,4410500
2020-06-12,753.0,802.7,747.5,789.95,3695130
2020-06-19,794.9,812.5,755.55,807.8,4689694
2020-06-26,815.5,854.23,810.5,850.18,2756550
2020-07-03,854.25,859.48,807.5,831.35,2278446
2020-07-10,830.0,855.0,811.0,832.18,2110194
2020-07-17,830.05,922.35,815.98,903.48,3273702
2020-07-24,900.03,915.45,865.53,891.38,2104750
2020-07-31,892.0,951.0,857.5,937.3,3149790
2020-08-07,949.5,1017.45,927.53,978.35,3203472
2020-08-14,991.1,1087.45,972.5,1006.6,10002300
2020-08-21,1012.5,1035.0,990.03,1002.33,2858310
2020-08-28,1000.53,1047.5,995.05,1000.23,2645922
2020-09-04,1004.0,1034.0,930.18,1011.38,3009870
2020-09-11,1011.45,1042.0,966.9,1006.7,3118160
2020-09-18,1025.0,1118.05,1025.0,1083.58,4524798
