date,open,high,low,close,volume
2020-01-17,189.0,205.0,188.41,204.37,36153886
2020-01-24,205.44,205.64,195.6,200.54,14357745
2020-01-31,200.38,247.0,199.0,242.06,59370515
2020-02-07,248.2,312.6,233.64,302.7,200156984
2020-02-14,304.78,321.96,270.0,311.48,129666310
2020-02-21,312.98,395.4,297.0,386.01,172597576
2020-02-28,380.0,398.8,346.26,348.76,139380055
2020-03-06,362.0,374.74,271.87,271.87,107325230
2020-03-13,258.28,271.19,232.01,245.55,37693811
2020-03-20,236.22,239.6,190.02,190.2,36479470
2020-03-27,180.69,180.69,154.93,179.79,9719105
2020-04-03,177.98,216.64,171.63,216.64,10854786
2020-04-10,222.0,250.78,219.8,250.78,3972677
2020-04-17,251.8,271.33,238.0,271.33,42580216
2020-04-24,281.4,301.8,260.56,260.56,40961500
2020-05-01,252.4,272.8,247.0,264.87,27623486
2020-05-08,254.02,261.96,238.0,248.3,26176740
2020-05-15,260.71,295.0,260.71,266.02,38285395
2020-05-22,262.1,292.0,249.13,284.54,26898500
2020-05-29,289.8,289.8,266.2,282.07,21684631
2020-06-05,290.0,297.5,276.32,291.24,34986885
2020-06-12,294.0,319.0,268.2,285.05,47277300
2020-06-19,285.0,290.55,276.16,284.79,21424315
2020-06-26,286.0,299.5,268.0,276.45,34317735
2020-07-03,274.0,293.56,270.01,281.02,22030445
2020-07-10,281.1,288.8,272.0,280.19,18763605
2020-07-17,288.8,288.8,267.0,274.19,19856805
2020-07-24,276.0,282.44,271.2,271.57,14571025
2020-07-31,271.6,273.8,266.43,267.17,7196400
2020-08-07,267.4,272.4,266.0,266.27,6558820
2020-08-14,266.4,282.8,263.01,273.72,24284175
2020-08-21,275.6,280.72,266.45,268.36,17654030
2020-08-28,268.4,277.44,267.06,273.3,12350565
2020-09-04,279.8,279.8,267.2,273.04,9907550
2020-09-11,278.0,291.98,264.23,274.11,47131545
2020-09-18,272.0,284.0,270.0,281.07,12381670
2020-09-25,285.0,286.0,266.02,270.41,12067370
2020-10-02,272.0,283.9,271.0,275.86,8039211
2020-10-09,278.0,278.21,269.7,270.2,7117170
2020-10-16,271.0,273.96,265.0,265.62,6651330
2020-10-23,266.0,268.78,265.06,265.59,3320535
2020-10-30,265.8,268.0,259.41,263.04,4204535
2020-11-06,264.04,264.35,258.01,262.24,3137630
