date,open,high,low,close,volume
2021-01-29,24.9,25.8,24.35,24.8,381713533
2021-02-05,25.25,26.2,23.85,25.7,298869454
2021-02-12,25.9,25.95,25.0,25.4,115520213
2021-02-19,26.2,26.2,24.9,25.35,143805445
2021-02-26,25.3,25.4,24.5,24.65,99525263
2021-03-05,24.65,26.7,24.65,24.95,206657722
2021-03-12,25.1,25.5,24.8,24.85,65965068
2021-03-19,24.9,24.95,23.5,23.95,72540132
2021-03-26,24.0,24.5,22.9,23.05,79236899
2021-04-02,23.15,23.3,22.7,22.85,44089297
2021-04-09,22.85,22.9,21.9,21.95,94018191
2021-04-16,21.85,22.0,20.8,21.75,80989602
2021-04-23,21.2,21.65,20.9,21.1,47124561
2021-04-30,21.1,21.5,20.95,21.3,61894477
2021-05-07,21.15,21.25,20.9,21.1,68786685
2021-05-14,21.15,23.85,21.1,23.05,136663537
2021-05-21,23.15,23.65,22.9,23.35,79170938
2021-05-28,23.85,24.25,23.3,23.45,79774596
2021-06-04,23.45,24.0,23.35,23.7,76128020
2021-06-11,24.0,25.0,23.9,24.45,129381649
2021-06-18,24.7,25.6,24.2,24.55,201702193
2021-06-25,24.5,25.3,24.3,24.7,63137052
2021-07-02,25.0,26.45,24.2,24.35,186587128
2021-07-09,24.5,24.65,23.65,23.7,77019275
2021-07-16,23.95,24.05,23.2,23.3,71752705
2021-07-23,23.25,23.65,23.15,23.3,32719430
2021-07-30,23.25,23.4,22.85,23.0,38969004
2021-08-06,23.15,23.8,23.1,23.55,64441712
2021-08-13,23.55,24.15,22.8,23.8,47079172
2021-08-20,24.25,24.25,22.95,23.0,34092072
2021-08-27,23.15,23.3,22.55,22.85,32391394
2021-09-03,22.9,23.35,22.85,23.05,34124241
2021-09-10,23.1,23.15,22.95,23.05,16840366
2021-09-17,23.1,23.15,22.7,22.8,84464189
2021-09-24,22.75,22.9,22.25,22.3,48950250
2021-10-01,22.4,24.0,22.3,23.9,91974234
2021-10-08,24.2,24.55,23.5,23.6,99452968
2021-10-15,23.75,24.1,23.4,23.6,42390592
2021-10-22,23.8,26.15,23.4,25.8,220828607
2021-10-29,26.2,26.4,23.25,24.2,129397878
2021-11-05,24.6,25.5,24.45,25.3,64115539
2021-11-12,25.5,26.0,24.2,24.4,87154910
2021-11-19,24.7,24.75,23.55,23.55,31413715
2021-11-26,23.5,24.0,23.3,23.35,40542569
2021-12-03,23.15,23.9,22.7,23.4,46724957
2021-12-10,23.5,23.8,23.1,23.7,28073547
2021-12-17,23.9,23.9,22.7,22.8,32875464
2021-12-24,22.75,23.05,22.4,22.55,37399614
2021-12-31,22.6,23.05,22.45,22.85,17901830
2022-01-07,22.95,23.2,22.7,22.95,32680122
2022-01-14,23.05,23.75,22.85,23.7,50579530
2022-01-21,23.95,24.35,23.25,23.3,43176190
2022-01-28,23.35,23.5,22.5,23.05,32185864
2022-02-04,23.4,23.6,23.0,23.05,31710842
2022-02-11,23.1,23.5,22.9,22.95,31542209
2022-02-18,22.8,22.85,22.0,22.25,30332193
2022-02-25,22.1,22.2,20.9,21.5,49140233
2022-03-04,21.4,21.85,21.2,21.55,17266349
2022-03-11,21.45,22.0,21.05,21.65,35279077
2022-03-18,21.85,23.2,21.65,22.85,33838324
2022-03-25,23.05,23.1,22.05,22.1,30398456
2022-04-01,22.1,22.25,21.35,21.5,39119906
2022-04-08,21.6,22.6,21.55,22.5,40307876
2022-04-15,22.6,22.65,22.1,22.25,15115918
2022-04-22,22.25,22.65,21.9,22.4,36325373
2022-04-29,22.4,22.65,22.15,22.3,28604949
2022-05-06,22.25,22.35,21.65,21.7,19577643
2022-05-13,21.7,21.85,21.1,21.3,26791258
2022-05-20,21.35,21.95,21.25,21.5,24304844
