date,open,high,low,close,volume
2020-07-03,17.71,17.71,14.65,15.38,45348
2020-07-10,15.5,18.5,15.25,15.59,63418
2020-07-17,16.0,18.0,14.0,16.84,969974
2020-07-24,16.84,20.0,16.34,17.25,1798016
2020-07-31,17.55,18.69,17.09,18.18,2494186
2020-08-07,18.55,21.4,17.03,18.12,602986
2020-08-14,18.42,18.5,18.01,18.14,5584491
2020-08-21,18.48,18.5,18.11,18.24,3610922
2020-08-28,18.5,18.5,17.77,18.08,397111
2020-09-04,18.48,18.49,17.65,18.11,1542024
2020-09-11,18.11,18.9,18.0,18.71,3361676
2020-09-18,19.0,20.78,18.71,20.06,22217716
2020-09-25,21.4,21.4,19.0,19.7,8559314
2020-10-02,20.5,20.98,19.54,20.2,609411
2020-10-09,20.9,22.45,20.2,21.93,3064549
2020-10-16,22.8,26.2,21.35,21.64,9894917
2020-10-23,22.0,22.4,21.0,21.62,3661605
2020-10-30,21.94,21.94,20.65,21.16,1852274
2020-11-06,20.96,22.4,20.56,21.66,2559682
2020-11-13,22.83,22.83,21.01,21.54,7430858
2020-11-20,21.92,22.05,21.29,21.52,7333274
2020-11-27,21.9,22.75,21.2,22.0,12042076
2020-12-04,21.89,23.23,21.25,22.44,3529137
2020-12-11,22.88,23.15,22.07,22.81,1315921
2020-12-18,23.0,23.75,22.7,23.47,1005763
2020-12-25,22.95,24.9,22.44,24.25,2309343
2021-01-01,24.25,25.2,24.2,24.7,2832043
2021-01-08,25.2,26.55,24.7,26.43,11933112
2021-01-15,26.7,27.75,26.4,26.8,17069732
2021-01-22,27.35,27.35,26.1,26.8,4082551
2021-01-29,27.0,27.1,24.8,24.95,3761849
2021-02-05,25.4,26.5,24.5,25.6,12149522
2021-02-12,26.35,26.85,25.7,26.4,6234165
2021-02-19,26.5,27.1,25.5,25.8,9436071
2021-02-26,26.4,26.4,24.5,24.7,4880674
2021-03-05,25.35,26.15,24.65,25.58,4118645
2021-03-12,25.3,26.8,25.1,26.2,5309824
2021-03-19,26.4,27.0,25.25,25.8,11400032
2021-03-26,26.75,26.8,24.0,25.85,4301099
2021-04-02,26.0,27.5,25.8,26.4,2349730
2021-04-09,26.0,27.65,25.6,27.55,11207115
2021-04-16,26.6,27.8,25.75,26.4,3625615
2021-04-23,27.8,27.8,25.75,25.85,2135211
2021-04-30,25.85,26.45,25.75,25.95,1899958
2021-05-07,26.15,27.2,25.5,26.45,2379998
2021-05-14,26.75,26.9,25.75,25.85,1599836
2021-05-21,28.0,28.0,25.75,26.3,1439346
2021-05-28,26.4,27.7,26.2,27.35,9842260
2021-06-04,27.5,27.6,27.0,27.4,5564660
2021-06-11,27.55,28.9,27.25,28.65,3819139
2021-06-18,28.7,29.5,28.5,28.8,5436843
2021-06-25,28.85,29.75,27.85,29.62,3309530
2021-07-02,32.5,32.5,29.15,29.45,2504197
2021-07-09,29.45,29.85,28.85,29.1,2427579
2021-07-16,30.25,31.0,28.8,29.8,2733395
2021-07-23,30.1,31.0,29.4,30.35,2109269
2021-07-30,30.3,31.44,30.1,31.06,2797681
2021-08-06,31.5,32.4,31.08,31.91,2220963
2021-08-13,32.6,33.39,31.71,33.32,2797161
2021-08-20,33.6,34.77,32.8,33.94,7797333
2021-08-27,33.95,35.7,33.8,34.88,9212686
2021-09-03,35.88,35.88,32.19,35.52,8490161
2021-09-10,35.52,36.44,35.1,35.41,3749878
2021-09-17,35.7,37.24,35.08,36.37,5345816
2021-09-24,36.37,38.56,36.0,37.81,7147850
2021-10-01,38.0,38.39,35.3,35.43,13202273
2021-10-08,35.9,37.3,35.3,37.03,5670776
2021-10-15,37.49,37.49,35.2,36.34,13908007
2021-10-22,35.1,38.12,32.0,36.09,20786477
2021-10-29,36.09,36.85,35.1,35.24,10247213
2021-11-05,35.8,36.42,35.3,36.1,1962964
2021-11-12,36.5,37.19,35.92,37.05,4881103
2021-11-19,37.05,37.66,36.7,36.86,3359459
2021-11-26,40.0,40.0,35.35,35.44,3703923
2021-12-03,38.6,38.6,34.92,36.76,4846917
2021-12-10,37.0,37.51,35.64,36.63,3791066
2021-12-17,37.19,37.92,36.36,37.47,4142804
2021-12-24,37.89,38.8,36.4,38.7,9304995
2021-12-31,38.79,39.93,38.22,39.65,6169411
2022-01-07,40.15,40.34,38.67,39.05,7098524
2022-01-14,40.0,40.0,38.9,39.69,4847957
2022-01-21,40.28,41.08,36.69,36.71,11068531
2022-01-28,36.95,38.5,34.1,34.72,11295939
2022-02-04,35.25,38.1,35.0,35.86,7654255
2022-02-11,36.2,36.2,35.0,35.23,5521004
2022-02-18,35.9,36.14,34.55,35.33,6077421
2022-02-25,35.59,36.0,33.2,34.23,7901998
2022-03-04,37.45,37.45,33.71,34.99,7873902
2022-03-11,34.87,36.88,34.12,36.1,6977364
