date,open,high,low,close,volume
2020-01-17,43.8,46.8,42.35,43.85,13044342
2020-01-24,43.25,45.65,42.6,45.25,5958546
2020-01-31,44.55,44.8,40.05,40.3,6010792
2020-02-07,39.8,43.25,37.9,42.3,5525150
2020-02-14,42.2,43.3,40.4,41.05,7619835
2020-02-21,41.15,42.4,38.8,41.6,7526593
2020-02-28,41.0,42.2,38.5,39.0,7530979
2020-03-06,40.5,42.9,38.0,41.15,5811202
2020-03-13,39.55,40.4,27.0,31.65,6663039
2020-03-20,31.25,32.0,24.5,28.0,2946234
2020-03-27,24.5,27.25,21.4,24.5,2116898
2020-04-03,23.95,25.0,22.8,24.2,709285
2020-04-10,25.05,29.5,24.9,28.5,1352074
2020-04-17,28.85,29.6,26.9,29.3,1113583
2020-04-24,30.0,30.25,27.5,28.55,907995
2020-05-01,28.55,32.35,28.5,31.2,1437331
2020-05-08,30.0,30.6,25.6,28.5,1553127
2020-05-15,29.25,30.4,28.0,28.75,945255
2020-05-22,29.15,29.15,26.2,26.8,991781
2020-05-29,26.85,27.5,26.3,27.0,682934
2020-06-05,27.45,38.4,25.8,36.6,5470311
2020-06-12,36.0,36.7,30.75,33.0,2935837
2020-06-19,33.3,41.5,31.8,39.1,6047117
2020-06-26,39.1,41.55,37.0,37.4,3332874
2020-07-03,37.5,42.0,36.4,40.35,4734091
2020-07-10,40.7,42.4,39.8,40.65,3722518
2020-07-17,40.95,41.2,38.05,38.4,2325622
2020-07-24,38.6,39.95,37.3,37.75,1363771
2020-07-31,37.75,38.0,35.25,35.45,1232457
2020-08-07,35.45,40.0,35.3,39.45,2127534
2020-08-14,40.05,47.15,40.05,44.75,7440392
2020-08-21,45.15,53.0,45.1,51.15,12716767
2020-08-28,52.45,52.9,46.8,47.2,5823644
2020-09-04,48.15,48.7,42.1,46.6,4219814
2020-09-11,46.6,47.8,43.0,45.35,1865334
2020-09-18,45.5,46.5,43.5,44.0,2273572
2020-09-25,44.1,47.1,39.35,42.7,1749765
2020-10-02,42.05,45.7,42.05,44.55,2079263
2020-10-09,45.8,45.8,42.85,43.35,968495
2020-10-16,45.15,58.3,45.15,56.6,19137953
2020-10-23,58.75,62.0,57.0,57.75,8349050
2020-10-30,58.15,63.2,52.5,62.6,10455516
2020-11-06,62.65,62.65,56.5,58.4,5812848
2020-11-13,59.15,62.5,58.5,61.95,3696614
2020-11-20,61.75,67.35,61.5,65.85,5266832
2020-11-27,66.1,67.0,62.5,63.75,3036832
2020-12-04,63.75,73.0,62.55,70.55,5489735
2020-12-11,70.1,71.4,64.8,67.65,3180123
2020-12-18,68.35,72.7,65.7,71.4,6404760
2020-12-25,72.35,74.25,62.5,72.1,5364741
2021-01-01,72.75,85.35,72.2,76.25,16115896
2021-01-08,77.75,92.0,77.3,88.55,19582244
2021-01-15,89.0,96.0,85.05,89.4,11916733
2021-01-22,89.05,91.15,85.1,85.6,4937845
2021-01-29,86.45,88.8,78.0,81.2,2879609
2021-02-05,80.3,82.7,68.7,76.45,12605903
2021-02-12,76.55,79.5,73.5,73.7,5259264
2021-02-19,74.3,74.4,69.1,69.7,4159170
2021-02-26,70.05,74.7,68.4,71.25,3908551
2021-03-05,71.75,79.9,69.75,73.7,11730802
2021-03-12,74.65,74.85,71.55,72.0,1579607
2021-03-19,73.4,73.4,60.45,65.75,3463288
2021-03-26,66.5,67.5,63.65,66.1,3862262
2021-04-02,66.95,70.9,66.1,69.3,3194455
2021-04-09,70.0,80.75,68.0,79.6,8641918
2021-04-16,77.85,77.85,70.5,75.3,4163255
2021-04-23,73.7,81.35,71.0,78.05,18463962
2021-04-30,79.85,93.0,78.3,89.25,22675763
2021-05-07,89.7,101.9,87.3,98.15,17484078
2021-05-14,99.4,102.9,90.2,91.4,21371229
2021-05-21,92.0,98.3,90.65,95.8,9937797
2021-05-28,96.0,97.0,91.0,92.25,7494294
2021-06-04,93.65,95.4,90.7,92.2,6903782
2021-06-11,92.7,106.7,91.4,105.25,21090817
2021-06-18,105.0,110.7,90.55,96.4,25349329
2021-06-25,94.0,108.6,92.3,106.75,14799889
2021-07-02,106.65,113.45,105.3,109.25,12567280
2021-07-09,110.6,124.2,105.3,120.8,21014753
2021-07-16,124.0,129.6,117.05,123.8,22956548
2021-07-23,122.95,158.4,118.75,154.7,46487940
2021-07-30,160.8,168.4,144.0,162.3,42705703
2021-08-06,164.05,165.8,151.05,163.55,12397092
2021-08-13,164.5,167.9,140.0,159.25,15155304
2021-08-20,157.9,158.75,135.05,136.8,7331494
2021-08-27,139.4,153.95,125.65,146.6,24670572
2021-09-03,148.2,157.2,145.3,151.55,10772238
2021-09-10,152.9,167.75,152.6,164.05,16639678
2021-09-17,164.4,174.4,158.7,163.8,14003291
2021-09-24,161.0,166.7,149.0,160.25,9496718
2021-10-01,162.0,169.9,155.0,168.35,9946627
2021-10-08,170.0,181.4,163.85,168.35,13489522
2021-10-15,169.45,175.95,164.65,172.05,6444630
2021-10-22,173.6,188.4,166.55,168.05,10813846
2021-10-29,167.3,207.9,160.95,191.75,29475604
2021-11-05,193.4,201.0,191.8,192.9,4564829
2021-11-12,193.9,198.0,178.2,184.25,6386822
2021-11-19,185.7,185.9,171.35,175.25,3808742
2021-11-26,173.0,182.0,163.65,168.3,6002431
2021-12-03,168.25,168.95,152.2,162.8,8245697
2021-12-10,163.6,175.9,159.8,173.1,4476337
2021-12-17,174.9,195.5,174.6,188.0,9698608
2021-12-24,187.95,188.85,175.05,183.3,4690434
2021-12-31,183.0,203.9,181.0,198.2,8778724
2022-01-07,199.2,206.5,194.2,195.5,8945919
2022-01-14,196.6,212.7,188.4,205.0,11964043
2022-01-21,205.5,219.8,201.5,211.85,10402302
2022-01-28,212.35,212.8,188.8,201.05,5820878
2022-02-04,204.9,219.7,199.3,216.45,6155027
2022-02-11,218.0,224.4,203.0,204.5,6010717
2022-02-18,204.5,206.45,185.35,196.0,5575950
2022-02-25,193.55,197.2,173.5,189.55,5325133
2022-03-04,186.0,200.0,184.75,197.45,4321138
2022-03-11,196.85,197.75,177.7,178.3,7308636
2022-03-18,180.0,189.3,174.8,187.65,4422439
2022-03-25,189.25,195.5,185.4,188.85,5405852
2022-04-01,189.1,207.85,186.45,201.55,5225849
2022-04-08,204.25,204.6,196.35,203.45,4142006
2022-04-15,205.25,209.5,199.2,202.75,3059238
2022-04-22,202.75,214.7,197.1,200.35,4016870
2022-04-29,197.95,202.5,181.15,182.9,3457960
2022-05-06,178.85,192.7,163.2,166.4,5072566
2022-05-13,165.15,167.7,131.95,145.45,8224312
2022-05-20,146.1,156.0,135.1,153.4,4295129
2022-05-27,146.0,146.05,112.0,117.9,14202330
2022-06-03,120.0,120.25,110.85,116.1,9171041
2022-06-10,115.3,116.65,112.1,113.3,3928246
2022-06-17,110.35,111.3,95.8,101.7,5853015
