date,open,high,low,close,volume
2020-01-17,346.4,353.54,342.6,349.86,11150326
2020-01-24,355.58,363.8,349.05,362.02,16281920
2020-01-31,359.8,380.8,343.64,378.05,44785225
2020-02-07,374.0,394.77,369.68,380.43,30863114
2020-02-14,382.13,382.13,360.4,362.52,21899595
2020-02-21,363.99,383.0,362.25,376.63,18164446
2020-02-28,375.34,384.58,346.76,351.37,25330450
2020-03-06,357.4,358.78,323.6,338.43,44860820
2020-03-13,328.0,338.75,254.0,304.4,35261146
2020-03-20,279.0,331.0,227.65,294.23,54419590
2020-03-27,264.81,291.95,232.05,282.83,49002330
2020-04-03,270.0,299.78,253.0,259.56,25524301
2020-04-10,270.0,291.2,262.2,284.52,13756212
2020-04-17,282.0,321.84,263.01,309.59,36316306
2020-04-24,306.0,319.7,288.89,295.74,33955325
2020-05-01,296.0,329.4,293.31,321.7,28551086
2020-05-08,310.0,321.6,298.9,313.35,24914535
2020-05-15,315.4,346.91,308.2,333.26,30038995
2020-05-22,332.6,337.58,297.18,324.06,55813720
2020-05-29,324.45,347.8,322.22,331.32,84903516
2020-06-05,333.0,354.18,327.0,337.12,34056815
2020-06-12,338.02,349.71,325.0,347.46,26918430
2020-06-19,345.99,349.07,328.27,337.82,21266765
2020-06-26,338.4,363.6,334.03,353.97,19969060
2020-07-03,351.97,354.84,338.0,347.41,10744715
2020-07-10,349.6,361.8,322.6,324.12,20077365
2020-07-17,327.6,352.24,319.21,351.07,25069695
2020-07-24,351.0,356.6,334.61,345.17,18084915
2020-07-31,345.17,362.37,331.03,344.09,24107890
2020-08-07,344.02,379.2,344.02,374.47,36839825
2020-08-14,376.0,383.77,371.01,373.93,20573210
2020-08-21,377.45,400.2,368.8,395.61,20010125
2020-08-28,395.61,442.99,395.01,433.62,48682235
2020-09-04,432.0,461.78,415.21,449.28,43674480
2020-09-11,449.02,475.58,443.14,465.46,37922630
2020-09-18,471.59,484.72,464.81,472.16,18053280
2020-09-25,471.55,472.79,447.6,462.84,17056125
2020-10-02,467.2,491.56,464.61,473.24,17356696
2020-10-09,473.0,483.77,458.65,460.38,12802770
2020-10-16,458.8,471.6,452.23,463.75,16185365
2020-10-23,464.2,465.51,435.0,444.02,14308990
2020-10-30,445.4,449.99,427.07,434.95,13194390
2020-11-06,434.12,457.6,420.04,452.63,14882730
2020-11-13,457.0,500.4,436.4,496.4,47380760
2020-11-20,500.0,527.0,492.24,523.64,21562490
2020-11-27,524.2,531.99,478.46,500.16,27660670
2020-12-04,510.0,518.6,493.22,512.42,10737726
2020-12-11,512.0,532.0,502.0,529.63,19899980
2020-12-18,533.4,584.8,515.0,551.65,59806765
2020-12-25,552.99,563.77,516.03,541.5,26838651
2021-01-01,547.29,566.83,533.29,558.56,26312510
2021-01-08,559.11,589.6,548.12,582.52,31144905
2021-01-15,586.0,597.62,540.6,546.61,21623150
2021-01-22,545.99,573.72,543.0,549.24,24536515
2021-01-29,552.44,554.77,514.0,518.03,14162716
2021-02-05,526.0,573.8,508.79,550.05,39004205
2021-02-12,554.0,578.8,552.04,557.86,16687515
2021-02-19,562.96,601.05,559.3,590.25,22917680
2021-02-26,591.99,643.1,585.07,598.98,39714060
2021-03-05,599.42,635.6,593.77,614.61,11824150
2021-03-12,620.39,624.98,592.0,594.37,8059506
2021-03-19,598.0,599.77,538.0,573.61,14579910
2021-03-26,574.6,596.99,562.0,576.16,18904165
2021-04-02,581.95,605.0,578.33,590.15,12192452
2021-04-09,587.81,593.25,554.44,576.27,15560080
2021-04-16,569.2,569.2,532.14,564.13,11096181
2021-04-23,541.1,585.59,541.1,568.93,10484841
2021-04-30,569.02,600.8,560.92,578.34,12093590
2021-05-07,577.8,584.46,547.0,548.11,9788655
2021-05-14,550.4,574.94,539.2,561.05,10672321
2021-05-21,562.6,616.59,558.11,604.03,20002355
2021-05-28,600.09,633.08,596.68,624.12,14547370
2021-06-04,623.54,647.98,604.3,634.9,17479910
2021-06-11,639.0,650.36,624.22,643.6,13386980
2021-06-18,646.98,666.54,627.76,658.44,32491325
2021-06-25,654.38,658.39,618.41,623.57,9661120
2021-07-02,625.0,631.53,614.0,629.15,7060145
2021-07-09,633.2,638.4,619.0,621.75,6224565
2021-07-16,623.0,635.0,614.26,629.04,6895040
2021-07-23,625.6,727.71,604.61,713.87,46797806
2021-07-30,700.0,763.28,698.0,755.03,21664535
2021-08-06,754.0,765.97,736.62,743.17,9173270
2021-08-13,743.8,768.62,718.22,756.3,12262905
2021-08-20,757.98,832.8,746.0,793.64,23637276
2021-08-27,799.52,800.68,731.1,762.47,20714470
2021-09-03,766.14,835.0,763.41,822.62,15016545
2021-09-10,828.5,841.6,801.84,819.54,9111691
2021-09-17,820.0,854.51,814.0,820.56,13035415
2021-09-24,818.0,847.0,798.61,823.39,11479640
2021-10-01,828.78,830.0,788.36,809.18,9808510
2021-10-08,813.72,831.6,783.2,801.36,12896970
2021-10-15,806.6,914.95,802.2,881.92,23515606
2021-10-22,918.0,918.0,735.4,740.25,39175000
2021-10-29,746.0,770.62,718.11,737.86,15465080
2021-11-05,740.0,759.82,727.0,755.13,5619896
2021-11-12,758.9,806.0,752.13,800.75,12418110
2021-11-19,800.4,815.48,747.6,763.16,10351151
2021-11-26,766.38,774.58,720.4,731.7,8832060
2021-12-03,723.0,770.0,705.31,760.11,9892270
2021-12-10,759.6,779.18,739.04,757.61,9147140
2021-12-17,760.2,761.8,704.08,710.67,10324195
2021-12-24,704.0,723.8,668.0,686.85,17025265
2021-12-31,684.6,722.0,670.0,718.22,9654820
2022-01-07,720.6,754.6,701.15,752.69,16737085
2022-01-14,756.96,806.4,750.0,786.3,16774655
2022-01-21,796.0,797.0,722.2,740.34,11306735
2022-01-28,739.0,739.8,626.95,660.92,20901121
2022-02-04,679.0,706.78,617.93,641.58,42080905
2022-02-11,643.0,653.73,612.0,616.0,19165000
2022-02-18,598.0,637.97,578.05,596.07,23528615
2022-02-25,597.6,615.51,570.4,588.14,19971700
2022-03-04,584.8,584.99,523.0,525.6,17272801
2022-03-11,511.0,575.88,495.0,572.92,26515290
2022-03-18,534.99,538.39,488.66,512.17,78292681
2022-03-25,517.0,538.59,496.4,523.42,29727940
2022-04-01,522.6,546.92,514.0,545.09,27358430
2022-04-08,549.09,570.39,543.03,558.37,23905240
2022-04-15,557.56,568.6,534.02,556.16,13602062
2022-04-22,554.8,600.85,530.0,574.35,29654859
2022-04-29,565.5,568.15,525.0,546.0,25082083
2022-05-06,537.15,550.0,492.2,496.55,11782881
2022-05-13,496.55,502.25,451.2,475.3,13964483
2022-05-20,484.95,504.45,474.0,487.55,11363660
2022-05-27,491.7,518.95,458.45,516.75,16543583
2022-06-03,529.75,573.75,511.5,543.4,36648303
2022-06-10,542.5,544.0,502.2,524.7,11854578
2022-06-17,509.0,538.3,487.0,490.55,15184417
2022-06-24,493.05,537.5,488.0,533.6,16781688
2022-07-01,540.0,547.8,505.3,541.45,19921351
2022-07-08,537.7,578.85,525.25,575.2,19140959
2022-07-15,572.0,589.95,554.3,565.3,10294302
2022-07-22,569.0,587.0,551.85,581.05,14391381
2022-07-29,579.0,597.7,544.0,550.25,24326756
2022-08-05,555.0,582.5,545.2,575.65,20606811
2022-08-12,575.0,595.0,558.8,574.15,14088743
2022-08-19,577.0,626.8,571.05,596.6,29077618
2022-08-26,593.0,598.0,557.55,591.0,18934580
2022-09-02,570.0,622.85,570.0,606.4,14612415
2022-09-09,607.0,619.7,597.5,601.0,13959693
2022-09-16,606.9,640.5,605.2,626.55,19518387
2022-09-23,625.95,647.0,607.1,621.05,15745240
2022-09-30,615.0,625.5,581.5,622.7,22198466
2022-10-07,623.5,652.35,612.2,618.95,16276818
2022-10-14,610.0,619.2,595.0,597.6,10856921
2022-10-21,594.0,619.55,584.5,590.7,11640262
2022-10-28,602.55,602.6,584.35,594.2,5627014
2022-11-04,595.1,627.8,595.1,606.35,9244531
2022-11-11,609.4,615.7,549.25,563.05,24007620
2022-11-18,565.9,570.7,547.0,551.05,10096508
2022-11-25,551.9,557.5,535.25,556.25,11724563
2022-12-02,556.25,559.35,539.7,547.65,12672727
2022-12-09,548.55,556.9,532.95,535.65,10311746
2022-12-16,535.0,535.5,515.5,520.2,12561908
2022-12-23,522.85,534.7,509.0,511.25,13622721
2022-12-30,513.8,527.5,502.1,511.05,7915112
2023-01-06,512.0,513.8,492.6,498.0,9637944
2023-01-13,503.9,503.9,485.6,497.65,7369680
2023-01-20,500.0,515.0,490.5,510.0,7498024
2023-01-27,510.5,513.55,475.3,484.3,5118589
2023-02-03,485.0,501.9,418.75,430.0,19998969
2023-02-10,431.0,462.85,426.95,460.35,9808474
2023-02-17,458.0,468.85,446.75,456.95,7602452
2023-02-24,456.9,465.85,438.45,442.15,10629073
2023-03-03,441.7,447.65,432.2,441.35,7797178
2023-03-10,443.6,467.0,441.5,453.6,8116158
2023-03-17,453.95,454.45,421.5,426.7,12214388
2023-03-24,419.0,450.9,412.1,440.95,13322894
2023-03-31,442.0,450.0,423.25,439.9,9557986
2023-04-07,444.0,444.0,429.05,433.0,4586296
2023-04-14,434.85,436.0,420.3,435.15,7522732
2023-04-21,436.0,447.75,429.9,442.55,13805998
2023-04-28,443.8,456.25,441.0,446.45,9823402
2023-05-05,448.75,475.65,448.05,465.15,10865084
2023-05-12,467.85,475.65,461.3,467.35,7892116
2023-05-19,469.65,485.0,449.5,468.7,30800772
2023-05-26,468.6,492.8,461.45,483.65,10776169
2023-06-02,488.0,496.55,480.35,492.05,7344285
2023-06-09,493.9,496.5,477.0,479.55,4917663
2023-06-16,477.85,500.0,474.65,498.5,9488097
2023-06-23,499.9,509.75,477.15,480.0,10646781
2023-06-30,479.9,503.0,477.55,500.2,7345281
