date,open,high,low,close,volume
2020-01-17,68.55,81.2,68.45,76.2,158295
2020-01-24,74.2,81.2,71.0,73.2,86622
2020-01-31,73.4,77.4,70.0,75.85,64974
2020-02-07,75.85,78.85,70.1,74.55,64116
2020-02-14,75.05,76.25,70.0,74.6,54147
2020-02-21,72.55,75.5,68.65,71.0,41672
2020-02-28,74.15,74.15,61.55,63.0,39056
2020-03-06,63.1,66.9,58.2,60.5,62605
2020-03-13,61.85,65.5,45.0,50.9,109935
2020-03-20,50.9,53.9,37.2,43.2,98089
2020-03-27,40.1,44.8,35.05,42.05,74171
2020-04-03,45.0,45.0,38.15,43.65,21817
2020-04-10,47.85,48.0,41.5,45.85,26927
2020-04-17,46.55,56.4,44.05,53.75,51696
2020-04-24,53.25,55.8,44.25,47.7,28611
2020-05-01,47.3,52.55,47.15,49.0,19705
2020-05-08,46.1,48.45,44.1,45.4,24622
2020-05-15,47.0,50.5,44.6,50.0,38575
2020-05-22,50.0,53.45,45.0,48.2,100554
2020-05-29,48.95,49.0,44.0,44.45,205629
2020-06-05,45.65,51.0,44.5,49.95,312462
2020-06-12,51.0,55.0,47.55,52.9,269508
2020-06-19,53.3,60.4,49.35,55.4,456110
2020-06-26,56.0,59.3,53.0,54.65,224869
2020-07-03,55.0,56.2,50.7,52.85,93679
2020-07-10,54.0,56.95,52.2,53.05,180588
2020-07-17,53.9,54.0,48.1,48.7,81688
2020-07-24,48.85,51.5,47.25,47.35,55883
2020-07-31,47.55,53.25,45.1,52.8,90993
2020-08-07,53.5,57.8,50.1,57.25,107225
2020-08-14,57.85,70.4,54.55,64.45,844782
2020-08-21,64.45,83.8,63.4,77.8,541893
2020-08-28,79.8,81.8,72.1,73.55,192116
2020-09-04,74.2,75.55,68.0,69.4,107981
2020-09-11,69.25,69.75,62.2,66.3,49268
2020-09-18,66.35,69.4,62.0,62.4,142633
2020-09-25,62.45,65.4,55.15,63.0,117985
2020-10-02,66.0,81.0,65.95,76.85,334274
2020-10-09,76.15,77.75,67.6,69.75,130602
2020-10-16,69.4,75.0,67.0,72.4,97086
2020-10-23,73.3,81.95,70.95,80.3,204773
2020-10-30,80.15,85.0,72.8,74.85,90742
2020-11-06,75.05,79.45,73.9,79.0,72706
2020-11-13,79.0,83.0,73.0,77.05,124879
2020-11-20,77.35,79.5,74.9,78.0,54947
2020-11-27,79.05,83.0,75.2,78.75,101272
2020-12-04,79.95,93.0,76.1,90.65,445699
2020-12-11,93.4,108.0,90.0,93.65,1798535
2020-12-18,94.45,96.15,90.0,92.5,165695
2020-12-25,90.55,103.0,82.1,97.4,263142
2021-01-01,99.95,101.0,95.05,96.25,204354
2021-01-08,98.9,111.1,93.85,105.6,1031679
2021-01-15,106.15,116.0,99.6,112.8,728315
2021-01-22,111.5,114.75,102.0,102.55,440511
2021-01-29,105.5,105.5,92.3,102.05,184276
2021-02-05,102.0,119.55,99.3,115.0,483532
2021-02-12,115.2,135.0,108.55,133.45,926432
2021-02-19,134.5,141.95,123.35,126.5,999923
2021-02-26,128.0,138.7,124.0,129.0,643843
2021-03-05,130.5,157.3,130.5,142.8,1814562
2021-03-12,142.95,179.8,142.95,179.35,2528559
2021-03-19,181.0,194.4,158.05,188.4,2980792
2021-03-26,190.25,215.0,181.25,187.3,2381642
2021-04-02,190.0,192.0,173.3,178.2,447257
2021-04-09,179.8,198.7,165.0,178.0,1005611
2021-04-16,176.0,176.0,161.0,169.4,377570
2021-04-23,163.5,177.3,159.5,164.7,277758
2021-04-30,165.5,174.35,161.0,164.25,282041
2021-05-07,168.0,172.8,156.8,162.85,291929
2021-05-14,165.15,189.85,160.15,181.75,707201
2021-05-21,188.7,200.0,175.0,177.4,1527750
2021-05-28,190.0,208.9,186.0,193.3,2020400
2021-06-04,197.4,201.0,186.75,191.75,784682
2021-06-11,194.5,194.5,180.0,185.55,890291
2021-06-18,188.0,190.6,175.0,181.2,976243
2021-06-25,178.1,200.8,175.5,192.25,1458606
2021-07-02,196.7,219.5,192.75,207.75,2936031
2021-07-09,209.65,222.0,200.0,209.0,1541972
2021-07-16,211.5,215.0,203.1,207.1,789309
2021-07-23,209.5,242.0,208.0,231.9,4220959
2021-07-30,232.9,234.6,195.4,212.4,2069799
2021-08-06,213.5,217.35,198.4,214.55,863527
2021-08-13,214.0,230.0,180.6,226.25,1585959
2021-08-20,227.85,244.7,209.0,223.05,2650341
2021-08-27,227.2,269.7,207.0,256.6,3864827
2021-09-03,261.0,267.2,237.0,239.9,1113495
2021-09-10,240.0,248.5,234.0,243.4,621672
2021-09-17,243.4,262.0,235.25,242.15,1288329
2021-09-24,240.0,257.4,229.95,246.75,671622
2021-10-01,249.45,265.9,240.0,258.85,768139
2021-10-08,259.0,275.0,249.0,251.2,1166751
2021-10-15,250.05,262.75,241.6,249.35,483734
2021-10-22,251.4,259.8,231.0,244.6,677162
2021-10-29,246.6,247.45,230.9,233.75,310350
2021-11-05,233.1,250.0,231.8,240.8,151635
2021-11-12,244.8,254.95,238.9,252.2,403198
2021-11-19,253.0,276.0,240.1,256.4,1486496
2021-11-26,261.0,324.85,242.25,286.75,3231038
2021-12-03,288.05,326.0,278.0,301.3,971192
2021-12-10,302.05,353.8,302.05,321.3,1815294
2021-12-17,323.85,351.8,315.0,316.35,694827
2021-12-24,311.1,380.0,296.15,357.1,1937758
2021-12-31,361.65,495.9,357.55,472.35,4084720
2022-01-07,471.0,488.0,438.1,468.35,925847
2022-01-14,474.0,530.0,445.05,516.25,1454874
2022-01-21,519.8,564.45,470.1,516.25,1405052
2022-01-28,548.0,548.0,462.95,487.9,796711
2022-02-04,489.9,556.9,480.1,530.35,862133
2022-02-11,531.65,549.95,471.5,474.8,398367
2022-02-18,449.0,490.0,426.65,460.05,596232
2022-02-25,451.15,457.6,380.0,423.0,481870
2022-03-04,420.0,445.0,387.25,434.8,262565
2022-03-11,429.15,495.0,401.2,483.7,293011
2022-03-18,493.9,506.05,465.0,478.6,271158
2022-03-25,487.8,515.55,461.9,505.1,365386
2022-04-01,518.9,541.4,485.1,517.85,418852
2022-04-08,522.0,528.5,477.0,489.05,274413
2022-04-15,497.0,498.0,471.35,480.3,126597
2022-04-22,480.0,488.2,424.55,432.45,284218
2022-04-29,430.0,453.8,414.2,420.1,320366
2022-05-06,408.65,424.0,371.35,390.35,256049
2022-05-13,387.0,404.95,319.3,325.3,321063
2022-05-20,322.5,364.9,314.6,347.95,410734
2022-05-27,363.0,363.0,308.3,334.2,240383
