date,open,high,low,close,volume
2020-01-17,16.35,18.9,16.35,18.0,85269
2020-01-24,18.45,19.9,17.65,19.55,94515
2020-01-31,19.2,20.6,17.2,17.35,53821
2020-02-07,17.7,17.9,16.5,16.65,35579
2020-02-14,16.65,17.9,15.65,16.35,45174
2020-02-21,15.55,17.35,15.55,16.5,26785
2020-02-28,16.0,16.7,13.75,15.3,83029
2020-03-06,15.75,16.1,13.1,14.0,93771
2020-03-13,14.0,14.5,9.55,13.25,84299
2020-03-20,14.4,14.4,9.6,11.45,94883
2020-03-27,11.45,12.95,9.2,10.4,85490
2020-04-03,10.6,11.15,9.85,10.5,33200
2020-04-10,11.45,12.25,10.3,12.1,40631
2020-04-17,12.1,14.9,11.25,14.15,74803
2020-04-24,14.2,14.95,12.5,13.2,46335
2020-05-01,13.8,14.2,12.6,13.6,26642
2020-05-08,14.15,14.15,11.2,12.1,65972
2020-05-15,12.05,12.5,11.5,11.85,26740
2020-05-22,12.05,13.9,11.25,13.9,108538
2020-05-29,15.6,21.8,14.95,18.85,1975838
2020-06-05,18.85,19.25,15.6,15.9,651351
2020-06-12,16.45,16.45,13.75,14.1,327655
2020-06-19,13.8,15.5,13.8,14.7,347374
2020-06-26,15.4,18.6,15.4,18.6,354525
2020-07-03,19.5,19.5,15.25,16.15,333383
2020-07-10,16.45,17.0,15.5,16.25,272936
2020-07-17,16.25,16.5,15.55,15.75,160292
2020-07-24,16.15,16.2,15.55,15.85,82215
2020-07-31,16.25,16.25,14.65,15.0,144570
2020-08-07,14.8,16.55,14.5,16.0,125924
2020-08-14,16.45,16.45,14.4,15.4,140038
2020-08-21,15.3,17.2,15.3,16.55,323808
2020-08-28,16.3,16.9,15.65,15.85,219053
2020-09-04,16.5,16.5,14.7,15.5,95713
2020-09-11,15.95,15.95,15.0,15.4,83191
2020-09-18,15.45,17.4,15.0,17.4,487386
2020-09-25,18.05,18.05,15.2,15.95,248883
2020-10-02,16.45,16.45,15.7,16.25,60134
2020-10-09,16.15,16.65,15.2,15.75,154898
2020-10-16,15.8,16.25,14.8,14.95,92582
2020-10-23,15.35,16.3,14.15,15.0,311347
2020-10-30,14.9,15.7,14.6,15.05,73937
2020-11-06,15.0,16.4,14.45,14.95,313786
2020-11-13,15.05,15.35,14.4,14.6,193266
2020-11-20,15.0,15.35,14.6,15.0,189239
2020-11-27,15.15,15.85,14.9,15.65,465018
2020-12-04,15.9,17.0,15.85,16.4,286393
2020-12-11,17.0,19.5,16.35,18.65,909714
2020-12-18,19.5,20.25,18.35,18.75,406855
2020-12-25,19.3,21.45,17.1,20.7,769555
2021-01-01,21.3,25.25,19.1,23.55,1524655
2021-01-08,23.45,25.9,22.95,23.4,1124017
2021-01-15,23.95,25.75,22.2,23.3,598693
2021-01-22,23.0,24.15,22.0,22.45,377872
2021-01-29,23.5,26.0,21.75,23.35,490817
2021-02-05,23.05,25.1,22.55,23.15,762936
2021-02-12,23.5,24.8,23.2,24.05,383721
2021-02-19,24.55,25.0,23.5,24.0,324549
2021-02-26,24.7,25.0,22.7,24.4,339318
2021-03-05,25.3,31.75,24.55,26.9,1460669
2021-03-12,27.3,28.8,26.5,27.55,282529
2021-03-19,27.2,30.85,24.7,25.9,558568
2021-03-26,25.65,28.0,25.4,25.85,235951
2021-04-02,26.3,28.0,25.9,27.1,126273
2021-04-09,26.65,27.0,24.8,26.65,268659
2021-04-16,26.65,26.65,24.8,25.55,128653
2021-04-23,25.0,29.25,23.75,29.25,889423
2021-04-30,32.0,32.0,23.5,28.9,874160
2021-05-07,28.9,31.0,28.2,29.0,440192
2021-05-14,30.8,38.75,29.7,38.75,2478287
2021-05-21,42.25,51.15,40.65,42.2,5581660
2021-05-28,43.0,43.4,38.2,39.95,1582985
2021-06-04,38.4,41.0,36.15,39.3,787006
2021-06-11,39.9,44.5,39.55,42.55,1709772
2021-06-18,43.35,43.35,38.7,40.8,945714
2021-06-25,39.8,42.4,39.7,41.05,525056
2021-07-02,41.8,41.8,39.8,39.95,464154
2021-07-09,39.75,46.9,39.75,43.45,2203546
2021-07-16,44.1,45.4,41.55,42.7,774932
2021-07-23,42.0,43.2,40.55,42.2,653718
2021-07-30,42.8,49.25,41.5,46.0,2404590
2021-08-06,47.25,65.7,46.25,58.6,10313594
2021-08-13,59.5,61.0,46.7,54.05,1909990
2021-08-20,54.05,55.3,48.0,48.7,503237
2021-08-27,48.5,51.45,44.1,50.95,574512
2021-09-03,52.0,60.4,51.05,57.5,2686085
2021-09-10,57.5,58.35,54.0,55.0,611823
2021-09-17,56.3,56.3,52.45,53.3,720875
2021-09-24,53.0,56.15,49.1,52.4,629604
2021-10-01,52.65,54.0,51.0,51.9,432742
2021-10-08,52.9,56.0,52.0,53.4,721736
2021-10-15,54.35,54.5,52.0,52.4,355442
2021-10-22,52.5,53.5,47.65,49.9,631174
2021-10-29,49.85,50.95,46.55,47.4,235198
2021-11-05,47.4,50.4,45.7,48.7,162709
2021-11-12,48.8,59.1,47.65,57.7,1653040
2021-11-19,59.7,59.7,52.5,54.25,677676
2021-11-26,55.2,57.0,51.0,53.65,715228
2021-12-03,53.1,54.0,50.1,52.4,346460
2021-12-10,52.4,57.9,52.25,55.95,782934
2021-12-17,57.1,61.95,53.35,57.15,1165468
2021-12-24,56.8,71.4,53.7,68.75,5818701
2021-12-31,68.75,72.85,62.0,63.95,2164144
2022-01-07,65.2,77.5,64.1,71.0,3607759
2022-01-14,72.3,94.0,70.4,92.3,6134732
2022-01-21,93.5,119.0,92.3,104.7,8032907
2022-01-28,102.65,114.85,84.85,104.35,2485108
2022-02-04,108.8,108.8,95.0,97.25,1305251
2022-02-11,97.25,105.0,91.5,92.25,1179692
2022-02-18,87.0,94.0,83.6,86.05,745900
2022-02-25,85.0,91.7,75.0,81.2,1048251
2022-03-04,81.0,92.0,78.6,85.35,760224
2022-03-11,85.3,102.8,81.35,94.1,1959119
