date,open,high,low,close,volume
2020-01-17,118.45,120.03,116.18,118.27,31189784
2020-01-24,117.01,117.01,107.9,111.48,54031388
2020-01-31,110.51,112.18,106.79,108.88,34617044
2020-02-07,109.07,123.1,100.38,122.26,74708013
2020-02-14,121.75,124.54,116.27,117.38,46822569
2020-02-21,117.38,118.64,111.44,114.41,25800376
2020-02-28,113.85,113.85,92.01,92.89,41118020
2020-03-06,95.73,101.77,88.25,93.73,62182345
2020-03-13,89.04,92.01,65.06,77.56,65167821
2020-03-20,74.35,74.35,52.42,55.35,107278229
2020-03-27,49.82,56.55,42.66,49.35,112162571
2020-04-03,47.4,50.19,44.8,45.45,48464805
2020-04-10,48.28,54.79,46.24,53.16,51755600
2020-04-17,53.12,64.27,49.03,60.88,100130780
2020-04-24,61.2,61.34,52.84,54.79,67465405
2020-05-01,55.07,62.73,55.07,60.97,63856998
2020-05-08,58.09,58.09,51.86,52.74,93910020
2020-05-15,53.44,58.92,50.19,53.25,117314106
2020-05-22,53.25,53.35,47.59,48.0,96853926
2020-05-29,48.61,51.3,47.21,50.51,72597109
2020-06-05,51.58,58.46,50.65,57.9,131430798
2020-06-12,59.48,61.53,54.18,58.46,126967629
2020-06-19,58.55,63.48,55.49,62.73,123508649
2020-06-26,63.62,67.29,61.57,63.94,131040769
2020-07-03,63.43,65.2,60.74,62.87,63243587
2020-07-10,63.62,69.47,63.48,64.31,187800038
2020-07-17,65.01,65.34,54.18,57.3,137406801
2020-07-24,57.99,59.02,56.23,57.02,47433921
2020-07-31,57.16,59.2,54.56,55.76,64923032
2020-08-07,55.53,59.2,55.07,58.97,63633708
2020-08-14,59.3,62.04,58.65,59.67,62287208
2020-08-21,60.04,65.2,59.11,62.97,94253702
2020-08-28,63.2,68.08,62.27,66.55,102623515
2020-09-04,67.47,68.36,59.3,61.2,68721529
2020-09-11,61.62,61.9,55.95,58.65,60992077
2020-09-18,59.02,61.53,57.9,59.11,72345803
2020-09-25,59.25,59.39,51.67,54.18,63346697
2020-10-02,55.02,60.32,54.7,59.9,57863424
2020-10-09,60.09,60.88,57.16,58.41,52365235
2020-10-16,58.55,59.39,55.72,56.83,37941943
2020-10-23,57.44,62.08,56.69,60.41,75764550
2020-10-30,60.78,62.36,57.9,59.85,62123991
2020-11-06,60.18,64.04,59.48,62.87,67023714
2020-11-13,63.99,65.99,62.13,65.2,86584952
2020-11-20,65.71,71.94,64.64,66.31,104435689
2020-11-27,67.85,81.93,66.31,80.72,208360450
2020-12-04,80.16,84.85,78.07,82.07,116865590
2020-12-11,82.34,86.81,82.25,83.83,90383501
2020-12-18,84.2,89.22,82.81,84.85,73077516
2020-12-25,84.58,85.46,75.42,84.02,72906312
2021-01-01,84.58,90.71,84.3,90.15,59721174
2021-01-08,90.99,98.84,89.04,95.87,103394690
2021-01-15,95.87,100.93,92.29,97.82,93073815
2021-01-22,95.17,101.12,91.08,92.25,205176624
2021-01-29,92.2,95.7,85.1,86.0,86544287
2021-02-05,86.95,95.9,84.5,90.4,90387722
2021-02-12,90.8,95.25,88.05,94.25,75289710
2021-02-19,95.15,105.2,95.0,99.85,130566894
2021-02-26,100.0,106.95,95.0,104.55,116991156
2021-03-05,105.1,113.4,104.05,106.8,90457784
2021-03-12,107.8,111.0,102.8,105.3,55531103
2021-03-19,105.8,106.2,95.0,101.6,63596684
2021-03-26,101.6,102.5,91.5,94.9,54478799
2021-04-02,95.8,100.0,93.75,99.7,25649058
2021-04-09,99.4,100.5,94.0,98.05,49090474
2021-04-16,95.0,95.35,86.0,93.2,71137738
2021-04-23,88.5,93.1,86.95,89.9,66671492
2021-04-30,91.2,93.45,86.5,87.05,95197865
2021-05-07,86.1,88.4,84.35,86.75,63530165
2021-05-14,87.1,89.9,84.7,85.05,39016152
2021-05-21,85.6,91.9,85.1,91.0,61903254
2021-05-28,91.1,94.0,87.65,93.65,72844426
2021-06-04,94.35,97.95,91.15,97.5,87708632
2021-06-11,97.95,100.6,94.0,97.85,83675711
2021-06-18,97.35,101.1,88.95,91.45,81953110
2021-06-25,89.55,96.9,89.2,95.35,80703065
2021-07-02,95.4,96.3,92.2,92.35,36367893
2021-07-09,92.85,94.7,91.4,93.0,32977937
2021-07-16,93.9,95.8,92.7,94.9,37699221
2021-07-23,93.0,94.0,87.45,88.25,55735646
2021-07-30,88.4,89.4,85.4,88.3,40715937
2021-08-06,88.9,90.6,87.6,89.2,31806055
2021-08-13,89.4,90.1,81.2,84.45,37157736
2021-08-20,84.25,84.8,78.6,79.2,28818222
2021-08-27,79.8,81.9,76.1,81.45,37429088
2021-09-03,81.45,85.9,81.45,84.45,33456565
2021-09-10,84.7,85.5,82.6,84.7,19238186
2021-09-17,84.6,88.1,83.75,85.5,28385605
2021-09-24,85.0,88.9,81.25,85.45,39194446
2021-10-01,85.5,92.3,85.5,89.65,59719610
2021-10-08,90.0,92.35,88.7,90.95,36641763
2021-10-15,91.0,95.1,89.5,94.35,44822248
2021-10-22,95.0,95.95,84.5,84.8,75954382
2021-10-29,85.4,85.5,80.05,82.05,54484573
2021-11-05,82.05,86.45,81.85,85.3,25442999
2021-11-12,85.4,88.65,84.85,86.0,31563951
2021-11-19,86.35,86.45,80.95,81.55,21711613
2021-11-26,81.65,81.95,75.5,75.75,39089298
2021-12-03,75.5,80.15,72.35,78.85,37318813
2021-12-10,78.85,81.3,77.65,80.7,22244531
2021-12-17,81.2,81.8,76.55,76.9,34615574
