date,open,high,low,close,volume
2020-01-17,1649.0,1730.0,1580.0,1669.9,394250
2020-01-24,1680.3,1720.45,1582.25,1693.7,319221
2020-01-31,1711.0,1794.6,1695.0,1771.2,490434
2020-02-07,1767.0,1846.0,1607.75,1616.0,1278523
2020-02-14,1622.0,1674.75,1565.0,1649.5,913953
2020-02-21,1657.4,1676.2,1580.0,1618.75,376519
2020-02-28,1610.0,1690.0,1590.65,1628.15,536076
2020-03-06,1652.0,1758.0,1625.1,1688.45,1196511
2020-03-13,1670.0,1684.0,1360.3,1572.7,819869
2020-03-20,1560.0,1640.0,1252.15,1406.1,1382143
2020-03-27,1335.8,1570.0,1179.55,1501.95,1673870
2020-04-03,1497.0,1552.0,1305.0,1339.8,763934
2020-04-10,1390.0,1500.0,1350.05,1475.45,938762
2020-04-17,1479.95,1567.4,1458.75,1521.65,924354
2020-04-24,1557.65,1557.65,1445.0,1496.15,737385
2020-05-01,1509.0,1680.0,1504.3,1585.85,1058543
2020-05-08,1565.0,1619.0,1500.0,1552.55,523874
2020-05-15,1553.0,1615.0,1535.55,1595.9,485953
2020-05-22,1595.9,1615.0,1500.0,1512.2,875673
2020-05-29,1510.0,1560.65,1508.0,1532.65,342262
2020-06-05,1548.0,1674.35,1510.0,1640.15,661068
2020-06-12,1659.0,1691.0,1552.0,1616.85,416207
2020-06-19,1630.0,1648.55,1516.0,1527.95,566347
2020-06-26,1550.0,1628.0,1525.45,1559.45,744298
2020-07-03,1543.0,1626.0,1543.0,1617.75,470795
2020-07-10,1630.0,1843.0,1630.0,1782.25,1284310
2020-07-17,1815.0,1940.0,1791.95,1853.2,1179662
2020-07-24,1867.7,2029.0,1867.7,1925.65,602391
2020-07-31,1954.9,2010.0,1861.0,1891.7,765431
2020-08-07,1875.0,1919.65,1815.05,1902.95,861639
2020-08-14,1912.0,1922.0,1800.05,1862.85,501501
2020-08-21,1866.5,1942.0,1825.0,1844.75,1043553
2020-08-28,1845.0,1889.4,1831.0,1840.65,646361
2020-09-04,1840.65,1890.0,1736.6,1845.55,463342
2020-09-11,1854.0,1864.85,1767.5,1839.05,340008
2020-09-18,1870.0,2010.0,1845.0,1986.15,1349222
2020-09-25,1995.9,2006.15,1760.0,1828.8,559985
2020-10-02,1845.0,1950.0,1816.3,1862.7,507619
2020-10-09,1865.05,2330.0,1859.05,2054.55,2745910
2020-10-16,2040.0,2210.0,2010.95,2066.45,1206496
2020-10-23,2075.0,2315.0,2060.1,2296.7,1155761
2020-10-30,2309.7,2394.7,2222.2,2296.85,916415
2020-11-06,2324.95,2377.8,2225.8,2318.65,1118319
2020-11-13,2302.0,2318.6,2093.0,2174.6,806231
2020-11-20,2193.4,2244.4,2119.95,2196.95,684130
2020-11-27,2219.65,2374.7,2186.9,2290.5,703472
2020-12-04,2290.5,2302.25,2220.6,2237.15,362679
2020-12-11,2237.15,2298.0,2163.05,2186.85,987329
2020-12-18,2197.6,2204.0,2118.05,2181.7,625171
2020-12-25,2208.25,2293.0,2108.0,2272.1,850412
2021-01-01,2300.0,2425.0,2275.1,2407.2,961870
2021-01-08,2407.25,2460.0,2327.0,2406.85,1690689
2021-01-15,2418.0,2424.0,2281.65,2295.45,584276
2021-01-22,2285.0,2332.45,2212.0,2298.7,824554
2021-01-29,2310.0,2358.25,2206.9,2247.5,643209
2021-02-05,2270.0,2505.0,2198.15,2400.0,1146255
2021-02-12,2425.0,2468.0,2350.55,2426.05,482398
2021-02-19,2426.05,2626.0,2380.05,2428.9,2115787
2021-02-26,2474.8,2542.65,2235.8,2285.95,1565315
2021-03-05,2342.25,2375.0,2286.0,2303.9,597407
2021-03-12,2310.0,2399.95,2291.7,2340.2,483702
2021-03-19,2339.95,2568.05,2312.0,2517.25,1707938
2021-03-26,2540.0,2619.95,2444.15,2571.4,1262923
2021-04-02,2591.1,2750.0,2589.4,2744.9,1164078
2021-04-09,2772.0,3234.0,2720.0,3137.0,4062741
2021-04-16,3154.0,3399.3,2901.0,2920.2,5653285
2021-04-23,2910.0,3044.0,2805.0,2884.75,3194699
2021-04-30,2899.0,2985.0,2800.0,2932.7,2179156
2021-05-07,2941.85,2959.2,2825.0,2860.0,1489087
