date,open,high,low,close,volume
2020-01-17,329.2,334.85,312.0,327.15,152829
2020-01-24,330.0,330.0,311.35,323.15,88173
2020-01-31,324.0,328.0,307.2,310.5,52888
2020-02-07,306.0,324.95,272.35,305.75,246396
2020-02-14,306.0,315.0,279.1,296.35,216079
2020-02-21,296.35,296.35,276.0,281.65,77934
2020-02-28,281.0,281.0,245.0,247.65,145259
2020-03-06,249.2,259.15,226.85,239.15,117934
2020-03-13,237.0,239.6,165.1,208.1,140576
2020-03-20,208.1,208.1,149.0,183.9,107148
2020-03-27,175.0,188.35,145.2,166.85,147851
2020-04-03,167.0,172.45,150.0,152.25,94927
2020-04-10,155.25,192.0,155.25,181.1,168169
2020-04-17,182.05,217.3,171.25,210.5,120131
2020-04-24,213.0,215.95,184.95,185.8,72196
2020-05-01,192.0,207.35,185.7,195.95,76809
2020-05-08,196.0,220.3,180.0,198.45,446461
2020-05-15,198.45,204.1,190.45,193.4,64471
2020-05-22,193.0,195.9,180.2,193.75,52176
2020-05-29,199.75,244.7,186.35,220.0,937408
2020-06-05,222.0,241.9,221.0,231.25,191986
2020-06-12,229.05,234.85,200.0,210.1,113163
2020-06-19,210.1,232.0,195.0,223.45,228308
2020-06-26,229.75,238.0,214.05,226.65,239777
2020-07-03,218.6,259.5,218.6,239.25,724619
2020-07-10,240.0,245.85,230.2,235.9,90579
2020-07-17,239.95,239.95,224.0,227.7,74196
2020-07-24,232.95,235.0,225.6,227.65,49330
2020-07-31,229.0,236.5,221.15,225.95,132380
2020-08-07,223.55,232.0,200.0,215.35,328728
2020-08-14,215.05,243.7,212.5,226.95,1227148
2020-08-21,229.8,277.0,215.0,257.5,1162065
2020-08-28,259.0,287.9,247.55,262.4,846538
2020-09-04,263.55,269.95,241.0,247.1,149723
2020-09-11,252.0,272.0,245.55,249.55,369277
2020-09-18,251.2,264.0,248.5,251.95,411899
2020-09-25,248.7,252.75,216.3,220.3,258456
2020-10-02,226.0,243.7,209.5,239.25,439008
2020-10-09,241.95,263.0,237.55,241.25,334080
2020-10-16,245.8,245.8,231.0,236.85,73120
2020-10-23,236.85,259.0,235.4,257.25,210307
2020-10-30,257.2,277.0,244.0,249.5,619503
2020-11-06,249.5,259.45,247.0,250.15,172663
2020-11-13,252.1,256.1,247.0,248.9,156410
2020-11-20,253.9,276.8,248.45,258.5,445615
2020-11-27,260.0,283.0,258.45,260.1,497192
2020-12-04,262.3,274.7,250.0,266.45,514473
2020-12-11,267.0,294.0,267.0,276.15,949199
2020-12-18,278.0,290.0,274.8,276.45,292745
2020-12-25,274.9,276.0,242.5,271.85,203047
2021-01-01,269.3,317.0,269.3,312.05,1911664
2021-01-08,314.0,316.0,293.0,296.75,361979
2021-01-15,300.0,303.5,291.25,294.8,280254
2021-01-22,294.95,303.7,281.0,286.7,212885
2021-01-29,290.75,323.8,278.05,302.95,1048024
2021-02-05,304.8,341.95,300.0,330.0,897749
2021-02-12,329.7,349.7,327.2,334.25,433478
2021-02-19,337.6,342.8,302.95,306.2,382932
2021-02-26,306.0,321.8,292.1,304.0,532931
2021-03-05,311.8,330.0,308.85,317.45,336531
2021-03-12,323.0,361.5,316.0,338.45,1541822
2021-03-19,336.0,339.7,294.05,305.2,433824
2021-03-26,308.0,312.9,290.35,296.3,387171
2021-04-02,299.95,313.95,298.0,312.55,119608
2021-04-09,316.45,323.0,306.55,315.85,318798
2021-04-16,308.1,316.9,291.0,293.95,201590
2021-04-23,290.0,306.8,282.0,293.35,165600
2021-04-30,293.35,311.9,292.1,302.1,190854
2021-05-07,298.0,308.4,284.1,287.8,272323
2021-05-14,291.5,297.5,287.85,288.8,275078
2021-05-21,290.15,314.5,290.1,301.85,595157
2021-05-28,302.0,337.25,302.0,314.0,805972
2021-06-04,319.0,334.4,312.85,330.4,560527
2021-06-11,332.5,412.35,327.0,394.8,4745010
2021-06-18,404.0,475.0,387.3,468.55,7944321
2021-06-25,460.0,488.8,436.1,454.75,3082575
2021-07-02,454.75,469.7,438.4,462.85,731964
2021-07-09,465.9,468.0,442.25,449.8,448791
2021-07-16,454.65,499.0,445.0,464.4,1562987
2021-07-23,460.0,489.0,455.3,478.95,841620
2021-07-30,478.85,545.75,474.9,516.0,2056533
2021-08-06,513.0,524.7,487.25,505.35,1317644
2021-08-13,501.0,509.35,445.35,477.7,899752
2021-08-20,473.35,477.0,432.0,439.0,534225
2021-08-27,445.0,450.1,399.25,409.15,1128683
2021-09-03,414.3,436.0,413.0,421.35,939737
2021-09-10,422.9,424.95,411.0,413.75,272025
2021-09-17,416.0,429.4,409.05,418.75,460783
2021-09-24,415.0,433.0,402.0,426.35,571663
2021-10-01,429.75,457.45,407.7,452.85,961785
2021-10-08,455.0,489.7,439.65,480.6,792841
2021-10-15,484.0,496.0,471.1,494.3,712831
2021-10-22,498.0,549.0,496.55,499.35,1413750
2021-10-29,509.0,522.0,482.35,503.15,744877
2021-11-05,571.6,589.0,529.55,556.2,2154485
2021-11-12,561.9,570.0,531.95,533.8,1030843
2021-11-19,537.8,539.05,505.0,509.55,528931
2021-11-26,509.65,517.0,481.0,488.45,473402
