date,open,high,low,close,volume
2022-05-20,872.0,918.95,825.0,826.15,72163356
2022-05-27,826.15,852.7,801.0,821.6,25757818
2022-06-03,829.9,841.4,800.0,800.25,12795386
2022-06-10,800.25,801.7,708.05,709.7,18104816
2022-06-17,690.9,709.7,651.0,654.55,30427599
2022-06-24,660.45,684.9,650.0,661.65,12893094
2022-07-01,670.0,696.85,657.8,676.65,10075679
2022-07-08,678.0,714.7,678.0,708.1,10743921
2022-07-15,707.95,724.4,704.35,708.5,5755372
2022-07-22,710.0,713.65,686.75,688.65,6339224
2022-07-29,688.0,690.0,672.9,677.8,4282420
2022-08-05,680.0,694.95,670.7,687.35,7860714
2022-08-12,680.35,689.8,678.5,682.4,4268198
2022-08-19,693.0,706.6,683.1,685.95,7883389
2022-08-26,684.9,684.9,670.25,678.85,5411550
2022-09-02,670.0,676.95,664.0,664.65,4019939
2022-09-09,666.0,669.15,651.0,653.3,7044573
2022-09-16,655.0,678.0,651.6,654.8,12486056
2022-09-23,658.3,665.05,642.0,642.8,5332817
2022-09-30,640.0,641.0,617.0,621.65,4704983
2022-10-07,622.0,635.8,619.25,624.5,3013400
2022-10-14,622.7,625.95,611.0,612.8,3641929
2022-10-21,612.8,613.55,588.0,589.2,4999164
2022-10-28,593.0,601.0,591.25,592.7,2381030
2022-11-04,606.9,630.9,602.8,628.05,8043505
2022-11-11,629.0,638.0,618.6,627.7,3437033
2022-11-18,663.95,684.9,636.7,638.8,14289006
2022-11-25,639.9,640.3,620.05,627.75,4789359
2022-12-02,628.0,658.1,627.75,651.25,7109056
2022-12-09,651.1,676.1,649.0,671.85,7861225
2022-12-16,672.0,732.0,670.1,688.55,23119297
2022-12-23,689.8,754.25,655.1,658.75,27517425
2022-12-30,661.0,698.7,661.0,684.6,7391663
2023-01-06,685.0,746.0,684.7,707.3,14834008
2023-01-13,716.0,723.5,703.1,712.8,6535374
2023-01-20,714.0,718.6,695.1,698.55,3509698
2023-01-27,700.0,714.5,660.0,665.95,4224727
2023-02-03,649.0,684.0,582.35,599.05,16816610
2023-02-10,602.0,640.0,597.0,620.05,10403043
2023-02-17,621.0,623.65,595.1,602.65,5123034
2023-02-24,605.0,605.0,584.0,584.6,4332258
2023-03-03,584.6,619.0,566.0,615.45,9427513
2023-03-10,620.0,625.0,590.05,595.5,4413919
2023-03-17,595.5,598.5,570.75,579.9,4499188
2023-03-24,579.0,579.05,559.0,560.0,4484426
2023-03-31,560.1,562.65,530.05,535.0,7828982
2023-04-07,540.0,556.4,537.6,550.55,3470845
2023-04-14,554.45,556.0,548.2,550.95,2720548
2023-04-21,550.95,556.2,544.0,548.0,3426007
2023-04-28,548.9,556.0,543.0,549.9,4315550
2023-05-05,552.0,566.6,549.1,560.05,8868181
2023-05-12,563.0,567.0,555.1,562.1,4283141
2023-05-19,564.0,576.85,561.2,565.0,5408292
2023-05-26,569.0,615.5,566.7,604.3,13105550
2023-06-02,610.0,610.1,593.0,596.85,3775103
2023-06-09,598.5,610.4,595.95,601.95,4017159
2023-06-16,598.8,606.6,595.05,603.75,4089757
2023-06-23,605.0,653.7,603.55,623.85,11698096
2023-06-30,624.95,633.3,611.85,633.25,4422220
2023-07-07,635.0,637.6,621.4,622.4,3384678
2023-07-14,623.0,629.65,614.25,619.0,3198193
2023-07-21,617.5,642.55,617.5,636.4,5060017
2023-07-28,635.75,639.4,621.45,627.4,3570219
2023-08-04,627.0,664.9,627.0,658.7,9574767
2023-08-11,659.1,676.0,640.0,660.0,8570010
2023-08-18,660.0,662.0,648.65,650.5,3816859
2023-08-25,651.1,667.65,645.65,648.35,4437341
2023-09-01,649.75,660.05,643.5,645.75,3283391
2023-09-08,647.0,691.0,647.0,674.15,13314918
2023-09-15,677.65,684.9,654.55,667.5,6668710
2023-09-22,667.5,671.8,649.0,651.3,3155786
2023-09-29,650.0,653.0,643.05,649.75,3395305
2023-10-06,648.1,649.55,634.05,644.35,2187539
2023-10-13,639.2,644.2,630.1,634.65,3795373
2023-10-20,634.65,651.85,632.6,634.95,4430466
2023-10-27,634.95,636.7,597.35,606.65,3902263
2023-11-03,606.6,610.3,599.0,608.05,2712600
2023-11-10,609.9,619.6,608.1,610.25,2843682
2023-11-17,609.5,610.0,598.25,605.0,1419419
