date,open,high,low,close,volume
2020-10-16,65.0,71.65,62.5,68.45,4731200
2020-10-23,67.48,70.25,64.5,69.13,1880194
2020-10-30,70.0,88.0,69.5,74.58,5343710
2020-11-06,76.28,84.78,72.0,81.53,3437412
2020-11-13,82.58,83.95,66.9,79.08,1547102
2020-11-20,80.0,81.98,77.0,77.43,870076
2020-11-27,77.65,79.45,76.0,77.03,1030648
2020-12-04,77.5,81.0,76.0,79.05,837514
2020-12-11,80.48,86.1,78.03,80.5,4551158
2020-12-18,81.13,83.5,78.95,79.93,1437134
2020-12-25,80.15,81.15,73.33,78.15,1144290
2021-01-01,79.88,97.5,76.5,95.85,3873330
2021-01-08,96.4,106.9,92.53,100.48,6549510
2021-01-15,100.0,101.5,94.0,96.6,2130816
2021-01-22,98.35,98.35,91.58,93.13,1245750
2021-01-29,94.3,101.25,91.05,96.35,1754750
2021-02-05,97.0,115.25,96.58,106.38,3353724
2021-02-12,106.5,127.13,104.0,123.83,3379560
2021-02-19,124.85,149.0,124.83,137.3,4691858
2021-02-26,137.55,144.0,132.75,137.33,1174968
2021-03-05,138.45,163.5,137.13,154.7,2190342
2021-03-12,157.0,166.5,152.5,157.45,1500158
2021-03-19,158.23,162.75,144.05,150.23,1464876
2021-03-26,151.63,179.75,150.4,157.73,3993138
2021-04-02,158.5,174.7,155.58,171.88,942630
2021-04-09,172.95,209.48,171.33,199.2,3881920
2021-04-16,194.9,194.9,179.3,191.65,1248796
2021-04-23,184.0,190.75,172.5,186.28,697884
2021-04-30,190.0,196.95,185.75,187.1,744734
2021-05-07,183.6,194.5,180.53,186.13,670964
2021-05-14,186.5,191.15,182.5,184.65,317828
2021-05-21,182.53,216.95,182.53,209.0,2355328
2021-05-28,210.0,217.5,196.15,197.7,883532
2021-06-04,198.75,205.45,189.05,198.65,1503264
2021-06-11,199.5,240.0,193.33,231.53,4901432
2021-06-18,233.0,233.3,194.75,204.88,3588072
2021-06-25,201.5,210.5,197.5,203.78,882370
2021-07-02,203.78,213.5,200.58,211.08,1010666
2021-07-09,213.5,229.1,210.93,214.25,2057130
2021-07-16,215.5,217.03,208.18,211.03,1595428
2021-07-23,208.0,211.25,199.3,204.63,1411534
2021-07-30,205.0,206.98,191.85,197.53,979674
2021-08-06,195.65,209.0,195.5,200.75,956376
2021-08-13,201.2,206.13,184.08,196.65,1312950
2021-08-20,196.5,196.65,170.3,171.4,795238
2021-08-27,174.5,187.45,157.05,183.65,2671514
2021-09-03,184.98,204.85,178.98,195.53,2332264
2021-09-10,210.0,214.5,198.73,200.33,1707962
2021-09-17,200.0,202.63,193.13,194.1,814510
2021-09-24,193.0,200.7,177.13,189.2,918430
2021-10-01,190.0,192.53,182.5,185.53,485830
2021-10-08,185.0,201.5,184.05,189.53,1020738
2021-10-15,189.53,194.45,185.0,189.3,492426
2021-10-22,188.5,192.1,175.3,180.48,497016
2021-10-29,180.5,190.13,174.5,178.23,456874
2021-11-05,178.25,197.98,178.25,192.78,523526
2021-11-12,194.48,195.75,181.65,183.68,526154
2021-11-19,184.93,184.93,170.0,170.68,347658
2021-11-26,170.0,184.5,162.93,169.15,460346
2021-12-03,165.5,177.5,155.03,173.48,385270
2021-12-10,169.5,182.43,165.53,178.43,403924
2021-12-17,179.75,180.0,165.15,165.95,215766
2021-12-24,158.75,173.4,157.1,168.5,284072
2021-12-31,168.45,181.5,163.5,172.5,459256
2022-01-07,184.0,189.0,170.2,173.23,1009086
2022-01-14,173.23,176.5,170.53,173.58,253694
2022-01-21,173.75,187.73,171.0,172.9,873820
2022-01-28,173.0,183.15,150.4,177.25,565700
2022-02-04,181.18,181.23,169.83,177.55,408410
2022-02-11,177.95,191.0,165.0,165.65,1294214
2022-02-18,157.45,163.65,151.0,158.8,373894
2022-02-25,158.5,158.88,140.0,148.43,417150
2022-03-04,148.0,154.5,145.63,147.03,208510
2022-03-11,145.0,159.7,140.5,154.7,391208
2022-03-18,156.0,157.28,151.05,153.13,184876
2022-03-25,154.95,158.73,149.9,150.58,295382
2022-04-01,150.5,153.53,143.33,150.33,839406
2022-04-08,153.98,166.5,149.85,164.63,514340
2022-04-15,166.0,171.5,162.93,163.63,261556
2022-04-22,162.5,164.2,153.0,157.88,290834
2022-04-29,156.0,157.93,150.5,151.65,215046
2022-05-06,151.5,153.35,143.0,144.63,141524
2022-05-13,142.5,147.43,131.7,142.05,200302
2022-05-20,144.5,152.23,133.85,137.15,1188262
2022-05-27,138.85,140.83,127.03,132.95,133662
2022-06-03,138.1,144.6,137.0,138.68,215416
2022-06-10,141.43,143.48,137.55,139.6,190976
2022-06-17,137.5,141.45,125.43,126.68,154878
