date,open,high,low,close,volume
2019-11-15,175.9,193.0,170.8,182.75,317469
2019-11-22,182.7,203.8,172.95,175.0,571762
2019-11-29,175.0,180.9,170.2,170.95,104896
2019-12-06,170.9,177.1,166.15,168.5,72595
2019-12-13,169.35,172.7,166.15,169.05,79722
2019-12-20,170.0,189.9,170.0,179.9,240015
2019-12-27,179.8,194.85,179.2,192.1,149396
2020-01-03,196.4,216.9,193.0,207.6,3937120
2020-01-10,206.95,206.95,192.3,202.9,556461
2020-01-17,203.0,212.95,199.0,206.2,406262
2020-01-24,206.85,212.0,199.5,208.4,235167
2020-01-31,206.3,218.8,198.0,200.4,610593
2020-02-07,198.9,206.7,194.1,198.1,243267
2020-02-14,199.8,206.8,180.2,181.0,468886
2020-02-21,180.5,182.7,164.25,175.0,209421
2020-02-28,174.5,182.8,164.2,165.8,227492
2020-03-06,170.0,172.0,141.0,152.2,115229
2020-03-13,150.0,151.0,101.4,126.2,250071
2020-03-20,129.95,130.0,85.05,101.5,438915
2020-03-27,95.0,118.95,90.0,117.35,153112
2020-04-03,117.0,129.75,108.0,119.85,106643
2020-04-10,123.5,136.1,121.5,136.1,107903
2020-04-17,142.9,150.0,133.2,140.4,348913
2020-04-24,143.7,145.7,130.35,145.55,192495
2020-05-01,151.0,165.1,145.1,153.2,1050942
2020-05-08,146.1,151.0,138.3,146.1,288529
2020-05-15,148.1,164.95,147.0,162.55,336001
2020-05-22,160.95,168.9,155.0,157.5,636408
2020-05-29,159.0,164.9,149.65,151.1,159815
2020-06-05,152.1,169.0,151.95,164.5,392667
2020-06-12,166.4,175.85,154.3,163.75,632432
2020-06-19,164.0,166.65,154.0,160.6,200269
2020-06-26,162.4,183.8,162.1,171.6,1156474
2020-07-03,171.45,171.45,157.15,161.35,240424
2020-07-10,163.0,169.45,160.4,161.9,174727
2020-07-17,163.8,198.5,161.6,186.95,1881874
2020-07-24,185.0,194.8,180.0,180.85,536626
2020-07-31,181.0,205.0,173.05,192.55,2357888
2020-08-07,191.8,221.25,191.7,213.0,2561414
2020-08-14,214.9,237.0,210.05,214.5,2340325
2020-08-21,216.4,254.5,212.6,245.2,4620740
2020-08-28,248.5,254.95,236.0,242.2,1553510
2020-09-04,242.6,246.9,215.1,238.25,910077
2020-09-11,239.95,245.9,225.0,228.85,528058
2020-09-18,230.0,272.0,230.0,260.25,1852549
2020-09-25,261.7,283.45,234.6,253.35,1817905
2020-10-02,255.6,273.0,253.25,254.85,750538
2020-10-09,256.9,259.35,235.25,244.15,754522
2020-10-16,244.1,245.0,225.2,226.9,368112
2020-10-23,227.75,230.75,206.0,219.4,295446
2020-10-30,218.05,221.0,206.05,216.45,184311
2020-11-06,220.0,234.25,213.2,221.15,397563
2020-11-13,221.5,235.95,206.05,228.85,345290
2020-11-20,232.7,238.7,223.0,234.05,447965
2020-11-27,236.45,244.9,229.45,242.4,629496
2020-12-04,241.0,243.9,230.7,231.65,404939
2020-12-11,233.0,246.95,227.65,241.3,814858
2020-12-18,241.3,241.95,230.05,231.4,366817
2020-12-25,231.4,235.55,211.1,221.0,402201
2021-01-01,222.75,254.7,222.75,243.25,1694990
2021-01-08,245.9,251.9,239.0,240.0,815737
2021-01-15,242.0,245.0,234.0,235.65,370408
2021-01-22,235.0,237.05,222.8,223.55,238689
2021-01-29,225.75,228.6,215.0,222.7,141823
2021-02-05,218.0,242.0,216.1,218.3,1005823
2021-02-12,219.9,225.5,215.6,219.85,715832
2021-02-19,219.0,227.75,215.4,222.4,850000
2021-02-26,224.8,238.4,220.3,226.0,778326
2021-03-05,227.55,244.5,227.5,231.2,935246
2021-03-12,232.4,259.95,224.1,250.25,2025886
2021-03-19,251.65,251.65,219.2,228.15,416796
2021-03-26,227.9,232.9,220.05,225.4,385791
2021-04-02,229.6,238.6,220.05,236.7,286670
2021-04-09,233.1,246.8,227.4,240.2,475611
2021-04-16,237.1,241.0,225.5,237.75,363315
2021-04-23,234.0,272.0,228.25,258.7,2728968
2021-04-30,263.5,293.25,249.45,282.5,3391233
2021-05-07,283.0,309.9,281.5,286.35,2979820
2021-05-14,288.5,337.6,282.4,316.75,4138988
2021-05-21,319.0,337.95,312.0,327.35,1341605
2021-05-28,332.7,332.9,276.2,283.0,2332209
2021-06-04,290.0,300.7,286.05,289.1,979099
2021-06-11,291.9,303.0,288.05,297.55,864436
2021-06-18,297.55,324.9,288.0,310.95,1744845
2021-06-25,307.3,325.0,304.25,316.05,752690
2021-07-02,316.85,363.95,314.0,347.0,3978126
2021-07-09,348.0,352.75,333.0,341.1,1183085
2021-07-16,345.0,381.5,345.0,368.85,2942954
2021-07-23,365.0,384.0,346.25,372.75,1532434
2021-07-30,372.75,379.0,339.7,348.45,942978
2021-08-06,348.0,365.7,337.0,349.05,537353
2021-08-13,354.4,367.35,306.7,328.45,1654820
2021-08-20,327.5,343.0,315.6,322.7,762440
2021-08-27,327.55,332.7,310.0,320.15,402557
2021-09-03,333.0,341.55,326.15,329.55,430216
2021-09-10,336.0,402.0,332.15,397.45,3008117
2021-09-17,398.9,407.95,376.65,384.3,1385495
2021-09-24,376.45,407.4,373.5,383.75,1263417
2021-10-01,385.85,414.7,374.25,393.25,1791680
2021-10-08,393.25,403.0,372.0,393.65,1566137
2021-10-15,393.7,398.5,378.5,380.3,433212
2021-10-22,383.65,387.7,358.95,362.75,537103
2021-10-29,362.75,366.25,335.55,337.9,532563
2021-11-05,340.5,352.0,340.0,348.65,252683
2021-11-12,349.0,362.75,335.55,345.5,558677
2021-11-19,345.05,349.75,320.1,322.1,319426
2021-11-26,323.0,345.0,309.0,329.2,514947
2021-12-03,333.95,370.25,320.8,354.2,807401
2021-12-10,364.0,375.0,347.2,368.65,593025
2021-12-17,377.5,377.5,344.0,346.15,404548
2021-12-24,352.4,352.4,325.3,346.85,430052
2021-12-31,347.0,363.0,342.95,358.25,305878
2022-01-07,358.8,370.9,353.6,361.7,381862
2022-01-14,364.6,380.0,360.0,375.8,690451
2022-01-21,384.95,385.0,355.95,361.4,427059
2022-01-28,365.0,365.05,340.0,347.55,297328
2022-02-04,351.8,365.9,348.0,356.15,258652
2022-02-11,355.0,357.15,328.75,331.0,420900
2022-02-18,320.0,336.85,305.0,314.3,355321
2022-02-25,309.2,317.85,286.0,300.35,369038
2022-03-04,299.0,316.0,291.8,312.25,322939
2022-03-11,304.0,321.0,297.05,317.8,249061
2022-03-18,317.8,318.2,307.2,309.8,115051
2022-03-25,312.85,342.5,311.05,323.1,498839
2022-04-01,326.0,332.0,308.0,324.15,269904
2022-04-08,332.9,347.55,324.2,341.0,374456
2022-04-15,355.0,363.0,340.1,356.5,323087
2022-04-22,357.0,364.0,342.0,344.45,272111
2022-04-29,343.4,344.8,325.0,329.45,172188
2022-05-06,328.0,333.6,314.25,319.9,92914
2022-05-13,318.5,318.5,285.0,296.5,155950
2022-05-20,305.0,315.0,275.0,283.85,391490
2022-05-27,288.0,291.55,255.0,276.3,190817
2022-06-03,283.95,298.4,277.3,289.2,174080
2022-06-10,290.0,298.9,283.0,293.3,242887
2022-06-17,294.9,314.8,288.0,292.7,324371
2022-06-24,293.0,299.0,270.0,283.0,81397
2022-07-01,293.0,298.55,283.5,292.4,118025
2022-07-08,292.5,309.6,290.2,294.1,149826
