date,open,high,low,close,volume
2020-01-17,1830.0,2003.0,1822.05,1902.35,1817876
2020-01-24,1921.0,1975.0,1875.05,1960.8,627490
2020-01-31,1950.0,1968.5,1914.0,1940.25,281972
2020-02-07,1940.0,1986.0,1901.0,1944.65,751080
2020-02-14,1954.0,2050.0,1927.0,2032.5,784382
2020-02-21,2030.0,2039.95,1935.0,2005.95,306811
2020-02-28,2010.0,2020.0,1852.4,1910.15,408104
2020-03-06,1901.05,1985.0,1846.0,1897.5,393924
2020-03-13,1885.0,1900.3,1355.0,1620.35,743753
2020-03-20,1588.0,1600.0,1210.0,1511.45,1050203
2020-03-27,1240.0,1510.0,1228.0,1393.85,577403
2020-04-03,1365.8,1490.0,1340.1,1354.15,365273
2020-04-10,1395.0,1445.0,1335.55,1398.65,427760
2020-04-17,1413.0,1524.5,1393.55,1444.7,553132
2020-04-24,1474.95,1510.0,1385.05,1433.8,849539
2020-05-01,1452.25,1650.0,1421.35,1592.95,836807
2020-05-08,1570.0,1614.0,1503.25,1584.65,522563
2020-05-15,1600.0,1689.0,1590.8,1645.8,754741
2020-05-22,1655.0,1839.0,1600.0,1786.65,1336534
2020-05-29,1795.0,1818.95,1767.05,1798.85,331644
2020-06-05,1795.0,1894.0,1795.0,1857.25,751433
2020-06-12,1873.15,1899.0,1801.0,1850.0,427345
2020-06-19,1846.0,1920.1,1841.0,1869.85,424850
2020-06-26,1870.0,1953.0,1863.4,1928.7,553237
2020-07-03,1925.0,1998.75,1890.15,1978.25,582626
2020-07-10,1995.25,2120.0,1980.0,2109.65,1067830
2020-07-17,2123.0,2336.0,2116.5,2264.0,1503630
2020-07-24,2200.0,2359.0,2195.0,2274.4,910390
2020-07-31,2261.0,2489.0,2261.0,2416.8,1246525
2020-08-07,2417.0,2529.0,2413.65,2467.6,1212803
2020-08-14,2475.0,2530.0,2425.0,2440.0,715827
2020-08-21,2451.1,2468.9,2354.75,2367.55,551780
